calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.8,10.8,3.8,0.0,5.0,,0,0,2.2,,,,,
2016-01-02,8.5,14.8,4.0,0.0,6.2,,0,0,2.4,,,,,
2016-01-03,10.2,15.7,6.0,0.0,4.9,,0,0,2.3,,,,,
2016-01-04,10.0,15.4,6.0,0.0,2.2,,0,0,2.9,,,,,
2016-01-05,8.4,11.2,6.6,2.0,0.0,,0,0,2.2,,,,,
2016-01-06,8.4,11.6,5.6,2.0,2.9,,0,0,2.0,,,,,
2016-01-07,5.6,8.3,4.1,18.0,0.2,,0,0,2.1,,,,,
2016-01-08,5.5,9.1,1.8,1.5,2.8,,0,0,2.3,,,,,
2016-01-09,5.0,9.4,1.4,3.5,4.6,,0,0,2.4,,,,,
2016-01-10,5.7,7.7,3.5,2.5,0.2,,0,0,2.3,,,,,
2016-01-11,6.2,10.0,3.9,4.0,2.0,,0,0,2.1,,,,,
2016-01-12,2.9,6.4,1.0,36.5,0.0,,0,0,2.4,,,,,
2016-01-13,3.8,8.2,0.6,0.0,5.2,,0,0,2.1,,,,,
2016-01-14,2.7,4.5,1.6,20.5,0.8,,0,0,2.5,,,,,
2016-01-15,2.6,4.6,0.8,8.5,1.4,,0,0,2.3,,,,,
2016-01-16,3.9,7.9,2.1,1.0,2.5,,0,0,2.2,,,,,
2016-01-17,4.3,8.1,1.6,3.0,0.2,,0,0,1.8,,,,,
2016-01-18,5.0,9.2,1.2,30.5,0.3,,0,0,2.8,,,,,
2016-01-19,-0.7,1.4,-2.3,13.0,0.9,,17,18,4.1,,,,,
2016-01-20,3.2,5.9,-2.1,16.0,0.3,,19,2,4.3,,,,,
2016-01-21,1.5,3.0,0.7,14.0,0.0,,5,1,1.9,,,,,
2016-01-22,1.6,3.5,0.2,18.5,0.0,,5,2,2.1,,,,,
2016-01-23,2.1,6.5,-0.9,12.5,2.2,,3,1,2.4,,,,,
2016-01-24,-3.9,-0.9,-5.4,17.0,2.0,,25,30,3.4,,,,,
2016-01-25,0.6,3.5,-1.7,4.0,2.8,,29,8,2.7,,,,,
2016-01-26,1.5,6.3,-2.8,0.0,2.4,,18,2,2.1,,,,,
2016-01-27,4.6,8.2,1.9,0.0,0.7,,12,1,2.1,,,,,
2016-01-28,4.4,9.4,1.9,1.0,0.7,,7,3,2.3,,,,,
2016-01-29,4.5,7.5,2.4,49.0,0.0,,1,0,2.1,,,,,
2016-01-30,6.4,8.1,4.9,9.5,0.1,,0,0,3.1,,,,,
2016-01-31,6.0,10.1,2.3,0.5,3.3,,0,0,2.2,,,,,
2016-02-01,3.3,5.7,1.8,21.0,0.0,,0,0,1.8,,,,,
2016-02-02,1.8,4.0,0.0,16.5,0.0,,1,1,2.0,,,,,
2016-02-03,2.6,7.1,0.9,0.0,3.0,,0,0,1.9,,,,,
2016-02-04,5.1,9.6,1.2,0.0,4.8,,0,0,2.5,,,,,
2016-02-05,5.4,10.4,2.4,0.0,3.6,,0,0,2.5,,,,,
2016-02-06,3.6,5.9,1.7,11.0,1.3,,0,0,2.7,,,,,
2016-02-07,2.1,4.2,-0.2,1.5,1.5,,0,0,3.2,,,,,
2016-02-08,3.1,9.6,-1.6,0.0,8.0,,0,0,1.9,,,,,
2016-02-09,4.7,6.3,2.1,5.0,0.1,,0,0,3.6,,,,,
2016-02-10,4.9,7.5,1.0,0.0,2.0,,0,0,3.0,,,,,
2016-02-11,4.1,10.6,-0.2,0.0,8.9,,0,0,2.7,,,,,
2016-02-12,10.9,17.1,1.9,0.0,6.1,,0,0,2.8,,,,,
2016-02-13,14.5,17.5,10.9,10.0,0.0,,0,0,1.5,,,,,
2016-02-14,12.3,19.0,6.7,11.0,0.0,,0,0,2.7,,,,,
2016-02-15,1.8,7.0,0.0,68.5,0.0,,19,20,1.9,,,,,
2016-02-16,1.7,4.7,-0.4,7.0,6.0,,25,6,,,,,,
2016-02-17,2.3,4.6,0.7,18.5,0.3,,16,2,2.5,,,,,
2016-02-18,3.7,9.9,-0.2,0.0,8.4,,14,1,2.1,,,,,
2016-02-19,6.7,13.7,1.4,0.0,7.4,,10,0,2.6,,,,,
2016-02-20,5.3,8.8,3.8,19.5,0.0,,0,0,2.6,,,,,
2016-02-21,5.7,7.8,2.6,5.5,1.4,,0,0,2.8,,,,,
2016-02-22,4.4,7.9,0.5,0.0,2.9,,0,0,2.1,,,,,
2016-02-23,6.4,10.3,3.3,2.0,0.4,,0,0,2.4,,,,,
2016-02-24,2.6,6.8,0.2,0.0,0.0,,0,0,4.1,,,,,
2016-02-25,2.1,5.3,-0.6,2.0,3.3,,0,0,2.3,,,,,
