calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.4,11.7,2.7,0.0,,,,,3.5,,,,,
2016-01-02,8.4,12.1,3.0,0.0,,,,,2.3,,,,,
2016-01-03,10.5,14.9,7.7,0.0,,,,,2.9,,,,,
2016-01-04,10.8,14.1,6.2,0.0,,,,,2.7,,,,,
2016-01-05,9.6,11.9,6.7,0.0,,,,,3.7,,,,,
2016-01-06,9.5,12.1,5.8,0.0,,,,,2.8,,,,,
2016-01-07,8.5,12.0,4.8,0.0,,,,,4.8,,,,,
2016-01-08,7.5,10.4,3.8,0.0,,,,,4.4,,,,,
2016-01-09,7.1,10.9,2.7,0.0,,,,,6.0,,,,,
2016-01-10,7.6,12.1,4.2,0.0,,,,,4.6,,,,,
2016-01-11,8.3,11.1,5.4,0.0,,,,,4.4,,,,,
2016-01-12,7.3,10.7,3.9,0.0,,,,,3.8,,,,,
2016-01-13,5.5,9.6,2.2,3.5,,,,,4.2,,,,,
2016-01-14,5.2,10.7,1.3,0.0,,,,,5.4,,,,,
2016-01-15,6.0,9.2,3.5,0.0,,,,,5.5,,,,,
2016-01-16,6.0,10.9,-0.1,0.0,,,,,2.4,,,,,
2016-01-17,6.9,9.5,3.8,0.5,,,,,6.0,,,,,
2016-01-18,8.6,12.3,3.2,2.5,,,,,10.1,,,,,
2016-01-19,2.8,6.2,0.5,0.0,,,,,12.1,,,,,
2016-01-20,4.2,9.9,0.5,0.0,,,,,8.7,,,,,
2016-01-21,4.9,8.8,0.1,0.0,,,,,3.3,,,,,
2016-01-22,5.3,9.8,2.8,0.0,,,,,4.1,,,,,
2016-01-23,4.2,7.1,1.7,0.5,,,,,4.1,,,,,
2016-01-24,-1.0,1.8,-3.3,0.0,,,,,7.9,,,,,
2016-01-25,1.3,5.7,-3.6,0.0,,,,,6.6,,,,,
2016-01-26,5.1,8.7,-0.8,0.0,,,,,4.9,,,,,
2016-01-27,7.2,11.5,3.2,0.0,,,,,3.8,,,,,
2016-01-28,7.7,11.4,1.7,0.0,,,,,2.1,,,,,
2016-01-29,8.6,9.8,7.4,38.0,,,,,6.2,,,,,
2016-01-30,8.3,10.5,6.0,6.5,,,,,3.9,,,,,
2016-01-31,7.5,10.0,4.4,0.0,,,,,3.5,,,,,
2016-02-01,7.5,10.4,5.3,0.0,,,,,3.9,,,,,
2016-02-02,6.3,10.1,4.0,0.0,,,,,3.8,,,,,
2016-02-03,5.2,9.0,1.3,0.0,,,,,3.5,,,,,
2016-02-04,6.0,9.6,1.2,0.0,,,,,2.9,,,,,
2016-02-05,6.6,10.2,1.6,0.0,,,,,3.8,,,,,
2016-02-06,6.2,9.7,3.3,0.0,,,,,5.2,,,,,
2016-02-07,4.6,8.3,1.3,0.0,,,,,4.5,,,,,
2016-02-08,5.4,9.5,0.7,0.0,,,,,4.9,,,,,
2016-02-09,7.9,11.6,3.2,0.5,,,,,8.6,,,,,
2016-02-10,5.5,10.7,1.0,0.0,,,,,3.7,,,,,
2016-02-11,6.3,10.2,1.8,0.0,,,,,2.8,,,,,
2016-02-12,11.1,16.8,7.1,0.0,,,,,5.7,,,,,
2016-02-13,13.4,17.9,11.3,68.5,,,,,6.0,,,,,
2016-02-14,14.1,19.3,10.2,12.5,,,,,9.6,,,,,
2016-02-15,6.4,10.3,2.6,0.0,,,,,7.9,,,,,
2016-02-16,4.6,7.8,1.4,1.5,,,,,7.6,,,,,
2016-02-17,5.7,10.0,0.9,1.5,,,,,5.2,,,,,
2016-02-18,5.2,9.4,-0.1,0.0,,,,,2.4,,,,,
2016-02-19,8.6,12.8,2.5,0.0,,,,,2.0,,,,,
2016-02-20,9.2,10.9,7.5,22.5,,,,,6.9,,,,,
2016-02-21,7.7,11.1,4.5,0.5,,,,,4.9,,,,,
2016-02-22,5.9,7.8,2.0,0.0,,,,,2.4,,,,,
2016-02-23,7.7,9.8,5.5,0.0,,,,,3.8,,,,,
2016-02-24,5.8,8.7,1.7,0.0,,,,,4.5,,,,,
2016-02-25,4.5,7.7,1.3,0.0,,,,,4.2,,,,,
2016-02-26,5.1,9.8,0.5,0.0,,,,,4.6,,,,,
2016-02-27,7.7,12.5,2.7,0.0,,,,,4.9,,,,,
2016-02-28,9.6,13.3,4.5,0.0,,,,,3.3,,,,,
2016-02-29,8.2,12.1,1.3,0.0,,,,,7.2,,,,,
2016-03-01,2.9,6.9,0.2,0.0,,,,,4.1,,,,,
2016-03-02,5.9,9.8,1.5,0.0,,,,,4.4,,,,,
2016-03-03,8.5,12.5,1.7,0.0,,,,,2.9,,,,,
2016-03-04,10.0,15.5,5.6,0.0,,,,,3.0,,,,,
2016-03-05,13.8,19.0,9.9,0.0,,,,,4.0,,,,,
2016-03-06,15.2,18.7,11.7,0.0,,,,,3.1,,,,,
2016-03-07,16.4,20.9,13.4,5.5,,,,,3.5,,,,,
2016-03-08,13.5,17.2,9.0,0.0,,,,,3.2,,,,,
2016-03-09,9.0,12.7,6.4,38.5,,,,,6.1,,,,,
2016-03-10,7.4,10.0,4.7,0.0,,,,,4.0,,,,,
2016-03-11,7.1,11.4,4.0,0.0,,,,,4.6,,,,,
2016-03-12,6.7,10.6,3.2,0.0,,,,,4.1,,,,,
2016-03-13,8.2,12.3,5.0,7.0,,,,,4.4,,,,,
2016-03-14,6.8,8.6,5.5,16.5,,,,,4.8,,,,,
2016-03-15,8.2,13.6,4.1,0.0,,,,,4.9,,,,,
2016-03-16,8.3,12.5,4.3,0.0,,,,,2.8,,,,,
2016-03-17,10.5,16.2,5.0,0.0,,,,,2.4,,,,,
2016-03-18,13.5,19.1,7.7,14.0,,,,,3.4,,,,,
2016-03-19,12.9,15.2,9.8,11.0,,,,,3.0,,,,,
2016-03-20,10.9,15.3,8.5,0.0,,,,,4.6,,,,,
2016-03-21,9.9,15.3,6.4,0.0,,,,,4.8,,,,,
2016-03-22,9.1,13.2,3.5,0.0,,,,,3.1,,,,,
2016-03-23,11.6,16.2,6.4,0.0,,,,,3.1,,,,,
2016-03-24,9.3,13.3,5.2,0.0,,,,,5.8,,,,,
2016-03-25,7.1,12.0,3.5,0.0,,,,,3.9,,,,,
2016-03-26,7.8,11.5,2.2,0.0,,,,,3.8,,,,,
2016-03-27,9.2,12.8,5.8,0.0,,,,,3.6,,,,,
2016-03-28,10.2,13.6,6.6,5.0,,,,,2.9,,,,,
2016-03-29,10.8,14.4,5.8,0.0,,,,,2.4,,,,,
2016-03-30,12.8,15.6,7.8,0.0,,,,,2.2,,,,,
2016-03-31,14.3,17.9,11.2,0.0,,,,,2.5,,,,,
2016-04-01,14.4,15.4,13.4,3.0,,,,,7.3,,,,,
2016-04-02,15.6,20.2,13.1,0.0,,,,,4.6,,,,,
2016-04-03,16.4,20.9,14.7,1.5,,,,,3.6,,,,,
2016-04-04,15.1,20.2,12.1,12.0,,,,,2.9,,,,,
2016-04-05,13.5,15.6,11.2,0.0,,,,,2.8,,,,,
2016-04-06,14.9,18.9,10.4,0.0,,,,,2.7,,,,,
2016-04-07,15.6,18.8,12.7,38.5,,,,,9.0,,,,,
2016-04-08,14.2,16.1,11.3,0.0,,,,,2.5,,,,,
2016-04-09,15.1,18.7,9.9,0.0,,,,,2.2,,,,,
2016-04-10,15.6,17.7,12.5,0.0,,,,,2.8,,,,,
2016-04-11,11.4,15.0,7.0,0.0,,,,,5.8,,,,,
2016-04-12,11.3,15.2,4.9,0.0,,,,,2.6,,,,,
2016-04-13,15.5,18.6,13.2,13.0,,,,,4.0,,,,,
2016-04-14,17.2,22.8,14.7,1.5,,,,,4.7,,,,,
2016-04-15,15.4,20.6,10.5,0.0,,,,,5.2,,,,,
2016-04-16,14.8,19.6,9.0,0.0,,,,,5.0,,,,,
2016-04-17,18.5,23.2,15.3,5.5,,,,,9.4,,,,,
2016-04-18,14.7,16.4,12.0,0.0,,,,,4.6,,,,,
2016-04-19,14.1,18.7,8.3,0.0,,,,,4.1,,,,,
2016-04-20,14.7,18.8,9.9,0.0,,,,,3.7,,,,,
2016-04-21,15.6,17.0,14.0,16.0,,,,,4.8,,,,,
2016-04-22,17.8,21.3,15.1,0.0,,,,,3.5,,,,,
2016-04-23,17.2,20.8,14.0,3.5,,,,,3.0,,,,,
2016-04-24,16.9,20.1,14.1,0.0,,,,,3.7,,,,,
2016-04-25,17.2,22.7,12.7,0.0,,,,,3.0,,,,,
2016-04-26,18.3,21.0,16.3,0.0,,,,,4.0,,,,,
2016-04-27,17.9,20.0,16.2,2.5,,,,,5.3,,,,,
2016-04-28,16.0,17.8,12.6,4.5,,,,,5.7,,,,,
2016-04-29,13.4,17.8,10.5,0.0,,,,,5.2,,,,,
2016-04-30,14.2,18.0,8.7,0.0,,,,,3.3,,,,,
2016-05-01,17.5,21.3,11.9,0.0,,,,,2.7,,,,,
2016-05-02,18.7,24.0,13.3,0.0,,,,,3.2,,,,,
2016-05-03,19.0,21.4,15.5,6.5,,,,,5.8,,,,,
2016-05-04,18.0,20.6,15.1,2.0,,,,,8.1,,,,,
2016-05-05,18.7,21.2,15.1,0.0,,,,,4.6,,,,,
2016-05-06,17.2,19.8,15.6,5.5,,,,,3.7,,,,,
2016-05-07,18.0,20.5,16.1,0.0,,,,,3.5,,,,,
2016-05-08,18.1,22.6,12.3,0.0,,,,,2.9,,,,,
2016-05-09,16.7,18.6,14.5,25.5,,,,,5.3,,,,,
2016-05-10,18.1,21.0,15.9,15.5,,,,,3.6,,,,,
2016-05-11,18.3,21.8,14.0,5.0,,,,,7.3,,,,,
2016-05-12,17.2,22.4,12.3,0.0,,,,,3.2,,,,,
2016-05-13,19.1,24.2,15.2,0.0,,,,,3.2,,,,,
2016-05-14,20.2,25.0,15.9,0.0,,,,,3.3,,,,,
2016-05-15,20.5,24.4,16.5,0.0,,,,,3.5,,,,,
2016-05-16,20.3,24.5,15.2,50.0,,,,,4.8,,,,,
2016-05-17,17.2,23.4,13.1,6.5,,,,,3.3,,,,,
2016-05-18,18.2,21.8,11.6,0.0,,,,,3.3,,,,,
2016-05-19,19.9,25.7,15.2,0.0,,,,,3.2,,,,,
2016-05-20,20.2,23.2,17.6,0.0,,,,,4.1,,,,,
2016-05-21,21.2,27.7,15.9,0.0,,,,,2.4,,,,,
2016-05-22,20.6,24.6,17.6,0.0,,,,,4.0,,,,,
2016-05-23,21.2,24.8,17.9,0.0,,,,,3.3,,,,,
2016-05-24,21.3,25.2,17.6,0.0,,,,,5.0,,,,,
2016-05-25,21.7,24.6,19.5,0.0,,,,,2.5,,,,,
2016-05-26,22.4,25.9,20.5,19.0,,,,,3.2,,,,,
2016-05-27,22.3,26.7,19.0,10.0,,,,,3.5,,,,,
2016-05-28,20.2,22.0,16.8,0.0,,,,,3.0,,,,,
2016-05-29,20.1,23.4,17.3,5.0,,,,,3.7,,,,,
2016-05-30,20.6,24.3,17.9,7.5,,,,,4.1,,,,,
2016-05-31,21.6,23.6,19.9,0.0,,,,,3.6,,,,,
2016-06-01,20.4,22.9,16.7,0.0,,,,,3.9,,,,,
2016-06-02,19.6,24.7,15.0,0.0,,,,,5.1,,,,,
2016-06-03,19.3,23.6,14.2,0.0,,,,,3.5,,,,,
2016-06-04,20.8,23.9,17.1,0.0,,,,,3.0,,,,,
2016-06-05,19.7,23.3,16.2,14.0,,,,,6.8,,,,,
2016-06-06,20.7,23.2,17.4,0.0,,,,,3.5,,,,,
2016-06-07,20.5,21.9,19.5,9.0,,,,,5.2,,,,,
2016-06-08,21.7,26.0,19.0,0.0,,,,,4.3,,,,,
2016-06-09,22.4,25.0,20.1,0.0,,,,,3.2,,,,,
2016-06-10,22.9,25.9,19.7,0.0,,,,,3.2,,,,,
2016-06-11,23.7,27.5,20.9,0.0,,,,,3.7,,,,,
2016-06-12,23.5,27.8,21.3,12.5,,,,,5.0,,,,,
2016-06-13,22.7,25.9,20.8,2.5,,,,,4.2,,,,,
2016-06-14,23.4,26.2,21.2,0.0,,,,,3.2,,,,,
2016-06-15,23.8,27.3,21.3,0.0,,,,,4.5,,,,,
2016-06-16,22.5,24.1,21.1,30.5,,,,,4.5,,,,,
2016-06-17,23.2,26.7,21.3,0.5,,,,,4.6,,,,,
2016-06-18,23.8,27.2,20.3,0.0,,,,,3.3,,,,,
2016-06-19,21.9,23.2,19.7,11.0,,,,,2.9,,,,,
2016-06-20,23.6,25.8,22.2,0.0,,,,,3.0,,,,,
2016-06-21,23.4,25.6,20.8,37.0,,,,,4.4,,,,,
2016-06-22,23.8,26.6,22.8,7.5,,,,,1.9,,,,,
2016-06-23,24.5,27.8,21.9,38.0,,,,,5.5,,,,,
2016-06-24,22.7,25.4,20.2,16.5,,,,,5.9,,,,,
2016-06-25,22.9,25.4,20.3,31.0,,,,,5.8,,,,,
2016-06-26,22.9,25.3,19.6,0.0,,,,,3.9,,,,,
2016-06-27,22.7,26.2,18.7,17.0,,,,,3.3,,,,,
2016-06-28,21.1,24.2,18.9,3.0,,,,,3.1,,,,,
2016-06-29,22.7,24.6,20.1,10.0,,,,,1.9,,,,,
2016-06-30,23.9,26.4,22.7,0.0,,,,,2.4,,,,,
2016-07-01,24.8,27.6,22.1,0.0,,,,,3.0,,,,,
2016-07-02,25.7,28.2,23.9,0.0,,,,,4.9,,,,,
2016-07-03,25.7,27.8,24.1,0.0,,,,,6.6,,,,,
2016-07-04,26.6,29.2,24.7,0.0,,,,,3.3,,,,,
2016-07-05,27.7,31.3,25.6,0.0,,,,,4.2,,,,,
2016-07-06,26.3,27.8,24.6,0.0,,,,,5.4,,,,,
2016-07-07,26.5,29.7,24.1,0.0,,,,,3.3,,,,,
2016-07-08,25.7,28.8,24.1,4.5,,,,,2.2,,,,,
2016-07-09,24.1,26.3,22.4,26.5,,,,,3.7,,,,,
2016-07-10,26.3,29.2,23.7,0.0,,,,,2.7,,,,,
2016-07-11,26.3,29.4,24.3,0.0,,,,,3.9,,,,,
2016-07-12,26.4,28.7,24.8,2.5,,,,,3.0,,,,,
2016-07-13,26.1,27.3,25.4,5.5,,,,,4.9,,,,,
2016-07-14,26.0,29.6,23.2,10.5,,,,,3.4,,,,,
2016-07-15,25.0,27.6,23.2,0.0,,,,,5.4,,,,,
2016-07-16,25.8,27.9,23.2,0.0,,,,,3.5,,,,,
2016-07-17,27.1,29.0,25.4,0.5,,,,,2.7,,,,,
2016-07-18,27.3,29.1,25.3,0.0,,,,,3.4,,,,,
2016-07-19,27.5,30.5,24.5,0.0,,,,,3.8,,,,,
2016-07-20,26.6,29.7,23.8,0.0,,,,,4.8,,,,,
2016-07-21,26.0,28.7,23.7,0.0,,,,,4.5,,,,,
2016-07-22,26.5,31.5,23.7,0.0,,,,,4.7,,,,,
2016-07-23,26.1,29.1,24.3,0.0,,,,,5.1,,,,,
2016-07-24,25.5,28.4,23.8,0.0,,,,,4.4,,,,,
2016-07-25,25.2,26.5,24.1,0.0,,,,,2.6,,,,,
2016-07-26,25.0,26.4,23.9,5.0,,,,,3.4,,,,,
2016-07-27,26.4,28.7,24.6,0.0,,,,,2.4,,,,,
2016-07-28,27.2,29.7,24.8,0.0,,,,,3.7,,,,,
2016-07-29,27.3,30.0,25.3,0.0,,,,,4.1,,,,,
2016-07-30,27.2,30.9,24.9,0.0,,,,,3.9,,,,,
2016-07-31,27.7,32.1,24.2,0.0,,,,,3.1,,,,,
2016-08-01,28.6,32.2,24.8,0.0,,,,,3.7,,,,,
2016-08-02,29.0,31.9,26.8,0.0,,,,,4.0,,,,,
2016-08-03,28.1,32.3,25.4,0.0,,,,,3.8,,,,,
2016-08-04,28.1,31.1,25.6,0.0,,,,,3.8,,,,,
2016-08-05,27.9,32.8,25.1,13.5,,,,,3.4,,,,,
2016-08-06,27.7,31.1,25.8,0.0,,,,,2.5,,,,,
2016-08-07,28.2,31.1,26.1,0.0,,,,,3.7,,,,,
2016-08-08,29.2,34.4,24.9,0.0,,,,,4.1,,,,,
2016-08-09,29.1,32.6,26.2,0.0,,,,,4.3,,,,,
2016-08-10,28.0,30.6,24.7,0.0,,,,,3.7,,,,,
2016-08-11,27.9,31.5,24.2,0.0,,,,,4.3,,,,,
2016-08-12,27.9,30.8,25.3,0.0,,,,,4.3,,,,,
2016-08-13,28.3,31.6,25.0,0.0,,,,,3.9,,,,,
2016-08-14,28.3,30.8,25.9,0.0,,,,,2.8,,,,,
2016-08-15,29.2,32.4,27.2,0.0,,,,,2.9,,,,,
2016-08-16,29.2,32.9,27.4,0.0,,,,,5.0,,,,,
2016-08-17,29.1,32.4,26.7,0.0,,,,,3.3,,,,,
2016-08-18,29.8,32.9,27.0,0.0,,,,,4.2,,,,,
2016-08-19,29.8,35.2,27.2,7.0,,,,,4.4,,,,,
2016-08-20,30.3,35.9,26.5,0.0,,,,,4.0,,,,,
2016-08-21,31.7,36.8,28.2,0.0,,,,,6.0,,,,,
2016-08-22,30.1,35.6,28.1,0.0,,,,,4.6,,,,,
2016-08-23,29.9,33.7,27.5,0.0,,,,,3.8,,,,,
2016-08-24,29.0,33.2,26.8,0.0,,,,,4.1,,,,,
2016-08-25,28.7,31.9,27.0,0.0,,,,,4.8,,,,,
2016-08-26,28.3,31.5,24.2,1.0,,,,,3.7,,,,,
2016-08-27,27.1,32.2,24.7,0.0,,,,,3.0,,,,,
2016-08-28,27.0,31.3,23.8,0.0,,,,,5.7,,,,,
2016-08-29,24.4,27.3,21.6,65.5,,,,,4.6,,,,,
2016-08-30,24.8,28.0,21.3,0.0,,,,,8.8,,,,,
2016-08-31,26.6,28.7,24.9,0.0,,,,,7.7,,,,,
2016-09-01,25.9,30.7,22.1,0.0,,,,,2.7,,,,,
2016-09-02,26.6,30.6,23.2,0.0,,,,,3.0,,,,,
2016-09-03,28.2,33.6,25.4,0.0,,,,,5.6,,,,,
2016-09-04,27.7,31.9,25.2,7.5,,,,,4.4,,,,,
2016-09-05,26.3,28.6,25.0,4.5,,,,,2.5,,,,,
2016-09-06,27.1,30.0,24.8,0.0,,,,,2.8,,,,,
2016-09-07,27.5,30.4,24.6,0.0,,,,,3.4,,,,,
2016-09-08,26.2,28.9,22.6,4.5,,,,,3.1,,,,,
2016-09-09,25.2,27.8,22.5,0.0,,,,,3.8,,,,,
2016-09-10,25.3,28.5,21.3,0.0,,,,,4.4,,,,,
2016-09-11,26.0,28.7,23.1,0.0,,,,,4.7,,,,,
2016-09-12,27.0,31.1,24.0,2.0,,,,,3.3,,,,,
2016-09-13,25.4,27.6,24.0,3.0,,,,,3.1,,,,,
2016-09-14,25.3,27.4,23.9,0.0,,,,,2.6,,,,,
2016-09-15,25.4,27.9,23.3,0.0,,,,,3.7,,,,,
2016-09-16,25.5,28.1,23.1,0.0,,,,,3.6,,,,,
