calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.5,6.2,0.4,2.0,3.2,,2,3,1.2,,,,,
2016-01-02,6.2,9.9,2.2,0.0,5.8,,0,0,2.1,,,,,
2016-01-03,8.1,13.1,4.8,0.0,6.0,,0,0,1.5,,,,,
2016-01-04,7.6,10.9,4.4,0.0,2.6,,0,0,1.6,,,,,
2016-01-05,5.0,7.1,2.9,0.0,0.3,,0,0,1.4,,,,,
2016-01-06,4.7,8.5,1.8,0.0,3.0,,0,0,1.5,,,,,
2016-01-07,2.0,4.1,-0.4,6.5,0.4,,0,0,1.5,,,,,
2016-01-08,2.1,5.0,-0.5,0.0,1.8,,0,0,1.9,,,,,
2016-01-09,1.4,5.4,-1.3,0.0,1.8,,0,0,1.2,,,,,
2016-01-10,2.6,5.1,-0.1,0.0,1.5,,0,0,1.5,,,,,
2016-01-11,2.6,6.3,0.3,5.0,3.0,,0,0,1.5,,,,,
2016-01-12,0.0,0.8,-2.0,7.5,0.0,,5,10,1.9,,,,,
2016-01-13,-0.4,3.3,-2.6,3.0,3.5,,4,6,1.1,,,,,
2016-01-14,-0.3,2.7,-2.1,0.5,2.6,,5,9,1.6,,,,,
2016-01-15,-0.6,2.6,-2.8,2.0,3.0,,6,1,0.8,,,,,
2016-01-16,0.0,3.0,-2.0,1.5,2.9,,4,5,1.0,,,,,
2016-01-17,1.3,3.9,-1.4,4.0,0.9,,5,5,2.0,,,,,
2016-01-18,1.1,4.7,-3.1,31.0,0.5,,6,4,2.4,,,,,
2016-01-19,-4.6,-2.9,-6.5,2.5,0.3,,14,13,2.4,,,,,
2016-01-20,-0.9,1.0,-5.8,47.0,0.1,,39,28,3.5,,,,,
2016-01-21,-1.0,0.2,-1.8,3.5,0.0,,41,6,,,,,,
2016-01-22,-1.1,-0.4,-1.6,4.5,0.0,,45,7,,,,,,
2016-01-23,-1.2,2.3,-4.6,3.5,1.3,,51,12,2.5,,,,,
2016-01-24,-7.9,-4.3,-10.2,4.5,1.8,,53,11,2.1,,,,,
2016-01-25,-3.8,-0.7,-7.7,5.5,4.8,,59,8,1.8,,,,,
2016-01-26,-0.6,2.9,-5.9,0.0,2.1,,50,0,1.5,,,,,
2016-01-27,2.1,4.6,0.0,0.0,3.7,,47,0,1.6,,,,,
2016-01-28,3.3,6.4,0.2,1.5,1.7,,42,1,1.5,,,,,
2016-01-29,3.3,4.7,1.8,46.5,0.0,,34,6,1.8,,,,,
2016-01-30,1.9,3.4,0.8,6.5,0.3,,28,9,2.8,,,,,
2016-01-31,2.1,5.3,-0.3,0.0,3.6,,26,4,1.7,,,,,
2016-02-01,0.5,2.5,-0.6,5.0,0.0,,26,14,1.0,,,,,
2016-02-02,-0.5,0.2,-1.1,3.5,0.0,,34,11,1.8,,,,,
2016-02-03,-1.1,1.0,-2.4,0.0,1.3,,33,3,1.4,,,,,
2016-02-04,1.5,4.5,-2.1,0.0,6.3,,28,2,1.7,,,,,
2016-02-05,2.0,5.5,-0.2,0.0,4.6,,26,2,1.3,,,,,
2016-02-06,-0.2,2.6,-1.3,10.0,1.4,,42,23,2.0,,,,,
2016-02-07,-2.6,-0.3,-5.3,14.5,2.7,,65,25,2.7,,,,,
2016-02-08,-0.6,4.4,-5.9,0.0,8.4,,57,2,1.6,,,,,
2016-02-09,0.5,2.9,-1.2,20.0,0.3,,65,17,2.6,,,,,
2016-02-10,-0.5,2.3,-2.6,1.0,1.9,,64,2,1.8,,,,,
2016-02-11,2.0,6.9,-3.3,0.0,8.8,,56,0,2.2,,,,,
2016-02-12,7.9,11.2,3.5,0.0,5.8,,50,0,4.3,,,,,
2016-02-13,11.1,13.5,7.5,9.0,0.0,,33,0,3.3,,,,,
2016-02-14,8.6,15.6,2.5,15.0,0.0,,14,3,2.2,,,,,
2016-02-15,-1.1,2.5,-3.3,18.5,0.0,,41,40,2.6,,,,,
2016-02-16,-1.7,0.6,-5.0,0.5,4.6,,43,3,1.6,,,,,
2016-02-17,-1.4,0.0,-3.3,8.0,0.1,,44,15,1.9,,,,,
2016-02-18,0.5,5.8,-5.2,0.0,8.9,,40,1,1.5,,,,,
2016-02-19,5.3,9.6,0.8,0.0,7.8,,30,2,1.8,,,,,
2016-02-20,4.2,7.5,2.5,24.5,0.0,,21,4,1.6,,,,,
2016-02-21,0.1,3.6,-1.9,10.0,0.5,,18,12,2.7,,,,,
2016-02-22,0.7,4.6,-3.4,0.0,3.9,,17,0,1.4,,,,,
2016-02-23,3.0,5.4,0.6,0.0,0.4,,11,1,1.5,,,,,
2016-02-24,-2.4,1.9,-4.8,2.5,0.0,,19,12,3.0,,,,,
2016-02-25,-2.4,0.4,-5.8,1.5,3.2,,19,8,1.5,,,,,
2016-02-26,-1.1,2.6,-3.9,5.5,3.3,,23,12,1.8,,,,,
2016-02-27,2.7,7.1,-2.1,2.0,1.1,,21,7,2.0,,,,,
2016-02-28,6.0,11.5,-0.2,0.0,8.5,,10,0,2.5,,,,,
2016-02-29,1.0,10.0,-4.3,13.5,0.0,,24,25,3.3,,,,,
2016-03-01,-3.1,-1.1,-4.7,1.5,0.6,,24,4,2.4,,,,,
2016-03-02,0.6,4.8,-3.2,0.5,4.4,,21,1,1.3,,,,,
2016-03-03,5.2,9.1,0.6,0.0,6.6,,9,1,2.0,,,,,
2016-03-04,8.7,15.0,2.7,0.0,7.5,,3,0,1.3,,,,,
2016-03-05,12.1,16.6,6.8,0.0,7.4,,0,0,3.7,,,,,
2016-03-06,12.9,14.2,11.4,0.0,0.0,,0,0,5.1,,,,,
2016-03-07,11.0,15.3,8.5,0.0,2.2,,0,0,1.4,,,,,
2016-03-08,8.6,15.0,4.5,0.5,0.4,,0,0,2.0,,,,,
2016-03-09,2.4,4.6,1.2,24.0,0.0,,0,0,2.2,,,,,
2016-03-10,1.2,3.3,0.1,0.0,0.8,,0,0,1.8,,,,,
2016-03-11,-0.4,1.7,-1.7,1.5,1.3,,2,3,2.4,,,,,
2016-03-12,0.4,4.6,-2.5,0.5,4.6,,0,0,1.6,,,,,
2016-03-13,3.0,7.9,-2.0,2.5,2.4,,0,0,1.7,,,,,
2016-03-14,1.5,4.1,-0.1,7.0,0.2,,0,0,2.9,,,,,
2016-03-15,1.7,6.0,-1.2,0.0,6.6,,0,0,2.9,,,,,
2016-03-16,5.8,11.6,-1.2,0.0,3.1,,0,0,1.6,,,,,
2016-03-17,10.3,17.8,4.1,0.0,10.1,,0,0,1.7,,,,,
2016-03-18,10.7,14.1,6.7,13.5,2.0,,0,0,4.1,,,,,
2016-03-19,8.9,12.0,4.5,15.5,0.0,,0,0,2.9,,,,,
2016-03-20,4.3,6.7,2.6,0.0,1.6,,0,0,3.7,,,,,
2016-03-21,2.6,6.3,-0.7,0.0,7.5,,0,0,2.8,,,,,
2016-03-22,7.2,15.6,-1.2,0.0,10.4,,0,0,1.5,,,,,
2016-03-23,4.9,7.9,2.4,0.0,0.0,,0,0,1.6,,,,,
2016-03-24,2.3,4.2,0.8,0.5,0.8,,0,0,3.7,,,,,
2016-03-25,0.5,2.7,-1.1,3.0,2.0,,3,3,2.7,,,,,
2016-03-26,1.8,5.9,-1.9,0.0,2.3,,0,0,1.5,,,,,
2016-03-27,4.2,9.6,0.2,3.5,2.5,,0,0,1.6,,,,,
2016-03-28,4.9,10.2,1.2,0.0,6.0,,0,0,1.5,,,,,
2016-03-29,9.0,15.7,2.5,0.0,7.5,,0,0,1.6,,,,,
2016-03-30,10.3,15.6,6.8,1.5,4.2,,0,0,1.8,,,,,
2016-03-31,11.6,17.8,5.9,0.0,7.6,,0,0,1.5,,,,,
2016-04-01,11.3,12.0,10.5,2.5,0.0,,0,0,2.8,,,,,
2016-04-02,13.7,19.0,9.3,0.0,6.7,,0,0,3.6,,,,,
2016-04-03,13.8,16.5,12.5,2.0,1.1,,0,0,4.1,,,,,
2016-04-04,9.0,13.3,6.4,4.5,0.0,,0,0,2.4,,,,,
2016-04-05,8.7,13.7,5.3,0.0,5.7,,0,0,1.6,,,,,
2016-04-06,12.4,18.7,5.0,0.0,7.2,,0,0,1.7,,,,,
2016-04-07,13.7,21.3,9.2,21.5,0.0,,0,0,5.0,,,,,
2016-04-08,11.5,16.8,8.5,0.0,3.7,,0,0,1.9,,,,,
2016-04-09,15.3,20.6,11.3,0.0,8.2,,0,0,2.0,,,,,
2016-04-10,13.1,17.0,8.7,0.0,0.3,,0,0,2.0,,,,,
2016-04-11,3.5,8.8,1.3,4.5,2.3,,0,0,3.3,,,,,
2016-04-12,8.2,15.8,-0.3,0.0,9.0,,0,0,3.7,,,,,
2016-04-13,13.3,18.0,10.7,31.5,1.6,,0,0,4.3,,,,,
2016-04-14,12.9,17.0,9.7,0.0,3.3,,0,0,2.3,,,,,
2016-04-15,9.0,13.0,6.0,0.0,8.9,,0,0,3.0,,,,,
2016-04-16,15.9,23.1,7.1,0.0,9.4,,0,0,4.0,,,,,
2016-04-17,16.0,22.9,10.5,14.0,7.9,,0,0,5.1,,,,,
2016-04-18,9.5,13.7,5.2,0.0,0.0,,0,0,2.0,,,,,
2016-04-19,8.3,12.2,3.9,0.0,4.0,,0,0,2.4,,,,,
2016-04-20,12.4,20.5,3.0,0.0,11.1,,0,0,2.5,,,,,
