calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.8,6.0,-2.7,0.0,,,,,2.7,,,,,
2016-01-02,6.2,12.2,-3.0,0.0,,,,,2.0,,,,,
2016-01-03,7.9,12.5,3.6,0.0,,,,,2.0,,,,,
2016-01-04,5.9,11.5,0.8,0.0,,,,,3.0,,,,,
2016-01-05,3.3,6.7,-1.2,0.0,,,,,4.8,,,,,
2016-01-06,2.8,6.9,-1.7,0.0,,,,,2.3,,,,,
2016-01-07,2.2,6.1,-1.8,0.0,,,,,3.2,,,,,
2016-01-08,2.6,7.9,-2.9,0.0,,,,,1.7,,,,,
2016-01-09,0.9,5.9,-3.7,0.0,,,,,2.6,,,,,
2016-01-10,1.9,7.7,-1.7,0.0,,,,,3.0,,,,,
2016-01-11,0.0,3.4,-3.0,0.0,,,,,3.3,,,,,
2016-01-12,0.0,3.4,-3.5,0.0,,,,,2.9,,,,,
2016-01-13,2.4,7.0,-4.7,0.0,,,,,1.9,,,,,
2016-01-14,1.4,5.1,-4.1,0.0,,,,,3.8,,,,,
2016-01-15,-0.9,4.7,-5.6,0.0,,,,,1.9,,,,,
2016-01-16,-1.5,5.0,-6.0,0.0,,,,,2.4,,,,,
2016-01-17,0.1,4.9,-6.3,0.0,,,,,2.3,,,,,
2016-01-18,1.1,3.6,-1.5,52.0,,,,,4.9,,,,,
2016-01-19,1.3,2.4,-2.5,1.5,,,,,2.7,,,,,
2016-01-20,0.3,4.6,-4.7,0.0,,,,,3.0,,,,,
2016-01-21,1.0,3.7,-0.8,0.0,,,,,3.3,,,,,
2016-01-22,0.2,3.6,-2.3,0.0,,,,,3.4,,,,,
2016-01-23,0.3,3.0,-1.5,0.0,,,,,3.0,,,,,
2016-01-24,-1.7,0.9,-4.5,3.0,,,,,3.6,,,,,
2016-01-25,-1.0,1.8,-5.0,0.0,,,,,2.5,,,,,
2016-01-26,1.6,6.6,-4.4,0.0,,,,,1.0,,,,,
2016-01-27,3.0,6.4,-1.3,0.0,,,,,2.1,,,,,
2016-01-28,3.5,7.7,0.2,0.0,,,,,3.7,,,,,
2016-01-29,0.4,2.6,-1.5,2.5,,,,,2.4,,,,,
2016-01-30,-1.9,0.4,-4.9,4.0,,,,,2.3,,,,,
2016-01-31,-0.3,3.8,-5.6,0.0,,,,,3.6,,,,,
2016-02-01,-0.4,1.8,-2.8,0.0,,,,,2.9,,,,,
2016-02-02,-0.6,3.9,-6.0,0.0,,,,,2.7,,,,,
2016-02-03,0.1,4.8,-4.9,0.0,,,,,2.3,,,,,
2016-02-04,1.4,6.3,-4.1,0.0,,,,,1.3,,,,,
2016-02-05,3.0,6.9,0.2,0.0,,,,,3.6,,,,,
2016-02-06,1.0,4.6,-2.7,0.0,,,,,2.3,,,,,
2016-02-07,-1.1,3.2,-4.7,0.0,,,,,3.5,,,,,
2016-02-08,0.9,5.1,-6.7,0.0,,,,,1.5,,,,,
2016-02-09,3.1,8.9,-1.0,0.0,,,,,2.7,,,,,
2016-02-10,1.1,4.7,-0.6,0.0,,,,,7.2,,,,,
2016-02-11,0.9,7.1,-4.8,0.0,,,,,2.8,,,,,
2016-02-12,1.2,7.4,-6.3,0.0,,,,,1.2,,,,,
2016-02-13,6.4,14.4,-0.2,0.0,,,,,1.2,,,,,
2016-02-14,10.7,19.6,6.4,1.0,,,,,2.5,,,,,
2016-02-15,2.1,7.7,-2.8,0.0,,,,,7.1,,,,,
2016-02-16,1.1,6.3,-3.2,0.0,,,,,2.4,,,,,
2016-02-17,0.5,5.4,-4.9,0.0,,,,,3.5,,,,,
2016-02-18,3.1,9.0,-5.4,0.0,,,,,2.3,,,,,
2016-02-19,4.6,12.6,-4.3,0.0,,,,,1.8,,,,,
2016-02-20,5.5,8.9,1.1,14.5,,,,,1.7,,,,,
2016-02-21,5.5,10.5,1.4,0.5,,,,,4.9,,,,,
2016-02-22,1.9,6.4,-0.3,0.0,,,,,3.6,,,,,
2016-02-23,4.1,9.0,-0.9,0.0,,,,,2.4,,,,,
2016-02-24,0.3,4.2,-3.8,0.0,,,,,3.9,,,,,
2016-02-25,-1.0,5.0,-5.4,0.0,,,,,2.5,,,,,
2016-02-26,0.6,5.7,-4.8,0.0,,,,,2.3,,,,,
2016-02-27,3.6,7.4,-2.8,0.0,,,,,2.8,,,,,
2016-02-28,3.8,7.9,-1.1,0.0,,,,,2.8,,,,,
