calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.8,5.7,-2.1,0.0,5.4,,,,4.5,5.1,1019.2,74,1024.7,
2016-01-02,7.3,11.1,0.4,0.0,2.0,,,,5.0,7.0,1013.6,69,1018.9,
2016-01-03,8.4,11.9,5.4,0.0,5.8,,,,3.0,8.1,1010.4,74,1015.6,
2016-01-04,6.4,11.6,3.2,0.0,3.3,,,,4.6,7.2,1007.8,74,1013.1,
2016-01-05,3.2,6.2,-0.2,0.0,7.5,,,,5.8,5.4,1012.2,70,1017.5,
2016-01-06,3.0,6.3,0.1,0.0,3.2,,,,4.0,5.2,1012.0,68,1017.4,
2016-01-07,2.2,5.2,0.4,0.0,6.8,,,,5.0,5.1,1007.3,72,1012.7,
2016-01-08,3.2,6.7,0.3,0.0,4.7,,,,3.5,4.7,1008.4,62,1013.8,
2016-01-09,1.6,5.0,-1.5,0.0,8.1,,,,4.0,4.9,1012.6,73,1018.0,
2016-01-10,2.2,6.6,-0.6,0.0,3.4,,,,4.4,5.2,1010.5,74,1015.9,
2016-01-11,-0.1,2.9,-2.0,,7.2,,,,5.2,4.3,1013.3,72,1018.8,
2016-01-12,-0.4,2.8,-2.2,0.0,2.4,,,,4.5,4.4,1010.2,74,1015.7,
2016-01-13,2.4,6.7,-2.3,0.0,6.8,,,,4.0,5.0,1007.5,70,1012.8,
2016-01-14,1.4,5.0,-2.3,0.0,8.2,,,,5.1,4.7,1007.6,69,1013.0,
2016-01-15,-0.7,4.1,-3.2,,5.7,,,,3.0,3.9,1013.2,69,1018.6,
2016-01-16,-1.7,2.7,-4.4,0.0,2.8,,2,2,3.6,4.3,1014.9,81,1020.4,
2016-01-17,0.9,4.9,-2.7,,4.5,,,,3.6,4.4,1018.0,69,1023.4,
2016-01-18,1.5,4.7,-1.6,67.5,0.0,,4,7,7.5,6.2,998.0,91,1003.3,
2016-01-19,1.0,2.5,-0.3,0.5,0.1,,3,1,4.6,5.7,992.4,87,997.7,
2016-01-20,0.6,4.6,-2.7,,8.7,,2,,4.6,5.0,1000.6,79,1005.9,
2016-01-21,0.7,4.0,-1.9,0.0,4.2,,,,4.5,4.8,1011.0,76,1016.4,
2016-01-22,0.1,3.4,-2.2,0.0,8.2,,,,5.1,4.6,1013.4,74,1018.8,
2016-01-23,0.0,2.6,-2.4,0.0,0.2,,2,2,3.5,4.1,1012.5,68,1017.9,
2016-01-24,-1.9,1.3,-3.6,5.0,5.3,,11,9,4.8,4.3,997.8,82,1003.2,
