calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.5,5.5,-1.8,0.0,3.3,,,,3.5,,,,,
2016-01-02,4.3,11.4,-5.0,0.0,1.5,,,,2.5,,,,,
2016-01-03,7.6,11.8,4.1,0.0,3.2,,,,2.2,,,,,
2016-01-04,6.0,10.6,0.5,0.0,3.4,,,,2.6,,,,,
2016-01-05,2.9,5.4,-1.0,0.0,3.7,,,,2.8,,,,,
2016-01-06,2.3,6.1,-1.8,0.0,2.4,,,,3.0,,,,,
2016-01-07,1.7,5.3,-1.3,0.0,6.2,,,,3.3,,,,,
2016-01-08,1.8,7.1,-4.4,0.0,5.8,,,,1.8,,,,,
2016-01-09,0.0,4.7,-4.7,0.0,4.6,,,,2.8,,,,,
2016-01-10,1.3,7.3,-3.5,0.0,3.7,,,,2.9,,,,,
2016-01-11,-0.5,2.8,-3.8,0.0,6.2,,,,3.8,,,,,
2016-01-12,-0.9,2.8,-5.4,0.0,1.8,,,,3.5,,,,,
2016-01-13,0.2,6.5,-7.0,0.0,3.5,,,,1.7,,,,,
2016-01-14,0.8,4.5,-6.4,0.0,9.0,,,,3.6,,,,,
2016-01-15,-1.4,4.7,-7.8,0.0,5.4,,,,1.8,,,,,
2016-01-16,-2.1,4.8,-7.2,0.0,5.3,,,,2.4,,,,,
2016-01-17,-0.8,4.4,-8.1,0.0,5.2,,,,2.2,,,,,
2016-01-18,0.5,2.6,-1.9,51.0,0.0,,,,4.5,,,,,
2016-01-19,0.7,2.5,-3.9,2.0,0.0,,,,2.6,,,,,
2016-01-20,-0.5,4.2,-7.4,0.0,8.1,,,,3.4,,,,,
2016-01-21,0.3,2.8,-3.4,0.0,3.2,,,,3.5,,,,,
2016-01-22,-0.6,2.6,-4.4,0.0,5.3,,,,3.5,,,,,
2016-01-23,-0.5,2.2,-4.0,0.0,1.3,,,,2.5,,,,,
2016-01-24,-1.9,1.2,-6.6,3.5,4.5,,,,3.6,,,,,
2016-01-25,-1.7,2.0,-9.6,0.0,8.0,,,,4.2,,,,,
2016-01-26,-0.9,6.0,-7.2,0.0,5.3,,,,1.5,,,,,
2016-01-27,1.4,6.3,-5.2,0.0,3.9,,,,2.9,,,,,
2016-01-28,2.8,6.5,-2.5,0.0,5.1,,,,3.5,,,,,
2016-01-29,-0.1,2.0,-2.6,1.0,0.0,,,,1.8,,,,,
2016-01-30,-2.2,0.4,-6.5,3.5,1.0,,,,2.0,,,,,
2016-01-31,-0.5,3.8,-6.3,0.0,7.2,,,,3.6,,,,,
2016-02-01,-0.5,2.8,-2.7,0.0,4.7,,,,3.1,,,,,
2016-02-02,-0.8,3.6,-6.8,0.0,4.9,,,,3.6,,,,,
2016-02-03,0.2,4.3,-4.5,0.0,8.0,,,,3.0,,,,,
2016-02-04,0.9,6.0,-5.3,0.0,7.5,,,,1.5,,,,,
2016-02-05,2.3,5.4,-1.5,0.0,5.1,,,,4.5,,,,,
2016-02-06,0.6,4.2,-4.4,0.0,0.8,,,,2.1,,,,,
2016-02-07,-1.8,2.7,-6.4,0.0,5.9,,,,3.5,,,,,
2016-02-08,-1.4,5.4,-8.9,0.0,10.1,,,,1.6,,,,,
2016-02-09,2.2,8.9,-3.2,0.0,4.6,,,,2.7,,,,,
2016-02-10,0.8,3.6,-1.4,0.0,7.7,,,,6.3,,,,,
2016-02-11,0.7,6.2,-5.2,0.0,6.3,,,,3.0,,,,,
2016-02-12,0.3,8.0,-8.0,0.0,9.7,,,,1.7,,,,,
2016-02-13,5.8,15.7,-0.7,0.0,3.0,,,,1.0,,,,,
2016-02-14,8.7,16.3,4.7,0.0,0.7,,,,2.6,,,,,
2016-02-15,1.7,7.6,-3.5,0.0,3.1,,,,5.8,,,,,
2016-02-16,0.2,6.0,-3.9,0.0,5.9,,,,2.9,,,,,
2016-02-17,-0.2,4.0,-4.3,0.0,3.0,,,,3.7,,,,,
2016-02-18,1.0,9.4,-6.2,0.0,10.3,,,,2.7,,,,,
2016-02-19,3.1,12.6,-6.3,0.0,9.9,,,,2.9,,,,,
2016-02-20,4.3,8.3,-0.6,18.0,0.0,,,,1.4,,,,,
2016-02-21,5.1,9.6,0.7,0.0,5.7,,,,5.9,,,,,
2016-02-22,1.3,5.6,-1.3,0.0,4.0,,,,3.1,,,,,
2016-02-23,3.3,9.6,-2.1,0.0,5.0,,,,2.2,,,,,
2016-02-24,0.0,3.6,-4.8,0.0,2.6,,,,3.9,,,,,
2016-02-25,-1.7,4.4,-6.9,0.0,9.2,,,,2.9,,,,,
2016-02-26,0.1,5.3,-6.3,0.0,8.4,,,,3.0,,,,,
2016-02-27,2.5,6.5,-4.7,2.0,6.0,,,,2.8,,,,,
2016-02-28,3.4,7.5,-0.9,0.5,7.5,,,,2.7,,,,,
2016-02-29,5.3,9.7,0.3,0.0,0.0,,,,4.3,,,,,
2016-03-01,-0.4,2.0,-3.8,0.0,7.3,,,,6.2,,,,,
2016-03-02,0.3,6.2,-6.8,0.0,8.8,,,,3.6,,,,,
2016-03-03,3.4,10.4,-4.5,0.0,5.4,,,,4.0,,,,,
2016-03-04,1.9,9.1,-5.2,0.0,5.2,,,,1.3,,,,,
2016-03-05,3.3,9.9,-5.9,0.0,5.9,,,,2.3,,,,,
2016-03-06,7.4,12.5,4.7,0.0,1.4,,,,1.5,,,,,
2016-03-07,9.8,14.5,6.8,3.0,0.2,,,,1.7,,,,,
2016-03-08,9.4,16.1,6.2,1.0,3.5,,,,2.1,,,,,
2016-03-09,4.2,6.4,2.6,0.0,0.0,,,,4.6,,,,,
2016-03-10,2.7,7.8,-2.4,0.0,6.2,,,,3.4,,,,,
2016-03-11,1.7,7.9,-5.6,0.0,8.4,,,,2.8,,,,,
2016-03-12,1.2,8.6,-8.1,0.0,9.0,,,,2.0,,,,,
2016-03-13,2.6,8.2,-5.5,0.0,5.0,,,,2.2,,,,,
2016-03-14,4.7,7.7,2.4,0.5,0.0,,,,1.2,,,,,
2016-03-15,4.8,9.3,1.9,0.0,9.8,,,,5.3,,,,,
2016-03-16,5.6,12.0,-1.7,0.0,6.4,,,,3.0,,,,,
2016-03-17,6.8,18.3,-4.1,0.0,11.1,,,,3.0,,,,,
2016-03-18,7.7,17.4,-3.2,0.0,7.8,,,,1.7,,,,,
2016-03-19,10.4,16.1,7.2,1.5,0.8,,,,2.4,,,,,
2016-03-20,7.4,10.6,3.4,0.0,2.6,,,,5.1,,,,,
2016-03-21,4.7,9.9,-1.4,0.0,9.6,,,,4.2,,,,,
2016-03-22,6.2,14.5,-3.2,0.0,3.0,,,,2.9,,,,,
2016-03-23,6.1,10.9,1.9,0.0,9.3,,,,5.1,,,,,
2016-03-24,3.2,9.9,-3.1,0.0,5.9,,,,2.8,,,,,
2016-03-25,3.0,10.1,-5.2,0.0,8.6,,,,4.1,,,,,
2016-03-26,3.5,11.5,-4.9,0.0,9.6,,,,3.1,,,,,
2016-03-27,3.6,12.2,-6.4,0.0,10.3,,,,2.8,,,,,
2016-03-28,7.3,17.2,-2.5,0.0,10.4,,,,2.3,,,,,
2016-03-29,7.3,15.1,-3.4,0.0,11.0,,,,2.3,,,,,
2016-03-30,9.7,17.1,2.7,2.0,8.7,,,,2.5,,,,,
2016-03-31,8.8,16.1,-0.7,0.0,11.5,,,,4.5,,,,,
2016-04-01,5.3,13.7,-3.6,0.0,9.4,,,,3.0,,,,,
2016-04-02,6.8,8.9,2.2,0.0,0.0,,,,2.4,,,,,
2016-04-03,12.6,18.6,7.8,0.0,3.9,,,,2.2,,,,,
2016-04-04,8.4,12.2,5.6,22.5,0.0,,,,2.5,,,,,
2016-04-05,7.0,13.3,0.2,0.0,10.7,,,,2.2,,,,,
2016-04-06,9.3,16.8,0.2,0.0,11.9,,,,3.8,,,,,
2016-04-07,7.9,11.4,1.1,51.0,0.0,,,,2.7,,,,,
2016-04-08,11.4,14.6,5.2,0.0,1.6,,,,4.6,,,,,
2016-04-09,12.0,22.1,1.8,0.0,11.2,,,,2.7,,,,,
2016-04-10,7.3,12.0,1.5,0.0,3.7,,,,2.7,,,,,
2016-04-11,4.6,8.8,1.1,0.5,,,,,5.2,,,,,
2016-04-12,6.9,13.1,0.4,0.0,,,,,4.6,,,,,
2016-04-13,10.3,16.6,1.2,1.0,7.1,,,,4.1,,,,,
2016-04-14,13.3,18.3,10.4,11.0,2.7,,,,1.6,,,,,
2016-04-15,9.6,13.3,6.2,0.0,11.0,,,,8.0,,,,,
2016-04-16,9.2,14.8,2.8,0.0,9.9,,,,3.4,,,,,
2016-04-17,12.0,18.5,4.2,6.5,1.0,,,,5.4,,,,,
2016-04-18,13.9,18.5,8.1,0.0,4.1,,,,3.4,,,,,
2016-04-19,11.6,17.4,6.2,0.0,10.2,,,,4.0,,,,,
2016-04-20,9.4,17.5,1.3,0.0,10.0,,,,3.1,,,,,
2016-04-21,10.6,16.8,1.4,5.5,2.6,,,,1.8,,,,,
2016-04-22,13.3,16.8,10.2,0.0,0.1,,,,2.5,,,,,
2016-04-23,12.8,16.5,10.0,0.0,4.3,,,,3.1,,,,,
2016-04-24,13.5,21.3,4.1,0.0,8.3,,,,2.7,,,,,
2016-04-25,10.9,19.0,0.7,0.0,12.0,,,,2.5,,,,,
2016-04-26,12.5,23.2,3.6,0.0,10.7,,,,2.0,,,,,
2016-04-27,10.2,16.8,2.8,0.0,8.6,,,,2.6,,,,,
2016-04-28,10.1,12.9,7.7,45.5,0.0,,,,2.9,,,,,
2016-04-29,9.3,14.0,5.6,2.0,5.3,,,,6.0,,,,,
2016-04-30,10.6,16.1,4.2,0.0,8.8,,,,4.8,,,,,
2016-05-01,9.6,11.7,8.5,12.5,0.5,,,,1.6,,,,,
2016-05-02,10.4,13.0,7.8,0.0,0.0,,,,1.3,,,,,
2016-05-03,14.2,19.1,8.5,0.0,6.3,,,,5.1,,,,,
2016-05-04,15.3,19.9,11.2,9.5,1.3,,,,5.9,,,,,
2016-05-05,16.0,20.4,10.1,0.0,4.2,,,,5.5,,,,,
2016-05-06,15.3,21.4,8.0,0.0,7.2,,,,3.8,,,,,
2016-05-07,15.9,21.6,13.0,0.0,3.9,,,,3.8,,,,,
2016-05-08,15.8,20.5,8.9,0.0,13.3,,,,6.5,,,,,
2016-05-09,13.5,19.4,5.7,0.0,11.3,,,,4.4,,,,,
2016-05-10,13.5,15.2,11.5,18.0,0.0,,,,2.3,,,,,
2016-05-11,13.6,16.1,12.9,4.0,0.0,,,,1.8,,,,,
2016-05-12,15.4,18.8,10.7,0.0,13.1,,,,5.5,,,,,
2016-05-13,15.4,22.1,8.5,0.0,12.0,,,,2.2,,,,,
2016-05-14,15.2,19.2,8.9,0.0,10.9,,,,2.8,,,,,
2016-05-15,12.2,17.6,6.2,0.0,13.5,,,,2.2,,,,,
2016-05-16,14.4,18.0,8.9,0.0,4.6,,,,4.4,,,,,
2016-05-17,14.7,17.1,12.6,19.0,0.4,,,,2.2,,,,,
2016-05-18,16.6,25.7,10.5,0.0,13.4,,,,2.5,,,,,
2016-05-19,15.4,21.6,9.4,0.0,12.8,,,,1.8,,,,,
2016-05-20,14.3,19.5,9.0,0.0,7.0,,,,1.5,,,,,
2016-05-21,15.5,19.0,12.1,1.5,0.7,,,,1.3,,,,,
2016-05-22,18.4,26.5,14.2,0.0,9.6,,,,1.9,,,,,
2016-05-23,20.7,30.0,12.1,0.0,12.2,,,,2.7,,,,,
2016-05-24,18.7,25.1,12.6,0.0,8.0,,,,2.2,,,,,
2016-05-25,18.6,22.1,16.4,0.0,0.0,,,,1.3,,,,,
2016-05-26,19.8,24.5,16.9,0.0,3.1,,,,2.0,,,,,
2016-05-27,18.8,23.5,14.4,12.0,3.2,,,,2.4,,,,,
2016-05-28,17.6,23.6,12.7,0.0,11.4,,,,2.1,,,,,
2016-05-29,18.4,22.8,12.9,0.0,11.1,,,,3.0,,,,,
2016-05-30,19.4,23.9,16.2,0.0,6.4,,,,2.5,,,,,
2016-05-31,18.4,22.2,15.2,1.0,4.0,,,,3.3,,,,,
2016-06-01,16.3,20.5,12.7,0.5,8.8,,,,6.1,,,,,
2016-06-02,14.8,18.8,11.2,0.0,9.2,,,,6.4,,,,,
2016-06-03,15.6,21.8,9.9,0.0,12.7,,,,4.0,,,,,
2016-06-04,18.3,24.0,10.1,0.0,11.2,,,,1.7,,,,,
2016-06-05,18.1,25.6,13.6,0.0,7.8,,,,2.7,,,,,
2016-06-06,16.6,21.1,13.3,0.0,9.0,,,,2.2,,,,,
2016-06-07,17.5,20.7,13.2,0.0,2.0,,,,2.8,,,,,
2016-06-08,19.3,22.5,16.9,0.0,3.4,,,,3.0,,,,,
2016-06-09,19.5,21.7,17.1,1.0,0.2,,,,2.2,,,,,
2016-06-10,22.4,29.1,16.3,0.0,13.9,,,,3.0,,,,,
2016-06-11,20.1,27.8,12.9,0.0,13.6,,,,2.4,,,,,
2016-06-12,20.4,24.1,18.3,0.0,4.7,,,,2.9,,,,,
2016-06-13,18.0,20.4,16.8,23.5,0.0,,,,3.0,,,,,
2016-06-14,18.3,20.9,16.9,0.0,0.1,,,,2.7,,,,,
2016-06-15,17.8,19.5,16.7,0.5,0.0,,,,2.1,,,,,
2016-06-16,19.0,20.6,16.6,11.0,0.0,,,,4.5,,,,,
2016-06-17,21.1,26.5,18.1,3.0,2.9,,,,2.3,,,,,
2016-06-18,22.8,27.1,18.0,0.0,13.9,,,,4.1,,,,,
2016-06-19,20.3,23.4,16.4,0.0,0.0,,,,2.4,,,,,
2016-06-20,20.5,23.3,18.5,10.5,2.4,,,,2.9,,,,,
2016-06-21,20.8,25.2,16.9,0.0,6.9,,,,2.2,,,,,
2016-06-22,20.0,23.9,17.0,2.0,2.5,,,,2.7,,,,,
2016-06-23,17.3,18.2,16.7,43.5,0.0,,,,2.0,,,,,
2016-06-24,19.4,22.1,17.0,7.5,0.3,,,,2.3,,,,,
2016-06-25,21.6,25.8,19.4,14.0,0.0,,,,2.3,,,,,
2016-06-26,19.8,23.0,16.7,0.5,9.8,,,,4.1,,,,,
2016-06-27,20.4,26.3,15.9,0.0,12.3,,,,3.2,,,,,
2016-06-28,19.1,20.5,17.8,14.5,0.0,,,,1.6,,,,,
2016-06-29,20.6,24.9,16.6,0.0,8.8,,,,2.0,,,,,
2016-06-30,20.2,20.9,19.6,3.0,0.0,,,,2.3,,,,,
2016-07-01,22.5,28.5,18.2,0.0,7.8,,,,1.6,,,,,
2016-07-02,22.0,23.4,20.5,0.5,0.0,,,,2.2,,,,,
2016-07-03,23.7,27.8,20.6,0.0,1.7,,,,3.3,,,,,
2016-07-04,22.9,28.5,17.2,0.0,3.4,,,,4.0,,,,,
2016-07-05,18.1,20.1,16.9,0.0,0.0,,,,2.5,,,,,
2016-07-06,19.6,20.9,17.0,16.5,0.0,,,,2.2,,,,,
2016-07-07,19.7,23.6,17.3,0.0,1.5,,,,2.2,,,,,
2016-07-08,20.7,25.1,17.2,0.0,4.3,,,,1.8,,,,,
2016-07-09,21.7,24.7,20.1,12.5,0.0,,,,1.3,,,,,
2016-07-10,23.8,28.7,18.3,0.0,9.1,,,,2.7,,,,,
2016-07-11,23.6,29.2,18.1,0.0,13.7,,,,3.8,,,,,
2016-07-12,21.4,26.3,16.8,0.0,12.0,,,,2.0,,,,,
2016-07-13,22.2,25.9,20.0,14.0,1.4,,,,1.6,,,,,
2016-07-14,22.8,26.3,21.2,5.0,1.4,,,,1.6,,,,,
2016-07-15,21.6,25.6,18.9,0.0,2.2,,,,2.5,,,,,
2016-07-16,21.1,24.0,18.2,0.0,2.3,,,,2.0,,,,,
2016-07-17,22.7,24.7,21.2,3.0,0.1,,,,1.9,,,,,
2016-07-18,25.1,29.8,20.6,0.0,10.7,,,,2.7,,,,,
2016-07-19,24.4,29.4,18.7,0.0,10.4,,,,3.4,,,,,
2016-07-20,21.8,25.9,18.3,0.0,5.2,,,,2.5,,,,,
2016-07-21,20.4,23.6,18.7,0.0,0.4,,,,1.8,,,,,
2016-07-22,20.3,24.6,16.4,0.0,13.1,,,,2.5,,,,,
2016-07-23,20.0,24.3,17.3,0.0,2.4,,,,2.5,,,,,
2016-07-24,21.0,25.4,18.2,0.0,3.2,,,,2.0,,,,,
2016-07-25,22.6,26.8,19.6,0.0,7.9,,,,1.8,,,,,
2016-07-26,23.2,25.9,21.1,0.0,0.6,,,,3.2,,,,,
2016-07-27,23.8,26.5,22.3,0.0,0.2,,,,3.8,,,,,
2016-07-28,24.6,27.8,22.6,0.0,1.0,,,,2.2,,,,,
2016-07-29,25.6,29.4,22.8,0.0,12.0,,,,2.6,,,,,
2016-07-30,24.9,29.4,20.7,0.0,10.3,,,,2.0,,,,,
2016-07-31,25.8,29.8,22.2,0.0,9.4,,,,2.2,,,,,
2016-08-01,26.0,30.7,23.4,2.0,7.6,,,,2.4,,,,,
2016-08-02,25.0,29.7,23.0,0.0,3.6,,,,1.6,,,,,
2016-08-03,25.3,29.2,22.9,2.0,3.3,,,,1.5,,,,,
2016-08-04,26.5,32.6,21.9,0.0,12.2,,,,2.4,,,,,
2016-08-05,26.8,33.4,21.6,0.0,13.0,,,,2.1,,,,,
2016-08-06,26.4,31.9,21.7,0.0,12.9,,,,2.0,,,,,
2016-08-07,25.8,30.4,21.0,0.0,12.0,,,,1.8,,,,,
2016-08-08,25.6,31.0,21.3,9.0,3.2,,,,2.5,,,,,
2016-08-09,26.1,32.1,20.6,7.0,8.4,,,,4.9,,,,,
2016-08-10,23.8,29.1,18.6,0.0,2.9,,,,2.1,,,,,
2016-08-11,23.3,28.3,19.6,0.0,11.9,,,,1.9,,,,,
2016-08-12,22.4,28.1,18.4,0.0,10.2,,,,1.7,,,,,
2016-08-13,21.4,26.9,16.5,0.0,12.5,,,,1.6,,,,,
2016-08-14,21.5,27.4,16.3,0.0,11.9,,,,1.4,,,,,
