calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.0,4.8,-2.4,0.0,6.7,,,,1.9,,,,,
2016-01-02,3.7,11.0,-3.0,0.0,3.3,,,,1.6,,,,,
2016-01-03,6.1,10.6,1.4,0.0,5.5,,,,1.6,,,,,
2016-01-04,4.2,8.5,0.9,0.0,1.5,,,,1.7,,,,,
2016-01-05,1.3,4.6,-1.6,0.0,5.9,,,,1.9,,,,,
2016-01-06,0.7,5.4,-3.7,0.0,4.2,,,,1.0,,,,,
2016-01-07,0.5,3.5,-2.6,0.0,4.3,,,,1.7,,,,,
2016-01-08,0.5,5.9,-2.9,0.0,6.7,,,,1.2,,,,,
2016-01-09,-0.4,3.9,-3.4,0.0,5.1,,,,1.4,,,,,
2016-01-10,0.8,6.2,-2.3,0.5,7.1,,,,2.1,,,,,
2016-01-11,-1.5,1.7,-3.7,0.0,5.9,,,,2.2,,,,,
2016-01-12,-2.1,1.9,-5.6,0.0,5.4,,,,1.0,,,,,
2016-01-13,-0.8,4.6,-5.1,0.5,7.5,,,,1.1,,,,,
2016-01-14,0.2,3.3,-3.0,0.0,7.9,,,,2.0,,,,,
2016-01-15,-0.9,3.7,-4.1,0.0,6.2,,,,1.4,,,,,
2016-01-16,-2.0,2.9,-5.2,0.0,1.8,,,,1.4,,,,,
2016-01-17,-1.0,3.0,-5.6,0.0,5.2,,,,1.4,,,,,
2016-01-18,1.2,2.5,-1.3,55.0,0.0,,,,5.3,,,,,
2016-01-19,0.6,2.4,-2.4,0.0,0.5,,,,1.7,,,,,
2016-01-20,0.4,4.1,-2.5,0.0,8.7,,,,1.7,,,,,
2016-01-21,0.1,3.4,-2.6,0.0,8.2,,,,1.7,,,,,
2016-01-22,-0.8,2.5,-3.0,0.0,7.7,,,,2.1,,,,,
2016-01-23,-1.0,2.8,-4.0,0.0,2.9,,,,1.5,,,,,
2016-01-24,-1.6,1.7,-3.5,0.5,2.8,,,,1.7,,,,,
2016-01-25,-1.9,1.2,-4.5,1.5,8.6,,,,1.8,,,,,
2016-01-26,0.2,5.9,-4.0,0.0,3.4,,,,1.3,,,,,
2016-01-27,2.5,6.6,-0.8,0.0,1.5,,,,1.4,,,,,
2016-01-28,1.5,7.3,-2.8,0.0,8.6,,,,1.5,,,,,
2016-01-29,-0.2,2.2,-3.3,0.5,0.0,,,,0.9,,,,,
2016-01-30,-1.5,1.2,-3.6,4.5,2.4,,,,1.2,,,,,
2016-01-31,-0.3,4.0,-3.5,0.0,6.3,,,,1.6,,,,,
2016-02-01,-1.8,1.4,-4.8,0.0,4.4,,,,1.6,,,,,
2016-02-02,-2.3,1.5,-4.8,0.0,0.4,,,,0.9,,,,,
2016-02-03,-0.9,3.6,-4.0,0.0,8.8,,,,1.4,,,,,
2016-02-04,0.3,5.6,-5.0,0.0,6.3,,,,1.8,,,,,
2016-02-05,1.1,5.6,-3.1,0.0,7.2,,,,1.6,,,,,
2016-02-06,-0.2,4.5,-3.3,0.0,3.2,,,,1.6,,,,,
2016-02-07,-2.1,2.1,-5.3,0.0,9.4,,,,2.1,,,,,
2016-02-08,-0.8,5.5,-6.1,0.0,8.5,,,,1.8,,,,,
2016-02-09,2.6,7.5,-2.4,0.5,5.7,,,,2.1,,,,,
2016-02-10,0.0,2.1,-1.3,1.5,4.7,,,,3.0,,,,,
2016-02-11,0.9,5.0,-2.4,0.0,9.3,,,,2.3,,,,,
2016-02-12,2.1,8.5,-4.4,0.0,9.8,,,,1.8,,,,,
2016-02-13,8.6,16.6,1.4,0.0,2.6,,,,1.8,,,,,
2016-02-14,10.0,15.5,6.0,5.5,0.8,,,,2.4,,,,,
2016-02-15,0.8,7.4,-3.9,0.0,3.7,,,,3.0,,,,,
2016-02-16,-0.2,4.7,-4.6,0.0,7.0,,,,1.6,,,,,
2016-02-17,-0.2,3.7,-3.3,0.0,6.6,,,,2.4,,,,,
