calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.3,6.2,-5.6,0.0,,,,,1.3,,,,,
2016-01-02,5.3,11.6,-2.9,0.0,,,,,2.1,,,,,
2016-01-03,8.0,11.5,4.3,0.0,,,,,2.3,,,,,
2016-01-04,5.4,11.3,0.4,0.0,,,,,2.1,,,,,
2016-01-05,2.9,6.5,-1.8,0.0,,,,,2.1,,,,,
2016-01-06,2.2,7.0,-3.2,0.0,,,,,1.7,,,,,
2016-01-07,1.2,5.9,-3.4,0.0,,,,,2.1,,,,,
2016-01-08,2.6,7.5,-2.8,0.0,,,,,2.2,,,,,
2016-01-09,0.5,5.2,-3.4,0.0,,,,,1.4,,,,,
2016-01-10,2.0,7.6,-2.5,0.0,,,,,2.4,,,,,
2016-01-11,0.1,4.5,-3.7,0.0,,,,,2.6,,,,,
2016-01-12,-0.9,2.5,-5.5,0.0,,,,,1.6,,,,,
2016-01-13,0.7,5.5,-5.2,0.0,,,,,1.3,,,,,
2016-01-14,1.0,4.9,-5.3,0.5,,,,,1.8,,,,,
2016-01-15,-1.4,4.7,-5.3,0.0,,,,,1.1,,,,,
2016-01-16,-2.4,2.6,-6.3,0.0,,,,,1.4,,,,,
2016-01-17,-0.7,4.8,-6.3,0.0,,,,,1.8,,,,,
2016-01-18,1.0,3.6,-1.8,63.5,,,,,4.2,,,,,
2016-01-19,0.5,2.8,-4.5,3.0,,,,,1.7,,,,,
2016-01-20,-0.5,4.1,-6.5,0.0,,,,,1.7,,,,,
2016-01-21,0.4,3.4,-4.2,0.0,,,,,1.6,,,,,
2016-01-22,-0.4,3.6,-3.5,0.0,,,,,1.8,,,,,
2016-01-23,-0.2,2.4,-3.4,0.0,,,,,2.4,,,,,
2016-01-24,-2.1,1.5,-7.8,2.0,,,,,2.6,,,,,
2016-01-25,-1.7,1.8,-6.6,0.5,,,,,1.7,,,,,
2016-01-26,1.5,5.4,-2.3,0.0,,,,,1.4,,,,,
2016-01-27,2.7,6.8,-3.8,0.0,,,,,2.0,,,,,
2016-01-28,3.7,7.5,-0.4,0.0,,,,,2.6,,,,,
2016-01-29,0.8,2.7,-1.3,0.5,,,,,1.7,,,,,
2016-01-30,-2.1,0.7,-6.0,3.0,,,,,1.6,,,,,
2016-01-31,-0.1,4.4,-5.3,0.0,,,,,2.2,,,,,
2016-02-01,-0.6,2.0,-3.0,0.0,,,,,1.6,,,,,
2016-02-02,-1.2,4.1,-6.1,0.0,,,,,1.8,,,,,
2016-02-03,-1.0,3.7,-6.4,0.0,,,,,1.1,,,,,
2016-02-04,0.6,6.5,-4.6,0.0,,,,,1.4,,,,,
2016-02-05,2.6,6.6,-1.9,0.0,,,,,2.6,,,,,
2016-02-06,0.4,4.3,-3.5,0.0,,,,,1.5,,,,,
2016-02-07,-1.5,2.3,-5.3,0.0,,,,,2.4,,,,,
2016-02-08,-0.1,6.3,-6.3,0.0,,,,,1.8,,,,,
2016-02-09,2.6,8.3,-2.4,0.0,,,,,2.0,,,,,
2016-02-10,0.9,4.3,-1.5,0.0,,,,,4.2,,,,,
2016-02-11,0.7,5.5,-5.3,0.0,,,,,2.1,,,,,
2016-02-12,1.0,8.8,-6.3,0.0,,,,,1.9,,,,,
2016-02-13,6.1,15.2,-0.1,0.0,,,,,1.0,,,,,
2016-02-14,8.5,14.3,5.2,0.5,,,,,1.8,,,,,
2016-02-15,2.2,8.2,-2.9,0.0,,,,,4.2,,,,,
2016-02-16,0.5,6.3,-4.9,0.0,,,,,2.7,,,,,
2016-02-17,0.3,5.5,-3.7,0.0,,,,,2.5,,,,,
2016-02-18,2.5,10.1,-5.7,0.0,,,,,3.2,,,,,
2016-02-19,4.0,12.8,-5.6,0.0,,,,,2.3,,,,,
2016-02-20,4.9,9.1,0.5,17.5,,,,,1.5,,,,,
2016-02-21,5.9,10.8,1.9,0.0,,,,,3.6,,,,,
2016-02-22,1.9,6.0,-1.0,0.0,,,,,2.1,,,,,
2016-02-23,3.7,9.5,-0.7,0.0,,,,,2.4,,,,,
2016-02-24,0.2,3.7,-3.0,0.0,,,,,3.2,,,,,
2016-02-25,-1.0,5.4,-5.2,0.0,,,,,1.7,,,,,
2016-02-26,0.2,5.9,-6.2,0.0,,,,,2.0,,,,,
2016-02-27,2.1,7.0,-4.4,2.0,,,,,2.0,,,,,
2016-02-28,3.2,7.7,-1.6,0.5,,,,,2.0,,,,,
2016-02-29,5.6,8.1,0.9,0.0,,,,,3.5,,,,,
2016-03-01,0.4,4.2,-2.5,0.0,,,,,4.3,,,,,
2016-03-02,0.6,5.9,-5.0,0.0,,,,,2.4,,,,,
2016-03-03,2.7,10.3,-4.1,1.0,,,,,2.6,,,,,
2016-03-04,2.0,8.4,-4.4,0.0,,,,,1.3,,,,,
2016-03-05,3.9,9.5,-3.1,0.0,,,,,2.1,,,,,
2016-03-06,7.5,11.6,4.8,0.0,,,,,1.7,,,,,
2016-03-07,9.8,14.5,6.5,2.5,,,,,1.1,,,,,
2016-03-08,9.9,17.2,7.0,0.5,,,,,2.6,,,,,
2016-03-09,4.6,7.0,2.9,0.0,,,,,2.3,,,,,
2016-03-10,3.0,7.3,-1.8,0.0,,,,,2.3,,,,,
2016-03-11,1.4,8.0,-4.0,0.0,,,,,1.6,,,,,
2016-03-12,1.4,8.8,-5.4,0.0,,,,,1.8,,,,,
2016-03-13,2.9,8.9,-3.3,0.0,,,,,2.4,,,,,
2016-03-14,5.0,8.2,3.0,0.0,,,,,1.0,,,,,
2016-03-15,4.2,9.2,-1.3,0.0,,,,,2.9,,,,,
2016-03-16,6.0,12.8,-1.3,0.0,,,,,3.1,,,,,
2016-03-17,8.9,18.4,-3.3,0.0,,,,,2.7,,,,,
2016-03-18,9.3,18.4,-0.4,0.0,,,,,2.3,,,,,
2016-03-19,11.2,17.3,7.7,1.0,,,,,1.5,,,,,
2016-03-20,7.2,10.4,1.6,0.0,,,,,2.7,,,,,
2016-03-21,4.5,10.1,-1.4,0.0,,,,,2.5,,,,,
2016-03-22,7.0,14.1,0.1,0.0,,,,,2.8,,,,,
2016-03-23,6.3,11.4,0.0,0.0,,,,,3.3,,,,,
2016-03-24,3.4,9.8,-2.5,0.0,,,,,2.2,,,,,
2016-03-25,2.7,9.3,-5.3,0.0,,,,,2.4,,,,,
2016-03-26,4.2,11.9,-3.0,0.0,,,,,2.0,,,,,
2016-03-27,4.7,13.0,-4.2,0.0,,,,,3.0,,,,,
2016-03-28,8.0,17.3,-0.3,0.0,,,,,1.9,,,,,
2016-03-29,7.4,16.3,-1.1,0.0,,,,,2.6,,,,,
2016-03-30,10.3,18.5,4.3,4.5,,,,,2.7,,,,,
2016-03-31,8.7,16.5,0.9,0.0,,,,,2.7,,,,,
2016-04-01,6.6,13.2,-0.4,0.0,,,,,3.0,,,,,
2016-04-02,7.5,9.2,4.2,0.0,,,,,2.2,,,,,
2016-04-03,12.4,18.9,7.0,0.0,,,,,4.5,,,,,
2016-04-04,8.5,13.0,5.9,23.0,,,,,2.8,,,,,
2016-04-05,6.8,13.9,0.9,0.0,,,,,2.4,,,,,
2016-04-06,10.5,17.7,1.0,0.0,,,,,2.5,,,,,
2016-04-07,8.5,11.9,3.9,60.0,,,,,2.6,,,,,
2016-04-08,12.3,16.2,8.4,0.0,,,,,3.7,,,,,
2016-04-09,12.3,22.4,3.0,0.0,,,,,2.7,,,,,
2016-04-10,8.6,12.8,3.0,0.0,,,,,2.2,,,,,
2016-04-11,4.8,9.8,0.7,0.5,,,,,3.7,,,,,
2016-04-12,6.5,13.9,-1.4,0.0,,,,,3.6,,,,,
2016-04-13,11.0,17.2,2.9,1.0,,,,,5.5,,,,,
2016-04-14,13.5,18.7,10.1,11.5,,,,,1.2,,,,,
2016-04-15,10.1,13.8,7.0,0.0,,,,,5.5,,,,,
2016-04-16,10.0,16.1,3.0,0.0,,,,,3.2,,,,,
2016-04-17,12.8,17.0,6.1,5.5,,,,,6.7,,,,,
2016-04-18,14.4,17.7,11.4,0.0,,,,,2.8,,,,,
2016-04-19,12.3,17.8,5.5,0.0,,,,,3.4,,,,,
2016-04-20,9.6,17.3,1.0,0.0,,,,,3.4,,,,,
2016-04-21,11.9,18.7,3.0,4.0,,,,,2.9,,,,,
2016-04-22,13.3,17.9,10.8,1.0,,,,,2.2,,,,,
2016-04-23,13.6,17.8,10.2,0.0,,,,,3.3,,,,,
2016-04-24,13.3,20.8,5.5,0.0,,,,,2.4,,,,,
2016-04-25,11.7,20.0,4.1,0.0,,,,,2.9,,,,,
2016-04-26,13.1,23.6,5.4,0.0,,,,,1.7,,,,,
2016-04-27,10.6,17.0,4.9,0.0,,,,,2.8,,,,,
2016-04-28,10.9,13.6,8.6,32.0,,,,,2.6,,,,,
2016-04-29,8.9,14.0,6.5,6.0,,,,,3.8,,,,,
2016-04-30,11.0,16.2,4.6,0.0,,,,,3.6,,,,,
2016-05-01,9.5,12.5,7.9,10.0,,,,,1.3,,,,,
2016-05-02,11.1,14.0,8.3,0.0,,,,,1.4,,,,,
2016-05-03,15.3,19.6,11.3,0.0,,,,,6.3,,,,,
2016-05-04,15.4,19.7,11.8,10.0,,,,,7.3,,,,,
2016-05-05,16.3,21.9,10.9,0.0,,,,,4.0,,,,,
2016-05-06,16.1,21.5,9.2,0.0,,,,,4.9,,,,,
2016-05-07,16.0,22.2,13.4,0.0,,,,,4.1,,,,,
2016-05-08,16.4,21.3,9.2,0.0,,,,,4.6,,,,,
2016-05-09,13.9,19.8,6.4,0.0,,,,,4.0,,,,,
2016-05-10,14.4,16.1,13.5,14.0,,,,,2.6,,,,,
2016-05-11,14.0,15.6,12.9,6.0,,,,,1.6,,,,,
2016-05-12,15.9,20.1,11.0,0.0,,,,,3.7,,,,,
2016-05-13,15.6,21.9,9.3,0.0,,,,,3.5,,,,,
2016-05-14,15.7,20.8,10.7,0.0,,,,,2.6,,,,,
2016-05-15,12.9,19.7,7.0,0.0,,,,,1.9,,,,,
2016-05-16,15.1,19.4,8.8,0.0,,,,,5.2,,,,,
2016-05-17,14.7,17.1,11.5,21.0,,,,,1.8,,,,,
