calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.1,8.4,-2.5,0.0,,,,,3.9,,,,,
2016-01-02,6.1,11.9,-2.5,0.0,,,,,4.0,,,,,
2016-01-03,8.5,14.0,2.6,0.0,,,,,2.8,,,,,
2016-01-04,8.0,13.1,4.6,0.0,,,,,3.9,,,,,
2016-01-05,5.3,8.5,1.8,0.0,,,,,3.4,,,,,
2016-01-06,3.5,7.0,-2.3,0.0,,,,,2.2,,,,,
2016-01-07,3.2,6.2,-0.6,0.0,,,,,4.3,,,,,
2016-01-08,3.0,7.9,-1.9,0.0,,,,,2.0,,,,,
2016-01-09,2.1,6.2,-2.8,0.0,,,,,2.5,,,,,
2016-01-10,4.2,10.2,-0.4,0.0,,,,,3.4,,,,,
2016-01-11,1.2,4.3,-3.9,0.0,,,,,3.6,,,,,
2016-01-12,-0.3,4.3,-5.5,0.0,,,,,2.9,,,,,
2016-01-13,1.9,7.6,-5.1,0.0,,,,,2.8,,,,,
2016-01-14,1.7,5.3,-3.0,0.0,,,,,3.5,,,,,
2016-01-15,-0.1,4.2,-4.8,0.0,,,,,1.5,,,,,
2016-01-16,-1.0,4.7,-5.7,0.0,,,,,3.1,,,,,
2016-01-17,0.5,5.6,-6.6,0.0,,,,,1.9,,,,,
2016-01-18,2.5,5.1,-0.8,44.5,,,,,8.8,,,,,
2016-01-19,2.7,6.1,0.4,0.0,,,,,5.0,,,,,
2016-01-20,1.4,6.4,-4.6,0.0,,,,,4.9,,,,,
2016-01-21,1.9,6.9,-1.7,0.0,,,,,3.2,,,,,
2016-01-22,0.9,6.5,-4.8,0.0,,,,,4.2,,,,,
2016-01-23,1.1,3.5,-1.3,0.5,,,,,2.6,,,,,
2016-01-24,-0.8,2.2,-2.5,2.5,,,,,4.3,,,,,
2016-01-25,-2.1,2.1,-7.3,0.5,,,,,2.2,,,,,
2016-01-26,0.8,6.7,-6.5,0.0,,,,,2.0,,,,,
2016-01-27,5.5,10.4,0.2,0.0,,,,,3.4,,,,,
2016-01-28,4.1,8.5,-1.2,0.0,,,,,2.6,,,,,
2016-01-29,0.1,1.6,-1.6,1.5,,,,,2.3,,,,,
2016-01-30,-0.5,1.8,-2.8,3.0,,,,,2.6,,,,,
2016-01-31,0.3,5.6,-5.6,0.0,,,,,1.9,,,,,
2016-02-01,0.4,4.4,-3.1,0.0,,,,,2.2,,,,,
2016-02-02,0.5,4.7,-4.3,0.0,,,,,2.8,,,,,
2016-02-03,0.4,4.7,-4.1,0.0,,,,,2.2,,,,,
2016-02-04,2.2,6.7,-4.0,0.0,,,,,3.2,,,,,
2016-02-05,3.1,8.2,-1.3,0.0,,,,,2.0,,,,,
2016-02-06,1.3,4.8,-1.7,0.0,,,,,2.1,,,,,
2016-02-07,-0.2,4.1,-4.1,0.0,,,,,3.6,,,,,
2016-02-08,0.3,5.3,-6.2,0.0,,,,,2.5,,,,,
2016-02-09,3.5,8.8,-1.8,0.0,,,,,3.9,,,,,
2016-02-10,2.0,5.7,-0.2,0.0,,,,,5.4,,,,,
2016-02-11,2.5,7.7,-3.6,0.0,,,,,4.5,,,,,
2016-02-12,2.0,7.2,-5.2,0.0,,,,,1.7,,,,,
2016-02-13,7.1,12.9,3.2,0.0,,,,,1.7,,,,,
2016-02-14,12.2,22.0,6.9,0.5,,,,,5.3,,,,,
2016-02-15,3.8,10.8,-1.2,0.0,,,,,6.7,,,,,
2016-02-16,1.7,7.0,-5.1,0.0,,,,,3.4,,,,,
2016-02-17,1.9,6.7,-2.0,0.0,,,,,4.9,,,,,
2016-02-18,3.1,9.4,-4.7,0.0,,,,,4.3,,,,,
2016-02-19,7.4,14.4,-1.0,0.0,,,,,5.5,,,,,
2016-02-20,6.8,9.4,3.1,14.0,,,,,2.4,,,,,
2016-02-21,7.1,12.7,1.9,0.0,,,,,6.4,,,,,
2016-02-22,3.4,5.9,1.3,0.0,,,,,4.3,,,,,
2016-02-23,5.3,9.4,-0.6,0.0,,,,,4.0,,,,,
2016-02-24,1.3,5.1,-2.1,0.0,,,,,6.2,,,,,
2016-02-25,0.0,5.6,-4.7,0.0,,,,,3.1,,,,,
2016-02-26,2.1,5.5,-1.9,0.0,,,,,3.2,,,,,
2016-02-27,3.6,6.7,-0.8,0.0,,,,,3.9,,,,,
2016-02-28,4.0,7.0,-0.5,0.0,,,,,4.0,,,,,
2016-02-29,6.3,12.4,1.3,0.0,,,,,4.2,,,,,
2016-03-01,1.3,5.8,-1.3,0.0,,,,,6.3,,,,,
2016-03-02,1.9,7.1,-4.2,0.0,,,,,2.1,,,,,
2016-03-03,5.8,12.9,-1.5,0.0,,,,,4.4,,,,,
2016-03-04,3.2,8.2,-1.8,0.0,,,,,2.4,,,,,
2016-03-05,4.4,8.6,-2.9,0.0,,,,,2.9,,,,,
2016-03-06,8.0,11.7,5.7,0.0,,,,,2.0,,,,,
2016-03-07,9.8,13.4,7.7,3.5,,,,,1.8,,,,,
2016-03-08,10.1,16.0,8.0,0.0,,,,,3.1,,,,,
2016-03-09,5.2,9.3,3.6,0.0,,,,,4.1,,,,,
2016-03-10,3.9,7.8,0.2,0.0,,,,,4.2,,,,,
2016-03-11,2.2,7.0,-2.1,0.0,,,,,3.0,,,,,
2016-03-12,2.1,6.9,-4.7,0.0,,,,,2.5,,,,,
2016-03-13,4.2,7.9,-1.4,0.0,,,,,3.4,,,,,
2016-03-14,5.1,6.5,3.9,1.5,,,,,2.0,,,,,
2016-03-15,5.4,9.8,1.9,0.0,,,,,5.8,,,,,
2016-03-16,7.5,11.9,1.4,0.0,,,,,4.9,,,,,
2016-03-17,8.8,13.9,1.2,0.0,,,,,3.0,,,,,
2016-03-18,9.1,14.4,2.3,0.0,,,,,2.1,,,,,
2016-03-19,11.2,13.9,9.5,0.5,,,,,1.9,,,,,
2016-03-20,9.1,13.2,4.1,0.0,,,,,6.3,,,,,
2016-03-21,6.3,12.0,0.8,0.0,,,,,5.2,,,,,
2016-03-22,8.4,15.3,-0.7,0.0,,,,,4.1,,,,,
2016-03-23,8.1,12.9,4.0,0.0,,,,,4.2,,,,,
2016-03-24,5.5,10.5,1.2,0.0,,,,,4.8,,,,,
2016-03-25,4.7,10.4,-2.0,0.0,,,,,5.3,,,,,
2016-03-26,4.6,12.1,-2.3,0.0,,,,,2.8,,,,,
2016-03-27,5.5,11.3,-1.7,0.0,,,,,3.0,,,,,
2016-03-28,8.1,14.2,2.4,0.0,,,,,2.7,,,,,
2016-03-29,7.5,12.7,-0.5,0.0,,,,,2.7,,,,,
2016-03-30,9.7,13.9,4.2,0.0,,,,,2.8,,,,,
2016-03-31,10.4,18.3,2.6,0.0,,,,,3.6,,,,,
2016-04-01,7.6,11.6,2.1,0.0,,,,,4.2,,,,,
2016-04-02,8.2,9.2,7.1,0.0,,,,,4.4,,,,,
2016-04-03,13.0,19.5,8.1,0.0,,,,,3.1,,,,,
2016-04-04,9.2,13.3,6.6,23.5,,,,,3.3,,,,,
