calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.4,6.1,-1.5,0.0,3.7,5.71,,,2.8,4.6,1019.1,64,1024.7,4.0
2016-01-02,6.2,10.4,-0.1,0.0,0.8,3.28,,,3.0,6.1,1013.5,64,1018.9,6.3
2016-01-03,8.6,12.5,5.9,0.0,2.8,5.89,,,1.8,7.8,1010.1,70,1015.5,8.3
2016-01-04,7.5,12.7,4.4,0.0,2.5,4.87,,,2.8,7.0,1007.4,67,1012.8,8.8
2016-01-05,4.6,8.0,2.1,0.0,3.7,7.04,,,3.4,5.0,1011.8,59,1017.2,6.8
2016-01-06,3.8,8.7,0.0,0.0,2.8,6.48,,,2.0,4.9,1011.7,61,1017.2,8.5
2016-01-07,3.7,6.3,1.4,0.0,4.6,7.35,,,3.4,4.8,1007.1,60,1012.5,5.8
2016-01-08,3.7,7.7,0.7,0.0,4.9,7.54,,,2.0,4.6,1008.2,59,1013.6,6.3
2016-01-09,2.7,6.8,-0.1,0.0,5.9,8.27,,,2.7,4.5,1012.3,61,1017.8,6.0
2016-01-10,3.6,8.7,-0.5,0.0,4.7,7.84,,,2.8,5.0,1010.3,63,1015.7,6.0
2016-01-11,0.9,4.1,-1.0,0.0,3.0,5.34,0,,2.3,4.1,1013.1,64,1018.6,7.5
2016-01-12,0.5,3.9,-2.7,0.0,3.2,5.94,0,,2.2,4.0,1010.0,65,1015.5,7.3
2016-01-13,2.5,7.6,-2.5,0.0,6.8,9.93,,,2.4,4.4,1007.3,61,1012.8,6.3
2016-01-14,2.0,5.1,-0.7,0.0,5.3,7.91,,,3.4,4.4,1007.5,63,1013.0,3.8
2016-01-15,0.6,4.9,-1.8,0.0,3.8,7.75,,,2.2,3.7,1012.9,59,1018.4,7.0
2016-01-16,-0.2,3.9,-2.7,0.5,3.6,7.06,1,1,2.7,4.0,1014.8,67,1020.3,7.5
2016-01-17,1.3,5.3,-3.4,,5.2,8.26,,,2.7,4.1,1017.8,62,1023.3,6.3
2016-01-18,1.4,4.1,-1.2,53.5,0.0,0.72,14,17,6.2,5.6,998.4,83,1003.8,9.8
2016-01-19,2.3,5.3,-0.2,0.5,1.6,6.62,7,,3.5,5.0,992.2,69,997.6,7.5
