calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.0,3.4,-2.7,0.0,2.6,,0,0,2.7,,,,,
2016-01-02,2.7,9.0,-3.4,1.0,0.4,,0,0,1.7,,,,,
2016-01-03,5.2,9.9,1.0,0.5,3.6,,0,0,1.4,,,,,
2016-01-04,4.7,12.1,-0.5,0.5,2.9,,0,0,3.4,,,,,
2016-01-05,2.3,4.4,0.2,0.0,4.8,,0,0,3.9,,,,,
2016-01-06,2.1,5.8,-0.2,0.0,1.9,,0,0,2.6,,,,,
2016-01-07,1.0,3.5,-0.5,1.0,1.8,,0,0,3.0,,,,,
2016-01-08,1.2,4.5,-2.5,0.0,2.4,,0,0,1.6,,,,,
2016-01-09,0.3,2.8,-3.5,0.0,0.6,,0,0,2.0,,,,,
2016-01-10,1.2,4.8,-2.1,1.0,4.1,,0,0,2.4,,,,,
2016-01-11,-1.2,1.1,-3.1,0.0,3.2,,0,0,2.5,,,,,
2016-01-12,-0.9,1.7,-2.7,0.0,2.8,,0,0,2.0,,,,,
2016-01-13,0.1,4.3,-3.8,0.0,3.3,,0,0,1.2,,,,,
2016-01-14,-0.9,0.8,-4.1,1.0,0.4,,0,0,1.3,,,,,
2016-01-15,-2.1,1.8,-5.8,0.0,3.5,,0,0,1.5,,,,,
2016-01-16,-2.7,0.8,-6.5,0.5,1.3,,0,0,0.9,,,,,
2016-01-17,-1.3,1.7,-5.5,0.0,0.2,,0,0,1.0,,,,,
2016-01-18,-0.1,2.1,-2.3,39.5,0.0,,28,28,2.5,,,,,
2016-01-19,0.4,2.6,-2.4,2.0,2.7,,22,6,3.8,,,,,
2016-01-20,-1.2,1.9,-6.1,4.0,4.1,,25,12,2.1,,,,,
2016-01-21,-0.3,2.0,-2.2,1.0,5.5,,26,5,3.1,,,,,
2016-01-22,-1.2,1.2,-3.0,4.5,1.2,,31,16,2.6,,,,,
2016-01-23,-1.6,0.5,-3.6,0.5,2.0,,29,4,2.5,,,,,
2016-01-24,-2.8,-0.3,-5.9,3.0,4.1,,31,6,1.7,,,,,
2016-01-25,-2.9,-0.7,-5.8,8.5,0.0,,43,19,1.9,,,,,
2016-01-26,-1.0,5.2,-6.4,0.0,5.3,,37,1,0.9,,,,,
2016-01-27,2.5,5.3,-2.9,0.0,4.0,,25,1,2.6,,,,,
2016-01-28,2.2,5.3,-1.5,0.0,2.9,,19,7,2.6,,,,,
2016-01-29,-1.0,1.0,-3.1,4.0,0.0,,21,10,1.2,,,,,
2016-01-30,-2.6,0.3,-6.5,5.5,0.3,,27,6,,,,,,
2016-01-31,-0.8,2.5,-5.5,0.0,6.0,,25,0,2.8,,,,,
2016-02-01,-1.3,0.9,-3.8,0.0,1.6,,20,2,2.0,,,,,
2016-02-02,-0.9,0.6,-3.0,0.0,1.7,,20,0,2.6,,,,,
2016-02-03,-1.1,2.4,-6.2,0.0,5.2,,19,2,2.8,,,,,
2016-02-04,-1.1,4.0,-7.8,0.0,3.3,,18,3,0.9,,,,,
2016-02-05,0.5,3.8,-2.6,0.0,3.3,,17,3,1.8,,,,,
2016-02-06,-0.3,2.1,-2.8,0.0,3.6,,17,1,1.9,,,,,
2016-02-07,-2.6,0.1,-8.0,0.0,4.7,,16,1,2.0,,,,,
2016-02-08,-3.8,4.4,-11.0,0.0,9.4,,15,1,1.1,,,,,
2016-02-09,0.1,5.6,-6.7,1.0,5.3,,15,2,1.9,,,,,
2016-02-10,-1.0,0.3,-2.2,2.0,5.3,,18,5,5.5,,,,,
2016-02-11,-0.6,2.9,-4.8,0.0,5.2,,13,0,2.1,,,,,
2016-02-12,-0.6,7.7,-8.9,0.0,9.4,,12,2,0.7,,,,,
2016-02-13,3.0,12.5,-0.8,0.0,1.1,,11,1,0.6,,,,,
2016-02-14,7.1,16.9,0.7,0.0,0.7,,8,0,2.2,,,,,
2016-02-15,0.1,5.5,-3.2,0.5,3.3,,0,0,3.9,,,,,
2016-02-16,-1.1,2.1,-3.7,1.0,5.3,,0,0,2.3,,,,,
2016-02-17,-1.0,0.6,-3.0,3.5,0.3,,6,13,,,,,,
2016-02-18,-0.2,7.1,-6.0,0.0,9.7,,0,0,1.7,,,,,
2016-02-19,2.1,7.5,-5.5,1.0,4.8,,0,0,2.7,,,,,
2016-02-20,3.0,7.2,-0.1,17.5,0.0,,0,0,0.9,,,,,
2016-02-21,4.7,9.3,0.6,0.0,1.6,,0,0,3.7,,,,,
2016-02-22,0.2,4.2,-2.7,0.0,3.9,,0,0,3.1,,,,,
2016-02-23,2.9,9.4,-3.4,0.5,6.6,,0,0,1.6,,,,,
2016-02-24,-1.9,2.3,-4.7,1.5,0.9,,0,0,2.4,,,,,
2016-02-25,-2.4,1.4,-5.1,0.0,4.4,,0,0,1.9,,,,,
2016-02-26,-0.5,2.6,-4.1,0.0,5.2,,0,0,1.9,,,,,
2016-02-27,1.4,6.2,-0.8,5.5,5.2,,4,4,1.8,,,,,
2016-02-28,1.4,4.7,-3.1,0.0,3.9,,1,0,1.6,,,,,
2016-02-29,2.8,9.9,-0.9,0.5,1.9,,0,0,2.5,,,,,
2016-03-01,-2.2,-0.6,-3.5,6.0,1.5,,11,11,3.7,,,,,
2016-03-02,-0.7,3.3,-3.8,0.5,4.8,,7,5,2.1,,,,,
2016-03-03,2.2,6.7,-3.4,3.5,5.6,,0,0,3.8,,,,,
2016-03-04,1.1,7.8,-3.4,0.0,5.2,,0,0,1.0,,,,,
2016-03-05,1.9,8.1,-4.6,0.0,6.2,,0,0,1.3,,,,,
2016-03-06,5.8,12.2,2.5,0.0,1.2,,0,0,0.8,,,,,
2016-03-07,9.3,14.1,5.4,1.0,0.1,,0,0,1.2,,,,,
2016-03-08,9.7,16.4,4.9,0.5,3.1,,0,0,2.1,,,,,
2016-03-09,2.7,5.0,1.2,0.0,0.3,,0,0,2.5,,,,,
2016-03-10,1.3,4.7,-1.9,0.0,5.1,,0,0,2.7,,,,,
2016-03-11,0.4,4.5,-3.0,0.0,5.9,,0,0,2.2,,,,,
