calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.9,4.5,-1.5,0.0,6.2,,,,3.2,,,,,
2016-01-02,5.7,11.4,0.4,0.0,1.6,,,,2.1,,,,,
2016-01-03,8.1,11.1,6.2,0.0,2.4,,,,1.9,,,,,
2016-01-04,6.4,10.9,3.0,0.0,2.2,,,,3.2,,,,,
2016-01-05,3.1,5.4,0.7,0.0,4.9,,,,3.2,,,,,
2016-01-06,2.9,6.7,-0.1,0.0,1.8,,,,2.3,,,,,
2016-01-07,2.1,4.4,-1.2,0.0,4.4,,,,3.4,,,,,
2016-01-08,2.6,6.9,-0.6,0.0,5.0,,,,1.8,,,,,
2016-01-09,1.6,4.7,-1.4,0.0,4.3,,,,2.9,,,,,
2016-01-10,2.5,6.5,-0.5,0.0,5.0,,,,2.6,,,,,
2016-01-11,-0.3,2.4,-2.7,0.0,1.9,,,,3.3,,,,,
2016-01-12,-0.6,2.0,-2.1,0.0,2.2,,,,2.5,,,,,
2016-01-13,1.9,5.6,-2.4,0.0,7.1,,,,1.9,,,,,
2016-01-14,0.8,3.0,-1.7,0.0,7.6,,,,4.3,,,,,
2016-01-15,-0.6,3.8,-2.4,0.0,4.6,,,,2.3,,,,,
2016-01-16,-1.4,2.8,-4.3,0.0,4.0,,,,2.6,,,,,
2016-01-17,0.5,3.6,-2.7,0.0,2.9,,,,2.0,,,,,
2016-01-18,0.6,3.0,-1.8,46.0,0.0,,,,5.2,,,,,
2016-01-19,1.1,3.5,-1.5,1.0,0.4,,,,2.9,,,,,
2016-01-20,0.6,4.4,-3.2,0.0,8.0,,,,2.9,,,,,
2016-01-21,0.0,2.4,-1.8,1.5,3.5,,,,2.6,,,,,
2016-01-22,-0.3,3.8,-2.9,0.0,7.0,,,,2.7,,,,,
2016-01-23,-0.5,2.4,-3.1,1.5,0.5,,,,1.8,,,,,
2016-01-24,-2.0,1.0,-3.5,4.0,5.6,,,,3.6,,,,,
2016-01-25,-2.0,0.1,-4.4,4.0,4.2,,,,3.0,,,,,
2016-01-26,1.7,5.3,-2.9,0.0,6.8,,,,1.1,,,,,
2016-01-27,3.5,8.0,-0.4,0.0,4.4,,,,2.0,,,,,
2016-01-28,3.3,8.1,-0.3,0.0,6.6,,,,2.6,,,,,
2016-01-29,-0.2,1.4,-2.2,2.0,0.0,,,,2.4,,,,,
2016-01-30,-1.5,0.4,-3.0,4.0,0.9,,,,2.5,,,,,
2016-01-31,0.6,4.2,-1.9,0.0,6.0,,,,2.8,,,,,
2016-02-01,-0.5,2.4,-2.8,0.0,4.3,,,,3.1,,,,,
2016-02-02,-0.6,2.6,-3.0,0.0,4.3,,,,2.3,,,,,
