calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.2,5.9,-2.0,0.0,6.0,,,,1.7,,,,,
2016-01-02,5.6,10.5,-1.9,0.0,1.8,,,,2.1,,,,,
2016-01-03,7.9,11.6,5.1,0.0,1.5,,,,1.6,,,,,
2016-01-04,4.8,10.2,0.8,0.5,1.6,,,,1.3,,,,,
2016-01-05,2.0,6.6,-1.4,0.0,6.9,,,,1.5,,,,,
2016-01-06,1.9,6.3,-3.0,0.0,3.7,,,,1.1,,,,,
2016-01-07,0.9,5.2,-2.2,0.0,4.2,,,,1.5,,,,,
2016-01-08,1.6,7.5,-2.6,0.0,5.9,,,,1.5,,,,,
2016-01-09,0.2,4.4,-2.9,0.0,4.0,,,,1.2,,,,,
2016-01-10,2.1,8.2,-2.0,0.0,6.1,,,,1.9,,,,,
2016-01-11,-0.4,3.2,-2.3,0.0,5.0,,,,1.8,,,,,
2016-01-12,-1.3,2.8,-4.7,0.0,3.5,,,,1.1,,,,,
2016-01-13,0.4,6.6,-5.4,0.5,6.2,,,,1.4,,,,,
2016-01-14,1.0,4.2,-2.7,0.0,6.3,,,,1.7,,,,,
2016-01-15,-0.7,5.1,-3.9,0.0,5.8,,,,1.2,,,,,
2016-01-16,-1.8,2.6,-5.1,0.0,2.5,,,,1.2,,,,,
2016-01-17,-1.0,4.1,-6.5,0.0,3.1,,,,1.3,,,,,
2016-01-18,1.8,3.7,-1.1,63.0,0.0,,,,5.0,,,,,
2016-01-19,0.6,2.5,-2.1,3.5,0.3,,,,1.0,,,,,
2016-01-20,0.7,4.7,-2.7,0.0,8.1,,,,1.4,,,,,
2016-01-21,0.3,4.3,-2.3,0.0,5.8,,,,1.0,,,,,
2016-01-22,-0.5,3.9,-2.6,0.0,4.7,,,,1.4,,,,,
2016-01-23,-0.8,2.7,-4.5,0.0,2.3,,,,1.4,,,,,
2016-01-24,-1.6,1.4,-3.8,2.5,3.7,,,,1.9,,,,,
2016-01-25,-1.5,1.6,-3.5,0.0,7.5,,,,1.6,,,,,
2016-01-26,1.6,6.8,-3.4,0.0,4.7,,,,1.5,,,,,
2016-01-27,3.1,8.3,-1.0,0.0,2.8,,,,1.4,,,,,
2016-01-28,2.9,8.6,-2.0,0.0,8.3,,,,1.4,,,,,
2016-01-29,0.6,2.7,-2.1,0.5,0.2,,,,1.2,,,,,
2016-01-30,-1.1,1.2,-3.4,8.0,1.0,,,,1.1,,,,,
2016-01-31,-0.3,4.7,-3.8,0.0,7.9,,,,1.2,,,,,
2016-02-01,-1.4,2.2,-4.6,0.0,2.3,,,,1.3,,,,,
2016-02-02,-1.9,2.2,-5.4,0.0,1.7,,,,1.3,,,,,
2016-02-03,-0.5,4.9,-5.1,0.0,6.8,,,,1.2,,,,,
2016-02-04,0.6,6.4,-4.7,0.0,5.1,,,,1.4,,,,,
2016-02-05,2.0,6.9,-1.7,0.0,6.5,,,,1.4,,,,,
2016-02-06,0.4,5.2,-2.7,0.0,1.8,,,,1.6,,,,,
2016-02-07,-1.5,2.5,-3.8,0.0,8.1,,,,2.2,,,,,
2016-02-08,0.2,7.2,-4.8,0.0,9.2,,,,1.4,,,,,
2016-02-09,3.1,8.8,-2.5,0.0,4.9,,,,1.9,,,,,
2016-02-10,0.5,3.5,-1.7,0.0,6.7,,,,2.9,,,,,
2016-02-11,0.9,5.6,-3.0,0.0,7.9,,,,1.7,,,,,
2016-02-12,2.3,9.7,-4.7,0.0,9.1,,,,1.8,,,,,
2016-02-13,9.3,18.1,2.2,0.0,2.1,,,,1.4,,,,,
2016-02-14,11.7,19.6,7.0,1.5,1.7,,,,2.5,,,,,
2016-02-15,2.0,8.2,-3.1,0.0,3.2,,,,2.9,,,,,
2016-02-16,0.3,5.7,-4.5,0.0,6.5,,,,1.7,,,,,
2016-02-17,0.5,4.1,-2.5,0.0,6.4,,,,1.6,,,,,
2016-02-18,2.5,10.4,-3.7,0.0,8.3,,,,1.7,,,,,
2016-02-19,5.8,12.6,-1.2,0.0,8.0,,,,2.2,,,,,
2016-02-20,6.5,9.6,3.0,21.5,0.0,,,,1.4,,,,,
2016-02-21,6.2,11.1,2.0,0.0,4.8,,,,2.8,,,,,
2016-02-22,1.6,5.9,-1.6,0.0,2.9,,,,1.9,,,,,
2016-02-23,4.3,10.8,-0.8,0.5,5.4,,,,1.6,,,,,
2016-02-24,-0.1,2.9,-3.3,0.5,5.7,,,,2.7,,,,,
2016-02-25,-1.1,5.1,-4.1,0.0,6.2,,,,1.3,,,,,
2016-02-26,0.4,5.4,-4.0,0.0,6.5,,,,1.7,,,,,
2016-02-27,2.1,6.3,-2.0,2.5,5.3,,,,1.5,,,,,
2016-02-28,3.1,6.8,-1.2,0.0,7.4,,,,1.1,,,,,
