calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.2,6.2,-4.9,0.0,3.7,,,,1.5,,,,,
2016-01-02,3.4,10.0,-3.4,0.0,3.3,,,,1.4,,,,,
2016-01-03,5.8,11.2,1.3,0.0,3.0,,,,1.3,,,,,
2016-01-04,3.4,8.6,-0.8,1.5,2.7,,,,1.6,,,,,
2016-01-05,2.2,6.1,-2.0,0.0,5.0,,,,2.1,,,,,
2016-01-06,1.6,6.6,-3.2,0.0,2.4,,,,1.7,,,,,
2016-01-07,0.8,5.0,-2.7,0.0,3.0,,,,2.2,,,,,
2016-01-08,2.0,6.2,-2.5,0.0,4.8,,,,2.3,,,,,
2016-01-09,0.1,4.8,-2.4,0.0,3.5,,,,1.1,,,,,
2016-01-10,1.2,7.0,-2.0,0.5,3.4,,,,1.5,,,,,
2016-01-11,-0.9,2.9,-4.9,0.0,5.6,,,,1.8,,,,,
2016-01-12,-1.4,2.2,-4.9,0.0,1.5,,,,1.1,,,,,
2016-01-13,-0.4,4.5,-6.4,0.0,6.0,,,,1.0,,,,,
2016-01-14,0.1,4.6,-6.1,0.0,5.8,,,,1.6,,,,,
2016-01-15,-2.1,4.5,-5.9,0.0,7.2,,,,0.9,,,,,
2016-01-16,-2.3,2.8,-6.8,0.0,3.6,,,,1.2,,,,,
2016-01-17,-1.4,4.0,-6.5,0.0,1.1,,,,0.7,,,,,
2016-01-18,0.5,2.6,-1.7,42.0,0.0,,,,2.1,,,,,
2016-01-19,0.4,2.7,-2.2,15.0,0.4,,,,,,,,,
2016-01-20,-0.6,3.8,-7.8,0.5,7.2,,,,1.9,,,,,
2016-01-21,0.0,3.0,-3.1,0.0,3.9,,,,1.6,,,,,
2016-01-22,-2.0,3.0,-6.0,0.0,6.8,,,,1.4,,,,,
2016-01-23,-1.1,2.2,-6.6,0.0,2.3,,,,1.5,,,,,
2016-01-24,-1.8,1.7,-4.5,3.5,3.2,,,,2.0,,,,,
2016-01-25,-1.8,0.6,-5.8,0.5,4.0,,,,1.8,,,,,
2016-01-26,-0.1,5.4,-4.4,0.0,1.9,,,,0.9,,,,,
2016-01-27,1.1,6.0,-4.8,0.0,8.7,,,,1.9,,,,,
2016-01-28,0.6,7.1,-6.5,0.0,8.2,,,,1.6,,,,,
2016-01-29,0.3,2.3,-3.1,0.0,0.0,,,,1.3,,,,,
2016-01-30,-2.3,0.8,-6.1,3.5,2.1,,,,1.1,,,,,
2016-01-31,-0.7,4.1,-5.2,0.0,5.9,,,,1.7,,,,,
2016-02-01,-2.7,1.5,-7.5,0.0,1.4,,,,0.9,,,,,
2016-02-02,-3.0,1.5,-9.7,0.0,1.7,,,,0.9,,,,,
2016-02-03,-1.5,3.4,-6.9,0.0,5.0,,,,1.2,,,,,
2016-02-04,0.0,5.1,-5.5,0.0,4.7,,,,1.2,,,,,
2016-02-05,0.1,5.7,-5.9,0.0,6.9,,,,1.6,,,,,
2016-02-06,-1.0,4.5,-4.9,0.0,3.6,,,,0.9,,,,,
2016-02-07,-3.2,1.2,-8.2,0.0,8.6,,,,1.6,,,,,
2016-02-08,-0.6,6.0,-7.4,0.0,9.8,,,,1.5,,,,,
2016-02-09,1.5,6.1,-2.8,0.0,2.8,,,,1.8,,,,,
2016-02-10,0.3,2.8,-2.5,0.0,6.9,,,,2.7,,,,,
2016-02-11,0.8,4.8,-5.1,0.0,8.8,,,,2.3,,,,,
2016-02-12,0.3,8.4,-7.2,0.0,9.7,,,,0.8,,,,,
2016-02-13,5.2,13.6,-0.4,0.0,3.0,,,,0.8,,,,,
2016-02-14,7.2,14.3,3.5,0.5,0.0,,,,1.9,,,,,
2016-02-15,1.7,7.0,-3.9,0.0,3.3,,,,3.1,,,,,
2016-02-16,0.0,4.8,-4.9,0.0,5.7,,,,2.0,,,,,
2016-02-17,-0.1,4.2,-2.6,1.0,2.5,,,,1.7,,,,,
2016-02-18,2.4,9.8,-2.9,0.0,8.4,,,,2.3,,,,,
2016-02-19,3.3,10.8,-5.2,1.0,6.9,,,,2.2,,,,,
2016-02-20,4.0,7.2,0.0,17.0,0.0,,,,0.7,,,,,
2016-02-21,5.3,10.0,1.6,0.0,4.2,,,,3.1,,,,,
2016-02-22,1.6,5.7,-2.2,0.0,5.0,,,,2.3,,,,,
2016-02-23,2.7,9.8,-1.9,0.0,5.8,,,,1.2,,,,,
2016-02-24,-0.2,2.7,-3.0,0.0,4.9,,,,2.5,,,,,
2016-02-25,-1.5,4.8,-5.6,0.0,6.6,,,,1.4,,,,,
2016-02-26,-0.1,5.6,-5.3,1.0,8.0,,,,1.5,,,,,
2016-02-27,0.6,6.0,-4.9,5.0,4.8,,,,0.9,,,,,
2016-02-28,1.7,6.9,-4.5,0.5,8.6,,,,,,,,,
2016-02-29,4.1,9.1,1.3,0.0,0.1,,,,2.2,,,,,
2016-03-01,-0.2,3.0,-2.3,0.5,4.2,,,,3.5,,,,,
2016-03-02,0.3,5.9,-5.1,0.0,8.0,,,,2.0,,,,,
2016-03-03,2.9,9.7,-3.5,4.5,6.5,,,,2.6,,,,,
2016-03-04,2.8,8.7,-2.5,0.0,6.7,,,,1.3,,,,,
2016-03-05,3.3,9.3,-3.8,0.0,5.2,,,,1.3,,,,,
2016-03-06,6.9,10.3,3.9,0.5,0.0,,,,0.7,,,,,
2016-03-07,9.2,12.6,6.5,2.5,0.1,,,,1.0,,,,,
2016-03-08,10.0,16.4,6.3,1.0,4.5,,,,2.5,,,,,
2016-03-09,4.0,7.0,1.8,0.0,0.0,,,,1.5,,,,,
2016-03-10,2.2,7.2,-2.7,0.0,6.2,,,,1.6,,,,,
2016-03-11,0.5,7.7,-4.8,0.0,7.1,,,,1.2,,,,,
2016-03-12,0.0,7.3,-6.6,0.0,7.8,,,,1.0,,,,,
2016-03-13,2.7,9.1,-5.0,0.0,5.8,,,,1.4,,,,,
2016-03-14,5.1,9.8,1.8,0.0,0.2,,,,0.9,,,,,
2016-03-15,3.1,8.9,-2.2,0.0,8.6,,,,2.7,,,,,
2016-03-16,7.0,13.1,0.4,0.0,7.4,,,,2.9,,,,,
2016-03-17,9.4,17.5,-1.6,0.0,11.0,,,,2.8,,,,,
2016-03-18,9.2,20.3,-1.2,0.0,7.5,,,,1.1,,,,,
2016-03-19,10.7,16.5,7.0,1.0,2.3,,,,2.2,,,,,
2016-03-20,7.1,9.6,2.3,0.0,0.3,,,,3.6,,,,,
2016-03-21,4.0,9.2,-1.7,0.0,7.5,,,,2.6,,,,,
2016-03-22,7.2,12.6,0.4,3.0,4.3,,,,3.1,,,,,
2016-03-23,4.3,9.9,-1.5,0.5,7.4,,,,2.7,,,,,
2016-03-24,2.5,8.4,-3.3,0.0,4.6,,,,2.2,,,,,
2016-03-25,2.9,9.1,-2.5,0.0,8.2,,,,2.5,,,,,
2016-03-26,3.2,11.3,-3.0,0.0,8.3,,,,1.5,,,,,
2016-03-27,3.8,13.4,-5.2,0.0,7.7,,,,1.4,,,,,
2016-03-28,6.8,16.5,-2.2,0.0,11.8,,,,1.6,,,,,
2016-03-29,6.9,16.4,-1.7,0.0,11.5,,,,1.6,,,,,
2016-03-30,9.4,18.1,3.1,3.0,6.2,,,,1.6,,,,,
2016-03-31,7.1,15.7,-1.4,0.0,10.7,,,,2.1,,,,,
2016-04-01,5.9,14.5,-1.9,0.0,10.8,,,,1.9,,,,,
2016-04-02,6.4,8.6,2.9,0.0,0.0,,,,1.2,,,,,
2016-04-03,11.9,19.3,6.2,0.0,2.3,,,,1.0,,,,,
2016-04-04,8.2,11.6,2.4,26.0,0.2,,,,1.3,,,,,
2016-04-05,7.3,15.0,0.8,0.0,11.2,,,,1.6,,,,,
2016-04-06,9.9,16.6,2.0,0.0,12.0,,,,2.2,,,,,
2016-04-07,7.7,10.7,2.8,64.0,0.0,,,,1.1,,,,,
2016-04-08,11.5,14.5,8.2,0.0,,,,,2.8,,,,,
2016-04-09,11.8,20.6,1.9,0.0,11.5,,,,2.4,,,,,
2016-04-10,8.4,14.7,2.3,0.0,7.7,,,,1.5,,,,,
2016-04-11,4.2,9.8,-0.4,0.0,6.1,,,,3.3,,,,,
2016-04-12,6.4,14.2,-0.5,0.0,11.6,,,,2.1,,,,,
2016-04-13,10.8,18.8,1.2,1.0,8.6,,,,1.8,,,,,
2016-04-14,13.8,20.0,10.1,7.5,3.8,,,,1.0,,,,,
2016-04-15,9.4,14.3,4.6,0.0,7.4,,,,4.3,,,,,
2016-04-16,8.9,16.0,1.1,0.0,9.6,,,,1.9,,,,,
