calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.6,3.0,-1.8,11.0,0.4,,15,5,,,,,,
2016-01-02,1.8,7.3,-2.0,0.0,2.5,,14,0,0.9,,,,,
2016-01-03,4.1,10.7,-0.1,4.5,6.0,,11,0,0.9,,,,,
2016-01-04,5.3,12.0,1.0,16.0,4.3,,6,0,1.3,,,,,
2016-01-05,3.2,5.1,1.7,33.5,0.0,,0,0,0.9,,,,,
2016-01-06,3.3,6.0,1.2,10.0,0.0,,0,0,0.5,,,,,
2016-01-07,1.2,4.1,-0.2,51.5,0.0,,11,12,,,,,,
2016-01-08,1.3,3.6,-0.2,10.0,0.1,,13,3,,,,,,
2016-01-09,0.1,1.9,-1.3,24.5,0.0,,14,10,,,,,,
2016-01-10,2.2,5.5,-1.2,21.0,2.2,,9,1,1.4,,,,,
2016-01-11,-0.1,0.9,-1.0,18.5,0.4,,15,10,,,,,,
2016-01-12,-0.4,0.8,-1.4,3.0,0.0,,19,10,,,,,,
2016-01-13,-0.1,3.9,-5.0,2.0,3.8,,21,3,,,,,,
2016-01-14,0.0,1.6,-1.2,13.5,0.0,,18,10,0.5,,,,,
2016-01-15,-0.4,2.6,-3.4,4.0,3.2,,23,7,,,,,,
2016-01-16,-0.8,1.0,-3.5,16.0,0.0,,23,7,0.5,,,,,
2016-01-17,-0.3,2.8,-4.6,2.5,0.7,,25,4,0.7,,,,,
2016-01-18,1.9,5.4,0.4,15.0,0.0,,21,0,1.2,,,,,
2016-01-19,1.0,4.2,-2.4,0.5,5.8,,17,1,2.4,,,,,
2016-01-20,1.4,4.8,-3.2,5.5,0.1,,19,5,2.7,,,,,
2016-01-21,-0.2,1.0,-2.8,20.0,0.1,,44,25,1.2,,,,,
2016-01-22,-0.4,1.1,-2.4,13.0,0.0,,52,9,,,,,,
2016-01-23,-0.7,1.3,-2.5,9.0,1.6,,63,17,0.6,,,,,
2016-01-24,-2.4,0.6,-5.4,13.5,1.0,,76,21,,,,,,
2016-01-25,-1.7,0.1,-4.4,8.5,0.9,,88,17,1.7,,,,,
2016-01-26,-1.4,4.6,-6.5,0.0,6.9,,86,0,,,,,,
2016-01-27,1.2,6.5,-2.7,0.0,1.0,,71,0,0.9,,,,,
2016-01-28,1.7,8.0,-1.7,1.5,0.8,,63,0,0.6,,,,,
2016-01-29,0.6,2.9,-0.6,25.5,0.0,,70,17,,,,,,
2016-01-30,0.7,3.4,-0.6,9.5,0.1,,78,8,,,,,,
2016-01-31,1.2,3.6,-0.1,4.5,1.2,,66,2,0.8,,,,,
2016-02-01,-0.5,0.8,-2.0,7.5,0.0,,64,7,,,,,,
2016-02-02,-0.6,1.3,-3.6,10.5,0.0,,70,11,0.7,,,,,
2016-02-03,-0.6,0.5,-2.1,9.5,0.0,,82,12,,,,,,
2016-02-04,-0.8,4.2,-7.1,0.0,4.6,,78,0,,,,,,
2016-02-05,1.5,4.6,0.0,2.0,0.8,,62,0,0.7,,,,,
2016-02-06,0.5,3.7,-1.2,4.5,0.9,,58,6,0.6,,,,,
2016-02-07,-1.6,0.2,-4.8,11.0,0.2,,75,21,,,,,,
2016-02-08,-3.7,3.3,-9.4,0.0,7.0,,72,0,,,,,,
2016-02-09,0.3,2.3,-3.9,17.0,0.2,,62,6,1.1,,,,,
2016-02-10,0.2,1.6,-1.1,4.0,0.3,,67,9,2.2,,,,,
2016-02-11,0.6,5.4,-3.5,2.0,7.1,,67,2,0.7,,,,,
2016-02-12,1.9,14.5,-4.7,0.0,6.9,,59,0,0.6,,,,,
2016-02-13,4.9,14.4,1.6,0.0,0.1,,55,0,0.8,,,,,
2016-02-14,7.2,15.6,4.2,9.0,0.0,,48,0,1.8,,,,,
2016-02-15,-0.3,5.2,-2.3,36.5,0.0,,72,35,,,,,,
2016-02-16,-0.3,3.5,-4.0,4.0,4.8,,73,4,,,,,,
2016-02-17,-0.4,1.8,-1.6,26.5,0.0,,98,35,0.6,,,,,
2016-02-18,-1.0,5.9,-6.5,0.0,8.3,,96,1,,,,,,
2016-02-19,2.0,11.3,-4.7,0.0,6.4,,77,1,1.0,,,,,
2016-02-20,2.6,6.7,0.6,4.5,0.0,,62,0,0.7,,,,,
2016-02-21,2.9,6.9,0.4,20.0,0.1,,55,4,2.4,,,,,
2016-02-22,0.7,3.6,-0.9,4.5,2.3,,57,5,,,,,,
2016-02-23,3.5,8.4,-0.6,8.0,2.3,,50,0,1.3,,,,,
2016-02-24,-0.4,2.8,-2.0,4.5,0.2,,54,12,1.1,,,,,
2016-02-25,-1.4,2.2,-3.9,9.5,2.3,,71,19,,,,,,
2016-02-26,0.1,3.1,-4.7,6.0,3.6,,74,13,1.2,,,,,
2016-02-27,2.8,7.6,-2.7,0.0,5.8,,63,0,1.2,,,,,
2016-02-28,4.6,9.8,1.0,0.5,8.6,,53,0,1.1,,,,,
2016-02-29,3.9,11.9,-1.5,42.5,0.0,,66,23,,,,,,
2016-03-01,-1.7,0.4,-4.0,14.0,1.5,,92,30,,,,,,
2016-03-02,-1.1,4.0,-7.0,0.0,3.5,,90,0,,,,,,
2016-03-03,1.5,7.2,-3.7,1.5,1.5,,66,0,1.2,,,,,
2016-03-04,2.8,10.4,-1.6,0.0,9.0,,59,0,0.9,,,,,
2016-03-05,5.2,14.8,-1.6,0.0,7.5,,52,0,1.0,,,,,
2016-03-06,10.3,20.7,3.1,0.0,6.8,,48,0,1.4,,,,,
2016-03-07,5.6,9.8,2.2,1.5,0.3,,38,0,0.6,,,,,
2016-03-08,4.4,6.8,1.7,3.0,0.0,,33,0,0.6,,,,,
2016-03-09,1.6,4.5,0.4,7.5,0.0,,30,0,0.7,,,,,
2016-03-10,1.5,4.5,-0.4,0.0,1.5,,29,0,0.8,,,,,
2016-03-11,1.1,4.3,-1.1,4.5,1.8,,29,6,0.9,,,,,
2016-03-12,1.7,4.7,-0.7,0.0,3.5,,28,0,,,,,,
2016-03-13,2.7,7.2,-2.0,0.0,3.8,,23,0,1.0,,,,,
2016-03-14,1.7,2.8,-0.9,7.5,0.0,,19,0,0.4,,,,,
2016-03-15,1.4,4.3,-2.4,2.0,0.0,,17,0,1.0,,,,,
2016-03-16,3.2,12.5,-3.6,0.0,5.7,,16,0,1.1,,,,,
2016-03-17,6.1,15.4,-1.2,0.0,9.5,,11,0,1.1,,,,,
2016-03-18,9.4,18.9,1.3,0.0,2.9,,5,0,1.2,,,,,
2016-03-19,9.0,13.0,6.2,6.5,0.0,,0,0,1.3,,,,,
2016-03-20,5.3,7.2,3.2,2.0,0.0,,0,0,0.9,,,,,
2016-03-21,2.8,6.7,-1.9,3.5,4.0,,0,0,1.4,,,,,
2016-03-22,4.2,12.0,-3.0,0.0,9.9,,0,0,1.3,,,,,
2016-03-23,4.9,8.7,2.1,6.5,0.2,,0,0,1.1,,,,,
2016-03-24,1.8,4.2,0.0,10.5,0.1,,0,0,0.8,,,,,
2016-03-25,1.3,4.9,-1.2,7.0,2.6,,4,4,0.9,,,,,
2016-03-26,3.0,8.3,-1.9,0.0,6.8,,0,0,1.2,,,,,
2016-03-27,5.0,10.5,-1.7,0.0,10.3,,0,0,1.3,,,,,
2016-03-28,6.2,12.6,0.5,0.0,10.1,,0,0,1.5,,,,,
2016-03-29,7.4,14.7,-0.6,0.0,9.5,,0,0,1.3,,,,,
2016-03-30,10.1,17.9,2.3,2.5,7.6,,0,0,1.8,,,,,
2016-03-31,8.7,17.2,1.2,0.0,10.2,,0,0,1.2,,,,,
2016-04-01,11.8,22.7,2.6,0.0,9.1,,0,0,1.4,,,,,
2016-04-02,13.3,22.2,4.5,0.0,10.6,,0,0,1.3,,,,,
2016-04-03,15.4,23.5,9.5,0.0,5.7,,0,0,1.5,,,,,
2016-04-04,8.8,11.8,6.2,11.5,0.0,,0,0,1.1,,,,,
2016-04-05,8.2,12.7,4.3,0.0,2.9,,0,0,1.1,,,,,
2016-04-06,9.6,15.8,3.4,0.0,8.8,,0,0,1.1,,,,,
2016-04-07,11.5,15.8,6.4,11.0,0.0,,0,0,1.6,,,,,
2016-04-08,10.0,13.6,4.2,3.0,0.1,,0,0,0.9,,,,,
2016-04-09,11.3,20.1,2.8,0.0,10.7,,0,0,1.7,,,,,
2016-04-10,11.2,18.4,5.2,0.0,3.7,,0,0,1.4,,,,,
2016-04-11,3.4,8.5,0.6,12.5,0.0,,0,0,1.5,,,,,
2016-04-12,6.3,14.5,0.6,0.0,10.0,,0,0,1.1,,,,,
2016-04-13,14.5,23.2,4.7,9.5,5.8,,0,0,1.4,,,,,
2016-04-14,13.7,18.6,10.3,8.5,5.5,,0,0,1.6,,,,,
2016-04-15,7.9,11.2,1.7,0.5,3.5,,0,0,2.4,,,,,
2016-04-16,11.5,21.3,-0.1,0.0,11.0,,0,0,1.2,,,,,
2016-04-17,17.7,26.1,9.1,1.0,5.3,,0,0,2.7,,,,,
2016-04-18,11.1,15.5,5.7,0.0,2.7,,0,0,1.4,,,,,
2016-04-19,10.9,15.9,7.6,0.0,9.3,,0,0,1.9,,,,,
2016-04-20,10.5,18.0,3.5,0.0,8.7,,0,0,1.2,,,,,
2016-04-21,14.2,22.3,7.0,13.5,1.7,,0,0,1.2,,,,,
2016-04-22,12.8,15.8,9.6,9.0,0.1,,0,0,0.9,,,,,
2016-04-23,14.4,22.2,8.6,0.0,7.8,,0,0,1.5,,,,,
2016-04-24,12.5,18.1,5.7,0.0,5.9,,0,0,1.1,,,,,
2016-04-25,12.1,20.1,4.1,0.0,9.4,,0,0,1.3,,,,,
2016-04-26,13.7,20.9,6.7,0.0,11.8,,0,0,1.4,,,,,
2016-04-27,13.4,21.3,6.9,0.0,9.3,,0,0,1.3,,,,,
2016-04-28,12.5,14.9,10.6,48.5,0.0,,0,0,1.5,,,,,
2016-04-29,8.9,10.7,6.2,15.5,0.3,,0,0,2.5,,,,,
2016-04-30,10.6,14.6,6.2,5.0,5.7,,0,0,1.1,,,,,
2016-05-01,12.8,16.4,9.9,2.5,0.0,,0,0,0.9,,,,,
2016-05-02,16.0,23.1,10.2,0.0,8.9,,0,0,1.1,,,,,
2016-05-03,21.2,29.4,10.2,0.5,7.7,,0,0,1.7,,,,,
2016-05-04,17.9,23.8,12.0,6.5,5.0,,0,0,1.7,,,,,
2016-05-05,15.4,20.8,6.9,0.0,9.6,,0,0,2.5,,,,,
2016-05-06,17.1,24.1,5.8,0.0,2.7,,0,0,1.3,,,,,
2016-05-07,15.6,20.0,12.6,4.5,0.4,,0,0,1.4,,,,,
2016-05-08,13.8,19.1,7.9,0.0,12.2,,0,0,1.5,,,,,
2016-05-09,17.2,24.9,7.3,0.0,6.2,,0,0,1.0,,,,,
2016-05-10,17.6,21.9,14.7,0.0,1.0,,0,0,1.0,,,,,
2016-05-11,15.6,19.1,13.0,18.5,0.0,,0,0,1.4,,,,,
2016-05-12,13.9,18.6,11.0,0.0,6.8,,0,0,1.5,,,,,
2016-05-13,16.9,24.4,9.8,0.0,9.6,,0,0,1.4,,,,,
2016-05-14,15.8,21.3,13.2,0.0,5.3,,0,0,1.3,,,,,
2016-05-15,18.9,27.0,10.3,0.0,11.0,,0,0,1.3,,,,,
2016-05-16,20.9,30.8,12.5,2.0,10.9,,0,0,1.9,,,,,
2016-05-17,11.8,14.9,6.6,14.0,0.4,,0,0,1.0,,,,,
2016-05-18,14.8,25.6,4.5,0.0,12.8,,0,0,1.2,,,,,
2016-05-19,16.3,23.9,8.5,0.0,11.7,,0,0,1.3,,,,,
2016-05-20,17.2,23.4,11.5,0.0,8.9,,0,0,1.2,,,,,
2016-05-21,16.1,22.7,10.0,0.0,12.9,,0,0,1.4,,,,,
2016-05-22,17.0,24.0,8.6,0.0,12.9,,0,0,1.4,,,,,
2016-05-23,17.4,24.3,11.2,0.0,12.0,,0,0,1.4,,,,,
2016-05-24,21.0,29.7,10.3,0.0,9.8,,0,0,1.2,,,,,
2016-05-25,21.5,27.2,16.3,0.0,0.2,,0,0,1.3,,,,,
2016-05-26,21.4,29.1,15.4,4.0,4.5,,0,0,1.1,,,,,
2016-05-27,17.3,23.7,12.3,9.5,5.9,,0,0,1.2,,,,,
