calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.0,9.5,1.6,2.0,4.8,,,,3.4,,,,,
2016-01-02,11.3,15.4,5.1,0.0,3.0,,,,5.2,,,,,
2016-01-03,12.6,16.5,6.9,0.0,6.0,,,,2.7,,,,,
2016-01-04,10.9,17.5,5.4,2.5,4.0,,,,3.7,,,,,
2016-01-05,8.2,11.6,3.9,17.0,0.0,,,,3.5,,,,,
2016-01-06,7.0,10.4,3.3,3.0,0.2,,,,2.6,,,,,
2016-01-07,3.9,8.2,0.9,39.5,0.0,,,,2.6,,,,,
2016-01-08,4.5,8.2,1.6,11.0,0.2,,,,2.8,,,,,
2016-01-09,2.5,6.0,0.3,38.5,0.5,,,,,,,,,
2016-01-10,6.2,9.2,4.0,10.0,0.8,,,,4.6,,,,,
2016-01-11,2.0,5.6,0.6,24.5,0.0,,,,2.0,,,,,
2016-01-12,0.9,1.6,0.3,16.5,0.0,,,,0.8,,,,,
2016-01-13,2.8,7.2,-0.5,2.0,2.4,,,,2.7,,,,,
2016-01-14,2.0,5.5,0.4,14.0,0.0,,,,2.2,,,,,
2016-01-15,2.7,4.9,0.5,8.5,0.0,,,,2.3,,,,,
2016-01-16,2.8,5.5,1.0,6.0,0.6,,,,2.1,,,,,
2016-01-17,3.2,6.9,0.3,0.5,0.4,,,,2.1,,,,,
2016-01-18,6.2,9.9,4.2,20.5,0.0,,,,5.7,,,,,
2016-01-19,1.5,5.7,-1.3,3.5,0.1,,,,6.1,,,,,
2016-01-20,4.0,7.1,-0.5,7.0,0.2,,,,6.5,,,,,
2016-01-21,2.2,4.6,0.4,7.5,0.7,,,,3.2,,,,,
2016-01-22,1.3,3.0,-0.1,7.5,0.0,,,,2.9,,,,,
2016-01-23,1.2,4.1,-0.8,12.5,1.1,,,,1.5,,,,,
2016-01-24,-0.5,2.2,-2.5,16.5,0.6,,,,5.5,,,,,
2016-01-25,0.4,2.6,-1.7,4.5,1.3,,,,4.5,,,,,
2016-01-26,2.9,7.0,-1.3,0.0,7.7,,,,3.4,,,,,
2016-01-27,6.5,9.4,2.5,0.0,4.6,,,,3.8,,,,,
2016-01-28,6.7,11.0,2.1,1.0,4.0,,,,2.3,,,,,
2016-01-29,2.5,5.3,0.7,30.0,0.0,,,,2.4,,,,,
2016-01-30,2.9,6.3,0.3,10.5,0.4,,,,,,,,,
2016-01-31,3.8,6.9,1.4,17.0,2.3,,,,1.9,,,,,
2016-02-01,1.5,2.9,0.5,11.0,0.0,,,,1.7,,,,,
2016-02-02,1.8,3.6,0.5,2.0,0.0,,,,2.7,,,,,
2016-02-03,2.4,5.6,0.1,4.5,4.2,,,,2.4,,,,,
2016-02-04,4.0,8.5,-0.7,1.5,2.1,,,,3.9,,,,,
2016-02-05,4.8,8.4,2.6,7.5,2.0,,,,2.4,,,,,
2016-02-06,1.9,5.7,0.3,47.5,0.1,,,,2.0,,,,,
2016-02-07,0.3,2.3,-1.3,10.5,0.8,,,,2.2,,,,,
2016-02-08,1.5,5.9,-2.6,0.0,10.0,,,,3.1,,,,,
2016-02-09,3.1,5.4,1.3,10.5,0.0,,,,3.9,,,,,
2016-02-10,3.2,4.9,0.7,0.5,0.0,,,,4.9,,,,,
2016-02-11,3.7,8.1,0.4,0.0,7.4,,,,1.9,,,,,
2016-02-12,7.2,13.0,-0.4,0.0,8.7,,,,1.7,,,,,
2016-02-13,14.5,18.7,10.9,0.0,0.0,,,,6.1,,,,,
2016-02-14,12.8,18.8,7.2,11.5,0.4,,,,6.9,,,,,
2016-02-15,2.2,7.4,0.0,23.5,0.0,,,,4.2,,,,,
2016-02-16,2.4,6.7,-1.3,1.0,4.4,,,,3.6,,,,,
2016-02-17,2.1,4.3,0.7,8.5,0.0,,,,3.0,,,,,
2016-02-18,4.4,10.7,0.1,0.0,10.2,,,,3.8,,,,,
2016-02-19,8.7,14.1,2.1,0.0,6.4,,,,3.5,,,,,
2016-02-20,7.8,10.8,4.8,8.0,0.0,,,,1.5,,,,,
2016-02-21,6.2,9.5,2.7,5.5,0.7,,,,5.5,,,,,
2016-02-22,3.1,5.8,0.4,7.0,2.2,,,,1.8,,,,,
2016-02-23,7.0,11.2,2.6,7.5,1.8,,,,3.9,,,,,
2016-02-24,2.3,5.7,-0.1,8.5,0.1,,,,3.2,,,,,
2016-02-25,1.7,5.5,-0.5,14.5,6.0,,,,2.4,,,,,
2016-02-26,2.4,4.9,-1.1,3.0,2.0,,,,3.6,,,,,
2016-02-27,5.6,11.4,-0.1,1.0,7.2,,,,3.4,,,,,
2016-02-28,7.5,12.0,2.8,0.0,7.9,,,,2.7,,,,,
2016-02-29,5.6,12.7,0.2,18.0,0.0,,,,6.3,,,,,
2016-03-01,0.6,2.6,-2.1,1.0,1.5,,,,5.2,,,,,
2016-03-02,2.8,6.8,-2.2,0.0,2.6,,,,2.7,,,,,
2016-03-03,8.9,12.8,1.8,0.0,4.5,,,,4.0,,,,,
2016-03-04,6.6,10.6,2.7,0.0,10.3,,,,1.8,,,,,
2016-03-05,9.2,15.8,2.8,0.0,7.0,,,,2.0,,,,,
2016-03-06,16.7,21.6,12.6,0.0,7.1,,,,5.0,,,,,
2016-03-07,10.9,17.2,7.9,7.0,0.0,,,,2.1,,,,,
2016-03-08,10.2,13.0,7.7,1.5,0.0,,,,2.3,,,,,
2016-03-09,4.0,7.8,2.6,11.0,0.0,,,,2.1,,,,,
2016-03-10,3.8,6.9,2.3,0.0,2.0,,,,1.7,,,,,
2016-03-11,3.4,7.2,0.5,14.5,4.4,,,,1.8,,,,,
2016-03-12,3.6,6.9,0.7,1.0,5.0,,,,1.9,,,,,
2016-03-13,5.4,8.9,1.1,0.0,4.0,,,,1.3,,,,,
2016-03-14,4.7,6.8,2.7,5.0,0.2,,,,1.0,,,,,
2016-03-15,4.5,7.6,1.8,7.5,2.6,,,,1.9,,,,,
2016-03-16,6.9,13.5,2.1,0.0,6.5,,,,2.0,,,,,
2016-03-17,10.0,15.5,4.1,0.0,10.7,,,,1.2,,,,,
2016-03-18,13.7,18.4,6.4,0.0,5.3,,,,2.2,,,,,
2016-03-19,10.8,13.4,8.2,21.0,0.0,,,,1.4,,,,,
2016-03-20,6.9,8.6,5.0,5.0,0.0,,,,1.0,,,,,
2016-03-21,5.5,9.1,2.9,2.0,6.1,,,,1.7,,,,,
2016-03-22,9.2,13.8,1.7,0.5,10.6,,,,3.3,,,,,
2016-03-23,6.5,11.2,4.0,5.5,0.0,,,,3.5,,,,,
2016-03-24,5.1,8.3,2.8,7.0,1.9,,,,2.7,,,,,
2016-03-25,3.5,7.2,1.0,11.0,4.9,,,,1.8,,,,,
2016-03-26,5.3,9.5,1.3,0.0,10.5,,,,2.0,,,,,
2016-03-27,6.7,11.2,1.3,0.0,11.3,,,,1.5,,,,,
2016-03-28,8.0,12.3,3.5,0.0,11.4,,,,1.5,,,,,
2016-03-29,9.9,14.5,3.7,0.0,10.5,,,,1.5,,,,,
2016-03-30,13.5,19.4,7.8,2.0,8.4,,,,3.6,,,,,
2016-03-31,11.0,15.7,4.1,0.0,11.0,,,,1.8,,,,,
2016-04-01,12.6,15.9,8.8,0.0,8.7,,,,3.3,,,,,
2016-04-02,13.9,16.7,7.6,0.0,10.5,,,,2.1,,,,,
2016-04-03,17.4,23.9,13.0,0.5,3.3,,,,4.1,,,,,
2016-04-04,10.0,13.3,8.7,21.0,0.0,,,,3.7,,,,,
2016-04-05,10.3,14.5,7.6,0.0,5.1,,,,1.3,,,,,
