calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.1,2.4,-1.1,8.0,0.3,,20,0,,,,,,
2016-01-02,1.7,5.2,-1.9,0.0,0.9,,19,0,0.7,,,,,
2016-01-03,3.7,8.8,1.0,1.0,2.0,,17,0,0.7,,,,,
2016-01-04,4.9,10.8,0.8,5.0,4.4,,14,0,0.9,,,,,
2016-01-05,3.6,5.2,2.2,12.5,0.1,,9,0,0.9,,,,,
2016-01-06,2.3,3.9,0.8,3.5,0.0,,6,0,0.6,,,,,
2016-01-07,1.4,3.1,0.0,19.5,0.0,,6,3,0.7,,,,,
2016-01-08,1.5,3.7,0.1,11.5,0.0,,7,1,,,,,,
2016-01-09,0.9,3.0,-0.8,5.0,0.7,,4,0,0.9,,,,,
2016-01-10,1.8,6.5,-0.6,22.0,0.6,,3,0,1.1,,,,,
2016-01-11,0.2,1.8,-1.3,6.0,0.6,,7,7,0.7,,,,,
2016-01-12,-0.5,1.7,-2.3,0.0,0.0,,5,4,0.7,,,,,
2016-01-13,1.7,6.2,-1.2,3.5,6.5,,12,7,0.8,,,,,
2016-01-14,0.7,1.8,-0.8,12.0,0.0,,3,4,,,,,,
2016-01-15,0.1,2.9,-2.0,0.5,3.7,,4,4,1.0,,,,,
2016-01-16,0.0,2.2,-2.2,5.5,0.0,,3,4,1.0,,,,,
2016-01-17,0.2,3.6,-2.6,0.0,0.2,,1,0,0.8,,,,,
2016-01-18,1.5,5.3,0.2,14.0,0.0,,1,1,0.8,,,,,
2016-01-19,2.1,4.9,-1.1,1.0,7.2,,0,0,2.0,,,,,
2016-01-20,0.5,2.9,-1.9,7.5,0.0,,3,4,1.6,,,,,
2016-01-21,0.3,1.6,-0.4,28.5,0.2,,24,23,,,,,,
2016-01-22,0.0,2.4,-1.3,22.0,0.3,,44,23,,,,,,
2016-01-23,-0.3,2.2,-1.5,4.0,0.4,,50,11,0.8,,,,,
2016-01-24,-2.0,0.8,-3.7,15.0,1.0,,56,25,1.6,,,,,
2016-01-25,-1.7,-0.2,-4.1,30.0,0.0,,88,34,1.9,,,,,
2016-01-26,-0.2,5.2,-3.3,0.0,8.1,,85,0,0.6,,,,,
2016-01-27,1.3,5.0,-1.3,0.5,0.1,,65,0,0.9,,,,,
2016-01-28,1.8,4.9,-1.2,1.0,0.3,,56,0,0.7,,,,,
2016-01-29,0.6,2.0,-0.2,21.5,0.0,,54,8,0.4,,,,,
2016-01-30,1.3,3.5,-0.2,7.5,0.2,,58,4,,,,,,
2016-01-31,1.7,4.7,0.2,2.5,2.1,,50,1,1.1,,,,,
2016-02-01,0.2,1.6,-0.9,2.5,0.0,,50,5,0.7,,,,,
2016-02-02,-0.2,1.5,-1.6,6.5,0.1,,55,10,1.0,,,,,
2016-02-03,0.4,2.0,-0.4,3.0,0.0,,59,6,,,,,,
2016-02-04,1.4,5.0,-2.0,1.0,4.4,,52,2,1.0,,,,,
2016-02-05,1.4,3.7,0.0,15.5,1.5,,48,4,,,,,,
2016-02-06,1.2,3.6,-0.2,0.5,1.0,,45,3,1.3,,,,,
2016-02-07,-1.3,1.3,-3.4,3.0,1.3,,47,5,1.1,,,,,
2016-02-08,-2.8,4.6,-9.9,0.0,9.2,,45,0,0.7,,,,,
2016-02-09,-0.9,2.7,-5.4,20.0,0.2,,50,10,,,,,,
2016-02-10,0.1,1.4,-0.9,14.5,0.0,,66,20,,,,,,
2016-02-11,0.8,5.9,-4.3,0.0,6.8,,65,0,,,,,,
2016-02-12,0.1,9.1,-6.7,0.0,8.4,,51,0,0.8,,,,,
2016-02-13,4.4,10.4,0.6,0.0,1.4,,48,0,0.7,,,,,
2016-02-14,4.9,8.7,2.3,24.5,0.0,,43,0,0.9,,,,,
2016-02-15,0.2,4.5,-2.2,15.0,0.0,,52,16,1.6,,,,,
2016-02-16,0.6,5.4,-2.1,4.5,4.6,,60,8,1.1,,,,,
2016-02-17,0.0,0.9,-0.7,15.0,0.0,,73,32,1.0,,,,,
2016-02-18,1.1,8.4,-3.5,0.0,9.6,,70,0,,,,,,
2016-02-19,2.2,12.2,-6.4,0.0,8.7,,49,0,0.9,,,,,
2016-02-20,3.3,6.0,1.2,1.5,0.0,,43,0,0.8,,,,,
2016-02-21,2.8,6.2,0.3,17.0,0.7,,41,2,1.6,,,,,
2016-02-22,1.6,4.8,0.0,2.0,4.7,,41,2,1.0,,,,,
2016-02-23,3.8,9.0,0.0,9.0,1.0,,37,1,0.9,,,,,
2016-02-24,0.0,2.7,-1.4,10.0,1.7,,45,12,1.2,,,,,
2016-02-25,-0.5,3.0,-2.0,0.5,3.3,,42,5,0.9,,,,,
2016-02-26,0.9,4.4,-1.7,18.0,2.6,,64,29,1.4,,,,,
2016-02-27,2.8,7.5,-1.5,2.5,6.9,,47,0,1.0,,,,,
2016-02-28,4.8,10.5,1.4,2.5,7.3,,40,0,1.1,,,,,
2016-02-29,2.9,8.0,-1.2,25.5,0.0,,49,15,,,,,,
2016-03-01,-1.3,0.2,-2.5,23.0,0.2,,85,38,1.9,,,,,
2016-03-02,-0.1,3.8,-2.8,8.5,1.1,,91,9,1.3,,,,,
2016-03-03,0.5,3.8,-3.2,8.0,0.3,,65,0,0.7,,,,,
2016-03-04,2.7,9.2,-1.0,0.0,6.4,,57,0,0.7,,,,,
2016-03-05,3.9,14.0,-2.1,0.0,6.7,,48,0,0.8,,,,,
2016-03-06,7.6,15.8,0.8,0.0,6.7,,44,0,0.8,,,,,
2016-03-07,5.8,8.5,3.6,0.0,0.0,,38,0,0.9,,,,,
2016-03-08,3.7,5.6,1.7,2.5,0.0,,32,0,0.6,,,,,
2016-03-09,1.7,4.5,0.2,8.0,0.0,,30,3,0.9,,,,,
2016-03-10,2.5,6.2,0.5,0.0,0.8,,30,0,1.1,,,,,
2016-03-11,2.3,5.7,0.2,0.0,2.7,,26,2,1.1,,,,,
2016-03-12,2.7,5.9,-0.3,0.0,3.4,,25,2,1.0,,,,,
2016-03-13,4.5,9.1,0.6,0.0,4.3,,20,0,0.9,,,,,
2016-03-14,1.9,3.6,0.8,9.0,0.0,,15,0,0.6,,,,,
2016-03-15,2.5,5.8,-1.1,1.0,2.0,,15,0,1.3,,,,,
2016-03-16,3.5,12.6,-3.4,0.0,5.2,,13,0,0.6,,,,,
2016-03-17,6.6,17.1,-1.7,0.0,10.9,,10,0,0.8,,,,,
2016-03-18,8.2,17.9,0.5,0.0,4.8,,6,0,0.8,,,,,
2016-03-19,6.9,9.2,4.5,4.5,0.1,,1,0,0.8,,,,,
2016-03-20,5.7,8.7,3.6,2.0,0.0,,0,0,1.3,,,,,
2016-03-21,3.9,8.0,-0.2,1.5,4.4,,0,0,1.4,,,,,
2016-03-22,5.6,13.3,-2.2,0.0,11.1,,0,0,1.0,,,,,
2016-03-23,5.7,9.2,2.8,9.5,1.3,,0,0,1.6,,,,,
2016-03-24,2.9,7.1,0.8,2.5,1.7,,0,0,1.3,,,,,
2016-03-25,2.7,6.5,0.0,6.5,5.8,,2,2,1.4,,,,,
2016-03-26,4.4,9.5,-0.3,0.0,6.5,,0,0,1.4,,,,,
