calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.2,1.4,-0.9,5.5,0.8,,52,4,,,,,,
2016-01-02,0.9,3.0,-1.4,4.5,0.2,,44,0,0.7,,,,,
2016-01-03,2.5,5.7,0.8,3.5,0.2,,37,0,1.0,,,,,
2016-01-04,4.3,10.0,1.4,8.0,2.8,,28,0,1.0,,,,,
2016-01-05,2.2,3.6,1.1,16.0,0.0,,20,1,0.7,,,,,
2016-01-06,1.3,2.6,0.2,6.0,0.0,,18,0,0.6,,,,,
2016-01-07,0.6,1.9,-0.4,15.0,0.0,,31,15,0.9,,,,,
2016-01-08,0.2,1.6,-0.6,17.0,0.0,,32,9,,,,,,
2016-01-09,-0.4,1.0,-2.3,4.5,0.0,,38,7,,,,,,
2016-01-10,0.3,2.6,-2.2,34.5,0.0,,39,10,1.2,,,,,
2016-01-11,-1.0,0.4,-3.7,4.5,0.5,,44,6,,,,,,
2016-01-12,-2.1,-0.7,-4.5,1.5,0.2,,43,8,0.6,,,,,
2016-01-13,0.5,5.5,-1.8,7.5,4.3,,52,9,0.5,,,,,
2016-01-14,-0.4,0.9,-2.4,23.5,0.0,,70,29,,,,,,
2016-01-15,-1.3,2.7,-4.4,3.0,4.2,,62,5,0.7,,,,,
2016-01-16,-1.2,1.0,-3.8,13.5,0.0,,70,16,0.8,,,,,
2016-01-17,-0.6,3.2,-3.7,0.0,1.4,,66,0,0.8,,,,,
2016-01-18,1.7,4.4,-0.1,24.5,0.0,,58,3,2.2,,,,,
2016-01-19,0.8,2.8,-2.2,7.0,4.8,,53,1,1.6,,,,,
2016-01-20,-0.5,2.6,-3.7,9.5,0.3,,58,9,1.3,,,,,
2016-01-21,-0.7,0.1,-1.6,31.5,0.1,,97,41,1.1,,,,,
2016-01-22,-1.1,0.2,-2.3,20.5,0.0,,114,21,1.5,,,,,
2016-01-23,-1.4,1.0,-2.5,6.5,0.5,,125,12,1.0,,,,,
2016-01-24,-3.2,-0.9,-5.0,38.0,0.0,,160,52,1.5,,,,,
2016-01-25,-2.7,-0.8,-5.0,35.5,0.0,,181,26,1.6,,,,,
2016-01-26,-0.8,4.6,-3.3,0.5,7.6,,177,0,0.6,,,,,
2016-01-27,0.6,3.8,-1.4,6.5,0.3,,154,0,0.8,,,,,
2016-01-28,1.3,4.1,-1.1,2.5,0.9,,136,0,0.8,,,,,
2016-01-29,0.1,2.1,-0.9,20.5,0.0,,130,12,,,,,,
2016-01-30,-0.1,1.7,-1.1,7.0,0.2,,135,5,,,,,,
2016-01-31,0.6,2.8,-0.7,3.0,0.4,,128,0,1.0,,,,,
2016-02-01,-1.2,0.0,-2.4,2.5,0.0,,127,6,0.9,,,,,
2016-02-02,-1.6,-0.5,-3.0,10.0,0.0,,140,16,0.8,,,,,
2016-02-03,-0.8,0.4,-1.6,6.5,0.2,,147,8,,,,,,
2016-02-04,0.3,5.1,-2.3,9.0,2.8,,137,2,,,,,,
2016-02-05,0.3,2.2,-0.2,23.5,0.2,,149,20,,,,,,
2016-02-06,-0.1,1.9,-1.7,2.5,0.3,,142,7,1.0,,,,,
2016-02-07,-2.5,-0.3,-5.7,1.0,1.3,,135,2,0.9,,,,,
2016-02-08,-3.3,4.3,-9.5,0.0,9.1,,130,0,0.9,,,,,
2016-02-09,-0.9,1.9,-5.7,16.5,0.0,,140,19,1.2,,,,,
2016-02-10,-0.9,0.6,-1.6,10.5,0.5,,150,11,1.3,,,,,
2016-02-11,-0.7,5.1,-5.0,0.0,4.8,,149,1,0.8,,,,,
2016-02-12,0.7,10.0,-6.9,0.0,8.8,,134,0,0.9,,,,,
2016-02-13,4.4,10.5,1.2,0.0,1.3,,128,0,0.9,,,,,
2016-02-14,5.6,10.9,2.5,22.0,0.0,,121,0,1.3,,,,,
2016-02-15,-0.8,3.4,-3.2,15.5,0.3,,131,21,0.9,,,,,
2016-02-16,-0.9,3.9,-3.5,5.0,3.4,,139,8,,,,,,
2016-02-17,-1.1,-0.2,-2.1,23.5,0.0,,164,41,0.8,,,,,
2016-02-18,-0.3,7.2,-3.6,0.0,9.1,,163,0,,,,,,
2016-02-19,1.9,9.9,-6.4,0.0,6.5,,139,0,1.1,,,,,
2016-02-20,3.0,8.8,0.7,1.0,0.0,,129,0,1.0,,,,,
2016-02-21,2.1,4.8,0.0,19.0,0.6,,123,5,1.7,,,,,
2016-02-22,0.4,4.1,-1.2,1.5,3.2,,124,3,,,,,,
2016-02-23,2.4,6.8,-1.1,12.5,0.4,,117,2,0.8,,,,,
2016-02-24,-1.1,1.2,-2.7,5.0,1.1,,121,10,,,,,,
2016-02-25,-2.0,0.4,-3.3,1.5,1.8,,122,8,1.1,,,,,
