calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.3,4.7,1.2,5.5,1.1,,0,0,2.3,,,,,
2016-01-02,5.2,12.2,1.5,2.0,0.2,,0,0,3.3,,,,,
2016-01-03,7.5,13.6,4.2,1.0,1.3,,0,0,2.4,,,,,
2016-01-04,8.1,14.2,5.3,3.0,1.6,,0,0,2.9,,,,,
2016-01-05,4.7,6.9,3.3,12.0,0.0,,0,0,1.7,,,,,
2016-01-06,4.3,6.3,2.3,4.0,0.3,,0,0,1.9,,,,,
2016-01-07,2.6,5.4,0.4,15.0,0.0,,0,0,2.0,,,,,
2016-01-08,1.9,4.2,0.7,17.0,0.0,,0,0,1.7,,,,,
2016-01-09,1.5,2.7,0.0,4.5,0.0,,0,0,1.7,,,,,
2016-01-10,4.1,6.9,1.7,34.5,0.1,,0,0,3.0,,,,,
2016-01-11,0.8,2.6,-0.5,5.0,0.0,,0,0,0.9,,,,,
2016-01-12,0.4,1.5,-0.5,2.5,0.0,,0,0,,,,,,
2016-01-13,1.7,3.8,-1.1,9.0,1.7,,6,6,,,,,,
2016-01-14,0.7,3.8,-0.5,20.5,0.0,,1,2,1.7,,,,,
2016-01-15,0.2,3.1,-1.7,3.5,4.5,,9,9,1.2,,,,,
2016-01-16,0.6,1.7,-0.5,14.5,0.0,,7,13,1.7,,,,,
2016-01-17,1.0,3.7,-1.7,0.5,3.0,,8,5,,,,,,
2016-01-18,2.8,5.8,0.7,35.5,0.0,,4,2,2.4,,,,,
2016-01-19,2.3,6.2,-0.8,5.0,2.9,,0,0,6.4,,,,,
2016-01-20,1.8,4.9,-1.0,6.0,0.6,,1,1,3.4,,,,,
2016-01-21,1.0,2.3,0.4,17.0,0.7,,4,7,1.7,,,,,
2016-01-22,1.2,3.0,0.0,10.5,0.2,,9,8,2.5,,,,,
2016-01-23,0.2,2.1,-0.9,7.5,0.4,,21,18,1.7,,,,,
2016-01-24,-1.3,0.7,-3.4,43.5,0.0,,90,69,2.9,,,,,
2016-01-25,-0.3,1.3,-3.3,21.5,0.4,,95,12,3.2,,,,,
2016-01-26,1.0,4.9,-1.8,1.5,6.8,,93,3,2.7,,,,,
2016-01-27,3.7,7.6,1.2,11.5,1.6,,77,0,3.0,,,,,
2016-01-28,3.3,4.8,1.7,5.0,0.1,,49,0,2.0,,,,,
2016-01-29,0.8,2.1,0.2,18.5,0.0,,50,13,1.5,,,,,
