calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.1,7.2,0.6,9.5,0.9,,,,2.3,,,,,
2016-01-02,8.0,13.9,1.1,0.0,2.0,,,,4.3,,,,,
2016-01-03,10.3,15.4,3.4,0.0,6.5,,,,3.0,,,,,
2016-01-04,9.9,16.2,6.3,0.0,4.8,,,,3.5,,,,,
2016-01-05,6.4,8.9,4.4,29.5,0.0,,,,2.8,,,,,
2016-01-06,6.0,10.2,3.0,4.5,0.1,,,,2.3,,,,,
2016-01-07,3.8,7.9,0.2,24.0,0.0,,,,2.7,,,,,
2016-01-08,3.0,7.3,0.2,21.0,0.0,,,,2.9,,,,,
2016-01-09,2.1,4.9,0.2,9.5,0.3,,,,2.1,,,,,
2016-01-10,5.9,8.7,1.6,22.0,1.7,,,,6.0,,,,,
2016-01-11,1.6,5.7,-0.2,10.5,0.0,,,,,,,,,
2016-01-12,0.3,1.1,-0.3,14.0,0.0,,,,,,,,,
2016-01-13,2.4,5.7,-1.7,5.5,4.6,,,,2.5,,,,,
2016-01-14,1.1,5.1,0.0,34.5,0.0,,,,2.2,,,,,
2016-01-15,0.8,4.3,-1.1,15.0,3.6,,,,,,,,,
2016-01-16,1.6,5.3,-1.0,8.5,0.0,,,,2.4,,,,,
2016-01-17,1.5,4.2,-1.4,1.5,0.8,,,,,,,,,
2016-01-18,4.2,9.0,2.0,17.5,0.0,,,,3.7,,,,,
2016-01-19,2.5,6.3,-0.9,4.5,6.4,,,,7.4,,,,,
2016-01-20,3.7,7.2,-1.3,2.0,1.1,,,,5.5,,,,,
2016-01-21,3.1,5.1,0.7,10.5,0.3,,,,4.6,,,,,
2016-01-22,2.2,5.0,0.1,4.0,1.3,,,,4.3,,,,,
2016-01-23,0.3,3.5,-1.5,11.5,1.9,,,,1.9,,,,,
2016-01-24,-0.5,2.3,-3.1,20.0,0.4,,,,6.4,,,,,
2016-01-25,0.6,3.2,-3.1,15.5,1.1,,,,5.7,,,,,
2016-01-26,1.2,6.9,-3.2,2.0,7.6,,,,2.3,,,,,
2016-01-27,5.4,8.8,0.9,0.0,1.4,,,,4.9,,,,,
2016-01-28,6.2,10.2,2.2,0.0,1.6,,,,2.9,,,,,
2016-01-29,1.2,4.5,0.1,30.5,0.0,,,,,,,,,
2016-01-30,1.9,6.1,0.1,10.5,0.2,,,,,,,,,
2016-01-31,3.0,5.9,0.5,5.0,0.7,,,,1.8,,,,,
2016-02-01,0.7,2.5,-0.5,7.5,0.0,,,,1.4,,,,,
2016-02-02,1.6,3.9,-1.9,1.5,0.3,,,,,,,,,
2016-02-03,0.6,3.8,-1.0,18.0,0.0,,,,1.7,,,,,
2016-02-04,2.0,6.2,-3.0,4.5,3.7,,,,,,,,,
