calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.4,1.8,-1.6,5.0,0.4,,42,1,,,,,,
2016-01-02,1.8,5.8,-1.5,0.0,1.5,,33,0,3.0,,,,,
2016-01-03,3.6,9.5,0.2,5.0,3.9,,29,0,1.1,,,,,
2016-01-04,4.7,11.2,1.5,12.0,5.4,,22,0,1.6,,,,,
2016-01-05,2.5,4.5,0.8,18.5,0.0,,16,0,1.0,,,,,
2016-01-06,1.7,3.9,0.0,3.5,0.0,,13,0,0.9,,,,,
2016-01-07,0.6,2.7,-0.5,28.5,0.0,,24,13,1.1,,,,,
2016-01-08,1.2,3.5,-0.6,8.0,0.1,,24,2,,,,,,
2016-01-09,0.0,2.2,-1.7,11.5,1.1,,24,10,,,,,,
2016-01-10,1.5,5.8,-0.8,18.5,2.0,,19,1,1.8,,,,,
2016-01-11,-0.6,0.4,-1.9,8.5,1.2,,25,11,,,,,,
2016-01-12,-1.4,0.4,-3.0,1.0,1.0,,22,3,,,,,,
2016-01-13,-0.2,4.7,-4.7,2.5,6.4,,28,6,,,,,,
2016-01-14,-0.5,1.3,-2.2,10.5,0.0,,28,10,1.0,,,,,
2016-01-15,-1.4,1.5,-4.5,1.0,4.1,,29,3,,,,,,
2016-01-16,-1.3,0.7,-4.8,5.5,0.0,,32,10,,,,,,
2016-01-17,-1.6,1.4,-6.2,0.0,0.3,,30,0,,,,,,
2016-01-18,0.8,3.9,-0.3,15.0,0.0,,33,7,1.3,,,,,
2016-01-19,0.9,3.7,-2.8,0.5,5.6,,29,0,2.4,,,,,
2016-01-20,0.0,2.8,-3.6,10.0,0.3,,33,8,2.5,,,,,
2016-01-21,-0.6,1.5,-1.8,23.5,0.5,,64,32,,,,,,
2016-01-22,-0.9,1.5,-3.1,9.0,0.2,,70,7,,,,,,
2016-01-23,-1.5,0.6,-3.0,2.0,1.0,,72,9,1.1,,,,,
2016-01-24,-2.9,-0.2,-6.0,14.5,1.5,,92,30,2.1,,,,,
2016-01-25,-3.0,0.5,-5.7,16.0,0.5,,114,27,2.5,,,,,
2016-01-26,-1.8,3.0,-5.4,0.0,6.8,,111,0,2.9,,,,,
2016-01-27,1.2,5.8,-3.2,0.0,0.3,,93,0,1.8,,,,,
2016-01-28,1.3,4.2,-0.8,0.5,0.5,,84,0,1.8,,,,,
2016-01-29,-0.3,1.1,-1.1,26.5,0.0,,95,21,,,,,,
2016-01-30,0.2,3.2,-1.1,6.5,0.3,,100,5,,,,,,
2016-01-31,0.5,3.4,-0.8,3.5,1.5,,90,1,0.8,,,,,
2016-02-01,-1.2,0.1,-3.0,2.5,0.0,,90,3,0.7,,,,,
2016-02-02,-1.3,0.9,-3.9,5.0,0.1,,89,7,1.4,,,,,
2016-02-03,-0.8,0.7,-1.8,2.0,0.0,,93,5,1.7,,,,,
2016-02-04,-0.3,4.5,-4.5,0.0,5.9,,87,0,2.3,,,,,
2016-02-05,1.0,3.7,-0.6,4.5,2.2,,79,1,1.2,,,,,
2016-02-06,0.2,3.6,-1.5,1.0,1.6,,77,4,1.4,,,,,
2016-02-07,-2.3,-1.0,-5.4,6.0,0.2,,86,13,,,,,,
2016-02-08,-3.6,3.3,-9.8,0.0,8.8,,84,0,,,,,,
