calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.1,1.7,-3.7,10.5,0.0,,43,7,,,,,,
2016-01-02,1.4,7.1,-3.7,0.0,5.6,,35,0,1.7,,,,,
2016-01-03,3.7,10.1,-0.5,0.0,7.2,,24,0,1.5,,,,,
2016-01-04,5.7,11.1,1.5,1.5,7.0,,15,0,2.2,,,,,
2016-01-05,3.5,6.7,1.7,7.5,3.0,,4,0,1.4,,,,,
2016-01-06,2.4,5.3,0.4,4.5,0.0,,0,0,1.0,,,,,
2016-01-07,0.8,2.5,-0.4,13.0,0.0,,8,9,1.4,,,,,
2016-01-08,1.3,4.7,-2.1,4.5,6.3,,9,2,,,,,,
2016-01-09,-0.4,1.6,-2.6,10.0,0.0,,8,8,1.3,,,,,
2016-01-10,1.4,5.9,-3.0,5.5,5.4,,4,0,1.9,,,,,
2016-01-11,-0.6,2.2,-1.9,7.5,0.0,,3,3,,,,,,
2016-01-12,-1.2,0.6,-3.4,1.0,1.0,,3,2,1.0,,,,,
2016-01-13,-0.6,4.0,-5.1,0.0,6.8,,2,0,1.5,,,,,
2016-01-14,-1.1,1.5,-4.1,1.5,0.0,,0,0,1.5,,,,,
2016-01-15,-1.4,1.5,-4.3,0.5,1.6,,0,0,1.6,,,,,
2016-01-16,-1.8,1.2,-4.7,2.5,0.1,,1,1,,,,,,
2016-01-17,-1.5,4.6,-6.2,0.0,0.3,,1,0,,,,,,
2016-01-18,1.1,3.9,0.0,22.5,0.0,,3,3,1.8,,,,,
2016-01-19,0.1,2.8,-4.0,0.5,4.1,,1,1,1.7,,,,,
2016-01-20,-1.0,2.0,-5.4,14.5,0.0,,14,14,4.5,,,,,
2016-01-21,-0.7,0.6,-2.5,13.0,0.0,,33,20,1.8,,,,,
2016-01-22,-1.2,0.6,-2.4,9.0,0.0,,42,12,1.3,,,,,
2016-01-23,-1.9,0.6,-4.2,0.5,2.6,,43,2,1.7,,,,,
2016-01-24,-4.5,-1.7,-8.7,12.0,1.4,,50,22,1.7,,,,,
2016-01-25,-3.4,-0.8,-8.5,8.0,0.1,,59,16,1.5,,,,,
2016-01-26,-1.5,4.4,-6.4,0.0,7.8,,55,0,1.8,,,,,
2016-01-27,0.0,5.4,-5.2,0.0,4.1,,34,0,1.6,,,,,
2016-01-28,1.3,6.0,-2.2,0.0,0.1,,26,1,1.2,,,,,
2016-01-29,0.3,1.8,-0.9,14.5,0.0,,32,11,2.0,,,,,
