calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.5,10.0,3.0,0.0,8.8,,,,2.1,,,,,
2016-01-02,8.5,13.5,3.9,0.0,3.8,,,,2.4,,,,,
2016-01-03,10.4,15.3,7.5,0.0,3.3,,,,1.6,,,,,
2016-01-04,10.7,15.3,6.7,0.0,5.0,,,,2.3,,,,,
2016-01-05,9.1,12.2,6.0,0.0,1.3,,,,1.8,,,,,
2016-01-06,8.5,10.8,6.3,0.0,2.4,,,,1.4,,,,,
2016-01-07,8.2,11.1,4.7,0.0,5.4,,,,2.5,,,,,
2016-01-08,7.0,9.6,4.0,0.0,0.2,,,,3.0,,,,,
2016-01-09,5.8,9.1,2.4,0.0,4.8,,,,2.4,,,,,
2016-01-10,6.6,10.7,3.3,0.0,4.7,,,,2.4,,,,,
2016-01-11,7.0,10.8,3.0,0.0,6.6,,,,2.2,,,,,
2016-01-12,6.3,9.3,1.9,0.0,4.0,,,,2.0,,,,,
2016-01-13,4.7,9.4,0.0,0.0,3.8,,,,2.7,,,,,
2016-01-14,5.2,8.6,1.1,0.0,3.0,,,,3.1,,,,,
2016-01-15,5.4,8.2,2.4,0.0,9.0,,,,2.4,,,,,
2016-01-16,4.6,9.1,0.6,0.0,9.1,,,,1.9,,,,,
2016-01-17,5.5,9.8,0.4,0.5,3.7,,,,1.8,,,,,
2016-01-18,7.5,10.6,3.8,7.5,0.3,,,,4.1,,,,,
2016-01-19,2.7,4.7,0.5,0.0,1.3,,,,6.6,,,,,
2016-01-20,3.8,7.3,0.8,0.0,0.7,,,,4.3,,,,,
2016-01-21,3.8,7.8,0.0,0.0,3.4,,,,1.6,,,,,
2016-01-22,4.5,8.5,1.7,0.0,5.0,,,,2.7,,,,,
2016-01-23,3.1,6.4,-0.3,0.5,0.0,,,,1.8,,,,,
2016-01-24,-1.2,2.4,-3.8,0.0,2.1,,,,4.7,,,,,
2016-01-25,1.8,4.7,-2.0,0.0,3.5,,,,3.7,,,,,
2016-01-26,4.3,7.8,0.3,0.0,4.0,,,,2.5,,,,,
2016-01-27,6.3,9.7,3.2,0.0,4.0,,,,2.4,,,,,
2016-01-28,7.6,11.9,2.7,0.0,3.4,,,,1.6,,,,,
2016-01-29,7.9,9.0,6.8,57.0,0.0,,,,1.9,,,,,
2016-01-30,7.4,9.3,5.6,7.5,1.2,,,,3.5,,,,,
2016-01-31,6.6,10.5,3.9,0.0,9.0,,,,2.0,,,,,
2016-02-01,5.8,7.8,4.1,0.0,0.2,,,,1.8,,,,,
2016-02-02,5.3,9.0,1.6,0.5,7.3,,,,1.9,,,,,
2016-02-03,3.8,8.2,0.1,0.0,8.3,,,,1.9,,,,,
2016-02-04,4.6,9.0,-0.6,0.0,6.8,,,,2.2,,,,,
2016-02-05,5.3,9.4,2.0,0.0,7.6,,,,2.2,,,,,
2016-02-06,5.4,8.0,1.3,0.0,6.0,,,,2.4,,,,,
2016-02-07,3.8,7.0,-0.5,0.0,6.9,,,,3.0,,,,,
2016-02-08,4.0,9.2,-2.4,0.0,9.9,,,,1.9,,,,,
2016-02-09,7.2,9.9,3.8,0.0,4.6,,,,4.7,,,,,
2016-02-10,4.9,8.4,1.6,0.0,5.5,,,,2.1,,,,,
2016-02-11,5.5,11.2,0.4,0.0,10.0,,,,1.9,,,,,
2016-02-12,9.6,16.3,1.1,0.0,5.8,,,,1.3,,,,,
2016-02-13,14.9,19.7,9.8,46.5,1.5,,,,2.6,,,,,
2016-02-14,15.2,19.6,9.5,18.0,0.5,,,,5.0,,,,,
2016-02-15,5.8,9.6,2.9,0.0,0.5,,,,4.4,,,,,
2016-02-16,3.9,7.5,1.9,0.0,4.6,,,,3.7,,,,,
2016-02-17,4.9,8.4,0.9,2.0,4.7,,,,3.2,,,,,
2016-02-18,4.9,10.8,-1.1,0.0,9.9,,,,1.9,,,,,
2016-02-19,9.1,13.4,4.0,0.0,7.7,,,,2.3,,,,,
2016-02-20,8.2,9.6,6.9,31.0,0.0,,,,2.0,,,,,
2016-02-21,7.3,9.9,3.1,0.0,7.3,,,,3.6,,,,,
2016-02-22,4.8,7.6,0.7,0.0,1.0,,,,1.7,,,,,
2016-02-23,6.8,9.1,4.6,0.0,0.7,,,,1.5,,,,,
2016-02-24,5.1,7.4,0.9,0.0,3.8,,,,3.9,,,,,
2016-02-25,3.7,7.3,-0.7,0.0,10.7,,,,2.3,,,,,
2016-02-26,3.7,8.3,-1.2,0.0,8.7,,,,2.5,,,,,
