calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.5,7.3,-3.7,0.0,7.2,,,,0.7,,,,,
2016-01-02,2.4,10.1,-4.0,0.0,6.1,,,,1.0,,,,,
2016-01-03,6.3,15.3,0.4,0.0,5.9,,,,0.9,,,,,
2016-01-04,6.7,16.7,-1.0,0.0,7.4,,,,1.1,,,,,
2016-01-05,7.7,14.7,2.8,0.0,6.8,,,,1.0,,,,,
2016-01-06,6.9,11.6,2.2,0.0,1.1,,,,1.2,,,,,
2016-01-07,3.7,10.4,-1.3,0.0,7.5,,,,1.0,,,,,
2016-01-08,1.6,8.5,-3.5,0.0,7.4,,,,1.0,,,,,
2016-01-09,1.3,7.8,-3.0,0.0,7.6,,,,0.8,,,,,
2016-01-10,2.1,9.1,-4.2,0.0,7.6,,,,1.0,,,,,
2016-01-11,2.2,8.3,-2.3,0.0,4.9,,,,0.9,,,,,
2016-01-12,1.6,5.4,-2.9,0.0,0.1,,,,1.0,,,,,
2016-01-13,0.3,6.8,-4.9,0.0,7.6,,,,1.0,,,,,
2016-01-14,0.5,7.2,-3.6,0.0,7.1,,,,0.8,,,,,
2016-01-15,0.0,6.7,-4.5,0.0,7.5,,,,0.7,,,,,
2016-01-16,0.2,7.5,-4.4,0.0,7.5,,,,0.7,,,,,
2016-01-17,1.2,5.9,-3.0,5.0,3.3,,,,0.6,,,,,
2016-01-18,2.3,6.3,0.0,52.5,1.7,,,,,,,,,
2016-01-19,-2.5,0.9,-4.7,1.0,1.8,,,,1.9,,,,,
2016-01-20,-0.4,5.2,-5.4,0.0,6.9,,,,1.7,,,,,
2016-01-21,-0.8,5.2,-5.6,0.0,6.4,,,,0.7,,,,,
2016-01-22,0.7,7.1,-2.8,0.0,7.6,,,,0.7,,,,,
2016-01-23,-0.7,2.9,-2.5,4.5,0.0,,,,,,,,,
2016-01-24,-5.4,-0.7,-9.7,0.0,2.0,,,,,,,,,
2016-01-25,-4.3,3.3,-10.2,0.0,7.7,,,,0.8,,,,,
2016-01-26,-2.8,5.1,-8.6,0.0,7.8,,,,0.8,,,,,
2016-01-27,-0.9,7.7,-6.9,0.0,7.8,,,,0.7,,,,,
2016-01-28,2.0,9.7,-4.4,0.0,7.8,,,,0.8,,,,,
2016-01-29,3.5,5.8,1.2,86.0,0.0,,,,0.4,,,,,
2016-01-30,4.4,6.0,2.6,16.0,0.0,,,,0.7,,,,,
2016-01-31,2.6,7.1,-1.1,1.5,4.0,,,,0.9,,,,,
2016-02-01,0.3,2.6,-2.1,2.0,0.0,,,,0.4,,,,,
2016-02-02,1.4,7.3,-2.6,0.0,6.2,,,,0.9,,,,,
2016-02-03,-0.1,6.0,-3.9,0.0,6.3,,,,0.7,,,,,
2016-02-04,0.3,7.8,-3.8,0.0,8.6,,,,0.9,,,,,
2016-02-05,1.5,9.3,-3.6,0.0,7.8,,,,0.8,,,,,
2016-02-06,1.7,8.8,-2.9,0.0,4.3,,,,1.0,,,,,
2016-02-07,0.7,7.1,-3.4,0.0,8.6,,,,0.9,,,,,
2016-02-08,0.8,7.5,-4.3,0.0,8.4,,,,1.0,,,,,
2016-02-09,0.8,4.4,-2.2,0.0,0.8,,,,1.5,,,,,
2016-02-10,-0.1,6.3,-3.7,0.0,8.6,,,,1.0,,,,,
2016-02-11,1.0,9.2,-4.5,0.0,8.5,,,,0.8,,,,,
2016-02-12,2.3,5.6,-2.4,1.5,0.0,,,,0.4,,,,,
2016-02-13,6.5,11.9,0.9,52.0,1.6,,,,0.5,,,,,
2016-02-14,13.3,17.9,8.3,101.0,2.4,,,,2.1,,,,,
2016-02-15,6.1,12.0,-2.1,0.0,8.3,,,,1.4,,,,,
2016-02-16,-0.1,6.1,-4.0,0.0,8.6,,,,1.2,,,,,
2016-02-17,0.8,5.7,-3.1,0.0,7.0,,,,1.5,,,,,
2016-02-18,0.5,7.6,-4.4,0.0,6.0,,,,0.6,,,,,
2016-02-19,4.9,12.5,-3.2,0.0,8.7,,,,1.2,,,,,
2016-02-20,4.7,11.4,1.3,67.5,0.0,,,,0.8,,,,,
2016-02-21,6.1,11.9,0.0,0.0,8.7,,,,1.3,,,,,
2016-02-22,2.9,6.4,-0.8,0.0,0.9,,,,0.7,,,,,
2016-02-23,5.2,12.2,0.2,0.0,6.5,,,,1.0,,,,,
2016-02-24,2.6,5.4,0.3,2.0,0.0,,,,1.1,,,,,
2016-02-25,-0.4,5.1,-4.5,0.0,8.2,,,,0.9,,,,,
2016-02-26,-0.2,7.0,-5.3,0.0,8.7,,,,1.1,,,,,
2016-02-27,2.1,7.9,-4.2,0.0,5.8,,,,1.1,,,,,
2016-02-28,4.8,12.6,-0.5,0.0,7.7,,,,1.0,,,,,
2016-02-29,4.5,11.0,-1.1,1.0,1.9,,,,1.4,,,,,
2016-03-01,-0.1,6.1,-3.8,0.0,8.9,,,,1.3,,,,,
2016-03-02,0.7,8.7,-5.2,0.0,9.0,,,,1.0,,,,,
2016-03-03,4.6,14.4,-3.6,0.0,9.0,,,,1.0,,,,,
2016-03-04,5.4,13.9,-1.4,0.0,6.6,,,,0.9,,,,,
2016-03-05,6.8,14.7,0.8,0.0,5.2,,,,0.7,,,,,
2016-03-06,8.2,14.5,2.8,6.0,1.2,,,,0.8,,,,,
2016-03-07,9.1,10.7,7.6,17.0,0.0,,,,0.3,,,,,
2016-03-08,10.4,20.0,4.5,0.0,7.7,,,,1.0,,,,,
2016-03-09,8.3,11.8,5.8,49.0,0.0,,,,0.9,,,,,
2016-03-10,5.4,8.3,3.9,5.0,0.0,,,,1.2,,,,,
2016-03-11,3.3,6.0,-0.3,1.0,0.3,,,,0.9,,,,,
2016-03-12,2.7,8.3,-1.1,0.0,5.8,,,,0.9,,,,,
2016-03-13,3.4,10.2,-2.5,0.0,6.8,,,,0.8,,,,,
2016-03-14,2.7,3.6,1.4,28.5,0.0,,,,0.4,,,,,
2016-03-15,3.7,7.8,0.1,3.5,3.0,,,,0.7,,,,,
2016-03-16,3.9,9.3,-1.2,0.0,3.8,,,,0.9,,,,,
2016-03-17,7.1,17.6,-1.0,0.0,10.2,,,,0.8,,,,,
2016-03-18,8.4,14.6,0.7,9.5,8.4,,,,1.1,,,,,
2016-03-19,11.4,19.8,8.4,45.5,5.9,,,,0.8,,,,,
2016-03-20,9.1,14.1,6.1,2.0,4.1,,,,1.1,,,,,
2016-03-21,6.3,11.4,4.0,0.5,3.6,,,,1.0,,,,,
2016-03-22,6.3,13.1,1.9,0.0,7.6,,,,1.1,,,,,
2016-03-23,8.1,15.9,1.4,0.0,6.5,,,,1.1,,,,,
2016-03-24,5.1,11.8,0.9,0.0,3.4,,,,1.3,,,,,
2016-03-25,3.0,7.4,-1.0,0.0,3.4,,,,1.0,,,,,
2016-03-26,4.7,11.3,-0.2,0.0,6.5,,,,0.9,,,,,
2016-03-27,5.8,13.4,-1.0,0.0,9.0,,,,1.0,,,,,
2016-03-28,5.2,11.6,0.8,1.5,2.9,,,,0.9,,,,,
2016-03-29,6.1,12.7,0.4,0.0,5.3,,,,0.9,,,,,
2016-03-30,9.1,16.4,1.2,0.0,8.5,,,,1.1,,,,,
2016-03-31,9.0,15.3,2.7,0.0,6.3,,,,1.0,,,,,
2016-04-01,7.6,10.6,3.4,0.5,0.0,,,,0.5,,,,,
2016-04-02,10.7,14.4,7.5,0.0,1.6,,,,0.9,,,,,
2016-04-03,9.8,11.8,8.6,2.5,0.0,,,,0.7,,,,,
2016-04-04,12.3,18.5,8.6,44.0,3.3,,,,0.9,,,,,
2016-04-05,10.5,14.8,5.4,0.0,3.6,,,,1.5,,,,,
2016-04-06,8.5,16.0,2.3,0.0,5.9,,,,0.8,,,,,
2016-04-07,10.2,16.7,5.6,128.5,0.0,,,,1.2,,,,,
2016-04-08,12.0,18.7,8.1,0.0,3.4,,,,1.0,,,,,
2016-04-09,10.6,17.7,4.4,0.0,7.8,,,,0.8,,,,,
2016-04-10,10.6,19.1,4.3,0.0,2.2,,,,0.6,,,,,
2016-04-11,10.5,18.9,4.4,0.0,9.6,,,,1.6,,,,,
2016-04-12,7.3,13.7,2.8,0.0,5.1,,,,1.3,,,,,
2016-04-13,7.9,11.5,5.7,26.0,0.2,,,,0.5,,,,,
2016-04-14,13.5,20.1,8.0,38.0,3.9,,,,0.9,,,,,
2016-04-15,13.2,19.6,6.9,0.0,10.3,,,,1.2,,,,,
2016-04-16,12.2,18.4,6.9,0.0,8.7,,,,1.0,,,,,
2016-04-17,12.8,17.5,8.8,51.5,0.5,,,,2.0,,,,,
2016-04-18,13.3,23.7,5.7,0.0,6.1,,,,1.1,,,,,
2016-04-19,12.1,20.9,5.6,0.0,11.0,,,,1.1,,,,,
2016-04-20,9.6,15.7,3.9,0.0,5.6,,,,1.1,,,,,
