calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,9.4,12.9,6.9,,9.1,,,,2.5,6.9,1018.4,58,1024.9,
2016-01-02,11.7,14.1,8.9,,8.8,,,,10.6,8.0,1015.6,58,1022.0,
2016-01-03,14.2,15.4,12.9,,0.7,,,,8.1,10.4,1010.3,64,1016.6,
2016-01-04,14.1,16.4,10.3,,9.1,,,,9.1,9.8,1007.3,61,1013.6,
2016-01-05,13.4,15.6,10.5,,7.1,,,,8.2,8.5,1009.6,55,1016.0,
2016-01-06,12.1,13.7,10.3,,0.0,,,,3.3,9.3,1009.8,66,1016.2,
2016-01-07,11.5,13.8,10.0,,8.9,,,,8.2,7.5,1005.4,55,1011.8,
2016-01-08,10.2,12.3,8.9,,7.1,,,,10.4,6.4,1007.1,52,1013.6,
2016-01-09,9.7,12.7,7.9,,6.9,,,,5.5,7.1,1010.4,59,1016.9,
2016-01-10,9.8,11.7,8.4,,9.1,,,,11.0,6.9,1010.2,57,1016.7,
2016-01-11,10.0,12.2,7.7,,5.0,,,,6.4,7.3,1010.0,60,1016.4,
2016-01-12,6.8,10.3,4.9,0.5,0.0,,,,4.1,7.7,1006.7,78,1013.2,
2016-01-13,8.2,11.2,4.6,,8.4,,,,5.9,5.8,1006.7,55,1013.2,
2016-01-14,8.4,10.3,6.8,,9.7,,,,10.5,5.7,1006.3,52,1012.8,
2016-01-15,8.2,11.4,6.2,,7.9,,,,4.9,6.4,1008.9,59,1015.4,
2016-01-16,8.4,11.7,5.9,,8.3,,,,2.5,7.2,1011.5,66,1018.0,
2016-01-17,8.2,10.3,6.2,0.5,5.4,,,,5.5,7.6,1012.7,70,1019.3,
2016-01-18,9.7,12.4,6.1,3.5,1.8,,,,10.0,9.4,990.3,79,996.7,
2016-01-19,4.8,9.5,2.5,0.0,5.6,,,,13.9,4.3,998.0,49,1004.5,
2016-01-20,5.3,8.6,1.8,,8.0,,,,10.4,5.7,1004.3,62,1010.9,
2016-01-21,6.9,10.0,3.7,,6.5,,,,3.7,5.9,1010.5,60,1017.1,
2016-01-22,8.1,11.8,5.8,,8.1,,,,3.0,6.0,1012.0,56,1018.5,
2016-01-23,6.8,8.6,5.1,0.0,3.1,,,,5.2,6.3,1009.7,63,1016.2,
2016-01-24,3.0,6.8,-0.3,,9.3,,,,12.1,3.6,1000.4,46,1006.9,
2016-01-25,3.9,7.1,-0.4,,9.4,,,,7.8,4.4,1010.4,54,1017.0,
