calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.4,12.3,3.7,0.0,9.5,,,,4.1,,,,,
2016-01-02,8.3,14.3,3.3,0.0,9.0,,,,3.8,,,,,
2016-01-03,10.5,14.9,5.8,0.0,3.3,,,,3.3,,,,,
2016-01-04,11.8,16.8,5.1,0.0,9.2,,,,4.2,,,,,
2016-01-05,11.2,15.1,6.9,0.0,6.8,,,,4.7,,,,,
2016-01-06,10.2,13.1,8.4,0.0,0.3,,,,4.5,,,,,
2016-01-07,9.2,13.2,5.5,0.0,9.0,,,,4.7,,,,,
2016-01-08,7.3,11.7,3.3,0.0,7.4,,,,3.7,,,,,
2016-01-09,7.5,12.3,4.4,0.0,9.6,,,,4.2,,,,,
2016-01-10,7.4,11.3,3.6,0.0,9.6,,,,5.0,,,,,
2016-01-11,7.7,11.9,4.5,0.0,6.2,,,,4.1,,,,,
2016-01-12,7.3,10.5,2.2,0.0,0.8,,,,2.0,,,,,
2016-01-13,5.9,10.8,0.4,0.0,8.8,,,,3.0,,,,,
2016-01-14,5.7,9.7,1.9,0.0,9.2,,,,3.7,,,,,
2016-01-15,6.0,10.7,2.1,0.0,8.5,,,,4.3,,,,,
2016-01-16,6.3,11.7,1.7,0.0,9.9,,,,3.6,,,,,
2016-01-17,6.6,11.7,-1.1,0.5,6.1,,,,2.5,,,,,
2016-01-18,8.8,12.1,6.6,8.0,2.3,,,,6.5,,,,,
2016-01-19,3.3,6.6,0.6,0.0,6.8,,,,6.7,,,,,
2016-01-20,2.9,7.5,0.1,0.0,4.0,,,,5.6,,,,,
2016-01-21,5.0,9.3,1.3,0.0,7.4,,,,4.4,,,,,
2016-01-22,5.7,11.7,1.1,0.0,8.9,,,,3.5,,,,,
2016-01-23,4.8,9.7,2.0,0.5,0.0,,,,2.0,,,,,
2016-01-24,1.1,3.4,-2.4,0.0,9.6,,,,6.0,,,,,
2016-01-25,0.9,6.5,-3.9,0.0,9.9,,,,4.7,,,,,
2016-01-26,3.7,8.8,-1.1,0.0,10.0,,,,3.4,,,,,
2016-01-27,6.6,11.3,2.0,0.0,9.7,,,,4.5,,,,,
2016-01-28,8.8,13.2,3.7,0.0,9.7,,,,4.6,,,,,
2016-01-29,8.0,9.5,6.6,43.5,0.0,,,,2.4,,,,,
2016-01-30,7.4,8.4,6.1,7.0,0.0,,,,1.7,,,,,
2016-01-31,7.1,11.7,2.2,0.0,8.1,,,,2.2,,,,,
2016-02-01,6.5,8.8,3.8,0.0,0.0,,,,2.3,,,,,
2016-02-02,6.2,11.4,2.4,0.0,7.8,,,,2.5,,,,,
2016-02-03,5.2,10.1,1.3,0.0,5.9,,,,2.7,,,,,
2016-02-04,5.6,10.5,-0.8,0.0,9.9,,,,3.4,,,,,
2016-02-05,8.1,13.7,4.0,0.0,9.7,,,,4.3,,,,,
2016-02-06,6.8,10.9,4.0,0.0,5.3,,,,3.8,,,,,
2016-02-07,5.6,11.5,0.4,0.0,10.2,,,,3.1,,,,,
2016-02-08,4.1,11.2,-2.7,0.0,10.1,,,,2.0,,,,,
2016-02-09,5.4,10.6,0.8,0.0,7.2,,,,4.1,,,,,
2016-02-10,5.0,9.9,1.5,0.0,10.5,,,,5.0,,,,,
2016-02-11,5.8,11.8,-1.2,0.0,10.4,,,,1.9,,,,,
2016-02-12,8.1,11.5,2.9,0.0,0.0,,,,2.3,,,,,
2016-02-13,13.1,17.5,6.3,18.5,1.3,,,,1.7,,,,,
2016-02-14,15.9,17.8,12.2,30.0,0.1,,,,4.9,,,,,
2016-02-15,8.7,12.3,3.1,0.0,8.9,,,,5.8,,,,,
2016-02-16,4.2,8.2,0.7,0.0,10.1,,,,4.1,,,,,
2016-02-17,5.0,9.8,0.7,0.0,8.2,,,,4.0,,,,,
2016-02-18,5.1,11.0,-1.0,0.0,6.7,,,,1.9,,,,,
2016-02-19,8.2,14.7,1.2,0.0,10.2,,,,3.2,,,,,
2016-02-20,9.8,14.8,4.9,36.5,0.0,,,,3.2,,,,,
2016-02-21,9.1,11.8,4.6,0.0,10.6,,,,6.8,,,,,
2016-02-22,7.8,11.4,3.9,0.0,0.4,,,,2.2,,,,,
2016-02-23,9.5,13.5,5.5,0.0,5.6,,,,3.8,,,,,
2016-02-24,7.4,12.3,2.7,0.0,6.3,,,,4.4,,,,,
2016-02-25,5.5,10.5,1.3,0.0,10.9,,,,4.2,,,,,
2016-02-26,5.4,10.4,1.8,0.0,9.7,,,,4.5,,,,,
2016-02-27,7.1,11.6,1.2,0.0,9.8,,,,3.0,,,,,
2016-02-28,9.9,15.2,5.5,0.0,10.2,,,,3.0,,,,,
2016-02-29,8.7,13.3,2.7,7.5,0.7,,,,3.6,,,,,
2016-03-01,3.6,7.4,0.9,0.0,10.9,,,,6.1,,,,,
2016-03-02,5.6,11.0,0.9,0.0,11.0,,,,4.9,,,,,
2016-03-03,9.7,15.7,2.5,0.0,10.7,,,,4.2,,,,,
2016-03-04,10.2,15.9,3.1,0.0,10.7,,,,2.1,,,,,
2016-03-05,11.5,17.2,6.2,0.0,7.7,,,,2.0,,,,,
2016-03-06,14.3,18.5,8.3,4.0,3.0,,,,2.0,,,,,
2016-03-07,14.7,16.5,12.1,13.0,0.0,,,,2.4,,,,,
2016-03-08,15.9,22.3,9.5,0.0,10.3,,,,3.2,,,,,
2016-03-09,11.5,13.8,9.3,42.0,0.0,,,,1.6,,,,,
2016-03-10,9.7,11.7,7.2,0.5,0.2,,,,1.6,,,,,
2016-03-11,8.2,11.3,4.7,0.5,1.5,,,,2.1,,,,,
2016-03-12,6.8,12.2,1.3,0.0,9.1,,,,1.9,,,,,
2016-03-13,8.3,13.8,1.7,0.5,6.2,,,,1.8,,,,,
2016-03-14,7.6,8.7,6.2,38.0,0.0,,,,1.7,,,,,
2016-03-15,9.6,15.1,5.4,0.0,11.4,,,,3.4,,,,,
2016-03-16,9.4,13.8,2.7,0.0,2.7,,,,1.4,,,,,
2016-03-17,11.0,17.5,5.1,0.0,11.6,,,,1.9,,,,,
2016-03-18,13.3,18.7,6.3,7.0,8.8,,,,2.0,,,,,
2016-03-19,16.5,22.7,13.2,52.5,5.1,,,,3.8,,,,,
2016-03-20,13.2,17.9,8.9,0.0,5.7,,,,3.3,,,,,
2016-03-21,10.6,15.5,6.4,0.0,6.9,,,,2.5,,,,,
2016-03-22,10.0,15.0,4.1,0.0,10.2,,,,2.5,,,,,
2016-03-23,12.5,17.5,8.0,0.0,8.0,,,,3.5,,,,,
2016-03-24,11.4,16.5,7.6,0.0,7.2,,,,2.7,,,,,
2016-03-25,8.6,14.1,4.1,0.0,11.7,,,,3.8,,,,,
2016-03-26,8.8,13.7,3.6,0.0,11.3,,,,1.8,,,,,
2016-03-27,10.7,15.9,4.1,0.0,9.3,,,,2.1,,,,,
2016-03-28,11.0,15.5,6.9,0.0,7.5,,,,2.4,,,,,
2016-03-29,11.2,16.3,4.7,0.0,9.5,,,,2.1,,,,,
2016-03-30,13.8,18.9,7.3,0.0,6.5,,,,3.0,,,,,
2016-03-31,14.1,18.7,9.3,0.0,9.7,,,,2.4,,,,,
2016-04-01,12.6,14.4,10.6,5.5,0.0,,,,3.5,,,,,
2016-04-02,15.1,19.3,11.3,0.5,1.8,,,,4.1,,,,,
2016-04-03,16.2,19.7,13.1,5.0,3.3,,,,2.4,,,,,
2016-04-04,16.8,18.9,14.0,32.5,1.5,,,,3.7,,,,,
2016-04-05,13.9,17.2,9.0,0.0,3.6,,,,2.1,,,,,
2016-04-06,13.7,18.8,6.9,0.0,8.4,,,,1.9,,,,,
2016-04-07,15.1,19.6,10.8,30.0,0.0,,,,3.8,,,,,
2016-04-08,16.4,20.8,11.4,0.0,4.7,,,,4.3,,,,,
2016-04-09,14.9,20.6,7.5,0.0,9.3,,,,2.2,,,,,
2016-04-10,15.5,21.3,10.0,0.0,1.3,,,,2.6,,,,,
2016-04-11,14.5,19.4,8.5,0.0,10.8,,,,4.7,,,,,
2016-04-12,11.5,14.5,6.2,0.0,4.8,,,,2.5,,,,,
2016-04-13,15.2,19.0,12.7,41.5,3.5,,,,3.7,,,,,
2016-04-14,16.9,19.3,14.0,23.0,4.0,,,,2.4,,,,,
2016-04-15,18.0,24.0,13.3,0.0,12.1,,,,4.3,,,,,
2016-04-16,15.8,19.3,11.0,0.5,11.6,,,,2.5,,,,,
2016-04-17,17.8,20.9,14.5,14.5,0.2,,,,4.7,,,,,
2016-04-18,16.9,22.8,11.6,0.0,5.5,,,,4.4,,,,,
2016-04-19,16.3,22.4,10.2,0.0,12.4,,,,4.5,,,,,
2016-04-20,14.6,18.2,9.2,0.0,8.7,,,,2.3,,,,,
2016-04-21,15.3,18.9,12.7,43.0,0.0,,,,2.6,,,,,
2016-04-22,19.2,23.8,14.4,3.0,12.0,,,,4.1,,,,,
2016-04-23,18.3,21.4,15.1,0.5,8.9,,,,2.6,,,,,
2016-04-24,17.3,22.7,15.2,0.5,3.3,,,,3.2,,,,,
2016-04-25,17.8,21.8,13.9,0.0,8.6,,,,2.7,,,,,
2016-04-26,18.1,23.2,13.5,0.0,11.6,,,,2.3,,,,,
2016-04-27,17.1,20.1,14.1,9.0,0.0,,,,2.2,,,,,
2016-04-28,16.8,20.1,14.2,3.0,0.0,,,,4.3,,,,,
2016-04-29,16.1,20.8,12.8,0.0,12.8,,,,6.0,,,,,
2016-04-30,15.8,22.6,9.9,0.0,12.7,,,,4.3,,,,,
2016-05-01,17.8,22.9,10.4,0.0,10.2,,,,3.8,,,,,
2016-05-02,18.1,21.7,12.3,0.0,11.4,,,,2.7,,,,,
2016-05-03,19.0,22.4,15.5,0.0,4.5,,,,3.1,,,,,
2016-05-04,20.1,24.4,17.4,15.5,11.4,,,,6.2,,,,,
2016-05-05,20.3,25.3,13.1,0.0,12.3,,,,4.9,,,,,
2016-05-06,16.5,22.6,13.6,9.0,0.3,,,,2.1,,,,,
2016-05-07,18.2,24.7,13.0,1.0,6.2,,,,3.7,,,,,
2016-05-08,19.1,23.1,14.9,0.0,10.4,,,,2.9,,,,,
2016-05-09,16.7,19.5,14.4,15.0,0.0,,,,2.8,,,,,
2016-05-10,18.4,21.5,15.7,50.5,2.1,,,,1.5,,,,,
2016-05-11,19.5,21.1,15.8,26.5,0.2,,,,4.8,,,,,
2016-05-12,19.2,24.3,14.3,0.0,13.5,,,,3.0,,,,,
2016-05-13,18.9,23.1,14.1,0.0,10.3,,,,2.4,,,,,
2016-05-14,19.8,24.2,15.3,0.0,12.2,,,,2.5,,,,,
2016-05-15,18.1,21.1,15.7,0.0,11.8,,,,2.3,,,,,
2016-05-16,19.1,22.6,16.0,3.0,1.9,,,,2.7,,,,,
2016-05-17,19.8,23.0,17.8,59.5,2.2,,,,2.8,,,,,
2016-05-18,19.6,22.9,16.0,0.0,7.5,,,,2.0,,,,,
2016-05-19,19.6,25.6,14.2,0.0,12.2,,,,2.3,,,,,
2016-05-20,18.3,22.7,14.7,0.0,6.4,,,,2.2,,,,,
2016-05-21,18.8,22.2,14.8,0.0,12.5,,,,1.9,,,,,
2016-05-22,21.0,25.9,15.4,0.0,13.2,,,,2.4,,,,,
2016-05-23,21.7,26.6,15.9,0.0,11.7,,,,1.8,,,,,
2016-05-24,21.8,25.8,16.1,0.0,10.3,,,,2.0,,,,,
2016-05-25,21.8,24.3,20.0,0.0,0.6,,,,2.1,,,,,
2016-05-26,22.0,25.5,19.3,5.0,3.7,,,,2.1,,,,,
2016-05-27,22.3,27.5,19.5,10.0,3.9,,,,2.4,,,,,
2016-05-28,20.8,22.5,18.0,0.0,0.0,,,,2.2,,,,,
2016-05-29,20.2,23.8,16.4,1.5,7.8,,,,2.3,,,,,
2016-05-30,18.9,21.6,16.2,7.0,0.0,,,,3.8,,,,,
2016-05-31,21.2,23.8,18.2,0.5,11.3,,,,3.7,,,,,
2016-06-01,21.6,24.8,17.7,0.0,7.2,,,,5.6,,,,,
2016-06-02,19.6,23.0,15.9,0.0,11.7,,,,3.1,,,,,
2016-06-03,19.6,23.5,14.8,0.0,11.9,,,,2.8,,,,,
2016-06-04,20.6,23.7,16.4,0.0,4.8,,,,2.0,,,,,
2016-06-05,18.8,21.9,15.7,6.0,2.7,,,,1.9,,,,,
2016-06-06,20.5,24.7,15.6,0.0,10.6,,,,2.8,,,,,
2016-06-07,20.6,23.4,18.5,3.0,0.4,,,,2.1,,,,,
2016-06-08,21.5,25.5,17.4,1.5,11.6,,,,3.1,,,,,
2016-06-09,21.9,24.2,20.7,0.0,0.0,,,,2.0,,,,,
2016-06-10,22.6,26.0,19.5,0.0,12.1,,,,2.4,,,,,
2016-06-11,22.0,25.5,18.3,0.0,10.0,,,,2.0,,,,,
2016-06-12,22.7,26.2,19.9,4.5,3.2,,,,3.0,,,,,
2016-06-13,21.8,23.2,20.3,14.0,0.0,,,,3.6,,,,,
2016-06-14,21.2,23.2,19.3,4.5,0.0,,,,1.9,,,,,
2016-06-15,22.4,25.0,19.7,0.0,8.0,,,,2.3,,,,,
2016-06-16,21.8,23.4,20.8,3.5,0.0,,,,4.2,,,,,
2016-06-17,24.9,29.3,20.7,0.0,9.8,,,,4.8,,,,,
2016-06-18,24.8,29.2,20.3,0.0,13.0,,,,2.2,,,,,
2016-06-19,22.3,26.7,19.5,6.5,1.2,,,,2.2,,,,,
2016-06-20,23.6,27.8,19.9,0.5,5.7,,,,3.2,,,,,
2016-06-21,22.9,27.3,19.5,49.5,4.8,,,,2.8,,,,,
2016-06-22,23.3,26.9,21.5,10.0,0.4,,,,2.1,,,,,
2016-06-23,25.0,30.4,21.2,23.5,6.3,,,,3.9,,,,,
2016-06-24,22.5,25.4,19.9,7.5,0.8,,,,3.0,,,,,
2016-06-25,24.5,28.2,19.6,37.0,2.0,,,,4.3,,,,,
2016-06-26,23.2,29.2,18.8,0.0,11.2,,,,4.1,,,,,
2016-06-27,22.6,26.0,18.8,2.0,9.2,,,,2.3,,,,,
2016-06-28,20.5,23.3,17.1,47.0,0.0,,,,2.2,,,,,
2016-06-29,21.6,24.6,20.2,1.5,1.9,,,,2.5,,,,,
2016-06-30,23.7,27.6,20.6,0.0,4.9,,,,2.7,,,,,
2016-07-01,25.2,29.0,22.7,0.0,10.1,,,,2.4,,,,,
2016-07-02,25.6,29.1,22.3,0.0,8.0,,,,3.0,,,,,
2016-07-03,26.9,29.4,24.6,0.0,9.3,,,,4.7,,,,,
2016-07-04,28.0,32.4,23.9,0.0,11.9,,,,3.5,,,,,
2016-07-05,24.9,27.2,22.3,0.0,8.1,,,,3.4,,,,,
