calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.1,11.7,-4.4,0.0,6.7,,,,0.4,,,,,
2016-01-02,3.2,13.7,-4.7,0.0,6.7,,,,0.9,,,,,
2016-01-03,5.2,16.9,-1.5,0.0,5.4,,,,0.6,,,,,
2016-01-04,6.6,19.3,-2.0,0.0,6.8,,,,1.1,,,,,
2016-01-05,7.4,17.9,-0.7,0.0,5.7,,,,1.1,,,,,
2016-01-06,7.4,15.1,2.8,0.0,0.9,,,,0.6,,,,,
2016-01-07,5.2,13.6,-0.6,0.0,6.8,,,,1.0,,,,,
2016-01-08,2.6,10.5,-3.2,0.0,6.8,,,,1.1,,,,,
2016-01-09,2.0,12.4,-3.4,0.0,6.9,,,,0.5,,,,,
2016-01-10,2.8,13.0,-4.0,0.0,6.9,,,,1.0,,,,,
2016-01-11,3.2,13.2,-2.8,0.0,5.4,,,,0.6,,,,,
2016-01-12,2.8,9.0,-1.8,0.0,0.9,,,,0.6,,,,,
2016-01-13,1.7,10.1,-4.2,0.0,7.0,,,,1.1,,,,,
2016-01-14,2.7,9.9,-4.6,0.0,6.7,,,,1.1,,,,,
2016-01-15,1.8,11.3,-4.0,0.0,7.0,,,,0.6,,,,,
2016-01-16,0.7,11.2,-5.2,0.0,7.1,,,,0.4,,,,,
2016-01-17,2.8,9.6,-4.1,3.0,2.7,,,,0.5,,,,,
2016-01-18,6.7,10.5,4.8,44.0,1.4,,,,1.3,,,,,
2016-01-19,1.2,5.6,-0.9,3.0,3.4,,,,2.1,,,,,
2016-01-20,1.5,8.2,-3.4,0.0,6.2,,,,1.5,,,,,
2016-01-21,0.5,8.4,-5.9,0.0,5.2,,,,0.5,,,,,
2016-01-22,2.2,10.9,-2.3,0.0,7.3,,,,0.6,,,,,
2016-01-23,1.6,6.5,-2.2,2.0,0.0,,,,0.4,,,,,
2016-01-24,-1.4,1.2,-6.4,0.0,3.4,,,,1.8,,,,,
2016-01-25,-1.7,7.0,-7.6,0.0,7.4,,,,0.8,,,,,
2016-01-26,-0.8,9.1,-7.6,0.0,7.5,,,,0.7,,,,,
2016-01-27,0.7,13.0,-6.2,0.0,7.5,,,,0.6,,,,,
2016-01-28,3.2,15.7,-5.2,0.0,7.6,,,,0.7,,,,,
2016-01-29,4.7,6.2,2.6,96.5,0.0,,,,0.2,,,,,
2016-01-30,6.2,7.6,4.9,13.5,0.0,,,,0.5,,,,,
2016-01-31,5.3,10.9,0.0,0.0,4.9,,,,0.8,,,,,
2016-02-01,2.8,6.8,-1.2,1.0,0.3,,,,0.4,,,,,
2016-02-02,4.1,10.6,-2.1,0.0,5.1,,,,0.6,,,,,
2016-02-03,1.3,9.6,-3.0,0.0,5.3,,,,0.6,,,,,
2016-02-04,1.9,11.4,-4.3,0.0,8.1,,,,0.8,,,,,
2016-02-05,3.3,14.3,-3.8,0.0,8.1,,,,0.6,,,,,
2016-02-06,2.9,11.8,-2.8,0.0,3.8,,,,0.8,,,,,
2016-02-07,2.4,10.6,-3.4,0.0,8.2,,,,0.6,,,,,
2016-02-08,1.9,11.7,-4.5,0.0,8.2,,,,0.8,,,,,
2016-02-09,4.6,7.3,-0.9,1.0,1.8,,,,1.8,,,,,
2016-02-10,2.2,11.1,-3.9,0.0,8.4,,,,0.9,,,,,
2016-02-11,2.7,12.6,-5.3,0.0,8.4,,,,0.6,,,,,
2016-02-12,4.4,7.8,-1.2,2.0,0.0,,,,0.3,,,,,
2016-02-13,8.5,12.4,2.3,55.0,1.3,,,,0.3,,,,,
2016-02-14,16.3,21.4,10.4,101.5,2.2,,,,2.0,,,,,
2016-02-15,8.4,13.4,-0.7,0.0,7.2,,,,1.8,,,,,
2016-02-16,2.2,8.8,-3.4,0.0,8.5,,,,1.4,,,,,
2016-02-17,3.2,8.4,-2.9,0.0,6.1,,,,1.6,,,,,
2016-02-18,2.4,11.9,-3.8,0.0,6.1,,,,0.7,,,,,
2016-02-19,6.3,15.6,-2.1,0.0,8.6,,,,1.4,,,,,
2016-02-20,5.6,9.5,1.0,61.5,0.0,,,,0.7,,,,,
2016-02-21,7.8,15.1,0.0,0.0,8.6,,,,1.1,,,,,
2016-02-22,4.9,10.4,-0.5,0.0,1.8,,,,0.7,,,,,
2016-02-23,7.6,15.9,2.1,0.0,6.7,,,,1.0,,,,,
2016-02-24,4.9,8.1,1.3,0.0,0.0,,,,0.7,,,,,
2016-02-25,1.9,10.7,-3.7,0.0,8.7,,,,0.8,,,,,
2016-02-26,1.5,10.6,-5.1,0.0,7.4,,,,0.9,,,,,
2016-02-27,4.6,13.2,-4.9,0.0,6.4,,,,1.2,,,,,
2016-02-28,7.1,16.7,-0.8,0.0,8.8,,,,0.9,,,,,
2016-02-29,7.7,13.1,2.1,1.5,1.8,,,,1.2,,,,,
2016-03-01,2.9,10.2,-2.9,0.0,9.2,,,,1.2,,,,,
2016-03-02,2.6,12.6,-5.0,0.0,9.3,,,,0.8,,,,,
2016-03-03,5.8,17.2,-3.3,0.0,9.3,,,,1.0,,,,,
2016-03-04,7.1,17.8,-1.5,0.0,8.4,,,,0.7,,,,,
2016-03-05,9.2,18.3,2.1,0.0,3.8,,,,0.7,,,,,
