calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,8.3,13.4,4.1,,7.4,,,,1.5,7.0,1016.6,65,1025.0,
2016-01-02,10.0,15.2,5.3,,7.3,,,,3.2,7.0,1013.1,57,1021.4,
2016-01-03,12.2,17.4,9.6,,5.8,,,,2.7,9.1,1007.8,64,1016.0,
2016-01-04,12.8,17.1,9.2,,7.4,,,,1.7,8.8,1005.0,60,1013.1,
2016-01-05,11.8,14.1,8.6,,5.2,,,,1.3,8.4,1007.8,61,1016.0,
2016-01-06,10.4,12.6,9.4,,0.0,,,,3.0,9.0,1008.4,72,1016.6,
2016-01-07,9.9,14.0,6.6,,2.1,,,,1.5,8.0,1003.7,66,1011.9,
2016-01-08,8.8,13.0,4.0,,7.4,,,,4.7,5.8,1004.3,53,1012.5,
2016-01-09,8.0,11.6,5.4,,4.9,,,,1.8,6.4,1008.6,59,1016.9,
2016-01-10,9.0,13.4,5.3,,7.4,,,,3.0,6.4,1008.0,56,1016.3,
2016-01-11,8.2,11.1,5.4,,2.8,,,,1.4,6.8,1008.3,62,1016.7,
2016-01-12,5.9,8.7,4.7,0.0,0.0,,,,4.4,7.0,1006.0,75,1014.3,
2016-01-13,7.0,12.0,2.7,,7.4,,,,4.1,5.5,1004.3,57,1012.6,
2016-01-14,8.1,13.1,3.9,,7.6,,,,5.8,5.3,1003.3,50,1011.6,
2016-01-15,6.7,10.2,3.0,2.0,2.1,,,,2.8,6.5,1007.3,67,1015.6,
2016-01-16,6.8,10.0,3.9,0.0,7.0,,,,1.6,7.2,1010.1,74,1018.4,
2016-01-17,6.8,9.4,4.4,3.5,2.1,,,,4.4,7.1,1012.8,72,1021.2,
2016-01-18,7.5,10.8,4.3,34.5,0.9,,,,7.7,9.0,990.0,87,998.2,
2016-01-19,4.4,8.5,1.4,,7.6,,,,8.7,3.5,994.4,41,1002.7,
2016-01-20,5.1,12.8,0.1,,7.6,,,,4.3,4.0,1001.2,45,1009.6,
2016-01-21,6.2,9.7,2.4,0.0,2.5,,,,1.4,5.1,1008.7,54,1017.0,
2016-01-22,6.8,11.0,4.0,0.0,6.9,,,,1.7,5.6,1010.6,57,1019.0,
2016-01-23,5.2,7.6,2.8,0.0,1.1,,,,1.5,5.6,1008.5,64,1016.9,
2016-01-24,2.6,5.4,-0.9,,7.9,,,,7.5,3.5,996.8,46,1005.2,
2016-01-25,3.4,9.0,-1.0,,7.9,,,,3.0,2.8,1008.0,37,1016.5,
2016-01-26,5.3,11.0,0.8,,7.4,,,,1.8,4.1,1014.2,46,1022.6,
2016-01-27,7.6,13.2,3.1,,8.0,,,,2.5,4.7,1015.4,46,1023.7,
2016-01-28,8.7,12.2,5.1,,8.0,,,,1.3,6.5,1017.1,58,1025.5,
2016-01-29,6.6,9.9,4.0,43.0,0.0,,,,4.2,8.6,1014.7,89,1023.1,
2016-01-30,4.9,5.9,3.8,12.0,0.0,,,,5.0,7.5,1011.0,86,1019.4,
2016-01-31,6.7,10.0,4.6,,0.9,,,,1.5,7.2,1012.1,74,1020.4,
2016-02-01,5.5,7.8,3.7,0.5,0.0,,,,2.7,7.1,1010.8,79,1019.2,
2016-02-02,5.7,9.2,3.3,0.0,6.8,,,,2.1,6.0,1009.5,65,1017.9,
2016-02-03,5.4,9.8,2.6,,7.3,,,,1.5,5.3,1012.4,60,1020.8,
2016-02-04,5.8,9.4,3.5,0.0,4.8,,,,2.1,6.3,1011.4,68,1019.8,
2016-02-05,7.4,11.8,3.2,,7.4,,,,1.2,6.1,1007.3,60,1015.6,
2016-02-06,7.8,10.1,4.2,0.0,0.9,,,,2.2,7.6,1003.5,72,1011.8,
2016-02-07,5.3,9.0,2.8,0.0,4.4,,,,2.9,5.6,1007.1,63,1015.5,
2016-02-08,4.8,8.2,2.2,,8.1,,,,1.7,5.6,1009.5,65,1017.9,
2016-02-09,7.8,11.3,2.9,0.0,7.9,,,,7.9,5.3,1001.7,50,1009.9,
2016-02-10,6.5,11.5,2.9,,8.6,,,,2.6,4.9,1010.6,52,1019.0,
2016-02-11,6.2,9.9,2.6,,8.1,,,,1.1,5.3,1021.3,57,1029.8,
2016-02-12,8.1,11.4,3.7,0.0,0.0,,,,1.5,8.0,1022.6,73,1031.0,
2016-02-13,15.2,21.1,10.6,1.5,4.9,,,,2.6,13.1,1011.5,76,1019.6,
2016-02-14,18.4,21.3,14.5,28.0,4.1,,,,8.7,15.5,991.7,74,999.5,
2016-02-15,9.4,16.9,3.4,0.0,0.9,,,,6.0,7.2,993.8,63,1002.0,
2016-02-16,5.3,11.8,1.7,0.0,6.2,,,,2.6,5.3,1003.6,61,1011.9,
2016-02-17,6.9,12.4,3.9,0.0,8.9,,,,4.7,5.0,1006.5,50,1014.9,
2016-02-18,6.1,12.1,1.7,,8.4,,,,1.7,5.6,1016.4,60,1024.8,
2016-02-19,11.6,16.7,5.9,0.0,8.9,,,,6.1,5.8,1016.5,44,1024.8,
2016-02-20,9.2,12.5,7.8,38.5,0.0,,,,1.5,9.3,1011.1,81,1019.4,
2016-02-21,11.5,19.4,6.3,,6.0,,,,4.1,7.9,1004.7,60,1012.9,
2016-02-22,7.4,10.0,5.3,0.0,1.7,,,,1.6,6.3,1019.9,61,1028.3,
2016-02-23,7.9,10.7,6.3,,2.5,,,,2.3,8.7,1012.9,81,1021.3,
2016-02-24,7.1,10.0,4.3,0.0,1.7,,,,2.7,5.8,1012.8,57,1021.2,
2016-02-25,4.3,9.4,2.3,0.0,2.2,,,,3.4,6.0,1017.4,73,1025.9,
2016-02-26,6.1,11.1,2.1,,8.0,,,,2.3,5.1,1015.7,54,1024.1,
2016-02-27,8.4,14.4,3.2,,7.8,,,,3.6,5.8,1016.3,52,1024.6,
2016-02-28,10.1,13.2,6.4,0.0,6.3,,,,2.2,7.8,1016.2,64,1024.6,
