calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.6,13.2,-0.2,,9.2,,,,1.2,6.2,1022.6,71,1025.3,
2016-01-02,7.4,16.0,-0.2,,8.6,,,,2.2,7.0,1019.5,71,1022.2,
2016-01-03,8.6,16.0,2.4,,6.1,,,,1.5,8.7,1014.1,80,1016.7,
2016-01-04,9.7,18.3,2.1,,9.2,,,,1.7,8.7,1011.0,75,1013.7,
2016-01-05,9.6,16.0,3.0,,5.6,,,,1.1,8.7,1013.4,74,1016.0,
2016-01-06,9.9,13.9,7.2,,1.0,,,,1.5,8.8,1013.5,72,1016.2,
2016-01-07,10.0,16.0,6.2,,6.5,,,,1.7,8.1,1009.0,67,1011.7,
2016-01-08,8.3,14.2,2.2,,8.5,,,,3.4,6.0,1010.3,57,1012.9,
2016-01-09,6.3,14.0,0.6,,7.5,,,,1.3,6.5,1014.3,70,1017.0,
2016-01-10,6.2,13.6,0.4,,9.2,,,,1.3,6.6,1014.2,72,1016.9,
2016-01-11,6.4,12.8,0.5,,4.8,,,,1.4,6.6,1014.0,71,1016.7,
2016-01-12,6.2,7.5,3.3,0.0,0.0,,,,2.0,7.0,1011.2,74,1013.9,
2016-01-13,6.2,12.5,0.3,,9.3,,,,2.3,5.4,1010.2,61,1012.9,
2016-01-14,6.1,12.8,-0.8,,9.3,,,,2.2,5.2,1009.7,58,1012.4,
2016-01-15,5.7,11.8,-0.2,,5.5,,,,1.6,6.1,1013.0,68,1015.7,
2016-01-16,6.2,13.1,2.0,0.0,9.4,,,,1.4,6.6,1015.6,71,1018.3,
2016-01-17,6.2,11.2,1.2,0.5,4.0,,,,1.6,6.6,1018.0,72,1020.7,
2016-01-18,6.6,10.9,4.3,26.0,0.1,,,,3.3,8.6,995.8,88,998.5,
2016-01-19,5.5,9.6,2.6,,9.5,,,,7.7,3.5,1000.7,37,1003.4,
2016-01-20,4.9,11.5,-0.4,,7.5,,,,3.7,4.1,1007.4,48,1010.1,
2016-01-21,4.2,11.1,-2.6,,7.0,,,,1.3,5.2,1014.6,64,1017.4,
2016-01-22,6.6,11.9,2.7,,8.0,,,,1.5,6.0,1016.2,63,1018.9,
2016-01-23,5.5,9.5,1.6,0.5,0.1,,,,1.3,6.2,1014.1,69,1016.8,
2016-01-24,3.3,6.8,-2.4,,9.7,,,,4.9,3.5,1003.1,46,1005.8,
2016-01-25,0.8,7.8,-4.8,,9.7,,,,1.3,3.1,1014.5,50,1017.2,
2016-01-26,2.3,9.7,-4.8,,9.7,,,,1.6,4.1,1020.4,60,1023.2,
2016-01-27,3.6,12.1,-3.0,,9.5,,,,1.0,4.9,1021.8,66,1024.6,
2016-01-28,5.2,13.0,-2.0,,9.6,,,,1.4,6.1,1023.2,70,1026.0,
2016-01-29,6.0,7.3,3.9,56.0,0.0,,,,1.1,8.5,1019.7,91,1022.4,
2016-01-30,5.6,7.0,4.5,10.5,0.0,,,,2.0,7.6,1015.8,84,1018.5,
2016-01-31,7.5,12.9,4.0,,3.9,,,,1.4,7.5,1017.6,73,1020.3,
2016-02-01,4.9,7.5,1.8,0.0,0.0,,,,1.8,6.9,1016.1,81,1018.9,
2016-02-02,6.2,12.0,1.7,0.5,6.3,,,,1.6,6.6,1014.8,72,1017.5,
