calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.7,13.3,3.7,,9.4,,,,5.8,5.0,1019.5,49,1025.3,
2016-01-02,9.9,14.0,6.0,,8.9,,,,7.9,6.8,1017.8,55,1023.5,
2016-01-03,12.5,14.8,10.1,,0.6,,,,6.6,9.0,1011.7,62,1017.4,
2016-01-04,13.3,15.9,10.5,,9.3,,,,8.3,8.7,1009.1,57,1014.8,
2016-01-05,12.0,14.8,9.6,,7.3,,,,8.6,7.2,1011.4,51,1017.0,
2016-01-06,11.0,13.0,9.0,,0.0,,,,6.5,7.4,1010.6,57,1016.2,
2016-01-07,9.8,13.5,6.6,,9.4,,,,8.3,6.6,1007.4,54,1013.1,
2016-01-08,8.1,12.1,4.7,,8.1,,,,7.1,5.7,1009.1,53,1014.8,
2016-01-09,7.9,12.3,4.9,,9.5,,,,7.1,5.8,1011.9,54,1017.6,
2016-01-10,8.2,11.4,5.8,,9.5,,,,9.1,5.9,1012.5,54,1018.3,
2016-01-11,8.6,12.1,5.6,,6.5,,,,7.6,6.4,1011.4,57,1017.2,
2016-01-12,7.5,10.0,3.2,0.0,0.2,,,,3.0,6.9,1007.4,66,1013.1,
2016-01-13,6.3,11.3,1.0,,8.6,,,,5.1,4.5,1007.9,48,1013.7,
2016-01-14,6.3,9.8,3.4,,9.4,,,,7.4,4.8,1008.7,51,1014.4,
2016-01-15,6.2,10.6,3.2,,7.7,,,,6.6,5.0,1010.3,53,1016.1,
2016-01-16,6.5,12.3,2.9,,9.8,,,,5.4,4.6,1012.5,49,1018.2,
2016-01-17,7.9,11.9,1.2,2.0,6.2,,,,3.9,6.8,1013.5,62,1019.3,
2016-01-18,9.2,12.0,7.4,13.5,2.0,,,,10.2,9.2,992.2,80,997.8,
2016-01-19,3.7,7.6,0.9,0.0,4.7,,,,10.5,3.9,1000.5,49,1006.3,
2016-01-20,3.6,7.5,0.1,0.0,8.2,,,,9.4,5.1,1006.6,63,1012.4,
2016-01-21,5.1,9.8,1.6,,7.3,,,,7.2,4.3,1011.9,49,1017.8,
2016-01-22,6.4,12.3,2.7,,9.1,,,,4.9,4.1,1012.8,44,1018.6,
2016-01-23,6.6,10.4,4.0,1.0,0.8,,,,3.6,6.8,1010.9,70,1016.7,
2016-01-24,1.3,4.1,-2.2,,8.9,,,,8.9,2.8,1003.5,40,1009.4,
2016-01-25,1.2,6.2,-3.4,,10.0,,,,8.8,3.4,1012.7,50,1018.6,
2016-01-26,4.4,8.9,-0.7,,10.1,,,,6.3,4.2,1017.9,52,1023.7,
2016-01-27,7.4,11.3,3.4,,9.8,,,,8.5,5.2,1019.1,50,1024.9,
2016-01-28,9.4,12.5,5.0,,9.9,,,,7.8,6.4,1020.2,55,1026.0,
2016-01-29,8.7,10.4,7.4,47.5,0.0,,,,6.1,9.9,1014.8,89,1020.5,
2016-01-30,8.0,8.9,7.0,9.0,0.0,,,,6.2,9.2,1011.2,85,1016.9,
2016-01-31,8.0,10.9,4.6,,4.2,,,,3.7,7.6,1014.8,71,1020.5,
2016-02-01,7.0,9.0,5.2,0.0,0.0,,,,3.4,7.0,1012.8,70,1018.6,
2016-02-02,7.1,10.7,2.7,,7.5,,,,3.9,6.2,1011.2,61,1017.0,
2016-02-03,5.0,10.2,0.8,,5.4,,,,3.2,5.1,1014.3,58,1020.1,
2016-02-04,5.7,10.5,-0.4,,9.8,,,,5.5,4.7,1014.2,52,1020.0,
