calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,19.7,21.6,17.5,0.5,4.9,11.15,,,3.8,13.2,1023.3,57,1024.3,8.5
2016-01-02,19.1,21.5,16.5,,6.1,12.67,,,2.6,12.3,1025.6,56,1026.6,6.0
2016-01-03,20.0,23.7,16.4,,6.7,13.14,,,2.1,16.1,1022.1,69,1023.1,8.3
2016-01-04,22.4,24.2,17.6,0.0,5.2,11.30,,,3.6,20.4,1019.3,75,1020.3,9.0
2016-01-05,22.1,24.8,19.0,0.0,4.6,10.74,,,2.0,22.3,1019.6,84,1020.6,6.3
2016-01-06,22.3,24.5,18.8,,7.5,13.28,,,2.6,23.1,1017.8,86,1018.8,6.3
2016-01-07,22.5,24.6,20.3,2.0,0.9,6.15,,,4.6,22.5,1014.4,83,1015.4,8.3
2016-01-08,20.5,23.3,18.1,0.0,3.7,10.12,,,1.7,16.5,1017.4,69,1018.4,7.8
2016-01-09,21.2,24.1,18.6,0.5,2.9,9.75,,,2.2,18.3,1018.2,73,1019.2,10.0
2016-01-10,19.8,21.8,18.3,2.5,0.9,7.20,,,1.9,19.0,1019.1,82,1020.1,10.0
2016-01-11,19.4,21.9,16.8,,3.4,8.41,,,1.6,16.9,1017.4,75,1018.4,10.0
2016-01-12,21.5,24.4,17.9,20.5,0.0,3.89,,,5.2,22.3,1009.0,87,1010.0,10.0
2016-01-13,20.5,22.1,17.4,0.0,6.4,12.05,,,2.7,14.9,1015.3,62,1016.3,9.0
2016-01-14,19.9,21.5,17.3,17.5,0.0,2.78,,,3.1,17.9,1016.2,78,1017.2,10.0
2016-01-15,16.6,17.7,14.2,36.5,0.0,2.99,,,2.5,16.9,1013.9,90,1014.9,10.0
2016-01-16,16.3,19.2,14.3,0.0,0.0,2.92,,,1.8,15.9,1015.3,86,1016.3,9.8
2016-01-17,19.6,21.8,15.5,1.5,4.5,11.43,,,4.2,17.4,1015.8,76,1016.8,8.0
2016-01-18,22.2,24.0,20.5,21.5,0.1,3.34,,,7.8,22.1,1007.7,82,1008.7,10.0
2016-01-19,20.6,21.6,19.7,0.0,0.8,7.60,,,4.4,13.7,1013.2,56,1014.2,9.5
2016-01-20,18.8,20.6,16.4,0.0,2.7,9.13,,,5.9,12.0,1015.6,55,1016.6,7.5
2016-01-21,16.5,19.5,12.6,0.0,4.5,10.58,,,2.3,10.7,1018.2,58,1019.2,6.8
2016-01-22,16.9,20.3,12.8,2.5,0.3,5.82,,,1.9,14.0,1016.9,74,1017.9,10.0
2016-01-23,19.6,22.1,15.2,5.5,0.0,4.69,,,4.1,20.8,1011.5,90,1012.5,10.0
2016-01-24,20.1,21.6,18.5,1.0,2.0,7.30,,,4.9,17.6,1010.5,75,1011.5,6.8
2016-01-25,16.5,19.1,14.0,1.0,4.1,11.28,,,5.1,12.1,1018.0,64,1019.0,9.3
2016-01-26,15.8,17.6,13.8,0.0,3.3,10.44,,,2.0,10.3,1024.7,57,1025.7,5.5
2016-01-27,17.9,21.0,14.5,0.0,5.0,12.40,,,1.7,13.0,1026.7,64,1027.7,8.3
2016-01-28,18.0,21.7,15.1,0.0,8.5,15.03,,,2.0,13.5,1027.2,66,1028.2,1.0
2016-01-29,19.2,22.1,14.6,,6.6,13.71,,,2.7,15.9,1024.0,71,1025.0,2.0
2016-01-30,22.4,24.7,20.3,0.0,6.1,13.67,,,3.7,22.2,1019.4,82,1020.4,9.3
2016-01-31,21.5,23.7,19.6,0.0,3.1,10.33,,,2.7,21.3,1018.4,83,1019.4,8.3
2016-02-01,20.6,23.3,18.3,0.0,4.1,12.06,,,3.0,19.1,1017.8,79,1018.8,5.8
2016-02-02,19.8,22.7,16.9,4.0,2.8,9.50,,,3.0,19.3,1013.7,84,1014.7,5.3
2016-02-03,18.9,21.5,17.1,0.0,1.6,10.28,,,2.0,16.5,1016.0,76,1017.0,8.3
2016-02-04,18.2,21.1,15.1,0.0,6.3,14.41,,,2.7,12.5,1018.5,60,1019.5,2.8
2016-02-05,17.2,20.3,13.1,,9.5,17.39,,,1.9,12.3,1018.1,63,1019.1,3.3
2016-02-06,20.9,23.2,17.8,54.5,0.0,2.95,,,5.9,20.4,1009.8,82,1010.8,10.0
2016-02-07,19.0,20.4,17.8,1.0,3.8,11.48,,,3.2,15.1,1012.4,68,1013.4,8.0
2016-02-08,18.6,21.6,14.4,1.0,7.4,14.93,,,3.4,14.8,1016.3,69,1017.3,4.8
2016-02-09,18.8,20.7,17.4,0.0,7.9,16.75,,,3.2,11.9,1016.7,55,1017.7,7.3
2016-02-10,18.4,20.3,16.0,0.0,7.6,16.30,,,3.7,11.5,1018.7,54,1019.7,8.5
2016-02-11,17.1,19.2,15.8,0.0,2.6,9.75,,,3.3,10.4,1024.3,53,1025.3,8.5
2016-02-12,17.8,19.7,16.5,0.0,3.3,11.53,,,5.0,11.5,1027.2,56,1028.2,7.5
2016-02-13,20.5,22.6,18.2,,9.7,18.38,,,4.5,15.5,1024.0,64,1025.0,1.3
2016-02-14,22.4,24.4,20.6,9.0,2.7,10.35,,,5.9,21.6,1017.3,79,1018.3,9.5
2016-02-15,21.7,23.4,19.2,11.0,0.1,4.64,,,5.5,22.6,1011.3,87,1012.3,10.0
2016-02-16,18.2,19.5,16.8,0.5,1.8,9.33,,,3.1,13.4,1016.1,64,1017.1,9.0
2016-02-17,18.0,20.4,16.3,,4.0,12.94,,,2.2,12.0,1019.5,58,1020.5,7.5
2016-02-18,17.6,20.7,14.7,,2.9,11.13,,,1.6,13.4,1022.8,67,1023.8,7.0
2016-02-19,19.5,22.2,15.2,0.0,8.3,18.04,,,3.5,15.6,1025.9,69,1026.9,3.8
2016-02-20,22.6,23.9,20.7,0.5,2.5,12.28,,,7.4,23.5,1021.2,85,1022.2,10.0
2016-02-21,21.5,23.3,19.1,25.5,0.7,8.65,,,4.0,22.0,1020.2,85,1021.2,9.5
2016-02-22,19.2,21.4,18.0,0.0,8.6,18.42,,,3.2,14.3,1023.9,65,1024.9,5.3
2016-02-23,20.2,22.5,17.6,0.0,4.0,12.52,,,2.1,18.9,1020.7,80,1021.7,10.0
2016-02-24,22.1,24.7,19.8,0.0,7.0,17.52,,,2.9,22.8,1017.4,85,1018.4,8.0
