calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.6,11.9,-1.2,0.0,9.4,,,,2.2,,,,,
2016-01-02,5.1,13.5,-1.1,0.0,8.2,,,,2.1,,,,,
2016-01-03,6.6,14.6,-0.1,0.0,7.6,,,,1.6,,,,,
2016-01-04,7.3,15.2,0.2,0.0,9.3,,,,1.6,,,,,
2016-01-05,7.6,14.8,0.1,0.0,8.2,,,,2.3,,,,,
2016-01-06,6.9,10.1,3.0,0.0,0.9,,,,1.7,,,,,
2016-01-07,6.5,12.4,1.6,0.0,7.3,,,,1.8,,,,,
2016-01-08,4.2,9.2,-0.4,0.0,9.3,,,,1.8,,,,,
2016-01-09,4.5,10.4,-1.5,0.0,7.8,,,,2.3,,,,,
2016-01-10,4.8,12.6,-1.9,0.0,9.4,,,,2.3,,,,,
2016-01-11,4.8,9.3,-1.4,0.0,5.8,,,,2.1,,,,,
2016-01-12,2.5,4.9,-1.0,0.0,0.0,,,,1.8,,,,,
2016-01-13,2.2,8.6,-3.2,0.0,9.3,,,,1.7,,,,,
2016-01-14,3.5,11.3,-3.2,0.0,9.4,,,,2.5,,,,,
2016-01-15,5.1,9.1,-0.7,0.0,3.7,,,,2.3,,,,,
2016-01-16,6.2,10.6,1.6,0.0,8.3,,,,2.0,,,,,
2016-01-17,4.1,7.7,-0.4,5.5,4.1,,,,2.1,,,,,
2016-01-18,1.8,5.9,0.0,52.5,1.5,,,,3.6,,,,,
2016-01-19,3.8,7.1,-0.9,0.0,9.6,,,,3.5,,,,,
2016-01-20,2.2,8.5,-3.0,0.0,9.2,,,,3.3,,,,,
2016-01-21,2.5,8.5,-4.2,0.0,8.0,,,,2.1,,,,,
2016-01-22,3.1,8.5,-1.4,0.0,9.4,,,,1.6,,,,,
2016-01-23,2.2,5.4,-1.0,0.0,2.3,,,,1.5,,,,,
2016-01-24,1.2,6.1,-2.7,0.0,9.6,,,,3.0,,,,,
2016-01-25,0.7,7.3,-6.2,0.0,9.8,,,,1.9,,,,,
2016-01-26,1.7,8.8,-5.0,0.0,9.8,,,,2.5,,,,,
2016-01-27,3.8,12.1,-3.2,0.0,9.7,,,,2.3,,,,,
2016-01-28,5.3,13.1,-2.3,0.0,9.8,,,,2.0,,,,,
2016-01-29,3.8,6.3,1.8,12.5,0.0,,,,2.3,,,,,
