calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,10.1,11.7,8.5,0.0,,,,,5.2,,,,,
2016-01-02,11.6,13.1,9.5,0.0,,,,,8.5,,,,,
2016-01-03,13.3,15.2,11.1,4.0,,,,,6.9,,,,,
2016-01-04,14.6,15.6,13.6,0.0,,,,,10.6,,,,,
2016-01-05,13.5,14.6,12.6,0.0,,,,,10.9,,,,,
2016-01-06,13.0,14.3,12.1,0.0,,,,,7.0,,,,,
2016-01-07,11.3,12.9,9.6,0.0,,,,,11.2,,,,,
2016-01-08,9.7,11.1,8.5,0.0,,,,,9.6,,,,,
2016-01-09,9.4,11.2,8.1,0.0,,,,,7.9,,,,,
2016-01-10,9.6,10.7,8.3,0.0,,,,,10.8,,,,,
2016-01-11,10.3,11.7,9.1,0.0,,,,,9.5,,,,,
2016-01-12,8.2,10.5,5.7,1.5,,,,,4.1,,,,,
2016-01-13,8.4,10.2,5.2,0.0,,,,,5.2,,,,,
2016-01-14,8.1,9.3,6.7,0.0,,,,,10.9,,,,,
2016-01-15,8.1,9.8,6.8,0.0,,,,,8.0,,,,,
2016-01-16,8.7,10.3,6.9,2.0,,,,,4.6,,,,,
2016-01-17,9.1,11.8,6.9,2.5,,,,,4.3,,,,,
2016-01-18,10.0,12.5,7.4,29.0,,,,,8.7,,,,,
2016-01-19,5.4,9.8,3.5,0.5,,,,,15.2,,,,,
2016-01-20,6.0,7.7,2.7,0.0,,,,,14.4,,,,,
2016-01-21,7.2,8.6,5.6,0.0,,,,,9.3,,,,,
2016-01-22,8.5,10.6,6.4,0.0,,,,,4.2,,,,,
2016-01-23,8.0,9.4,6.7,0.0,,,,,5.2,,,,,
2016-01-24,3.0,7.1,-0.1,0.0,,,,,16.0,,,,,
2016-01-25,3.7,5.9,0.0,0.0,,,,,12.3,,,,,
2016-01-26,6.2,8.2,3.7,0.0,,,,,7.6,,,,,
2016-01-27,8.6,10.3,6.7,0.0,,,,,11.8,,,,,
2016-01-28,10.3,11.8,8.3,0.0,,,,,8.7,,,,,
2016-01-29,9.9,12.6,6.8,29.5,,,,,5.3,,,,,
2016-01-30,7.1,8.5,5.9,9.0,,,,,6.4,,,,,
2016-01-31,9.3,12.5,7.1,0.0,,,,,4.8,,,,,
2016-02-01,8.6,10.1,6.8,1.5,,,,,5.2,,,,,
2016-02-02,7.6,9.3,5.6,0.5,,,,,4.0,,,,,
2016-02-03,7.9,9.6,5.9,0.0,,,,,4.2,,,,,
2016-02-04,8.4,9.8,6.2,0.0,,,,,5.6,,,,,
2016-02-05,9.9,11.8,8.3,0.0,,,,,8.1,,,,,
2016-02-06,9.5,11.3,8.2,0.0,,,,,7.2,,,,,
2016-02-07,6.2,8.9,5.0,0.0,,,,,4.4,,,,,
2016-02-08,7.9,10.5,4.4,0.0,,,,,2.9,,,,,
2016-02-09,9.0,12.8,6.4,0.0,,,,,11.9,,,,,
2016-02-10,7.0,9.5,4.5,0.0,,,,,8.2,,,,,
2016-02-11,9.2,11.3,6.1,0.0,,,,,4.5,,,,,
2016-02-12,11.9,13.2,10.1,5.0,,,,,5.6,,,,,
2016-02-13,15.4,17.1,12.4,20.0,,,,,5.9,,,,,
2016-02-14,16.8,19.3,13.5,3.5,,,,,10.9,,,,,
2016-02-15,9.8,13.5,5.3,1.0,,,,,9.7,,,,,
2016-02-16,6.4,7.5,4.9,0.0,,,,,8.7,,,,,
2016-02-17,7.6,9.4,6.0,0.0,,,,,11.6,,,,,
2016-02-18,8.0,11.1,2.0,0.0,,,,,3.2,,,,,
2016-02-19,11.6,13.1,8.2,0.5,,,,,7.0,,,,,
2016-02-20,14.0,18.0,10.1,39.0,,,,,5.9,,,,,
2016-02-21,10.3,14.9,8.1,0.0,,,,,11.6,,,,,
2016-02-22,9.5,10.9,7.2,2.0,,,,,3.7,,,,,
2016-02-23,10.5,12.7,8.3,0.5,,,,,5.5,,,,,
2016-02-24,8.6,10.5,4.9,1.5,,,,,6.6,,,,,
2016-02-25,6.5,9.4,3.3,0.5,,,,,3.8,,,,,
2016-02-26,7.4,9.4,5.5,0.0,,,,,10.5,,,,,
2016-02-27,9.5,13.8,5.7,0.0,,,,,5.9,,,,,
2016-02-28,13.0,14.9,10.7,0.0,,,,,5.2,,,,,
2016-02-29,11.9,16.0,5.7,20.0,,,,,8.8,,,,,
2016-03-01,5.5,7.3,3.8,0.0,,,,,11.7,,,,,
2016-03-02,7.8,9.9,5.6,0.0,,,,,9.8,,,,,
2016-03-03,11.7,13.9,8.4,0.0,,,,,10.5,,,,,
2016-03-04,13.6,16.1,9.4,0.0,,,,,3.8,,,,,
2016-03-05,14.6,16.8,11.8,0.0,,,,,3.8,,,,,
2016-03-06,16.2,19.3,11.8,4.0,,,,,6.2,,,,,
2016-03-07,15.9,17.4,14.9,62.0,,,,,7.9,,,,,
2016-03-08,16.4,18.3,13.3,0.0,,,,,4.9,,,,,
2016-03-09,13.6,18.4,7.8,41.0,,,,,5.2,,,,,
2016-03-10,8.7,10.4,6.9,0.5,,,,,6.5,,,,,
2016-03-11,7.4,10.2,6.0,18.5,,,,,5.7,,,,,
2016-03-12,9.4,11.5,7.0,0.0,,,,,4.7,,,,,
2016-03-13,10.4,13.4,8.3,0.0,,,,,4.1,,,,,
2016-03-14,8.7,10.3,6.0,22.5,,,,,7.4,,,,,
2016-03-15,9.7,13.0,6.1,0.5,,,,,4.6,,,,,
2016-03-16,12.3,14.3,6.3,0.0,,,,,3.7,,,,,
2016-03-17,14.1,16.9,12.2,0.0,,,,,3.4,,,,,
2016-03-18,15.7,18.5,12.0,0.0,,,,,4.1,,,,,
2016-03-19,15.9,17.8,14.3,36.5,,,,,8.0,,,,,
2016-03-20,13.9,16.2,12.3,0.0,,,,,5.5,,,,,
2016-03-21,10.1,13.6,8.3,31.0,,,,,6.8,,,,,
2016-03-22,12.9,16.1,10.2,0.0,,,,,5.8,,,,,
2016-03-23,14.3,16.8,10.7,5.5,,,,,5.6,,,,,
2016-03-24,8.7,11.3,7.5,4.5,,,,,7.5,,,,,
2016-03-25,9.1,11.7,7.4,0.0,,,,,4.1,,,,,
2016-03-26,10.3,11.9,7.3,0.0,,,,,5.0,,,,,
2016-03-27,12.8,16.1,10.3,0.0,,,,,2.6,,,,,
2016-03-28,12.3,16.0,9.3,7.0,,,,,3.7,,,,,
2016-03-29,13.8,16.7,10.2,0.0,,,,,3.1,,,,,
2016-03-30,16.3,18.5,14.2,0.0,,,,,6.0,,,,,
2016-03-31,16.4,18.4,14.5,0.0,,,,,5.3,,,,,
2016-04-01,14.5,16.1,11.5,11.5,,,,,4.8,,,,,
2016-04-02,12.5,15.3,10.4,3.0,,,,,6.5,,,,,
2016-04-03,17.2,18.9,14.0,2.0,,,,,5.9,,,,,
2016-04-04,16.5,17.7,14.3,13.5,,,,,6.2,,,,,
2016-04-05,14.6,16.1,12.7,0.0,,,,,4.2,,,,,
2016-04-06,15.8,18.6,10.9,0.0,,,,,3.0,,,,,
2016-04-07,17.8,19.2,15.9,14.5,,,,,9.1,,,,,
2016-04-08,16.1,18.1,13.7,0.5,,,,,5.0,,,,,
2016-04-09,16.5,19.4,13.3,0.0,,,,,2.2,,,,,
2016-04-10,16.6,18.4,14.5,0.0,,,,,5.1,,,,,
2016-04-11,14.4,16.8,10.5,0.0,,,,,8.4,,,,,
2016-04-12,11.9,14.9,9.1,0.0,,,,,6.1,,,,,
2016-04-13,16.5,18.4,14.7,4.0,,,,,7.0,,,,,
2016-04-14,17.2,19.1,14.9,24.0,,,,,3.9,,,,,
2016-04-15,17.4,19.8,15.5,0.0,,,,,3.1,,,,,
2016-04-16,17.7,19.6,15.1,0.0,,,,,4.2,,,,,
2016-04-17,18.3,19.7,17.3,6.0,,,,,11.9,,,,,
2016-04-18,17.8,20.9,14.9,0.5,,,,,7.1,,,,,
2016-04-19,16.2,18.7,12.7,0.0,,,,,6.8,,,,,
2016-04-20,15.9,17.9,13.5,0.0,,,,,5.5,,,,,
2016-04-21,17.8,19.4,15.9,18.0,,,,,8.1,,,,,
2016-04-22,18.9,20.8,16.8,1.0,,,,,7.7,,,,,
2016-04-23,18.4,21.1,15.9,0.0,,,,,4.1,,,,,
2016-04-24,16.4,18.6,15.2,0.5,,,,,5.7,,,,,
2016-04-25,17.4,19.2,15.8,0.0,,,,,6.0,,,,,
2016-04-26,18.4,20.5,16.8,0.0,,,,,3.9,,,,,
2016-04-27,17.5,19.2,15.7,14.0,,,,,3.2,,,,,
2016-04-28,17.4,20.0,14.7,16.0,,,,,7.1,,,,,
2016-04-29,16.1,18.8,14.7,0.0,,,,,5.6,,,,,
2016-04-30,16.4,18.0,14.5,0.0,,,,,5.6,,,,,
2016-05-01,18.7,20.4,16.9,0.0,,,,,7.4,,,,,
2016-05-02,18.5,20.2,16.1,0.0,,,,,5.2,,,,,
2016-05-03,18.6,20.2,16.8,0.0,,,,,4.9,,,,,
2016-05-04,19.1,21.0,18.0,8.5,,,,,10.3,,,,,
2016-05-05,19.3,21.1,17.1,0.0,,,,,8.8,,,,,
2016-05-06,18.5,21.3,16.0,0.0,,,,,2.6,,,,,
2016-05-07,17.2,18.9,15.2,1.5,,,,,5.0,,,,,
2016-05-08,19.0,21.6,15.7,0.0,,,,,7.2,,,,,
2016-05-09,18.0,20.0,15.1,13.0,,,,,5.3,,,,,
2016-05-10,19.6,21.0,17.5,8.5,,,,,3.3,,,,,
2016-05-11,19.7,20.9,16.8,20.0,,,,,8.4,,,,,
2016-05-12,17.7,20.6,15.8,0.0,,,,,3.9,,,,,
2016-05-13,19.0,21.5,15.9,0.0,,,,,2.3,,,,,
2016-05-14,19.1,23.5,16.3,0.0,,,,,5.0,,,,,
2016-05-15,16.8,18.7,14.8,0.0,,,,,5.1,,,,,
2016-05-16,19.8,21.9,16.6,0.0,,,,,4.3,,,,,
2016-05-17,19.2,20.7,16.8,9.0,,,,,6.9,,,,,
2016-05-18,18.4,21.1,16.4,0.0,,,,,6.4,,,,,
2016-05-19,18.2,20.3,16.6,0.0,,,,,7.0,,,,,
2016-05-20,16.4,17.7,15.2,0.0,,,,,5.5,,,,,
2016-05-21,17.5,20.7,13.5,0.0,,,,,2.4,,,,,
2016-05-22,20.8,25.3,16.5,0.0,,,,,3.6,,,,,
2016-05-23,21.3,25.6,16.0,0.0,,,,,1.8,,,,,
2016-05-24,20.8,23.8,16.7,0.0,,,,,2.7,,,,,
2016-05-25,20.8,22.9,19.7,0.0,,,,,3.6,,,,,
2016-05-26,21.3,23.3,20.0,1.5,,,,,3.7,,,,,
2016-05-27,19.8,23.4,17.2,3.5,,,,,6.9,,,,,
2016-05-28,19.0,21.0,16.8,0.0,,,,,1.8,,,,,
2016-05-29,20.6,23.1,17.0,0.0,,,,,3.2,,,,,
2016-05-30,17.9,21.1,16.9,11.0,,,,,8.1,,,,,
2016-05-31,19.5,21.9,17.3,0.0,,,,,3.0,,,,,
2016-06-01,20.3,21.9,17.6,0.0,,,,,7.1,,,,,
2016-06-02,19.5,22.3,16.7,0.0,,,,,4.2,,,,,
2016-06-03,19.9,22.1,17.4,0.0,,,,,4.1,,,,,
2016-06-04,19.7,21.2,18.2,3.5,,,,,4.0,,,,,
2016-06-05,18.0,19.9,16.2,2.5,,,,,2.8,,,,,
2016-06-06,19.6,22.7,17.3,0.0,,,,,4.3,,,,,
2016-06-07,20.3,22.2,19.6,0.0,,,,,3.3,,,,,
2016-06-08,19.6,21.2,18.6,5.5,,,,,4.8,,,,,
2016-06-09,20.8,22.9,20.0,4.0,,,,,2.8,,,,,
2016-06-10,21.3,23.9,19.8,0.0,,,,,4.6,,,,,
2016-06-11,21.4,23.3,19.3,0.0,,,,,3.6,,,,,
2016-06-12,22.0,24.4,20.5,2.0,,,,,4.3,,,,,
2016-06-13,21.3,23.0,19.8,28.0,,,,,5.9,,,,,
2016-06-14,21.0,22.8,19.7,0.0,,,,,3.4,,,,,
2016-06-15,21.4,24.1,19.5,0.0,,,,,3.4,,,,,
2016-06-16,21.2,23.2,20.2,32.0,,,,,6.1,,,,,
2016-06-17,22.5,24.7,20.4,0.0,,,,,5.1,,,,,
2016-06-18,23.2,26.1,20.9,0.0,,,,,3.2,,,,,
2016-06-19,21.7,23.2,20.0,9.5,,,,,4.2,,,,,
2016-06-20,22.3,24.1,20.8,0.0,,,,,3.6,,,,,
2016-06-21,21.7,23.1,19.7,42.0,,,,,4.6,,,,,
2016-06-22,21.9,24.2,20.7,8.0,,,,,4.8,,,,,
2016-06-23,22.9,25.3,20.9,32.0,,,,,5.6,,,,,
2016-06-24,22.2,23.8,20.9,4.0,,,,,5.3,,,,,
2016-06-25,22.7,23.6,21.2,1.5,,,,,7.2,,,,,
2016-06-26,20.9,23.8,17.9,5.5,,,,,6.3,,,,,
2016-06-27,22.4,25.5,20.4,0.0,,,,,2.9,,,,,
2016-06-28,21.6,23.4,19.0,100.5,,,,,5.2,,,,,
2016-06-29,20.3,21.6,19.3,0.0,,,,,5.4,,,,,
2016-06-30,22.7,23.9,21.2,2.0,,,,,3.1,,,,,
2016-07-01,23.6,26.4,22.4,0.0,,,,,1.7,,,,,
2016-07-02,23.9,25.8,22.4,0.0,,,,,4.0,,,,,
2016-07-03,24.2,26.9,22.8,0.0,,,,,5.8,,,,,
2016-07-04,24.0,26.2,22.6,0.0,,,,,4.3,,,,,
2016-07-05,22.3,24.6,20.3,0.0,,,,,6.6,,,,,
2016-07-06,22.9,25.0,20.3,0.0,,,,,4.0,,,,,
2016-07-07,24.4,27.0,22.8,0.0,,,,,5.1,,,,,
2016-07-08,23.4,26.3,21.9,0.0,,,,,2.8,,,,,
2016-07-09,22.3,24.0,20.6,90.5,,,,,5.5,,,,,
2016-07-10,23.8,25.9,22.2,0.0,,,,,3.6,,,,,
2016-07-11,24.4,27.0,23.0,0.0,,,,,2.9,,,,,
2016-07-12,24.1,26.4,22.9,0.0,,,,,1.8,,,,,
2016-07-13,24.9,26.9,23.8,0.0,,,,,4.2,,,,,
2016-07-14,24.2,26.5,22.9,0.0,,,,,5.0,,,,,
2016-07-15,23.9,26.7,22.3,0.0,,,,,2.5,,,,,
2016-07-16,23.6,26.2,21.9,0.0,,,,,3.7,,,,,
