calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.9,11.8,2.1,0.0,9.1,,,,1.8,,,,,
2016-01-02,6.2,13.2,0.7,0.0,6.1,,,,1.0,,,,,
2016-01-03,8.1,16.5,1.1,0.0,7.8,,,,0.7,,,,,
2016-01-04,8.6,15.6,2.9,0.0,8.9,,,,0.8,,,,,
2016-01-05,10.0,15.6,3.7,0.0,8.2,,,,0.9,,,,,
2016-01-06,8.1,10.4,5.5,0.0,0.1,,,,1.1,,,,,
2016-01-07,7.6,12.8,2.7,0.0,6.0,,,,2.1,,,,,
2016-01-08,5.4,10.0,1.4,0.0,9.0,,,,1.1,,,,,
2016-01-09,5.6,10.8,-0.1,0.0,9.0,,,,1.1,,,,,
2016-01-10,6.7,13.2,0.1,0.0,9.1,,,,1.1,,,,,
2016-01-11,6.4,9.9,2.4,0.0,3.8,,,,1.5,,,,,
2016-01-12,2.9,5.1,-0.2,0.0,0.0,,,,1.3,,,,,
2016-01-13,3.1,8.7,-2.0,0.0,8.7,,,,0.8,,,,,
2016-01-14,4.7,11.5,-1.4,0.0,9.0,,,,0.9,,,,,
2016-01-15,5.2,9.9,1.8,0.0,6.9,,,,1.6,,,,,
2016-01-16,6.2,10.7,1.4,0.0,8.6,,,,1.3,,,,,
2016-01-17,5.1,7.9,1.7,5.0,4.1,,,,1.5,,,,,
2016-01-18,2.0,5.9,0.3,57.0,1.1,,,,2.3,,,,,
2016-01-19,3.8,7.8,-0.2,1.5,9.3,,,,3.0,,,,,
2016-01-20,2.8,7.8,-1.7,0.0,9.3,,,,2.5,,,,,
2016-01-21,4.2,8.6,-1.9,0.0,8.1,,,,2.1,,,,,
2016-01-22,4.9,9.1,2.3,0.0,8.7,,,,3.0,,,,,
2016-01-23,3.5,6.4,1.9,0.0,0.9,,,,2.0,,,,,
2016-01-24,2.5,8.2,-2.7,0.0,9.1,,,,2.4,,,,,
2016-01-25,1.6,7.6,-4.2,0.0,9.7,,,,1.4,,,,,
2016-01-26,2.5,9.4,-3.4,0.0,8.7,,,,0.9,,,,,
2016-01-27,5.3,13.0,-2.5,0.0,9.4,,,,1.2,,,,,
2016-01-28,6.5,13.7,-1.1,0.0,9.5,,,,0.8,,,,,
2016-01-29,4.6,6.9,2.4,9.0,0.0,,,,1.6,,,,,
2016-01-30,3.1,4.9,1.2,4.0,0.0,,,,2.2,,,,,
2016-01-31,5.7,10.9,0.7,0.0,5.8,,,,0.8,,,,,
2016-02-01,4.3,6.2,2.4,0.5,0.0,,,,1.5,,,,,
2016-02-02,5.4,9.8,2.6,0.0,7.2,,,,2.7,,,,,
2016-02-03,4.5,8.1,1.0,0.0,4.9,,,,1.9,,,,,
2016-02-04,4.4,9.5,0.6,0.0,5.9,,,,0.9,,,,,
2016-02-05,6.3,12.7,-0.9,0.0,9.1,,,,0.9,,,,,
2016-02-06,6.2,9.2,2.4,0.0,0.8,,,,1.9,,,,,
2016-02-07,4.1,8.1,0.7,0.0,9.4,,,,3.0,,,,,
2016-02-08,3.6,7.8,0.8,0.0,5.0,,,,1.7,,,,,
2016-02-09,5.6,14.6,-1.3,0.0,8.8,,,,2.1,,,,,
2016-02-10,5.5,10.1,1.9,0.0,9.8,,,,3.8,,,,,
2016-02-11,5.5,10.2,1.9,0.0,9.8,,,,1.9,,,,,
2016-02-12,6.5,12.3,0.4,0.0,3.4,,,,1.4,,,,,
2016-02-13,13.7,21.2,7.6,0.0,4.2,,,,2.1,,,,,
2016-02-14,18.9,24.8,14.8,11.5,5.6,,,,2.9,,,,,
2016-02-15,7.6,14.9,2.3,0.0,0.3,,,,3.5,,,,,
2016-02-16,4.6,10.0,-0.5,0.0,9.8,,,,1.5,,,,,
2016-02-17,4.9,13.0,-0.7,0.0,7.0,,,,2.3,,,,,
2016-02-18,4.9,11.0,-0.9,0.0,9.2,,,,1.1,,,,,
2016-02-19,8.5,16.3,0.2,0.0,9.5,,,,0.9,,,,,
2016-02-20,7.3,10.4,5.6,38.0,0.2,,,,1.6,,,,,
2016-02-21,9.3,14.6,5.4,0.0,4.2,,,,3.1,,,,,
2016-02-22,6.5,9.3,4.7,0.0,1.6,,,,2.3,,,,,
2016-02-23,6.4,9.3,4.2,0.0,0.1,,,,1.0,,,,,
2016-02-24,5.5,7.4,1.9,1.0,0.0,,,,3.0,,,,,
2016-02-25,3.2,7.1,0.1,1.5,1.3,,,,,,,,,
2016-02-26,5.2,11.1,-0.4,0.0,10.2,,,,1.7,,,,,
2016-02-27,7.3,13.2,2.6,0.0,10.1,,,,2.2,,,,,
2016-02-28,8.1,14.6,1.7,0.5,9.2,,,,1.7,,,,,
2016-02-29,7.6,15.2,4.2,0.5,2.0,,,,2.2,,,,,
2016-03-01,4.5,8.8,1.5,0.0,10.3,,,,4.2,,,,,
2016-03-02,5.3,11.5,-1.7,0.0,7.8,,,,1.0,,,,,
2016-03-03,8.6,17.0,0.4,0.0,10.3,,,,1.1,,,,,
2016-03-04,9.8,15.8,3.8,0.0,8.0,,,,1.2,,,,,
2016-03-05,10.4,16.1,7.4,0.0,2.7,,,,1.9,,,,,
2016-03-06,13.3,18.4,8.4,0.0,2.3,,,,1.7,,,,,
2016-03-07,12.8,15.0,11.8,15.0,0.0,,,,1.0,,,,,
2016-03-08,15.5,21.1,11.4,0.0,5.1,,,,1.0,,,,,
2016-03-09,8.6,15.2,3.6,21.0,0.0,,,,2.3,,,,,
2016-03-10,5.9,8.4,3.5,0.0,0.0,,,,2.1,,,,,
2016-03-11,4.1,5.8,2.5,0.5,0.0,,,,1.4,,,,,
2016-03-12,5.5,7.8,2.9,0.0,0.5,,,,1.6,,,,,
2016-03-13,6.3,8.5,4.0,0.0,0.0,,,,1.9,,,,,
2016-03-14,5.2,6.7,3.7,29.0,0.0,,,,2.9,,,,,
2016-03-15,7.7,13.1,3.7,0.5,11.0,,,,3.4,,,,,
2016-03-16,8.0,13.9,1.7,0.0,1.6,,,,1.1,,,,,
2016-03-17,12.5,20.8,4.3,0.0,11.1,,,,1.0,,,,,
2016-03-18,14.3,21.5,5.9,0.0,6.8,,,,2.1,,,,,
2016-03-19,15.0,17.9,11.7,4.0,2.6,,,,2.2,,,,,
2016-03-20,13.5,17.7,10.2,0.0,5.9,,,,3.8,,,,,
2016-03-21,9.7,13.7,6.9,0.0,3.9,,,,1.7,,,,,
2016-03-22,10.7,17.3,4.1,0.0,9.7,,,,1.5,,,,,
2016-03-23,10.6,17.8,5.5,0.0,4.5,,,,1.6,,,,,
2016-03-24,6.1,9.5,4.0,0.0,2.4,,,,1.7,,,,,
2016-03-25,7.4,12.3,1.7,0.0,8.7,,,,2.6,,,,,
2016-03-26,8.0,13.0,5.1,0.0,6.2,,,,1.7,,,,,
2016-03-27,10.2,15.6,6.0,0.0,3.9,,,,1.5,,,,,
2016-03-28,11.2,16.0,8.3,12.0,2.8,,,,1.7,,,,,
2016-03-29,12.3,18.7,5.4,0.0,9.3,,,,1.3,,,,,
2016-03-30,14.5,20.1,9.0,0.0,3.2,,,,1.6,,,,,
2016-03-31,14.7,20.6,7.8,0.0,9.4,,,,1.6,,,,,
2016-04-01,12.4,18.8,8.4,0.0,2.1,,,,2.4,,,,,
2016-04-02,10.7,12.7,8.9,1.0,0.0,,,,1.6,,,,,
2016-04-03,13.4,18.0,9.2,3.5,0.4,,,,1.3,,,,,
2016-04-04,14.6,20.9,9.5,19.5,0.6,,,,1.3,,,,,
2016-04-05,10.7,13.3,8.9,2.5,0.0,,,,0.9,,,,,
2016-04-06,14.4,21.7,6.3,0.0,8.9,,,,1.2,,,,,
2016-04-07,12.6,15.1,10.9,27.0,0.0,,,,1.0,,,,,
2016-04-08,16.7,21.2,11.6,0.0,3.5,,,,1.8,,,,,
2016-04-09,17.0,23.5,10.3,0.0,7.2,,,,1.7,,,,,
2016-04-10,17.0,23.6,11.7,0.0,3.7,,,,1.1,,,,,
2016-04-11,11.2,16.4,6.8,0.0,6.8,,,,4.3,,,,,
2016-04-12,10.3,15.7,4.7,0.0,11.0,,,,2.2,,,,,
2016-04-13,14.2,20.8,10.1,0.0,1.2,,,,1.4,,,,,
2016-04-14,15.1,18.0,13.0,21.5,0.1,,,,1.3,,,,,
2016-04-15,16.0,19.5,9.5,0.0,12.1,,,,3.7,,,,,
2016-04-16,15.1,21.3,8.1,0.0,4.5,,,,1.3,,,,,
2016-04-17,19.4,24.7,16.8,6.0,3.9,,,,3.7,,,,,
2016-04-18,18.5,26.6,14.2,0.0,4.6,,,,1.6,,,,,
2016-04-19,16.5,23.3,11.8,0.0,10.5,,,,1.5,,,,,
2016-04-20,14.9,19.8,9.6,0.0,12.0,,,,1.6,,,,,
2016-04-21,15.6,20.8,11.9,4.0,0.0,,,,1.5,,,,,
2016-04-22,17.2,23.7,12.8,0.0,8.3,,,,1.6,,,,,
2016-04-23,17.6,23.1,14.0,0.0,1.0,,,,1.2,,,,,
2016-04-24,15.8,19.2,12.3,5.5,2.0,,,,1.2,,,,,
2016-04-25,18.1,23.2,13.5,0.0,8.5,,,,1.0,,,,,
2016-04-26,19.1,26.0,13.6,0.0,11.3,,,,1.2,,,,,
2016-04-27,18.1,22.0,15.1,0.5,0.3,,,,1.0,,,,,
2016-04-28,14.3,15.2,13.3,21.0,0.0,,,,1.6,,,,,
2016-04-29,15.8,20.1,11.7,0.0,12.3,,,,4.5,,,,,
2016-04-30,16.0,22.4,9.5,0.0,12.2,,,,1.8,,,,,
2016-05-01,18.5,26.9,10.6,0.0,9.6,,,,0.9,,,,,
2016-05-02,17.8,21.3,13.2,0.0,1.4,,,,1.1,,,,,
2016-05-03,20.6,25.7,17.5,0.0,5.8,,,,1.9,,,,,
2016-05-04,23.1,29.0,18.7,10.0,9.0,,,,3.2,,,,,
2016-05-05,22.6,28.3,17.1,0.0,12.6,,,,2.1,,,,,
