calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,8.6,13.1,4.1,,7.9,,,,3.8,6.7,1015.6,61,1024.9,
2016-01-02,11.4,14.9,4.6,,7.4,,,,7.4,7.9,1013.2,59,1022.3,
2016-01-03,13.6,15.3,9.2,,0.2,,,,7.0,10.4,1007.5,67,1016.6,
2016-01-04,12.8,17.7,6.3,,8.1,,,,5.8,9.8,1004.6,68,1013.6,
2016-01-05,12.8,16.7,8.8,,7.2,,,,3.7,8.9,1006.8,61,1015.9,
2016-01-06,11.3,13.6,9.4,,0.2,,,,2.9,10.6,1007.0,79,1016.1,
2016-01-07,11.1,16.3,7.8,,8.0,,,,3.6,8.3,1002.6,64,1011.7,
2016-01-08,10.0,13.0,4.1,,7.1,,,,7.0,6.5,1004.6,53,1013.7,
2016-01-09,8.8,11.9,4.0,,7.0,,,,4.0,6.7,1007.7,60,1016.9,
2016-01-10,10.1,13.1,5.9,,8.4,,,,5.6,7.0,1007.6,57,1016.8,
2016-01-11,9.0,12.7,5.1,,4.3,,,,2.9,7.5,1007.1,66,1016.3,
2016-01-12,6.4,9.5,4.2,2.0,0.0,,,,4.8,8.1,1004.4,84,1013.7,
2016-01-13,8.2,11.8,2.6,0.0,7.7,,,,6.2,6.0,1003.9,57,1013.1,
2016-01-14,9.1,12.0,7.1,,8.4,,,,6.9,5.7,1003.2,50,1012.4,
2016-01-15,7.5,10.9,4.7,,4.9,,,,3.9,7.1,1006.1,69,1015.4,
2016-01-16,7.1,12.5,3.3,0.0,7.9,,,,3.2,7.4,1008.8,74,1018.1,
2016-01-17,7.3,8.8,4.1,13.0,0.3,,,,5.3,7.9,1011.0,77,1020.3,
2016-01-18,7.9,12.2,4.4,41.5,0.8,,,,9.1,8.9,989.4,84,998.5,
2016-01-19,5.8,10.2,3.1,,7.0,,,,12.4,4.2,995.3,45,1004.5,
2016-01-20,6.0,10.3,1.7,,8.1,,,,6.9,5.2,1001.1,55,1010.4,
2016-01-21,6.1,9.2,3.0,0.0,1.0,,,,2.9,5.9,1007.6,63,1016.9,
2016-01-22,7.6,12.1,5.3,,7.4,,,,3.7,5.4,1009.6,52,1018.8,
2016-01-23,6.8,9.5,4.7,,2.7,,,,4.4,6.1,1007.3,61,1016.5,
2016-01-24,4.1,7.5,0.4,,8.6,,,,10.3,3.9,997.1,46,1006.4,
2016-01-25,2.4,8.3,-3.3,,8.7,,,,3.0,3.5,1007.3,49,1016.7,
2016-01-26,5.5,10.1,-0.6,,6.9,,,,5.4,5.1,1013.4,58,1022.8,
2016-01-27,6.3,12.8,0.4,,8.9,,,,2.8,6.0,1014.5,65,1023.9,
2016-01-28,8.0,13.5,3.1,,6.7,,,,3.0,7.3,1016.2,69,1025.5,
2016-01-29,7.1,11.0,4.9,65.5,0.0,,,,5.7,9.0,1012.8,89,1022.1,
2016-01-30,5.1,6.2,4.0,20.0,0.0,,,,7.2,7.8,1009.0,89,1018.4,
2016-01-31,8.0,11.9,4.5,,2.8,,,,4.2,7.2,1010.9,68,1020.2,
2016-02-01,7.3,9.6,5.6,,0.0,,,,4.2,7.8,1009.4,76,1018.7,
2016-02-02,6.1,10.0,2.7,0.0,7.2,,,,4.6,5.9,1008.1,64,1017.4,
2016-02-03,6.3,8.7,5.0,,5.8,,,,5.1,5.3,1011.0,55,1020.3,
2016-02-04,7.5,11.1,3.6,,5.4,,,,4.7,6.1,1010.3,59,1019.6,
2016-02-05,7.9,13.1,3.4,,8.0,,,,2.8,7.2,1006.2,69,1015.4,
2016-02-06,7.6,12.3,3.3,0.0,3.6,,,,2.6,7.9,1002.3,77,1011.5,
2016-02-07,5.6,8.2,3.1,3.0,3.8,,,,5.6,5.5,1005.8,61,1015.1,
2016-02-08,6.1,10.8,2.0,0.0,8.3,,,,3.8,6.4,1008.2,70,1017.6,
2016-02-09,9.1,12.8,7.0,0.0,8.4,,,,8.8,6.0,1002.1,52,1011.2,
2016-02-10,6.7,11.4,1.9,,8.5,,,,3.8,5.2,1009.8,54,1019.1,
2016-02-11,7.2,10.7,4.7,,8.9,,,,4.5,5.7,1020.0,56,1029.4,
2016-02-12,9.2,12.6,4.7,1.0,0.0,,,,3.4,9.6,1021.5,81,1030.8,
2016-02-13,14.6,16.5,12.4,4.5,0.6,,,,5.7,15.7,1011.4,94,1020.4,
2016-02-14,16.7,18.2,14.9,13.0,1.9,,,,10.4,16.8,993.7,88,1002.5,
2016-02-15,10.1,15.7,2.7,14.0,3.9,,,,6.9,8.6,993.7,70,1002.8,
2016-02-16,6.2,10.1,1.7,,8.9,,,,6.9,5.4,1003.2,58,1012.4,
2016-02-17,7.8,11.7,5.5,,9.5,,,,7.6,5.5,1006.5,51,1015.8,
2016-02-18,7.5,12.0,4.7,,7.1,,,,4.2,5.9,1015.4,57,1024.7,
2016-02-19,11.5,14.5,8.8,0.0,9.2,,,,6.9,8.0,1016.8,60,1026.0,
2016-02-20,9.7,12.9,6.7,90.5,0.0,,,,4.2,10.5,1009.7,87,1018.9,
2016-02-21,11.9,15.9,7.7,,9.3,,,,7.0,8.8,1004.8,63,1013.8,
2016-02-22,8.4,10.2,6.8,0.0,0.6,,,,4.3,6.5,1018.4,59,1027.8,
2016-02-23,10.5,14.2,7.3,0.0,8.1,,,,5.9,8.6,1011.9,69,1021.1,
2016-02-24,7.5,11.0,4.1,0.0,2.7,,,,5.1,5.8,1011.7,56,1021.0,
2016-02-25,4.5,8.3,1.9,1.0,6.7,,,,4.2,6.4,1016.0,76,1025.5,
2016-02-26,6.6,11.4,0.4,,7.5,,,,4.2,5.7,1014.9,59,1024.3,
2016-02-27,8.5,12.0,2.6,,5.7,,,,5.8,6.4,1016.0,57,1025.3,
2016-02-28,11.4,15.7,5.9,,8.1,,,,4.8,8.2,1015.0,62,1024.2,
2016-02-29,11.4,16.1,6.9,9.0,1.4,,,,6.8,10.3,1001.0,76,1010.1,
2016-03-01,5.9,9.5,3.3,,5.1,,,,3.7,4.9,1006.1,53,1015.4,
2016-03-02,7.1,12.4,3.5,,8.0,,,,3.6,5.7,1011.5,57,1020.8,
2016-03-03,10.9,15.2,3.7,,9.9,,,,6.6,7.8,1012.9,61,1022.1,
2016-03-04,12.0,17.5,8.9,,5.3,,,,4.0,9.7,1019.8,70,1029.1,
2016-03-05,12.8,18.2,8.4,,7.4,,,,4.7,11.5,1021.6,79,1030.8,
2016-03-06,14.3,17.6,8.6,3.5,1.8,,,,4.1,13.9,1016.8,85,1026.0,
2016-03-07,16.1,17.5,13.9,36.5,0.0,,,,6.7,15.9,1008.0,87,1017.0,
2016-03-08,16.3,19.4,13.4,0.5,9.4,,,,4.3,15.4,1004.4,83,1013.4,
2016-03-09,11.2,17.6,6.1,39.5,1.6,,,,6.0,12.0,1004.2,89,1013.3,
2016-03-10,7.2,8.8,5.5,2.0,0.6,,,,5.7,7.8,1006.3,77,1015.6,
2016-03-11,5.3,7.6,4.4,23.0,0.0,,,,4.9,7.9,1008.3,89,1017.7,
2016-03-12,7.6,11.5,5.2,,6.8,,,,5.1,7.6,1012.5,73,1021.8,
2016-03-13,8.8,12.1,6.7,0.0,2.7,,,,4.7,8.7,1014.0,77,1023.3,
2016-03-14,6.7,8.3,4.3,60.5,0.0,,,,7.8,8.9,1002.9,90,1012.1,
2016-03-15,9.8,14.4,4.8,0.5,10.2,,,,5.4,7.0,1005.2,59,1014.4,
2016-03-16,10.9,14.1,7.0,,3.3,,,,4.8,8.4,1013.7,63,1022.9,
2016-03-17,13.6,18.1,8.8,,10.4,,,,3.8,10.6,1012.8,69,1021.9,
2016-03-18,15.3,18.4,11.0,0.0,7.0,,,,5.0,11.6,1010.9,67,1019.9,
2016-03-19,15.9,18.5,14.3,29.5,1.2,,,,6.4,16.2,998.0,90,1006.9,
2016-03-20,13.4,16.5,10.7,,4.0,,,,5.1,9.0,1001.6,59,1010.6,
2016-03-21,9.4,11.3,7.5,0.5,3.5,,,,5.1,8.5,1007.5,72,1016.7,
2016-03-22,11.9,16.4,7.3,0.5,8.9,,,,5.7,9.3,1007.1,67,1016.2,
2016-03-23,14.3,18.1,10.2,,8.3,,,,6.3,9.0,1004.0,56,1012.9,
2016-03-24,7.7,10.2,6.1,0.0,1.5,,,,6.2,7.7,1005.3,74,1014.6,
2016-03-25,7.8,12.0,4.8,0.0,7.0,,,,4.2,5.9,1008.3,56,1017.6,
2016-03-26,8.8,11.8,5.9,0.0,8.7,,,,5.5,7.7,1010.0,68,1019.3,
2016-03-27,11.5,17.2,8.9,,9.1,,,,4.1,9.6,1009.4,71,1018.6,
2016-03-28,10.6,15.0,8.7,19.5,4.0,,,,3.2,10.6,1009.4,83,1018.5,
2016-03-29,13.3,17.5,9.1,,9.5,,,,4.5,9.9,1013.9,66,1023.0,
2016-03-30,16.2,18.0,14.2,,2.9,,,,8.2,11.0,1010.2,60,1019.2,
2016-03-31,15.5,19.1,12.4,,6.9,,,,4.7,9.7,1009.2,56,1018.3,
2016-04-01,12.9,16.0,9.3,11.5,0.0,,,,5.0,11.7,1010.1,79,1019.2,
2016-04-02,11.1,14.0,8.4,17.0,2.5,,,,7.0,10.8,1015.6,82,1024.8,
2016-04-03,14.9,19.0,11.8,3.0,1.5,,,,3.9,14.4,1014.2,86,1023.3,
2016-04-04,16.6,18.3,12.1,17.5,0.0,,,,6.5,17.9,999.1,94,1008.0,
2016-04-05,12.4,15.3,10.7,0.0,0.6,,,,3.7,12.0,1004.4,84,1013.5,
2016-04-06,14.3,19.7,9.6,,8.1,,,,3.5,11.6,1010.1,72,1019.2,
2016-04-07,15.8,19.3,12.5,47.0,0.0,,,,6.1,17.5,1002.4,96,1011.3,
2016-04-08,16.7,19.6,12.8,,3.9,,,,5.3,14.3,999.7,76,1008.6,
2016-04-09,16.5,20.9,11.8,,7.2,,,,3.8,14.9,1005.7,80,1014.6,
2016-04-10,16.8,19.3,15.5,,1.3,,,,4.7,14.6,1001.3,77,1010.1,
2016-04-11,13.2,16.5,8.5,,3.0,,,,6.4,10.7,1002.2,68,1011.2,
2016-04-12,11.2,14.1,7.6,,5.4,,,,4.2,7.4,1013.4,55,1022.6,
2016-04-13,16.1,20.3,13.5,9.0,2.6,,,,4.9,13.8,1008.0,76,1017.0,
2016-04-14,16.0,18.7,13.9,16.0,0.6,,,,5.1,16.8,995.8,92,1004.7,
2016-04-15,16.9,21.9,13.0,0.0,9.1,,,,2.9,11.8,1004.0,64,1012.9,
2016-04-16,16.9,20.6,13.3,0.0,8.4,,,,4.4,12.1,1012.7,63,1021.6,
2016-04-17,18.3,19.9,17.0,7.5,0.1,,,,9.7,18.0,1002.4,85,1011.3,
2016-04-18,18.0,21.5,14.7,0.0,5.4,,,,7.1,16.2,1000.4,79,1009.2,
2016-04-19,16.3,20.2,12.5,,11.5,,,,5.1,12.4,1007.1,68,1016.0,
2016-04-20,15.4,20.0,11.6,,11.7,,,,4.7,10.8,1015.4,62,1024.5,
2016-04-21,17.5,20.2,14.4,79.0,0.3,,,,5.7,16.4,1006.7,82,1015.7,
2016-04-22,18.1,23.1,14.5,10.5,3.9,,,,5.6,17.5,996.8,84,1005.7,
2016-04-23,18.3,23.4,14.8,1.0,7.4,,,,3.7,17.1,1002.6,82,1011.5,
2016-04-24,15.5,18.3,13.4,1.0,0.1,,,,4.1,13.8,1004.0,78,1012.9,
