calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,9.4,13.0,3.4,0.0,,,,,4.6,,,,,
2016-01-02,11.8,15.1,5.8,0.0,,,,,5.8,,,,,
2016-01-03,14.0,15.5,8.7,0.0,,,,,6.0,,,,,
2016-01-04,13.3,18.0,5.2,0.0,,,,,4.8,,,,,
2016-01-05,13.0,15.9,9.4,0.0,,,,,2.9,,,,,
2016-01-06,11.6,13.3,9.3,0.0,,,,,3.0,,,,,
2016-01-07,11.5,15.6,8.8,0.0,,,,,3.5,,,,,
2016-01-08,10.3,13.1,3.9,0.0,,,,,5.3,,,,,
2016-01-09,9.0,11.7,3.3,0.0,,,,,3.6,,,,,
2016-01-10,10.4,12.9,7.4,0.0,,,,,4.1,,,,,
2016-01-11,9.5,11.6,5.4,0.0,,,,,2.7,,,,,
2016-01-12,6.9,10.6,5.3,1.5,,,,,6.5,,,,,
2016-01-13,8.5,12.0,3.8,0.0,,,,,4.8,,,,,
2016-01-14,9.4,11.8,7.3,0.0,,,,,5.1,,,,,
2016-01-15,8.1,10.2,5.3,0.0,,,,,3.7,,,,,
2016-01-16,7.4,10.6,3.1,0.0,,,,,3.2,,,,,
2016-01-17,8.0,9.2,5.0,6.0,,,,,7.0,,,,,
2016-01-18,8.3,12.1,4.7,24.5,,,,,9.6,,,,,
2016-01-19,6.0,10.6,3.5,0.0,,,,,8.5,,,,,
2016-01-20,6.5,10.6,2.2,0.0,,,,,5.1,,,,,
2016-01-21,6.6,9.5,3.1,0.0,,,,,2.6,,,,,
2016-01-22,7.6,10.7,5.9,0.0,,,,,4.2,,,,,
2016-01-23,6.9,8.4,5.6,0.0,,,,,5.1,,,,,
2016-01-24,4.3,7.8,0.7,0.0,,,,,7.4,,,,,
2016-01-25,3.7,7.6,-0.8,0.0,,,,,2.6,,,,,
2016-01-26,5.8,10.2,-1.6,0.0,,,,,4.3,,,,,
2016-01-27,6.7,12.5,-0.8,0.0,,,,,2.6,,,,,
2016-01-28,8.4,13.4,2.1,0.0,,,,,2.6,,,,,
2016-01-29,7.4,10.4,5.1,53.0,,,,,7.2,,,,,
2016-01-30,5.6,6.8,4.3,17.5,,,,,10.4,,,,,
2016-01-31,8.0,10.7,4.6,0.0,,,,,4.3,,,,,
2016-02-01,7.7,9.9,6.7,0.0,,,,,4.7,,,,,
2016-02-02,6.6,9.0,3.2,0.0,,,,,5.5,,,,,
2016-02-03,6.7,8.4,5.3,0.0,,,,,5.8,,,,,
2016-02-04,7.8,10.7,5.4,0.0,,,,,4.4,,,,,
2016-02-05,8.4,11.9,3.9,0.0,,,,,2.6,,,,,
2016-02-06,7.6,11.0,2.0,0.0,,,,,3.1,,,,,
2016-02-07,6.0,8.6,3.6,1.0,,,,,6.4,,,,,
2016-02-08,6.5,10.2,1.9,0.0,,,,,3.5,,,,,
2016-02-09,9.4,12.5,7.7,0.0,,,,,6.4,,,,,
2016-02-10,7.0,10.6,2.1,0.0,,,,,2.7,,,,,
2016-02-11,7.1,10.3,3.8,0.0,,,,,4.5,,,,,
2016-02-12,9.4,13.1,4.6,1.0,,,,,3.0,,,,,
2016-02-13,15.0,17.1,12.6,3.0,,,,,6.4,,,,,
2016-02-14,16.9,18.5,15.0,2.5,,,,,11.1,,,,,
2016-02-15,10.4,16.2,3.6,8.0,,,,,6.4,,,,,
2016-02-16,6.4,9.8,1.7,0.0,,,,,5.4,,,,,
2016-02-17,8.1,11.5,5.9,0.0,,,,,6.4,,,,,
2016-02-18,8.0,11.6,4.9,0.0,,,,,4.7,,,,,
2016-02-19,12.0,14.6,9.1,0.0,,,,,6.3,,,,,
2016-02-20,10.1,12.3,7.3,88.0,,,,,3.9,,,,,
2016-02-21,12.3,16.1,8.3,0.0,,,,,6.5,,,,,
2016-02-22,8.7,9.9,7.5,0.0,,,,,5.7,,,,,
2016-02-23,10.6,14.4,7.7,0.0,,,,,5.3,,,,,
2016-02-24,8.0,11.3,4.5,0.0,,,,,5.9,,,,,
2016-02-25,4.4,7.4,1.3,5.5,,,,,4.0,,,,,
2016-02-26,7.1,11.2,-0.2,0.0,,,,,3.4,,,,,
2016-02-27,9.2,12.0,2.3,0.0,,,,,5.7,,,,,
2016-02-28,11.8,14.6,6.5,0.0,,,,,4.4,,,,,
2016-02-29,11.5,16.4,7.3,7.0,,,,,5.7,,,,,
2016-03-01,6.3,8.8,4.6,0.0,,,,,3.7,,,,,
2016-03-02,7.4,11.6,3.2,0.0,,,,,2.9,,,,,
2016-03-03,11.6,15.4,3.8,0.0,,,,,6.2,,,,,
2016-03-04,12.3,15.4,10.1,0.0,,,,,4.6,,,,,
2016-03-05,12.7,15.5,8.7,0.0,,,,,5.3,,,,,
2016-03-06,14.3,17.7,9.7,5.0,,,,,4.5,,,,,
2016-03-07,16.3,17.9,14.1,25.0,,,,,5.4,,,,,
2016-03-08,16.6,19.5,14.1,0.0,,,,,5.2,,,,,
2016-03-09,11.3,16.5,6.5,34.0,,,,,7.0,,,,,
2016-03-10,7.6,8.8,5.9,2.0,,,,,7.3,,,,,
2016-03-11,5.8,8.3,4.7,15.0,,,,,6.6,,,,,
2016-03-12,8.0,10.9,6.1,0.0,,,,,6.8,,,,,
2016-03-13,9.0,12.1,7.2,0.0,,,,,6.4,,,,,
2016-03-14,7.1,8.8,4.8,31.0,,,,,10.2,,,,,
2016-03-15,10.0,14.0,5.4,0.5,,,,,6.2,,,,,
2016-03-16,11.2,13.7,8.1,0.0,,,,,5.4,,,,,
2016-03-17,14.0,17.1,10.0,0.0,,,,,4.0,,,,,
2016-03-18,16.0,18.5,13.2,0.0,,,,,5.5,,,,,
2016-03-19,16.0,18.7,14.2,21.5,,,,,6.4,,,,,
2016-03-20,13.4,16.3,11.1,0.0,,,,,5.8,,,,,
2016-03-21,9.6,11.7,8.0,0.5,,,,,5.4,,,,,
2016-03-22,12.1,16.3,8.3,0.0,,,,,5.9,,,,,
2016-03-23,14.3,18.1,10.4,0.0,,,,,6.1,,,,,
2016-03-24,7.9,10.5,6.6,0.0,,,,,8.3,,,,,
2016-03-25,8.3,11.6,4.7,0.0,,,,,4.7,,,,,
2016-03-26,9.1,11.3,6.2,0.0,,,,,6.6,,,,,
2016-03-27,11.4,15.7,9.1,0.0,,,,,5.0,,,,,
2016-03-28,11.3,14.1,8.9,24.0,,,,,3.3,,,,,
2016-03-29,14.0,17.3,10.9,0.0,,,,,4.8,,,,,
2016-03-30,16.4,18.5,14.2,0.0,,,,,7.2,,,,,
2016-03-31,15.9,18.5,11.9,0.0,,,,,4.3,,,,,
2016-04-01,13.4,16.6,9.7,2.0,,,,,6.6,,,,,
2016-04-02,11.5,13.6,9.2,4.0,,,,,8.8,,,,,
2016-04-03,14.9,19.0,11.8,2.0,,,,,3.6,,,,,
2016-04-04,17.0,19.4,12.0,5.0,,,,,7.3,,,,,
2016-04-05,12.2,13.8,10.3,0.0,,,,,4.6,,,,,
2016-04-06,13.9,18.6,9.2,0.0,,,,,3.0,,,,,
2016-04-07,15.8,19.5,12.1,39.0,,,,,6.0,,,,,
2016-04-08,17.0,19.3,13.3,0.0,,,,,5.6,,,,,
2016-04-09,16.6,21.1,12.3,0.0,,,,,4.2,,,,,
2016-04-10,17.1,19.7,15.9,0.0,,,,,5.8,,,,,
2016-04-11,13.1,16.3,9.0,0.0,,,,,7.0,,,,,
2016-04-12,11.5,14.4,8.3,0.0,,,,,4.9,,,,,
2016-04-13,16.5,20.4,13.7,4.5,,,,,5.0,,,,,
2016-04-14,15.8,18.9,13.8,9.5,,,,,5.3,,,,,
2016-04-15,16.6,20.7,12.8,0.0,,,,,3.6,,,,,
2016-04-16,16.5,20.4,12.3,0.0,,,,,4.6,,,,,
2016-04-17,18.7,20.4,17.2,1.5,,,,,10.8,,,,,
2016-04-18,18.5,22.2,15.2,0.0,,,,,8.3,,,,,
2016-04-19,16.8,20.5,12.8,0.0,,,,,6.2,,,,,
2016-04-20,15.7,19.1,12.7,0.0,,,,,5.9,,,,,
2016-04-21,17.7,20.6,14.3,40.0,,,,,5.7,,,,,
2016-04-22,17.9,21.0,14.5,10.0,,,,,5.9,,,,,
2016-04-23,18.4,23.0,15.1,1.0,,,,,4.5,,,,,
2016-04-24,16.0,18.5,13.4,1.5,,,,,5.2,,,,,
2016-04-25,17.2,20.5,14.8,0.0,,,,,4.3,,,,,
2016-04-26,18.2,23.0,13.7,0.0,,,,,3.7,,,,,
2016-04-27,17.3,19.7,13.3,15.0,,,,,2.4,,,,,
2016-04-28,15.9,17.2,15.1,26.0,,,,,3.4,,,,,
2016-04-29,16.5,19.6,14.3,0.5,,,,,4.5,,,,,
2016-04-30,16.8,19.6,11.2,0.0,,,,,5.0,,,,,
2016-05-01,19.6,22.0,15.8,0.0,,,,,6.9,,,,,
2016-05-02,18.1,22.2,15.3,0.0,,,,,3.4,,,,,
2016-05-03,18.6,21.5,13.9,0.0,,,,,4.6,,,,,
2016-05-04,19.6,22.3,17.7,6.5,,,,,10.0,,,,,
2016-05-05,20.1,22.7,16.1,0.0,,,,,6.1,,,,,
2016-05-06,17.7,19.9,15.9,0.5,,,,,4.0,,,,,
2016-05-07,18.5,21.6,15.8,0.0,,,,,7.3,,,,,
2016-05-08,19.4,23.3,15.9,0.0,,,,,3.4,,,,,
2016-05-09,17.3,21.0,15.5,17.0,,,,,2.8,,,,,
2016-05-10,19.4,23.4,15.9,12.5,,,,,5.5,,,,,
2016-05-11,19.9,21.6,17.3,5.5,,,,,10.4,,,,,
2016-05-12,18.7,22.8,14.5,0.0,,,,,3.3,,,,,
2016-05-13,19.1,22.3,14.2,0.0,,,,,4.3,,,,,
2016-05-14,19.3,23.3,16.1,0.0,,,,,5.0,,,,,
2016-05-15,16.7,21.3,13.7,0.0,,,,,5.2,,,,,
2016-05-16,19.3,23.4,13.2,0.0,,,,,3.9,,,,,
2016-05-17,19.4,21.1,16.3,16.5,,,,,7.6,,,,,
2016-05-18,18.7,23.3,14.9,0.0,,,,,6.0,,,,,
2016-05-19,19.0,22.5,15.9,0.0,,,,,6.9,,,,,
2016-05-20,16.8,19.4,15.6,0.0,,,,,7.6,,,,,
2016-05-21,17.9,22.3,15.1,0.0,,,,,4.1,,,,,
2016-05-22,20.1,25.0,15.3,0.0,,,,,3.8,,,,,
2016-05-23,21.4,26.7,15.0,0.0,,,,,3.4,,,,,
2016-05-24,22.5,26.6,19.5,0.0,,,,,5.9,,,,,
2016-05-25,21.7,23.9,19.7,0.0,,,,,5.7,,,,,
2016-05-26,22.5,25.4,20.5,0.0,,,,,6.1,,,,,
2016-05-27,19.6,22.1,16.9,41.0,,,,,5.6,,,,,
2016-05-28,19.2,21.5,16.1,0.0,,,,,2.8,,,,,
2016-05-29,20.5,23.6,15.6,0.0,,,,,2.2,,,,,
2016-05-30,17.0,20.0,15.5,22.0,,,,,8.6,,,,,
2016-05-31,19.9,23.4,16.7,1.0,,,,,6.3,,,,,
2016-06-01,20.7,24.5,17.3,0.0,,,,,4.0,,,,,
2016-06-02,19.9,23.7,15.0,0.0,,,,,5.8,,,,,
2016-06-03,19.9,23.8,15.9,0.0,,,,,4.9,,,,,
2016-06-04,20.8,23.7,19.0,0.5,,,,,6.7,,,,,
2016-06-05,17.8,20.5,14.7,4.0,,,,,2.4,,,,,
2016-06-06,19.5,22.8,15.0,0.0,,,,,4.8,,,,,
2016-06-07,19.6,21.3,17.7,6.0,,,,,1.8,,,,,
2016-06-08,19.8,22.0,17.7,2.5,,,,,3.6,,,,,
2016-06-09,20.3,22.6,19.0,4.0,,,,,3.6,,,,,
2016-06-10,21.4,25.4,16.1,0.0,,,,,3.6,,,,,
2016-06-11,20.9,25.5,16.2,0.0,,,,,2.1,,,,,
2016-06-12,21.7,24.6,18.0,1.5,,,,,1.7,,,,,
2016-06-13,20.8,21.8,18.8,44.5,,,,,6.7,,,,,
2016-06-14,21.6,25.6,20.0,0.0,,,,,5.3,,,,,
2016-06-15,22.1,26.1,19.3,0.0,,,,,2.1,,,,,
2016-06-16,21.3,23.9,19.5,10.0,,,,,3.1,,,,,
2016-06-17,23.1,27.6,19.8,1.0,,,,,5.1,,,,,
2016-06-18,24.8,29.6,20.4,0.0,,,,,3.5,,,,,
2016-06-19,22.1,25.2,18.7,0.5,,,,,2.3,,,,,
2016-06-20,23.4,25.7,21.0,0.0,,,,,6.5,,,,,
2016-06-21,21.6,23.3,19.9,44.0,,,,,3.0,,,,,
2016-06-22,22.7,26.3,20.0,12.5,,,,,2.9,,,,,
2016-06-23,23.3,25.8,21.1,32.5,,,,,5.3,,,,,
2016-06-24,22.2,24.4,20.9,2.5,,,,,2.9,,,,,
2016-06-25,23.7,26.5,22.2,18.0,,,,,9.7,,,,,
2016-06-26,22.6,25.5,20.6,0.0,,,,,7.9,,,,,
2016-06-27,22.4,26.2,19.5,0.0,,,,,3.3,,,,,
2016-06-28,18.7,21.9,17.0,64.5,,,,,3.9,,,,,
2016-06-29,20.5,22.8,19.2,2.0,,,,,2.8,,,,,
2016-06-30,21.2,24.4,20.1,0.0,,,,,1.7,,,,,
2016-07-01,23.6,27.0,19.7,0.0,,,,,2.8,,,,,
2016-07-02,24.9,27.7,22.7,0.0,,,,,8.1,,,,,
2016-07-03,25.2,27.0,23.5,0.0,,,,,9.5,,,,,
2016-07-04,26.1,29.5,22.2,0.0,,,,,5.8,,,,,
2016-07-05,22.1,25.6,19.7,0.0,,,,,4.9,,,,,
2016-07-06,22.9,27.0,19.9,0.0,,,,,6.5,,,,,
2016-07-07,26.2,29.7,22.7,0.0,,,,,6.7,,,,,
2016-07-08,23.7,26.0,21.9,0.0,,,,,4.2,,,,,
2016-07-09,22.2,25.3,20.1,65.0,,,,,4.0,,,,,
2016-07-10,24.3,27.0,22.3,0.0,,,,,4.0,,,,,
2016-07-11,25.3,29.3,21.8,0.0,,,,,3.5,,,,,
2016-07-12,24.7,27.8,22.2,0.0,,,,,3.1,,,,,
2016-07-13,24.7,26.3,23.2,0.5,,,,,3.2,,,,,
2016-07-14,26.3,31.4,22.8,0.0,,,,,6.8,,,,,
2016-07-15,23.7,26.5,22.1,0.0,,,,,3.8,,,,,
2016-07-16,23.8,27.1,21.9,0.0,,,,,3.3,,,,,
2016-07-17,26.4,30.4,22.8,0.0,,,,,5.3,,,,,
