calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,10.2,13.3,5.4,0.0,,,,,4.4,,,,,
2016-01-02,13.2,16.3,6.2,0.0,,,,,5.1,,,,,
2016-01-03,13.3,15.1,11.9,8.5,,,,,2.6,,,,,
2016-01-04,15.4,19.1,12.7,0.0,,,,,4.7,,,,,
2016-01-05,14.3,17.3,13.2,0.0,,,,,5.6,,,,,
2016-01-06,12.1,13.8,9.6,6.5,,,,,3.2,,,,,
2016-01-07,12.2,14.7,10.2,0.5,,,,,6.3,,,,,
2016-01-08,11.7,13.7,9.4,0.0,,,,,3.4,,,,,
2016-01-09,10.9,13.3,7.7,0.0,,,,,5.1,,,,,
2016-01-10,11.7,14.6,10.3,0.0,,,,,6.7,,,,,
2016-01-11,12.1,14.1,10.7,0.0,,,,,5.8,,,,,
2016-01-12,10.8,13.2,9.7,8.5,,,,,4.2,,,,,
2016-01-13,10.1,13.7,6.8,0.0,,,,,2.7,,,,,
2016-01-14,10.6,11.9,9.6,0.0,,,,,6.7,,,,,
2016-01-15,10.0,12.1,9.0,0.0,,,,,5.8,,,,,
2016-01-16,10.5,13.8,8.0,0.0,,,,,5.3,,,,,
2016-01-17,11.8,14.6,9.5,1.0,,,,,3.4,,,,,
2016-01-18,15.8,20.8,11.8,38.5,,,,,9.7,,,,,
2016-01-19,9.1,14.4,5.6,2.5,,,,,11.7,,,,,
2016-01-20,7.9,10.4,4.4,1.0,,,,,9.8,,,,,
2016-01-21,9.0,10.9,7.7,0.0,,,,,7.1,,,,,
2016-01-22,9.5,12.3,5.8,0.5,,,,,4.0,,,,,
2016-01-23,9.8,13.0,5.0,4.0,,,,,1.6,,,,,
2016-01-24,5.6,9.9,2.6,0.0,,,,,8.7,,,,,
2016-01-25,5.3,7.8,1.8,0.0,,,,,8.4,,,,,
2016-01-26,8.9,11.8,5.2,0.0,,,,,5.5,,,,,
2016-01-27,10.9,13.6,9.2,0.0,,,,,7.4,,,,,
2016-01-28,12.6,15.4,10.7,0.0,,,,,6.9,,,,,
2016-01-29,16.8,19.0,12.9,2.5,,,,,6.4,,,,,
2016-01-30,14.2,19.7,11.6,34.5,,,,,9.2,,,,,
2016-01-31,12.2,15.5,10.2,3.5,,,,,6.0,,,,,
2016-02-01,11.7,13.2,9.6,2.0,,,,,3.1,,,,,
2016-02-02,9.4,11.2,8.0,26.5,,,,,4.7,,,,,
2016-02-03,10.5,14.1,7.7,5.0,,,,,4.5,,,,,
2016-02-04,10.0,11.9,6.4,2.5,,,,,5.3,,,,,
2016-02-05,10.9,13.7,8.1,0.0,,,,,3.0,,,,,
2016-02-06,11.0,13.6,8.6,0.0,,,,,2.6,,,,,
2016-02-07,9.0,13.0,5.5,7.0,,,,,4.5,,,,,
2016-02-08,8.4,10.9,4.2,0.5,,,,,3.1,,,,,
2016-02-09,10.7,15.5,5.0,0.5,,,,,7.0,,,,,
2016-02-10,8.4,10.2,7.3,0.0,,,,,7.2,,,,,
2016-02-11,9.5,14.4,2.5,0.0,,,,,3.7,,,,,
2016-02-12,13.2,16.0,10.1,0.0,,,,,4.8,,,,,
2016-02-13,17.6,20.6,15.0,0.0,,,,,6.4,,,,,
2016-02-14,19.3,20.9,17.5,1.5,,,,,11.0,,,,,
2016-02-15,12.8,17.5,9.4,10.0,,,,,8.2,,,,,
2016-02-16,8.4,10.9,5.6,1.5,,,,,6.1,,,,,
2016-02-17,9.9,13.8,7.9,0.0,,,,,7.3,,,,,
2016-02-18,9.3,12.9,4.5,0.0,,,,,3.1,,,,,
2016-02-19,13.8,18.5,8.1,0.0,,,,,4.8,,,,,
2016-02-20,16.4,20.2,7.9,18.0,,,,,6.1,,,,,
2016-02-21,13.0,20.0,9.6,1.5,,,,,9.5,,,,,
2016-02-22,12.3,14.8,8.9,0.5,,,,,5.4,,,,,
2016-02-23,13.9,17.0,11.9,0.5,,,,,4.2,,,,,
2016-02-24,11.8,16.0,9.3,1.0,,,,,4.3,,,,,
2016-02-25,9.8,13.2,8.1,0.0,,,,,5.3,,,,,
2016-02-26,9.8,11.7,8.4,0.0,,,,,6.1,,,,,
2016-02-27,10.8,13.8,8.6,0.0,,,,,5.6,,,,,
2016-02-28,13.0,15.3,9.9,0.5,,,,,2.0,,,,,
2016-02-29,14.5,19.0,6.9,9.0,,,,,7.7,,,,,
2016-03-01,7.2,9.2,5.5,0.5,,,,,10.1,,,,,
2016-03-02,9.4,12.7,7.4,0.0,,,,,7.5,,,,,
2016-03-03,13.5,17.4,9.8,0.0,,,,,6.7,,,,,
2016-03-04,14.0,18.1,10.9,3.0,,,,,3.7,,,,,
2016-03-05,15.3,19.8,9.1,0.0,,,,,3.2,,,,,
2016-03-06,17.8,20.2,16.1,0.0,,,,,5.3,,,,,
2016-03-07,16.1,17.9,14.8,160.0,,,,,9.1,,,,,
2016-03-08,17.8,21.6,15.4,1.0,,,,,5.2,,,,,
2016-03-09,18.6,21.8,14.1,34.5,,,,,6.3,,,,,
2016-03-10,12.8,15.0,11.2,9.0,,,,,8.9,,,,,
2016-03-11,11.6,13.5,10.7,37.0,,,,,6.1,,,,,
2016-03-12,11.4,14.2,9.8,13.0,,,,,6.2,,,,,
2016-03-13,12.9,15.4,10.8,5.0,,,,,4.4,,,,,
2016-03-14,13.3,17.8,9.6,44.0,,,,,6.6,,,,,
2016-03-15,10.9,14.0,8.5,1.0,,,,,6.9,,,,,
2016-03-16,12.9,17.8,5.4,0.0,,,,,2.5,,,,,
2016-03-17,13.8,19.0,9.6,0.5,,,,,1.5,,,,,
2016-03-18,15.5,20.4,8.7,0.0,,,,,3.1,,,,,
2016-03-19,17.1,18.5,15.1,35.5,,,,,7.6,,,,,
2016-03-20,15.5,18.8,12.6,0.0,,,,,7.3,,,,,
2016-03-21,12.6,14.4,11.2,11.0,,,,,5.7,,,,,
2016-03-22,14.6,19.1,10.1,0.0,,,,,4.5,,,,,
2016-03-23,16.9,19.3,14.9,5.5,,,,,6.4,,,,,
2016-03-24,12.9,17.2,10.2,12.5,,,,,7.9,,,,,
