calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.9,11.1,1.9,0.0,7.3,10.35,0.0,0.0,1.2,7.3,1027.75,79.5,1031.1,4.3
2016-01-02,9.7,14.1,5.7,0.0,1.0,5.0,0.0,0.0,0.7,9.4,1021.65,72.0,1024.85,10.0
2016-01-03,11.8,16.1,7.1,0.0,0.1,4.82,0.0,0.0,0.9,12.05,1016.55,90.5,1019.75,7.5
2016-01-04,9.2,14.1,5.5,0.0,2.2,9.19,0.0,0.0,0.7,10.45,1017.55,84.0,1020.8,4.0
2016-01-05,9.3,12.8,7.5,2.5,0.0,1.46,0.0,0.0,2.5,9.45,1019.8,83.5,1023.05,10.0
2016-01-06,9.2,12.0,6.3,0.0,0.0,4.4,0.0,0.0,2.8,9.100000000000001,1018.0,83.5,1021.2,9.5
2016-01-07,8.2,11.8,6.3,0.0,2.2,3.62,0.0,0.0,1.6,6.85,1017.95,62.5,1021.2,9.5
2016-01-08,6.9,8.8,4.5,0.0,0.2,1.44,0.0,0.0,2.0,6.05,1017.6,60.0,1020.9000000000001,10.0
2016-01-09,5.6,8.7,2.7,0.0,0.3,3.8,0.0,0.0,1.1,5.949999999999999,1020.6,60.0,1023.9,10.0
2016-01-10,6.3,11.4,1.8,0.0,6.6,7.25,0.0,0.0,1.0,6.699999999999999,1021.5,66.5,1024.75,7.3
2016-01-11,7.6,12.1,3.9,0.0,1.0,6.32,0.0,0.0,2.5,6.95,1018.6500000000001,69.5,1021.9,9.5
2016-01-12,6.4,9.5,2.0,0.0,0.7,3.27,0.0,0.0,1.4,7.1,1015.7,73.0,1019.0,8.0
2016-01-13,4.7,7.5,1.4,0.0,0.7,3.71,0.0,0.0,1.7,5.85,1015.9,67.0,1019.25,9.5
2016-01-14,5.9,10.7,2.4,0.0,5.9,6.32,0.0,0.0,1.5,5.45,1017.6500000000001,58.0,1020.95,8.0
2016-01-15,4.7,11.0,0.3,0.0,8.2,12.61,0.0,0.0,1.6,5.05,1018.05,61.0,1021.4,2.3
2016-01-16,5.9,12.5,0.7,0.0,9.2,11.99,0.0,0.0,1.5,5.75,1018.3,64.5,1021.5999999999999,3.0
2016-01-17,6.4,7.9,3.9,21.0,0.0,1.3,0.0,0.0,3.6,8.25,1010.9,88.0,1014.2,9.8
2016-01-18,6.5,10.4,0.2,6.0,2.4,5.95,0.0,0.0,3.8,7.35,1005.8,75.0,1009.0,9.3
2016-01-19,1.5,4.2,-0.3,0.5,1.9,3.2,0.0,0.0,3.7,4.35,1014.4000000000001,61.0,1017.75,10.0
2016-01-20,2.5,6.1,-0.3,0.0,4.9,5.89,0.0,0.0,1.6,4.25,1022.3499999999999,60.0,1025.6999999999998,7.5
2016-01-21,1.7,5.3,-2.2,0.0,0.0,4.14,0.0,0.0,0.9,5.55,1020.7,77.5,1024.05,8.8
2016-01-22,4.5,8.0,-0.4,0.0,2.4,4.04,0.0,0.0,1.2,7.25,1021.1500000000001,81.5,1024.4499999999998,6.8
2016-01-23,3.4,6.1,-0.6,0.5,0.0,1.08,0.0,0.0,1.9,6.4,1020.4,85.5,1023.75,10.0
2016-01-24,-3.6,-0.5,-5.9,8.5,0.0,1.92,2.0,3.0,2.5,3.55,1017.85,73.0,1021.25,10.0
2016-01-25,-1.5,2.0,-6.5,1.5,1.8,2.54,1.0,0.0,1.0,5.1,1023.45,83.0,1026.8000000000002,9.8
2016-01-26,2.3,4.8,0.0,0.0,0.2,1.99,0.0,0.0,0.9,6.75,1024.0,86.0,1027.35,10.0
2016-01-27,4.9,9.0,1.1,0.0,0.7,5.16,0.0,0.0,0.7,7.55,1026.7,81.0,1030.05,10.0
2016-01-28,6.8,9.8,4.6,3.5,0.0,0.82,0.0,0.0,1.5,9.6,1023.2,94.0,1026.5,10.0
2016-01-29,11.7,13.3,9.7,40.5,0.0,1.4,0.0,0.0,1.9,12.600000000000001,1014.45,99.0,1017.7,10.0
2016-01-30,11.0,15.1,7.4,0.5,4.3,14.03,0.0,0.0,2.6,9.85,1017.1,79.0,1020.35,6.5
2016-01-31,8.5,14.1,4.6,0.0,6.8,10.29,0.0,0.0,1.4,8.3,1021.6500000000001,75.5,1024.9,9.3
2016-02-01,6.1,8.6,3.9,0.5,0.0,2.5,0.0,0.0,1.0,7.449999999999999,1020.2,76.0,1023.5,10.0
2016-02-02,5.1,9.4,1.8,0.0,1.2,8.6,0.0,0.0,1.2,6.45,1020.1500000000001,73.5,1023.45,9.8
2016-02-03,6.4,11.7,2.9,0.0,2.4,9.24,0.0,0.0,1.4,7.55,1021.7,81.0,1025.0,6.8
2016-02-04,5.2,11.1,0.4,0.0,7.4,12.35,0.0,0.0,1.3,6.1,1021.1,67.5,1024.4,7.0
2016-02-05,5.1,10.9,1.5,0.0,2.5,8.79,0.0,0.0,0.9,6.1,1017.75,69.0,1021.1,7.3
2016-02-06,4.4,8.6,1.5,0.0,3.2,5.53,0.0,0.0,1.5,5.45,1016.5,64.0,1019.8,10.0
2016-02-07,4.0,9.2,-0.4,0.0,3.5,6.23,0.0,0.0,1.1,6.25,1017.2,77.0,1020.55,9.3
2016-02-08,5.0,10.4,-1.0,0.0,4.7,11.53,0.0,0.0,1.6,5.95,1016.2,66.5,1019.45,7.3
2016-02-09,7.8,13.2,2.5,0.0,9.6,16.91,0.0,0.0,2.6,5.05,1017.4,46.0,1020.7,1.8
2016-02-10,6.8,14.4,0.3,0.0,10.3,17.2,0.0,0.0,1.2,5.95,1022.7,63.5,1026.05,0.5
2016-02-11,9.3,17.4,2.5,0.0,7.5,14.79,0.0,0.0,1.1,7.1,1024.1,66.0,1027.35,7.5
2016-02-12,12.8,18.5,8.0,1.0,0.1,4.15,0.0,0.0,1.3,10.8,1019.1500000000001,73.0,1022.3499999999999,9.5
2016-02-13,15.2,18.5,12.5,32.5,0.0,6.52,0.0,0.0,1.6,17.25,1008.55,93.5,1011.7,10.0
2016-02-14,10.6,17.4,5.3,0.0,0.0,1.73,0.0,0.0,4.0,10.0,1007.9000000000001,75.5,1011.1,10.0
2016-02-15,3.6,5.7,0.5,0.0,3.5,7.67,0.0,0.0,3.4,4.449999999999999,1014.55,56.5,1017.9000000000001,10.0
2016-02-16,3.9,6.8,0.6,1.5,1.5,4.09,0.0,0.0,2.1,5.9,1016.7,72.5,1020.0,10.0
2016-02-17,4.8,8.6,1.1,0.0,1.9,6.22,0.0,0.0,1.5,5.45,1020.6,63.0,1023.9,6.0
2016-02-18,5.2,11.6,-1.1,0.0,6.7,12.91,0.0,0.0,1.2,6.1,1022.2,67.5,1025.5,6.5
2016-02-19,8.7,13.5,2.3,0.0,3.0,7.56,0.0,0.0,1.0,8.2,1023.8,68.5,1027.05,7.5
2016-02-20,8.8,11.5,6.8,26.5,0.1,3.26,0.0,0.0,2.6,10.25,1015.9,92.5,1019.1,10.0
2016-02-21,6.4,10.3,2.5,3.0,8.9,18.67,0.0,0.0,2.1,5.199999999999999,1024.85,56.5,1028.15,5.3
2016-02-22,6.5,11.6,1.5,2.5,2.2,6.9,0.0,0.0,1.6,5.8,1026.9,65.5,1030.25,10.0
2016-02-23,8.4,12.9,5.8,3.5,3.1,11.53,0.0,0.0,2.7,8.55,1022.95,83.5,1026.25,8.3
2016-02-24,7.2,11.7,3.9,0.0,7.4,9.92,0.0,0.0,2.4,7.1,1024.2,75.0,1027.55,8.3
2016-02-25,4.1,8.6,0.5,0.0,4.0,9.14,0.0,0.0,1.8,5.949999999999999,1028.85,75.0,1032.1999999999998,10.0
2016-02-26,4.7,11.1,-1.1,0.0,8.8,14.55,0.0,0.0,1.1,5.25,1027.75,63.5,1031.1,6.3
2016-02-27,7.5,14.5,2.0,0.5,2.5,7.26,0.0,0.0,1.1,7.85,1022.85,70.0,1026.1,7.3
2016-02-28,10.7,18.2,3.3,0.0,9.0,18.02,0.0,0.0,1.7,9.35,1018.95,69.0,1022.2,2.5
2016-02-29,5.7,13.0,0.8,0.0,2.5,10.85,0.0,0.0,3.7,5.9,1018.85,62.5,1022.0999999999999,8.3
2016-03-01,3.1,8.1,-0.3,0.0,8.0,13.32,0.0,0.0,1.7,4.449999999999999,1023.5,58.0,1026.8,7.3
2016-03-02,6.3,13.4,-0.5,0.0,9.7,19.81,0.0,0.0,1.3,5.95,1023.6500000000001,61.5,1026.9499999999998,2.0
2016-03-03,9.8,17.2,1.5,0.0,10.2,19.66,0.0,0.0,1.1,8.25,1022.85,66.5,1026.15,1.0
2016-03-04,14.3,20.6,9.3,0.5,3.7,11.8,0.0,0.0,1.2,11.95,1023.3,75.0,1026.5,9.3
2016-03-05,15.7,23.1,8.7,0.0,10.1,18.45,0.0,0.0,2.0,11.55,1020.65,65.0,1023.8,0.8
2016-03-06,17.2,22.4,12.4,0.0,1.5,6.58,0.0,0.0,1.4,14.15,1015.4000000000001,76.0,1018.55,10.0
2016-03-07,17.0,23.3,13.2,0.0,6.7,6.85,0.0,0.0,2.6,15.100000000000001,1013.9,91.5,1017.1,8.0
2016-03-08,14.9,21.0,12.0,0.0,6.4,9.85,0.0,0.0,3.5,12.05,1014.9,78.0,1018.1,5.5
2016-03-09,10.2,12.7,8.8,32.5,0.0,1.86,0.0,0.0,5.1,10.6,1012.45,88.0,1015.6500000000001,10.0
2016-03-10,9.6,12.3,7.5,0.5,0.5,4.56,0.0,0.0,2.3,9.0,1016.4,78.0,1019.6,10.0
2016-03-11,6.9,11.1,4.0,0.0,4.2,5.87,0.0,0.0,2.1,7.3,1018.4,77.0,1021.7,10.0
2016-03-12,5.9,11.2,1.1,0.0,6.5,7.5,0.0,0.0,1.6,7.05,1020.75,80.5,1024.05,9.3
2016-03-13,6.9,10.1,4.2,8.0,0.0,4.97,0.0,0.0,1.6,8.15,1019.15,84.0,1022.45,10.0
2016-03-14,9.0,14.4,6.0,3.0,5.9,9.54,0.0,0.0,4.4,8.15,1014.7,75.5,1017.9,8.0
2016-03-15,9.7,15.8,4.9,0.0,10.6,21.2,0.0,0.0,2.5,6.95,1019.3499999999999,63.0,1022.6,7.5
2016-03-16,11.5,18.1,5.7,0.0,8.6,15.52,0.0,0.0,1.6,8.55,1019.05,69.0,1022.3,7.5
2016-03-17,13.8,21.8,5.7,0.0,10.9,22.28,0.0,0.0,1.8,9.3,1017.85,65.5,1021.1,3.8
2016-03-18,14.2,15.3,12.5,13.0,0.0,5.07,0.0,0.0,0.9,14.399999999999999,1009.3,87.5,1012.45,10.0
2016-03-19,14.5,17.6,10.2,0.5,1.5,10.2,0.0,0.0,2.2,14.0,1009.05,87.5,1012.2,5.8
2016-03-20,11.8,17.3,7.9,0.0,11.0,22.42,0.0,0.0,3.6,8.4,1016.55,68.0,1019.75,0.0
2016-03-21,10.7,16.3,5.9,0.0,11.4,22.64,0.0,0.0,3.9,7.2,1019.3499999999999,64.5,1022.55,2.5
2016-03-22,11.1,19.6,2.8,0.0,11.5,23.65,0.0,0.0,2.0,8.05,1015.8499999999999,65.5,1019.1,2.0
2016-03-23,12.1,18.0,6.4,0.0,4.3,16.05,0.0,0.0,1.7,10.35,1013.3499999999999,75.0,1016.55,7.3
2016-03-24,10.4,13.8,6.9,0.0,4.4,14.24,0.0,0.0,3.8,7.300000000000001,1017.05,61.5,1020.25,8.8
2016-03-25,9.0,13.8,3.5,0.0,9.5,19.74,0.0,0.0,3.2,5.9,1020.1500000000001,56.0,1023.4,3.5
2016-03-26,9.6,16.7,2.7,0.0,9.0,22.5,0.0,0.0,2.0,6.199999999999999,1017.6,57.0,1020.8,6.5
2016-03-27,9.0,14.8,4.6,0.0,6.7,17.64,0.0,0.0,1.8,7.1,1016.6500000000001,63.0,1019.8499999999999,3.8
2016-03-28,9.9,18.0,3.2,0.0,10.4,21.96,0.0,0.0,1.5,6.55,1019.3,55.5,1022.5,0.0
2016-03-29,11.9,17.9,5.0,0.0,3.2,13.09,0.0,0.0,1.9,8.3,1020.6,56.0,1023.8,7.5
2016-03-30,14.9,17.8,12.4,0.0,0.1,8.16,0.0,0.0,2.1,12.85,1017.5,71.0,1020.6500000000001,10.0
2016-03-31,14.2,17.8,11.4,10.5,0.6,7.99,0.0,0.0,1.8,13.55,1013.75,83.0,1016.95,9.8
2016-04-01,15.2,18.2,13.1,2.5,0.5,5.88,0.0,0.0,3.3,15.25,1010.3499999999999,93.5,1013.5,10.0
2016-04-02,18.5,24.0,13.1,0.0,9.8,19.49,0.0,0.0,2.1,15.65,1016.1,81.0,1019.25,10.0
2016-04-03,17.9,22.7,15.3,7.0,0.0,9.1,0.0,0.0,1.3,16.85,1013.55,85.0,1016.7,10.0
2016-04-04,16.1,19.3,12.5,17.5,0.5,5.49,0.0,0.0,3.0,15.35,1007.8,91.0,1010.95,10.0
2016-04-05,15.4,20.8,10.0,0.0,6.8,21.1,0.0,0.0,1.8,12.3,1013.05,76.5,1016.2,7.5
2016-04-06,16.2,22.0,10.9,6.5,4.0,15.29,0.0,0.0,1.4,11.75,1013.7,70.5,1016.85,10.0
2016-04-07,18.4,21.9,14.2,34.0,0.0,1.67,0.0,0.0,4.0,19.65,1004.7,93.0,1007.75,10.0
2016-04-08,16.9,22.1,13.6,0.0,4.4,15.75,0.0,0.0,1.6,15.15,1011.95,87.5,1015.1,9.3
2016-04-09,17.7,24.5,12.2,0.0,7.4,19.46,0.0,0.0,1.4,12.850000000000001,1011.55,69.5,1014.6500000000001,9.5
2016-04-10,17.5,23.7,13.3,0.0,3.8,16.16,0.0,0.0,2.2,13.9,1009.3499999999999,77.5,1012.5,10.0
2016-04-11,14.6,19.5,10.1,0.0,6.4,21.19,0.0,0.0,3.9,10.399999999999999,1015.1,66.5,1018.3,8.5
2016-04-12,15.8,23.9,8.9,0.0,7.1,20.55,0.0,0.0,3.2,10.0,1014.2,62.0,1017.4,8.3
2016-04-13,16.4,20.0,13.3,18.5,1.6,5.22,0.0,0.0,1.3,14.2,1005.45,78.5,1008.5999999999999,10.0
2016-04-14,19.4,25.6,15.2,0.0,11.6,20.15,0.0,0.0,2.4,16.9,1006.6,86.0,1009.7,5.8
2016-04-15,18.4,24.9,12.8,0.0,11.8,25.81,0.0,0.0,3.1,12.3,1015.45,69.0,1018.6500000000001,3.8
2016-04-16,17.8,24.6,11.3,12.0,5.5,15.81,0.0,0.0,1.7,10.8,1010.5,56.5,1013.65,9.3
2016-04-17,16.7,20.6,11.2,13.5,9.3,26.57,0.0,0.0,4.0,12.9,1005.8499999999999,66.0,1008.95,3.8
2016-04-18,13.5,17.9,9.2,0.0,0.2,9.15,0.0,0.0,1.0,9.5,1013.45,58.5,1016.6,9.5
2016-04-19,14.9,23.2,7.3,0.0,12.1,25.58,0.0,0.0,1.8,9.95,1019.8,61.0,1023.0,1.5
2016-04-20,16.9,24.6,8.5,0.0,9.0,24.34,0.0,0.0,1.9,10.3,1017.9000000000001,58.5,1021.05,5.5
2016-04-21,17.2,20.0,14.3,92.5,0.0,2.61,0.0,0.0,2.3,18.1,1004.4000000000001,90.5,1007.5,10.0
2016-04-22,19.2,25.0,15.4,0.0,9.3,23.11,0.0,0.0,2.1,16.9,1007.1,79.5,1010.2,7.5
2016-04-23,16.1,20.4,13.6,2.5,0.6,6.39,0.0,0.0,1.0,16.450000000000003,1009.2,87.0,1012.3499999999999,10.0
2016-04-24,17.0,22.1,13.8,0.0,2.1,13.38,0.0,0.0,2.5,15.3,1010.45,83.0,1013.55,10.0
2016-04-25,18.0,22.9,13.9,0.0,0.3,13.32,0.0,0.0,3.3,14.65,1012.8499999999999,77.0,1016.0,10.0
2016-04-26,21.6,28.5,16.3,0.0,5.8,21.02,0.0,0.0,2.2,17.25,1011.2,76.0,1014.3,9.0
2016-04-27,19.0,21.1,17.9,24.5,0.0,4.56,0.0,0.0,2.2,19.75,1001.4000000000001,96.5,1004.5,10.0
2016-04-28,16.0,18.9,12.8,1.0,0.3,2.81,0.0,0.0,3.2,15.8,1001.15,93.5,1004.3,9.5
