calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-3.9,-1.8,-4.9,1.5,1.8,5.35,40.0,3.0,3.0,3.8,1003.0,82.0,1020.9,8.8
2016-01-02,-0.9,0.6,-3.8,5.5,0.0,2.43,47.0,14.0,4.6,4.9,994.0,86.0,1011.6,9.8
2016-01-03,-2.3,-1.1,-3.7,1.5,1.5,4.56,50.0,4.0,4.0,4.0,994.5,78.0,1012.2,9.8
2016-01-04,-4.3,-1.8,-7.7,1.5,3.0,5.85,44.0,5.0,3.6,3.4,993.9,78.0,1011.7,9.8
2016-01-05,-6.1,-4.2,-8.1,3.0,1.3,4.99,46.0,5.0,4.1,3.1,994.8,81.0,1012.7,9.0
2016-01-06,-4.6,-2.8,-6.8,4.0,0.1,3.61,53.0,10.0,4.2,3.6,994.4,83.0,1012.2,10.0
2016-01-07,-5.0,-3.2,-6.3,2.5,1.7,5.33,52.0,3.0,3.5,3.5,990.5,82.0,1008.3,10.0
2016-01-08,-4.4,-2.9,-6.3,4.5,0.3,4.13,56.0,11.0,3.2,3.9,990.8,87.0,1008.6,8.0
2016-01-09,-5.6,-4.0,-8.6,1.0,3.6,6.1,54.0,1.0,3.9,3.2,995.4,79.0,1013.3,7.0
2016-01-10,-6.0,-3.4,-9.1,5.5,0.9,4.67,57.0,11.0,4.4,3.3,993.2,83.0,1011.1,7.5
2016-01-11,-8.7,-6.9,-10.4,3.5,4.1,6.69,59.0,2.0,3.2,2.5,996.0,80.0,1014.2,9.8
2016-01-12,-8.4,-6.0,-11.7,0.5,0.4,4.44,53.0,1.0,3.2,2.6,993.4,81.0,1011.6,9.3
2016-01-13,-7.0,-4.1,-10.1,0.5,0.4,4.51,50.0,3.7216494845360826,3.3,2.7,992.5,75.0,1010.4,9.8
2016-01-14,-6.6,-3.0,-8.9,4.0,1.0,4.92,53.0,7.0,3.1,3.2,991.7,85.0,1009.7,10.0
2016-01-15,-10.5,-6.6,-15.8,0.0,7.3,8.41,53.0,1.0,1.5,2.2,998.1,79.0,1016.4,5.5
2016-01-16,-12.5,-7.4,-17.1,1.0,1.3,6.03,49.0,4.385416666666667,0.9,2.0,999.2,86.0,1017.7,9.3
2016-01-17,-12.1,-5.7,-16.2,0.0,4.6,7.54,48.0,2.5531914893617023,1.2,2.0,1004.6,83.0,1023.2,5.5
2016-01-18,-12.3,-3.1,-19.5,0.5,0.0,4.22,46.0,5.8,1.6,2.1,999.9,82.0,1018.4,7.8
2016-01-19,-1.9,-0.7,-3.2,1.5,0.0,2.88,45.0,15.03061224489796,6.7,4.3,982.3,80.0,999.7,10.0
2016-01-20,-2.9,-1.0,-4.3,0.0,3.5,8.24,40.0,7.613636363636363,6.3,3.6,988.8,74.0,1006.4,10.0
2016-01-21,-5.2,-2.7,-10.1,0.0,4.0,7.93,38.0,3.649484536082474,2.2,3.1,995.9,75.0,1013.8,9.3
2016-01-22,-5.2,-1.7,-10.4,0.0,1.0,5.22,39.0,3.0,1.8,3.6,997.2,86.0,1015.1,8.5
2016-01-23,-4.4,-1.5,-10.9,0.5,0.2,4.56,41.0,2.0,2.4,3.6,996.6,82.0,1014.5,10.0
2016-01-24,-10.2,-5.1,-14.8,0.0,6.5,9.21,40.0,2.88659793814433,2.6,2.2,987.2,77.0,1005.3,7.8
2016-01-25,-12.3,-6.2,-20.8,0.5,6.1,9.16,40.0,2.7244897959183674,1.3,1.9,993.9,78.0,1012.3,8.5
2016-01-26,-2.0,0.3,-6.4,0.0,0.8,3.84,40.0,1.0,4.5,4.1,997.6,77.0,1015.4,10.0
2016-01-27,-3.0,0.0,-4.8,3.0,4.3,8.39,44.0,7.0,4.9,3.8,999.5,76.0,1017.3,9.5
2016-01-28,-6.2,-4.1,-8.5,4.5,0.3,5.91,54.0,12.0,5.8,3.2,1003.5,82.0,1021.7,9.8
2016-01-29,-8.8,-5.4,-14.2,2.0,2.1,7.07,54.0,1.0,3.7,2.4,1007.7,78.0,1026.1,7.8
2016-01-30,-12.1,-7.4,-16.9,0.0,7.4,10.51,49.0,2.5306122448979593,1.0,1.9,1004.8,78.0,1023.4,6.5
2016-01-31,-8.6,-5.0,-13.1,2.5,2.0,6.45,53.0,6.0,3.5,2.5,999.8,80.0,1018.0,10.0
2016-02-01,-10.5,-7.4,-14.1,2.0,0.0,5.43,53.0,2.0,1.8,2.3,1000.7,84.0,1019.1,9.8
2016-02-02,-9.1,-4.3,-13.9,1.5,1.5,6.54,53.0,2.0,1.9,2.7,996.9,85.0,1015.1,9.5
2016-02-03,-8.2,-4.2,-13.9,0.5,3.7,7.98,52.0,1.0,1.9,2.8,1001.5,83.0,1019.7,5.5
2016-02-04,-3.2,1.8,-8.9,0.5,2.7,7.55,50.0,3.808080808080808,3.3,3.8,996.8,78.0,1014.6,8.5
2016-02-05,-4.1,-0.8,-6.9,2.5,1.8,7.51,53.0,7.0,4.5,3.6,993.7,79.0,1011.5,9.5
2016-02-06,-7.9,-2.7,-14.4,0.0,4.5,9.4,51.0,4.00990099009901,3.4,2.5,994.5,75.0,1012.6,5.8
2016-02-07,-7.6,-4.6,-13.1,6.0,1.0,7.33,60.0,12.0,3.3,2.9,994.0,83.0,1012.1,9.8
2016-02-08,-7.1,-3.1,-13.5,1.0,7.0,11.02,60.0,1.6914893617021276,2.1,2.6,999.5,74.0,1017.6,6.0
2016-02-09,-5.8,0.4,-13.7,0.5,0.9,6.41,54.0,1.0,2.2,3.5,987.7,84.0,1005.5,9.8
2016-02-10,-3.0,-0.2,-6.3,2.0,0.4,5.69,57.0,6.0,3.4,4.0,995.0,81.0,1012.7,10.0
2016-02-11,-5.0,-1.8,-9.7,1.0,2.8,8.43,58.0,4.0,1.5,3.6,1011.5,86.0,1029.7,7.0
2016-02-12,-2.5,2.6,-9.3,0.0,0.1,5.35,53.0,0.9767441860465116,2.3,3.9,1009.3,76.0,1027.3,10.0
2016-02-13,2.9,5.5,0.9,0.0,0.0,1.96,51.0,0.5,2.5,,995.9,,1013.3,10.0
2016-02-14,-1.3,2.1,-5.2,20.0,0.0,1.52,45.0,5.0,,5.1,977.0,94.0,994.3,10.0
2016-02-15,-7.6,-4.5,-10.0,8.0,1.6,6.94,61.0,18.0,,2.9,981.5,84.0,999.4,9.0
2016-02-16,-7.8,-4.5,-11.9,2.0,2.6,8.05,61.0,4.58,3.7,2.7,987.9,79.0,1005.8,5.3
2016-02-17,-6.0,-4.1,-7.5,6.0,1.5,8.68,64.0,10.0,5.5,3.2,990.0,83.0,1007.8,9.5
2016-02-18,-2.5,0.0,-6.4,10.5,2.2,9.2,74.0,16.0,3.0,4.7,999.0,91.0,1016.8,10.0
2016-02-19,0.5,3.9,-4.0,2.5,0.9,6.2,74.0,3.4893617021276597,3.1,5.5,999.7,87.0,1017.3,8.5
2016-02-20,0.1,2.5,-2.6,3.0,5.9,11.99,61.0,5.0,3.4,4.0,1006.6,66.0,1024.4,8.5
2016-02-21,-2.5,0.5,-5.7,10.0,2.5,10.0,73.0,19.0,4.5,4.3,992.5,85.0,1010.2,10.0
