calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.3,4.7,1.2,5.5,1.1,7.36,0,0,2.3,5.933333333333334,1026.6333333333334,72.0,1027.8,9.3
2016-01-02,5.2,12.2,1.5,2.0,0.2,2.25,0,0,3.3,7.633333333333333,1019.5333333333334,68.33333333333333,1020.6666666666666,10.0
2016-01-03,7.5,13.6,4.2,1.0,1.3,1.87,0,0,2.4,9.1,1015.8666666666667,73.66666666666667,1017.0,10.0
2016-01-04,8.1,14.2,5.3,3.0,1.6,5.23,0,0,2.9,8.4,1014.3333333333334,74.33333333333333,1015.4666666666667,9.8
2016-01-05,4.7,6.9,3.3,12.0,0.0,0.81,0,0,1.7,7.166666666666667,1018.8666666666668,79.66666666666667,1020.0,10.0
2016-01-06,4.3,6.3,2.3,4.0,0.3,5.38,0,0,1.9,7.0,1017.8333333333334,76.66666666666667,1018.9666666666666,10.0
2016-01-07,2.6,5.4,0.4,15.0,0.0,1.38,0,0,2.0,6.166666666666667,1014.9,76.33333333333333,1016.0333333333334,9.8
2016-01-08,1.9,4.2,0.7,17.0,0.0,2.54,0,0,1.7,6.400000000000001,1014.0333333333333,83.66666666666667,1015.1666666666666,10.0
2016-01-09,1.5,2.7,0.0,4.5,0.0,1.35,0,0,1.7,5.766666666666667,1018.4,77.66666666666667,1019.5666666666666,9.8
2016-01-10,4.1,6.9,1.7,34.5,0.1,1.1,0,0,3.0,6.7,1017.3666666666667,77.0,1018.5,10.0
2016-01-11,0.8,2.6,-0.5,5.0,0.0,1.69,0,0,0.9,5.366666666666667,1020.4333333333334,79.33333333333333,1021.5666666666666,10.0
2016-01-12,0.4,1.5,-0.5,2.5,0.0,3.19,0,0,,5.266666666666667,1017.0,80.0,1018.1333333333333,10.0
2016-01-13,1.7,3.8,-1.1,9.0,1.7,6.8,6,6,,5.933333333333334,1012.0666666666666,80.66666666666667,1013.2333333333332,10.0
2016-01-14,0.7,3.8,-0.5,20.5,0.0,1.49,1,2,1.7,5.8,1013.6333333333333,85.33333333333333,1014.7666666666668,10.0
2016-01-15,0.2,3.1,-1.7,3.5,4.5,5.38,9,9,1.2,5.5,1017.3666666666667,87.0,1018.5,8.8
2016-01-16,0.6,1.7,-0.5,14.5,0.0,1.86,7,13,1.7,5.7,1020.2333333333332,83.0,1021.4,10.0
2016-01-17,1.0,3.7,-1.7,0.5,3.0,6.25,8,5,,5.633333333333333,1021.4,80.33333333333333,1022.5333333333334,10.0
2016-01-18,2.8,5.8,0.7,35.5,0.0,1.21,4,2,2.4,6.866666666666667,998.6666666666666,84.33333333333333,999.7999999999998,10.0
2016-01-19,2.3,6.2,-0.8,5.0,2.9,2.75,0,0,6.4,5.466666666666666,999.9000000000001,72.33333333333333,1001.0333333333334,9.8
2016-01-20,1.8,4.9,-1.0,6.0,0.6,3.87,1,1,3.4,5.5,1009.4333333333334,74.33333333333333,1010.5666666666666,9.5
2016-01-21,1.0,2.3,0.4,17.0,0.7,5.14,4,7,1.7,5.1,1019.1666666666666,70.33333333333333,1020.3000000000001,8.8
2016-01-22,1.2,3.0,0.0,10.5,0.2,9.02,9,8,2.5,4.6000000000000005,1021.5999999999999,65.66666666666667,1022.7333333333335,8.8
2016-01-23,0.2,2.1,-0.9,7.5,0.4,4.28,21,18,1.7,4.8999999999999995,1017.1999999999999,76.0,1018.3666666666668,10.0
2016-01-24,-1.3,0.7,-3.4,43.5,0.0,1.5,90,69,2.9,4.733333333333333,1004.7666666666668,80.66666666666667,1005.9,10.0
2016-01-25,-0.3,1.3,-3.3,21.5,0.4,9.57,95,12,3.2,4.800000000000001,1017.0333333333333,74.66666666666667,1018.2000000000002,9.0
2016-01-26,1.0,4.9,-1.8,1.5,6.8,5.34,93,3,2.7,5.433333333333334,1021.3000000000001,71.0,1022.4333333333334,10.0
2016-01-27,3.7,7.6,1.2,11.5,1.6,4.13,77,0,3.0,6.533333333333334,1023.4333333333334,72.66666666666667,1024.5666666666666,9.8
2016-01-28,3.3,4.8,1.7,5.0,0.1,3.9,49,0,2.0,6.800000000000001,1026.3,77.33333333333333,1027.4333333333334,10.0
2016-01-29,0.8,2.1,0.2,18.5,0.0,2.1,50,13,1.5,6.266666666666667,1024.4666666666665,93.0,1025.6333333333332,10.0
2016-01-30,1.6,3.2,0.1,8.0,0.0,3.93,57,7,,6.233333333333333,1021.3000000000001,90.0,1022.4666666666667,10.0
2016-01-31,1.7,4.0,0.3,3.5,0.3,4.58,49,4,1.5,5.866666666666667,1022.3000000000001,81.33333333333333,1023.4666666666667,10.0
2016-02-01,0.6,1.9,-0.6,3.0,0.0,5.54,52,7,,5.166666666666667,1022.4333333333334,77.66666666666667,1023.6,9.0
2016-02-02,0.5,2.7,-1.2,5.0,0.0,9.05,49,9,2.1,4.8999999999999995,1020.4333333333334,71.33333333333333,1021.6,7.8
2016-02-03,0.8,2.1,0.0,3.5,0.0,6.32,56,7,1.4,5.166666666666667,1022.7666666666668,74.0,1023.9333333333334,9.8
2016-02-04,1.9,6.2,-1.2,18.0,5.9,8.33,55,5,3.0,5.7,1018.6,73.0,1019.7666666666668,7.8
2016-02-05,1.7,3.8,0.5,23.5,0.8,5.96,47,2,1.7,6.2,1016.9666666666667,78.66666666666667,1018.1,10.0
2016-02-06,0.9,2.9,0.0,6.0,2.1,3.44,50,7,1.4,5.833333333333333,1015.0333333333333,88.0,1016.1999999999999,10.0
2016-02-07,-0.6,1.3,-2.0,3.5,2.0,8.22,58,14,,4.533333333333333,1018.8666666666667,73.33333333333333,1020.0333333333333,8.8
2016-02-08,-0.8,5.3,-6.0,0.0,10.1,14.49,50,0,1.6,4.233333333333333,1016.8000000000001,63.666666666666664,1017.9333333333334,3.5
2016-02-09,1.5,3.8,-0.6,14.5,0.1,2.48,48,3,2.9,6.066666666666667,1010.1333333333332,81.33333333333333,1011.2666666666668,10.0
2016-02-10,1.8,3.2,0.3,2.5,0.7,12.57,50,7,3.5,4.633333333333333,1022.4333333333334,62.333333333333336,1023.5666666666666,8.5
2016-02-11,2.2,6.4,-1.9,0.0,6.9,9.95,50,0,1.8,4.699999999999999,1031.0,61.666666666666664,1032.1666666666665,5.3
2016-02-12,3.2,11.1,-3.2,0.0,9.1,14.17,46,0,1.3,5.233333333333333,1026.5,54.666666666666664,1027.6333333333334,6.8
2016-02-13,6.3,10.9,3.2,0.0,0.0,4.98,44,0,1.6,8.833333333333334,1015.2000000000002,66.0,1016.3333333333334,10.0
2016-02-14,8.8,13.1,4.0,11.5,0.3,0.48,39,0,3.4,10.766666666666666,999.7333333333335,81.33333333333333,1000.8000000000001,10.0
2016-02-15,1.3,6.2,-1.5,5.5,0.2,6.09,28,12,2.3,5.266666666666667,1008.3666666666668,76.33333333333333,1009.5,9.5
2016-02-16,1.7,5.1,-1.7,7.0,3.7,4.55,36,12,3.0,5.2,1011.2333333333332,77.0,1012.4,8.8
2016-02-17,1.1,2.8,0.2,12.5,0.0,4.35,29,13,2.1,5.166666666666667,1016.5333333333333,74.0,1017.6666666666666,7.5
2016-02-18,2.6,8.3,-0.7,0.0,9.7,15.33,29,0,2.6,5.3,1022.9333333333334,63.666666666666664,1024.0666666666666,6.0
2016-02-19,5.5,11.8,-0.7,0.0,5.3,8.46,23,0,3.2,6.633333333333333,1024.2666666666667,65.0,1025.4,6.0
2016-02-20,4.4,7.0,2.2,1.0,0.0,3.78,17,0,1.3,7.966666666666666,1017.8666666666667,77.66666666666667,1019.0,10.0
2016-02-21,5.2,8.9,1.2,15.0,1.5,7.88,14,0,3.9,7.066666666666666,1018.1333333333333,77.33333333333333,1019.2666666666668,8.8
2016-02-22,2.3,5.2,0.8,0.5,2.5,8.42,5,0,1.2,5.033333333333333,1029.8666666666668,67.33333333333333,1031.0333333333333,9.0
2016-02-23,5.2,9.5,0.8,9.0,2.6,4.52,3,0,3.0,6.7,1021.4333333333334,73.33333333333333,1022.5666666666666,10.0
2016-02-24,1.3,4.2,-1.1,0.0,1.3,5.9,0,0,2.4,4.7,1025.8333333333333,70.0,1027.0,9.5
