calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.5,9.0,1.3,0.0,3.9,7.36,23.153846153846153,2.6923076923076925,3.5,6.1,1026.9,74.0,1027.6,9.3
2016-01-02,7.2,12.0,1.6,7.5,0.6,2.25,19.23076923076923,0.0,4.0,8.0,1019.9,77.0,1020.6,10.0
2016-01-03,10.1,12.1,8.0,25.0,0.7,1.87,15.23076923076923,0.0,2.8,10.1,1016.3,82.0,1017.0,10.0
2016-01-04,8.5,13.7,6.2,1.0,2.6,5.23,11.461538461538462,0.0,3.7,8.9,1014.7,80.0,1015.4,9.8
2016-01-05,4.8,6.3,3.1,7.5,0.0,0.81,7.230769230769231,0.07692307692307693,3.2,6.9,1019.3,81.0,1020.0,10.0
2016-01-06,5.6,8.5,2.6,3.5,1.9,5.38,5.538461538461538,0.0,2.5,6.9,1018.2,76.0,1018.9,10.0
2016-01-07,4.2,7.0,1.8,1.5,0.0,1.38,12.5,8.642857142857142,3.9,6.2,1015.0,75.0,1015.7,9.8
2016-01-08,2.7,4.8,1.4,4.5,0.0,2.54,12.571428571428571,2.0,2.3,6.7,1014.5,91.0,1015.2,10.0
2016-01-09,3.0,5.0,1.1,2.5,0.0,1.35,12.571428571428571,5.428571428571429,3.4,6.0,1018.8,80.0,1019.5,9.8
2016-01-10,5.0,7.4,1.2,13.0,0.0,1.1,10.357142857142858,2.230769230769231,4.2,6.9,1017.4,79.0,1018.1,10.0
2016-01-11,1.6,4.4,-0.1,10.0,0.0,1.69,7.0,7.0,3.4,5.4,1020.8,80.0,1021.5,10.0
2016-01-12,0.9,2.2,0.0,3.0,0.0,3.19,8.0,5.0,2.5,5.6,1017.3,87.0,1018.0,10.0
2016-01-13,1.8,4.5,-0.5,19.0,2.0,6.8,7.0,3.0,2.8,6.3,1012.6,90.0,1013.3,10.0
2016-01-14,1.8,4.8,-1.1,11.0,0.0,1.49,5.0,5.0,3.0,5.9,1014.0,86.0,1014.7,10.0
2016-01-15,-0.6,1.3,-2.4,0.5,0.6,5.38,4.0,1.0,1.1,5.3,1018.0,90.0,1018.7,8.8
2016-01-16,1.4,4.7,-2.2,6.0,0.0,1.86,5.0,4.0,2.6,6.0,1020.5,89.0,1021.2,10.0
2016-01-17,1.4,3.4,-0.8,3.0,1.0,6.25,5.0,2.0,2.1,5.9,1022.3,88.0,1023.0,10.0
2016-01-18,2.9,6.9,1.3,14.5,0.0,1.21,0.0,3.0,3.7,6.7,1000.2,89.0,1000.9,10.0
2016-01-19,2.9,7.1,-0.5,22.0,0.5,2.75,5.0,5.0,7.8,5.8,999.7,77.0,1000.4,9.8
2016-01-20,1.7,5.4,-1.2,23.0,0.4,3.87,12.0,8.0,5.2,5.6,1009.1,82.0,1009.8,9.5
2016-01-21,3.2,4.2,1.5,0.0,0.3,5.14,9.0,1.0,3.7,4.6,1019.1,60.0,1019.8,8.8
2016-01-22,2.8,4.8,1.4,0.0,3.6,9.02,6.0,11.714285714285714,4.8,4.0,1021.4,54.0,1022.1,8.8
2016-01-23,0.9,2.1,-1.1,3.5,0.0,4.28,17.0,14.0,3.0,5.0,1017.8,77.0,1018.5,10.0
2016-01-24,-0.7,1.2,-2.7,30.0,0.1,1.5,36.0,22.0,4.0,5.1,1004.5,89.0,1005.2,10.0
2016-01-25,1.0,2.9,-2.6,0.5,4.0,9.57,35.0,13.266666666666667,4.1,4.7,1016.8,72.0,1017.5,9.0
2016-01-26,1.7,6.1,-0.4,1.0,0.3,5.34,31.0,2.0,2.8,5.8,1021.8,84.0,1022.5,10.0
2016-01-27,5.2,7.5,2.6,17.0,0.8,4.13,23.0,0.3076923076923077,3.4,7.2,1023.7,82.0,1024.4,9.8
2016-01-28,4.5,6.8,2.1,7.0,0.6,3.9,7.0,0.6923076923076923,1.5,7.7,1026.8,91.0,1027.5,10.0
2016-01-29,1.3,2.8,0.4,14.5,0.0,2.1,3.0,2.0,3.1,6.3,1025.3,94.0,1026.0,10.0
2016-01-30,1.3,2.3,-0.1,9.0,0.0,3.93,7.0,4.0,1.6,6.3,1021.7,94.0,1022.4,10.0
2016-01-31,2.2,4.9,0.6,8.5,0.0,4.58,3.0,2.0,2.1,5.9,1022.7,83.0,1023.4,10.0
2016-02-01,1.2,2.2,-0.5,1.0,0.0,5.54,4.0,1.0,2.9,5.3,1022.6,80.0,1023.3,9.0
2016-02-02,2.0,4.9,-0.7,0.0,3.5,9.05,1.0,8.928571428571429,4.0,4.7,1020.5,67.0,1021.2,7.8
2016-02-03,1.8,3.3,0.8,0.0,0.5,6.32,69.28571428571429,5.428571428571429,2.9,5.5,1023.1,78.0,1023.8,9.8
2016-02-04,3.2,7.4,-0.2,2.5,4.4,8.33,64.57142857142857,2.4285714285714284,3.2,6.3,1019.0,83.0,1019.7,7.8
2016-02-05,3.2,6.0,1.5,6.5,0.7,5.96,60.0,3.769230769230769,2.2,6.7,1017.4,87.0,1018.1,10.0
2016-02-06,1.0,2.8,0.2,13.0,0.0,3.44,3.0,5.0,2.4,5.8,1015.5,89.0,1016.2,10.0
2016-02-07,0.4,3.0,-1.8,2.0,2.4,8.22,7.0,5.0,2.8,4.6,1019.1,74.0,1019.8,8.8
2016-02-08,0.9,5.9,-3.5,0.2777777777777778,10.2,14.49,3.0,0.5384615384615384,2.7,4.4,1017.6,69.0,1018.3,3.5
2016-02-09,1.8,4.6,-0.1,32.5,0.2,2.48,5.0,5.0,3.8,6.0,1010.3,86.0,1011.0,10.0
2016-02-10,2.7,4.6,0.7,0.0,6.3,12.57,4.0,1.0,4.9,4.6,1022.4,62.0,1023.1,8.5
2016-02-11,3.4,6.8,-0.1,0.2222222222222222,4.8,9.95,1.0,0.6428571428571429,2.2,4.6,1031.6,60.0,1032.3,5.3
2016-02-12,5.7,12.8,-1.1,0.0,9.4,14.17,62.357142857142854,0.0,2.6,4.9,1027.5,55.0,1028.2,6.8
2016-02-13,8.5,12.4,5.3,1.0,0.0,4.98,56.42857142857143,0.0,2.2,7.7,1016.3,70.0,1017.0,10.0
2016-02-14,9.5,14.5,6.9,12.5,0.0,0.48,48.5,0.0,4.4,10.1,1000.2,84.0,1000.9,10.0
2016-02-15,1.8,7.2,-0.4,1.5,1.1,6.09,0.0,22.5,5.0,5.2,1008.4,73.0,1009.1,9.5
2016-02-16,1.0,3.4,-1.1,15.5,1.8,4.55,2.0,2.0,3.8,5.4,1011.5,81.0,1012.2,8.8
2016-02-17,2.4,4.2,0.4,7.0,0.1,4.35,0.0,25.071428571428573,4.3,4.9,1016.6,68.0,1017.3,7.5
2016-02-18,3.6,9.3,-0.1,0.0,8.6,15.33,0.0,0.23076923076923078,2.7,5.3,1023.5,69.0,1024.2,6.0
2016-02-19,6.2,11.6,-0.1,0.0,3.6,8.46,54.642857142857146,0.46153846153846156,3.9,6.6,1024.7,70.0,1025.4,6.0
2016-02-20,7.4,11.2,5.0,9.0,0.0,3.78,46.5,0.0,2.3,8.2,1018.5,80.0,1019.2,10.0
2016-02-21,5.7,9.8,2.8,3.5,2.6,7.88,41.642857142857146,2.5384615384615383,5.3,7.3,1018.0,79.0,1018.7,8.8
2016-02-22,3.3,5.7,1.8,0.0,2.7,8.42,41.714285714285715,3.357142857142857,2.7,4.9,1030.4,63.0,1031.1,9.0
2016-02-23,5.4,9.8,1.8,2.5,0.3,4.52,37.214285714285715,0.6153846153846154,3.8,6.8,1021.7,75.0,1022.4,10.0
2016-02-24,1.5,5.0,-1.0,1.0,1.5,5.9,0.0,13.133333333333333,4.1,4.7,1026.0,69.0,1026.7,9.5
2016-02-25,1.1,4.3,-1.0,4.0,0.6,6.55,3.0,3.0,3.3,4.9,1026.7,75.0,1027.4,9.5
2016-02-26,2.5,5.3,0.5,1.5,3.3,8.24,2.0,13.857142857142858,3.8,5.4,1025.2,74.0,1025.9,9.3
2016-02-27,4.9,8.8,0.5,2.5,7.1,13.79,48.214285714285715,1.4615384615384615,3.7,6.1,1023.9,71.0,1024.6,7.0
2016-02-28,6.3,9.7,2.3,0.0,5.6,13.59,39.285714285714285,0.0,3.0,6.3,1023.8,66.0,1024.5,8.3
2016-02-29,5.3,10.0,1.3,11.0,0.0,1.51,47.785714285714285,15.357142857142858,6.0,6.7,1010.6,74.0,1011.3,10.0
2016-03-01,1.2,2.7,-1.3,0.5,3.3,11.42,3.0,3.0,5.3,4.8,1018.1,72.0,1018.8,9.5
2016-03-02,2.8,6.1,0.1,4.0,1.6,7.32,1.0,1.0,3.0,5.9,1021.6,80.0,1022.3,9.8
2016-03-03,5.5,9.4,1.9,4.0,0.1,2.83,52.142857142857146,0.07692307692307693,3.6,6.8,1023.0,75.0,1023.7,9.3
2016-03-04,5.1,9.2,0.4,0.0,9.4,15.06,48.0,0.0,1.6,6.2,1030.5,73.0,1031.2,4.5
2016-03-05,7.6,13.6,0.4,0.0,9.5,16.61,42.0,0.0,2.7,7.0,1029.4,69.0,1030.1,3.8
2016-03-06,14.0,21.1,9.1,0.0,6.8,13.59,36.61538461538461,0.0,4.7,9.2,1020.7,59.0,1021.4,8.0
2016-03-07,9.5,12.8,7.1,9.0,0.0,3.32,30.692307692307693,0.0,2.2,10.4,1018.3,87.0,1019.0,9.8
2016-03-08,8.8,13.0,5.9,1.0,1.0,5.84,27.615384615384617,0.0,3.1,10.0,1016.0,88.0,1016.7,10.0
2016-03-09,4.3,6.4,2.7,0.0,0.0,3.48,27.076923076923077,1.8461538461538463,2.2,5.6,1019.5,69.0,1020.2,10.0
2016-03-10,3.9,6.4,1.9,0.125,2.5,9.87,26.76923076923077,0.0,2.4,4.9,1020.1,61.0,1020.8,9.8
2016-03-11,2.5,5.5,0.7,1.5,2.7,10.83,0.0,1.5714285714285714,2.0,5.8,1020.3,79.0,1021.0,9.5
2016-03-12,2.8,6.4,0.1,1.5,6.7,13.99,2.0,2.0,2.0,5.3,1024.4,72.0,1025.1,4.3
2016-03-13,5.5,9.5,0.9,0.0,3.4,12.06,22.23076923076923,0.0,2.0,5.8,1023.8,65.0,1024.5,9.3
2016-03-14,5.4,7.4,3.7,2.0,0.0,6.03,21.307692307692307,0.7692307692307693,1.8,7.5,1016.8,85.0,1017.5,10.0
2016-03-15,5.6,8.5,2.4,0.5,5.7,16.01,21.384615384615383,1.0,3.8,5.3,1018.5,58.0,1019.2,6.3
2016-03-16,7.0,13.5,0.5,0.0,6.2,13.64,20.076923076923077,0.0,2.5,5.2,1021.5,55.0,1022.2,9.5
