calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.9,11.8,2.1,0.0,9.1,13.113333333333335,0.0,0.0,1.8,10.116666666666667,1017.9,58.666666666666664,1024.2,5.5
2016-01-02,6.2,13.2,0.7,0.0,6.1,12.783333333333331,0.0,0.0,1.0,10.433333333333334,1017.2333333333335,59.666666666666664,1023.4333333333334,5.15
2016-01-03,8.1,16.5,1.1,0.0,7.8,12.993333333333334,0.0,0.0,0.7,12.533333333333333,1013.0833333333331,70.16666666666667,1019.2666666666668,6.800000000000001
2016-01-04,8.6,15.6,2.9,0.0,8.9,12.13,0.0,0.0,0.8,13.566666666666665,1010.5,68.5,1016.6166666666668,4.5
2016-01-05,10.0,15.6,3.7,0.0,8.2,12.450000000000001,0.0,0.0,0.9,13.433333333333335,1011.7833333333334,65.5,1017.9333333333333,4.55
2016-01-06,8.1,10.4,5.5,0.0,0.1,11.356666666666667,0.0,0.0,1.1,14.35,1011.3833333333333,76.0,1017.5666666666667,8.15
2016-01-07,7.6,12.8,2.7,0.0,6.0,9.786666666666667,0.0,0.0,2.1,12.966666666666667,1007.6500000000001,66.33333333333333,1013.8333333333331,7.550000000000001
2016-01-08,5.4,10.0,1.4,0.0,9.0,9.453333333333333,0.0,0.0,1.1,11.883333333333333,1009.4499999999999,64.66666666666667,1015.65,5.4
2016-01-09,5.6,10.8,-0.1,0.0,9.0,8.946666666666665,0.0,0.0,1.1,12.116666666666667,1011.7333333333335,67.0,1017.9666666666667,5.9
2016-01-10,6.7,13.2,0.1,0.0,9.1,9.376666666666667,0.0,0.0,1.1,12.333333333333334,1011.7000000000002,66.33333333333333,1017.9333333333334,5.9
2016-01-11,6.4,9.9,2.4,0.0,3.8,7.789999999999999,0.0,0.0,1.5,12.049999999999999,1010.8666666666668,68.5,1017.1,9.25
