calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.5227272727272725,5.663636363636364,-2.786363636363636,0.1590909090909091,4.844444444444445,5.71,8.4,1.6,2.6590909090909096,4.85,1019.1500000000001,69.0,1024.7,4.0
2016-01-02,5.172727272727275,10.654545454545454,-1.8318181818181818,0.5909090909090909,2.1666666666666665,3.28,7.0,0.2,2.4272727272727277,6.55,1013.55,66.5,1018.9,6.3
2016-01-03,7.618181818181818,11.33181818181818,3.899999999999999,0.1590909090909091,3.222222222222222,5.89,3.6,0.2,2.15,7.949999999999999,1010.25,72.0,1015.55,8.3
2016-01-04,6.031818181818181,11.127272727272725,1.836363636363636,0.5,2.488888888888889,4.87,2.4,0.0,2.7181818181818183,7.1,1007.5999999999999,70.5,1012.95,8.8
2016-01-05,3.0772727272727276,6.0227272727272725,-0.5045454545454544,0.06818181818181818,4.800000000000001,7.04,4.4,3.4,2.9454545454545453,5.2,1012.0,64.5,1017.35,6.8
2016-01-06,2.559090909090909,6.422727272727272,-1.3636363636363635,0.0,2.75,6.48,4.0,0.4,2.263636363636364,5.050000000000001,1011.85,64.5,1017.3,8.5
2016-01-07,1.8590909090909091,5.086363636363637,-1.1045454545454545,0.045454545454545456,3.6722222222222225,7.35,3.4,0.8,2.9454545454545453,4.949999999999999,1007.2,66.0,1012.6,5.8
2016-01-08,2.1772727272727272,6.445454545454546,-1.7409090909090912,0.09090909090909091,4.300000000000001,7.54,3.4,1.6,2.018181818181818,4.65,1008.3,60.5,1013.7,6.3
2016-01-09,0.9681818181818183,4.854545454545454,-2.3727272727272726,0.11363636363636363,4.4833333333333325,8.27,5.2,2.4,2.219047619047619,4.7,1012.45,67.0,1017.9,6.0
2016-01-10,2.1363636363636362,7.09090909090909,-1.8,0.7954545454545454,4.844444444444445,7.84,8.6,6.0,2.668181818181818,5.1,1010.4,68.5,1015.8,6.0
2016-01-11,-0.22727272727272732,2.8590909090909093,-3.0863636363636364,0.11904761904761904,4.844444444444445,5.34,7.666666666666667,3.0,2.999999999999999,4.199999999999999,1013.2,68.0,1018.7,7.5
2016-01-12,-0.7727272727272727,2.6818181818181817,-3.9818181818181824,0.022727272727272728,3.005555555555556,5.94,7.666666666666667,1.6,2.290909090909091,4.2,1010.1,69.5,1015.6,7.3
2016-01-13,0.7954545454545454,5.781818181818181,-4.740909090909093,0.11363636363636363,5.838888888888889,9.93,8.4,1.6,1.7772727272727273,4.7,1007.4,65.5,1012.8,6.3
2016-01-14,0.6954545454545454,4.218181818181818,-3.6136363636363638,0.4090909090909091,5.877777777777776,7.91,9.6,2.0,2.7095238095238097,4.550000000000001,1007.55,66.0,1013.0,3.8
2016-01-15,-1.3499999999999999,3.7181818181818183,-5.2727272727272725,0.35714285714285715,5.050000000000001,7.75,8.4,0.8,1.6,3.8,1013.05,64.0,1018.5,7.0
2016-01-16,-1.8727272727272726,3.059090909090908,-5.89090909090909,0.1590909090909091,2.9722222222222223,7.06,7.0,3.0,1.8090909090909095,4.15,1014.8499999999999,74.0,1020.3499999999999,7.5
2016-01-17,-0.2454545454545455,4.3090909090909095,-5.277272727272727,0.025,4.105555555555556,8.26,8.8,1.4,1.8727272727272726,4.25,1017.9,65.5,1023.3499999999999,6.3
2016-01-18,1.0818181818181818,3.590909090909091,-1.4772727272727273,50.72727272727273,0.022222222222222223,0.72,24.142857142857142,21.0,4.631818181818182,5.9,998.2,87.0,1003.55,9.8
2016-01-19,1.1045454545454545,3.377272727272727,-2.0,5.204545454545454,1.5999999999999999,6.62,27.857142857142858,12.5,3.0849999999999995,5.35,992.3,78.0,997.6500000000001,7.5
2016-01-20,0.19090909090909092,4.236363636363636,-4.6863636363636365,0.7380952380952381,6.605555555555553,11.75,27.428571428571427,5.6,2.845454545454545,4.6,1000.6500000000001,69.5,1006.0,3.0
2016-01-21,0.43636363636363645,3.6727272727272724,-2.631818181818182,0.38636363636363635,4.905555555555557,8.92,30.833333333333332,3.0,2.6681818181818184,4.5,1010.9,69.5,1016.3499999999999,5.5
2016-01-22,-0.3136363636363637,3.3818181818181823,-3.3590909090909093,0.36363636363636365,6.188888888888889,11.97,28.833333333333332,6.4,2.95,4.4,1013.3,69.0,1018.75,3.5
2016-01-23,-0.39545454545454545,2.2500000000000004,-3.0818181818181825,0.2727272727272727,1.3611111111111114,5.76,25.428571428571427,2.4285714285714284,2.286363636363636,3.9,1012.35,63.0,1017.8,9.5
2016-01-24,-1.7454545454545454,1.3136363636363635,-4.586363636363636,3.3863636363636362,3.93888888888889,10.02,29.0,8.0,2.7190476190476196,4.1,997.8499999999999,75.5,1003.3,10.0
2016-01-25,-1.5727272727272728,1.2545454545454549,-5.259090909090909,1.2272727272727273,4.65,9.29,32.285714285714285,7.333333333333333,2.509090909090909,4.35,1008.8,77.0,1014.3,8.5
2016-01-26,0.8727272727272727,5.9772727272727275,-4.10909090909091,0.0,5.150000000000001,13.19,27.857142857142858,0.4,1.5136363636363634,4.8,1016.0,65.5,1021.45,4.8
2016-01-27,3.090909090909091,7.177272727272728,-1.9772727272727273,0.36363636363636365,4.572222222222222,10.5,26.333333333333332,2.2,2.7590909090909093,5.6,1016.4000000000001,68.0,1021.75,4.5
2016-01-28,3.186363636363636,7.481818181818181,-1.272727272727273,0.0,6.166666666666667,7.64,21.666666666666668,2.0,2.8590909090909093,5.5,1019.9000000000001,70.0,1025.35,7.3
2016-01-29,-0.1,1.7454545454545454,-2.3818181818181823,2.5,0.011111111111111112,3.68,19.0,4.428571428571429,1.7894736842105263,4.2,1021.2,67.0,1026.75,8.5
2016-01-30,-1.4545454545454548,1.0181818181818183,-4.136363636363637,5.545454545454546,0.9888888888888889,6.25,26.857142857142858,9.142857142857142,1.8823529411764706,4.95,1016.7,87.5,1022.2,9.8
2016-01-31,-0.22272727272727275,3.9909090909090907,-4.181818181818181,0.0,6.472222222222222,11.9,23.0,1.4,2.5500000000000003,4.6,1015.4,73.0,1020.95,6.0
2016-02-01,-0.781818181818182,2.190909090909091,-3.64090909090909,0.0,3.183333333333333,8.6,19.571428571428573,0.8,2.3181818181818183,4.0,1015.35,66.0,1020.8499999999999,8.0
2016-02-02,-0.9136363636363636,2.8454545454545457,-4.927272727272726,0.045454545454545456,3.005555555555555,8.95,22.5,3.75,2.3954545454545455,4.1,1012.5,68.0,1018.0,7.0
2016-02-03,-0.35000000000000003,3.9000000000000012,-4.627272727272728,0.0,6.9222222222222225,10.47,22.0,0.6,2.1318181818181823,4.1,1016.45,64.5,1022.0,5.0
2016-02-04,0.9181818181818183,5.786363636363637,-4.404545454545455,0.18181818181818182,5.527777777777778,10.64,21.0,3.5,1.5772727272727272,4.9,1013.65,70.5,1019.15,5.5
2016-02-05,2.1318181818181823,5.981818181818183,-1.513636363636364,0.0,6.316666666666666,11.6,24.2,0.8,2.6999999999999997,4.949999999999999,1010.85,65.0,1016.3,6.5
2016-02-06,0.20909090909090908,3.9999999999999996,-3.163636363636364,0.0,2.072222222222223,5.08,21.6,0.4,1.8318181818181818,4.4,1009.55,66.0,1015.0,8.0
2016-02-07,-1.5909090909090906,2.181818181818182,-5.213636363636362,0.0,7.272222222222222,12.2,20.8,0.8,2.9318181818181817,3.5,1011.7,60.5,1017.1500000000001,1.3
2016-02-08,-0.26818181818181813,5.500000000000001,-6.159090909090909,0.0,9.216666666666667,15.42,20.2,0.8,1.7590909090909093,4.0,1013.45,58.0,1018.9,2.8
2016-02-09,2.3818181818181823,7.8090909090909095,-2.2863636363636366,0.38636363636363635,4.716666666666666,10.02,23.8,5.4,2.5318181818181817,5.199999999999999,1003.1,66.0,1008.45,7.0
2016-02-10,0.6363636363636364,3.463636363636363,-1.4636363636363634,0.6363636363636364,6.094444444444445,11.78,23.333333333333332,5.2,4.672727272727274,4.2,1011.7,63.5,1017.25,5.5
2016-02-11,0.822727272727273,5.472727272727273,-3.9999999999999996,0.0,6.872222222222224,13.12,22.8,0.2,2.686363636363637,3.8499999999999996,1025.05,56.5,1030.6,5.8
2016-02-12,1.4363636363636363,8.100000000000001,-5.795454545454546,0.0,9.583333333333334,14.81,21.4,0.4,1.4045454545454545,5.35,1025.15,70.0,1030.65,4.3
2016-02-13,6.84090909090909,14.7,1.3909090909090907,0.0,2.2944444444444447,9.09,19.6,0.4,1.2409090909090907,8.1,1013.0,78.0,1018.3,10.0
2016-02-14,9.868181818181817,16.972727272727273,5.368181818181818,1.2954545454545454,0.85,5.29,16.2,0.0,3.1136363636363638,10.2,992.8,77.0,997.95,10.0
