link_ID,in_links,out_links
4377906289869500514,1,1
4377906284594800514,1,1
4377906289425800514,1,1
4377906284525800514,1,1
4377906284422600514,2,1
4377906282532600514,1,1
4377906281741600514,1,1
4377906288593600514,1,2
4377906284514600514,2,1
4377906284959500514,3,1
4377906287169500514,1,2
4377906282969500514,1,3
3377906283328510514,1,1
4377906283815800514,1,1
4377906282815800514,1,1
4377906285041600514,1,1
4377906282141600514,1,1
4377906282541600514,1,3
4377906283422600514,1,1
4377906288893600514,1,1
4377906282763800514,1,2
3377906287674510514,1,4
3377906287934510514,4,1
9377906285615510514,1,1
9377906283125510514,1,1
4377906280815800514,1,1
4377906280784800514,1,1
9377906285566510514,2,1
9377906283776510514,1,1
4377906281763800514,1,1
4377906289863800514,1,1
4377906285343600514,1,1
4377906284653600514,1,1
4377906287063800514,1,1
4377906287869500514,1,2
4377906286041600514,1,1
4377906288041600514,1,1
4377906281141600514,1,1
4377906289141600514,1,3
3377906284395510514,4,1
4377906283759500514,1,1
4377906283959500514,1,2
3377906286918510514,1,4
3377906284028510514,2,1
3377906288228510514,1,1
4377906280334600514,1,1
4377906285681600514,1,1
4377906281784800514,1,1
4377906288425800514,1,1
4377906280763800514,3,1
4377906280863800514,1,1
4377906287863800514,1,1
3377906281774510514,1,1
4377906288738500514,4,1
4377906280329500514,1,2
4377906285525800514,1,2
4377906286525800514,1,1
4377906280241600514,1,1
4377906281241600514,1,1
4377906280344800514,1,1
4377906288234600514,1,1
4377906285334600514,1,1
4377906289063800514,1,1
4377906287663800514,1,3
4377906289663800514,2,1
3377906289228510514,2,1
4377906286169500514,1,1
4377906282769500514,1,2
4377906288869500514,1,1
4377906280969500514,3,1
4377906282759500514,1,1
4377906285759500514,1,1
4377906281959500514,1,1
4377906287959500514,1,1
3377906289434510514,1,1
4377906287425800514,1,1
4377906289525800514,1,2
4377906280141600514,1,1
4377906286141600514,1,1
4377906280234600514,1,1
4377906288959500514,2,1
4377906283769500514,2,2
3377906280028510514,1,1
3377906285934510514,1,4
3377906289044510514,1,2
9377906284555510514,2,1
9377906286566510514,1,2
9377906289175510514,1,1
4377906287194800514,1,1
9377906282776510514,1,1
4377906281041600514,2,1
4377906285141600514,1,3
3377906282418510514,2,1
3377906282328510514,1,2
9377906281555510514,1,2
9377906288175510514,1,1
4377906282653600514,1,1
4377906280913600514,2,1
4377906287243600514,1,4
4377906289243600514,2,1
4377906283141600514,2,1
4377906287141600514,3,1
4377906285032600514,1,1
4377906288063800514,2,1
4377906280163800514,1,2
4377906288663800514,1,1
3377906281518510514,2,1
4377906284759500514,2,1
4377906282959500514,1,2
4377906284769500514,1,1
3377906280395510514,1,2
4377906283525800514,1,1
4377906288194800514,1,1
4377906285594800514,1,1
4377906289813600514,1,2
4377906284141600514,1,1
4377906289244800514,1,1
4377906281969500514,2,1
3377906285434510514,1,1
3377906289674510514,4,1
4377906284838500514,1,1
3377906287886510514,3,1
9377906286615510514,1,1
4377906286843600514,1,1
4377906288243600514,1,1
4377906286343600514,1,1
4377906286681600514,1,1
4377906288421600514,2,1
4377906289041600514,1,2
4377906286032600514,1,1
4377906281234600514,1,1
4377906286334600514,1,2
