calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,8.6,12.6,3.9,0.0,,,,,2.5,,,,,
2016-01-02,10.6,12.3,7.7,0.0,,,,,2.6,,,,,
2016-01-03,11.6,15.4,8.5,0.0,,,,,1.5,,,,,
2016-01-04,11.5,16.2,6.1,0.0,,,,,3.0,,,,,
2016-01-05,9.7,12.5,8.1,0.0,,,,,2.4,,,,,
2016-01-06,9.1,11.5,6.8,0.0,,,,,1.5,,,,,
2016-01-07,9.1,10.8,8.0,0.0,,,,,5.9,,,,,
2016-01-08,6.9,8.3,5.3,0.0,,,,,6.1,,,,,
2016-01-09,7.4,8.6,6.5,0.0,,,,,4.3,,,,,
2016-01-10,7.9,10.5,5.7,0.0,,,,,4.1,,,,,
2016-01-11,7.7,11.7,4.2,0.0,,,,,2.6,,,,,
2016-01-12,7.7,10.1,4.9,0.5,,,,,4.9,,,,,
2016-01-13,6.1,7.6,5.0,0.0,,,,,6.5,,,,,
2016-01-14,6.9,9.2,5.4,0.0,,,,,6.5,,,,,
2016-01-15,6.7,10.1,3.3,0.0,,,,,2.7,,,,,
2016-01-16,7.0,10.0,1.9,0.0,,,,,2.1,,,,,
2016-01-17,7.5,9.2,5.1,23.0,,,,,4.4,,,,,
2016-01-18,6.8,10.1,1.5,13.5,,,,,9.1,,,,,
2016-01-19,2.3,3.4,0.6,0.0,,,,,12.4,,,,,
2016-01-20,2.2,4.5,-0.1,1.5,,,,,5.8,,,,,
2016-01-21,4.7,7.5,1.1,0.0,,,,,2.9,,,,,
2016-01-22,6.5,9.8,5.2,0.0,,,,,5.0,,,,,
2016-01-23,3.3,6.2,-0.5,2.0,,,,,5.7,,,,,
2016-01-24,-2.4,0.3,-4.3,0.5,,,,,10.5,,,,,
2016-01-25,0.8,2.3,-0.9,1.0,,,,,5.7,,,,,
2016-01-26,4.2,6.2,2.1,0.0,,,,,4.2,,,,,
2016-01-27,7.5,10.4,4.2,0.0,,,,,3.4,,,,,
2016-01-28,6.7,8.2,5.6,7.0,,,,,1.3,,,,,
2016-01-29,9.2,10.4,8.0,25.5,,,,,3.3,,,,,
2016-01-30,8.9,11.1,6.7,0.0,,,,,2.8,,,,,
2016-01-31,8.3,11.9,5.4,0.0,,,,,2.4,,,,,
2016-02-01,6.5,7.8,5.2,0.0,,,,,2.2,,,,,
2016-02-02,5.6,7.4,4.3,1.0,,,,,4.2,,,,,
2016-02-03,5.5,6.9,4.2,1.5,,,,,3.1,,,,,
2016-02-04,6.5,10.4,3.1,0.0,,,,,4.2,,,,,
2016-02-05,6.7,9.9,3.4,0.0,,,,,3.3,,,,,
2016-02-06,5.3,7.5,3.5,2.5,,,,,5.1,,,,,
2016-02-07,4.5,7.0,2.3,0.0,,,,,3.1,,,,,
2016-02-08,6.5,9.5,1.1,0.0,,,,,5.3,,,,,
