calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.2,11.9,1.2,0.0,6.0,,,,0.5,,,,,
2016-01-02,8.6,13.0,3.6,0.0,0.3,,,,0.4,,,,,
2016-01-03,11.3,16.8,8.1,0.0,0.6,,,,0.6,,,,,
2016-01-04,8.4,13.6,4.3,0.0,2.2,,,,0.5,,,,,
2016-01-05,8.4,12.0,6.5,2.5,0.0,,,,0.5,,,,,
2016-01-06,7.5,11.4,4.3,0.0,0.0,,,,0.3,,,,,
2016-01-07,7.3,10.3,5.2,0.0,2.7,,,,1.2,,,,,
2016-01-08,5.9,8.5,4.1,0.0,0.6,,,,1.4,,,,,
2016-01-09,4.9,7.7,1.4,0.0,0.3,,,,0.5,,,,,
2016-01-10,5.0,10.8,0.0,0.0,5.5,,,,0.5,,,,,
2016-01-11,6.5,11.7,2.1,0.0,1.0,,,,0.6,,,,,
2016-01-12,5.0,8.8,0.8,0.0,0.4,,,,0.6,,,,,
2016-01-13,3.6,6.5,-0.2,0.0,1.2,,,,1.3,,,,,
2016-01-14,4.2,8.2,0.1,0.0,2.2,,,,1.2,,,,,
2016-01-15,2.9,10.3,-2.2,0.0,8.4,,,,0.5,,,,,
2016-01-16,4.1,13.1,-3.1,0.0,9.2,,,,0.6,,,,,
2016-01-17,4.9,8.4,0.0,23.5,0.0,,,,0.5,,,,,
2016-01-18,5.3,9.8,-0.5,10.0,1.1,,,,2.0,,,,,
2016-01-19,0.3,1.9,-0.7,4.0,0.3,,,,1.9,,,,,
2016-01-20,0.9,5.3,-2.6,0.0,4.3,,,,1.0,,,,,
2016-01-21,0.6,5.3,-4.2,0.0,0.3,,,,0.3,,,,,
2016-01-22,3.0,7.7,-1.7,0.0,2.2,,,,0.3,,,,,
2016-01-23,2.0,5.0,-1.9,1.0,0.0,,,,1.0,,,,,
2016-01-24,-4.6,-1.9,-7.0,13.5,0.0,,,,2.0,,,,,
2016-01-25,-2.6,0.3,-8.3,3.0,0.1,,,,,,,,,
2016-01-26,1.0,3.2,-1.5,0.0,0.1,,,,,,,,,
2016-01-27,3.1,7.0,0.1,0.0,1.5,,,,0.4,,,,,
2016-01-28,5.7,11.4,2.9,3.5,0.0,,,,0.3,,,,,
2016-01-29,11.0,13.0,9.4,34.0,0.0,,,,0.9,,,,,
2016-01-30,9.7,14.6,4.4,0.0,3.4,,,,0.7,,,,,
2016-01-31,6.8,13.0,2.8,0.0,4.2,,,,0.9,,,,,
2016-02-01,4.8,7.5,1.9,0.5,0.0,,,,0.5,,,,,
2016-02-02,4.2,8.8,0.7,1.0,3.1,,,,1.1,,,,,
