calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.3,12.6,3.1,,6.6,10.35,,,2.1,7.6,1029.2,76,1031.1,4.3
2016-01-02,11.6,14.7,8.3,0.0,0.6,5.00,,,2.2,9.4,1023.0,69,1024.8,10.0
2016-01-03,11.6,15.2,8.5,1.0,1.4,4.82,,,1.3,12.2,1018.0,89,1019.8,7.5
2016-01-04,11.0,16.5,7.4,,6.7,9.19,,,1.8,10.8,1019.0,83,1020.8,4.0
2016-01-05,9.9,12.4,8.3,1.0,0.0,1.46,,,1.5,9.2,1021.2,76,1023.0,10.0
2016-01-06,9.5,12.0,7.2,,0.0,4.40,,,1.4,8.9,1019.4,76,1021.2,9.5
2016-01-07,9.1,10.4,8.4,0.0,0.4,3.62,,,3.6,6.7,1019.5,58,1021.3,9.5
2016-01-08,7.5,8.8,6.7,0.0,0.0,1.44,,,3.8,6.1,1019.2,59,1021.1,10.0
2016-01-09,7.9,9.1,7.1,0.0,0.2,3.80,,,2.4,5.8,1022.1,54,1024.0,10.0
2016-01-10,7.9,10.9,5.4,,3.8,7.25,,,2.0,6.8,1023.0,64,1024.8,7.3
2016-01-11,8.3,12.1,5.1,,1.0,6.32,,,2.3,6.9,1020.1,63,1021.9,9.5
2016-01-12,7.5,9.2,5.0,1.0,0.4,3.27,,,2.2,6.9,1017.2,67,1019.1,8.0
2016-01-13,5.8,7.3,3.6,2.0,1.0,3.71,,,3.2,5.8,1017.5,63,1019.4,9.5
2016-01-14,6.7,8.8,4.2,0.0,1.7,6.32,,,3.4,5.5,1019.2,56,1021.1,8.0
2016-01-15,5.8,11.0,2.4,,9.0,12.61,,,1.7,5.0,1019.5,56,1021.4,2.3
2016-01-16,7.5,12.9,2.3,,7.8,11.99,,,1.9,5.5,1019.6,55,1021.4,3.0
2016-01-17,7.1,9.2,4.6,25.5,0.0,1.30,,,1.8,8.2,1012.0,82,1013.9,9.8
2016-01-18,6.7,10.0,1.6,9.0,2.2,5.95,,,5.3,7.5,1007.5,75,1009.3,9.3
2016-01-19,2.3,3.2,1.0,3.0,0.1,3.20,0,,6.6,4.5,1016.2,62,1018.1,10.0
2016-01-20,2.7,5.6,0.7,0.0,2.2,5.89,0,,3.3,4.3,1023.9,58,1025.8,7.5
2016-01-21,2.8,6.4,0.0,0.0,0.1,4.14,,,2.1,5.6,1022.2,74,1024.1,8.8
