calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.4,11.8,1.2,0.0,,,,,3.0,,,,,
2016-01-02,11.4,14.7,6.9,0.0,,,,,3.9,,,,,
2016-01-03,11.7,15.3,6.5,0.5,,,,,1.3,,,,,
2016-01-04,10.5,15.9,6.2,0.0,,,,,2.4,,,,,
2016-01-05,9.4,12.9,7.5,1.0,,,,,1.5,,,,,
2016-01-06,8.7,12.4,5.3,0.0,,,,,1.5,,,,,
2016-01-07,8.8,10.1,7.0,0.0,,,,,3.9,,,,,
2016-01-08,7.3,8.6,6.3,0.0,,,,,5.0,,,,,
2016-01-09,7.1,8.4,5.0,0.0,,,,,2.9,,,,,
2016-01-10,6.8,10.4,3.9,0.0,,,,,2.4,,,,,
2016-01-11,7.7,11.8,3.6,0.0,,,,,2.3,,,,,
2016-01-12,6.3,8.5,1.5,2.5,,,,,1.9,,,,,
2016-01-13,5.3,7.4,1.3,2.5,,,,,4.4,,,,,
2016-01-14,6.4,8.7,2.4,0.0,,,,,4.3,,,,,
2016-01-15,5.0,10.2,0.0,0.0,,,,,2.1,,,,,
2016-01-16,6.3,12.9,-0.8,0.0,,,,,2.3,,,,,
2016-01-17,6.4,8.7,2.8,20.0,,,,,1.7,,,,,
2016-01-18,6.5,10.4,1.2,8.0,,,,,6.4,,,,,
2016-01-19,2.2,3.3,0.9,0.0,,,,,8.5,,,,,
2016-01-20,2.3,4.7,-1.1,0.0,,,,,4.2,,,,,
2016-01-21,2.2,5.8,-1.5,0.5,,,,,3.5,,,,,
2016-01-22,4.7,9.3,0.3,1.5,,,,,2.1,,,,,
2016-01-23,3.1,5.4,-0.4,5.0,,,,,3.7,,,,,
2016-01-24,-2.4,-0.3,-4.3,0.0,,,,,7.8,,,,,
2016-01-25,-0.6,3.1,-4.4,0.5,,,,,4.1,,,,,
2016-01-26,3.1,6.0,0.9,1.0,,,,,3.2,,,,,
2016-01-27,5.8,9.3,3.0,0.0,,,,,3.0,,,,,
2016-01-28,8.5,13.6,5.7,4.5,,,,,3.1,,,,,
2016-01-29,11.6,14.5,10.2,26.0,,,,,2.3,,,,,
2016-01-30,11.1,15.1,7.7,0.0,,,,,3.7,,,,,
2016-01-31,9.0,12.3,6.0,1.0,,,,,2.5,,,,,
2016-02-01,6.9,8.9,5.4,1.0,,,,,2.9,,,,,
2016-02-02,5.6,8.4,3.4,0.5,,,,,3.0,,,,,
2016-02-03,6.4,9.9,1.8,2.5,,,,,2.9,,,,,
2016-02-04,5.8,10.3,0.2,0.0,,,,,3.1,,,,,
2016-02-05,5.9,10.1,1.5,0.0,,,,,2.3,,,,,
2016-02-06,5.4,6.9,1.5,0.0,,,,,4.0,,,,,
2016-02-07,4.1,7.3,0.8,2.5,,,,,2.1,,,,,
2016-02-08,5.8,10.1,-0.1,0.0,,,,,3.4,,,,,
2016-02-09,9.2,11.9,2.8,0.0,,,,,4.9,,,,,
2016-02-10,6.9,12.8,0.8,0.0,,,,,2.3,,,,,
2016-02-11,10.0,18.7,1.2,0.0,,,,,2.0,,,,,
2016-02-12,14.1,19.4,8.8,0.0,,,,,3.9,,,,,
2016-02-13,17.0,20.0,14.3,27.0,,,,,5.2,,,,,
2016-02-14,10.3,18.7,5.2,2.0,,,,,5.7,,,,,
2016-02-15,3.9,5.4,2.0,0.0,,,,,6.3,,,,,
2016-02-16,4.7,7.3,2.1,0.5,,,,,4.8,,,,,
2016-02-17,5.5,7.9,0.0,0.0,,,,,4.0,,,,,
2016-02-18,6.2,12.1,0.0,0.0,,,,,3.2,,,,,
2016-02-19,9.7,14.3,3.6,0.0,,,,,2.5,,,,,
2016-02-20,8.7,11.1,6.7,25.0,,,,,3.1,,,,,
2016-02-21,6.0,8.0,2.6,1.5,,,,,4.7,,,,,
2016-02-22,6.0,10.0,1.6,1.5,,,,,1.6,,,,,
2016-02-23,7.8,12.4,4.8,2.0,,,,,2.1,,,,,
2016-02-24,7.0,10.3,3.1,9.5,,,,,4.4,,,,,
2016-02-25,3.5,6.8,0.1,10.5,,,,,3.2,,,,,
2016-02-26,5.1,10.3,-1.3,0.0,,,,,3.0,,,,,
2016-02-27,8.5,13.6,4.3,1.0,,,,,4.9,,,,,
2016-02-28,12.0,17.7,5.7,2.0,,,,,4.5,,,,,
2016-02-29,6.0,14.0,1.6,1.0,,,,,7.1,,,,,
2016-03-01,3.5,6.5,1.0,0.0,,,,,3.7,,,,,
2016-03-02,6.8,12.7,0.3,0.0,,,,,2.9,,,,,
2016-03-03,10.9,18.6,2.5,0.0,,,,,3.8,,,,,
2016-03-04,15.4,20.5,11.0,0.0,,,,,4.2,,,,,
2016-03-05,16.9,23.2,9.9,0.0,,,,,4.9,,,,,
2016-03-06,17.2,22.4,14.5,0.0,,,,,4.1,,,,,
2016-03-07,14.8,17.4,12.5,0.0,,,,,2.0,,,,,
2016-03-08,13.7,18.1,11.6,0.0,,,,,2.9,,,,,
2016-03-09,10.1,12.4,8.8,30.0,,,,,4.3,,,,,
2016-03-10,9.3,11.3,6.6,1.0,,,,,3.9,,,,,
2016-03-11,6.2,8.8,4.2,1.5,,,,,3.1,,,,,
2016-03-12,5.5,9.5,1.3,0.5,,,,,2.4,,,,,
2016-03-13,6.8,11.0,2.4,8.5,,,,,1.9,,,,,
2016-03-14,8.5,12.5,5.9,3.5,,,,,3.8,,,,,
2016-03-15,8.8,13.7,4.9,0.0,,,,,3.1,,,,,
2016-03-16,10.9,17.8,4.8,0.0,,,,,2.8,,,,,
2016-03-17,13.3,19.7,4.7,0.0,,,,,2.2,,,,,
2016-03-18,14.7,16.8,12.4,6.5,,,,,4.7,,,,,
2016-03-19,14.2,16.9,9.5,1.5,,,,,3.8,,,,,
2016-03-20,10.7,15.6,5.3,0.0,,,,,3.5,,,,,
2016-03-21,9.3,14.0,3.5,0.0,,,,,3.4,,,,,
2016-03-22,10.4,17.5,1.5,0.0,,,,,2.4,,,,,
2016-03-23,12.0,16.6,7.0,0.0,,,,,3.3,,,,,
2016-03-24,10.1,13.4,7.3,0.0,,,,,4.7,,,,,
2016-03-25,8.5,13.6,3.7,0.0,,,,,3.0,,,,,
2016-03-26,9.2,15.4,1.6,0.5,,,,,2.9,,,,,
2016-03-27,9.3,13.7,4.9,0.0,,,,,3.6,,,,,
2016-03-28,10.7,17.0,3.7,0.0,,,,,3.3,,,,,
2016-03-29,13.1,18.8,6.7,0.0,,,,,3.9,,,,,
2016-03-30,15.5,20.0,12.5,2.5,,,,,4.3,,,,,
2016-03-31,14.9,18.2,12.4,8.5,,,,,3.0,,,,,
2016-04-01,14.8,16.6,13.1,0.0,,,,,3.1,,,,,
2016-04-02,17.5,22.4,13.4,0.0,,,,,2.1,,,,,
2016-04-03,18.0,23.0,14.9,3.5,,,,,2.5,,,,,
2016-04-04,15.1,16.5,13.3,14.5,,,,,3.5,,,,,
2016-04-05,14.3,18.4,10.0,0.0,,,,,2.4,,,,,
2016-04-06,16.0,22.1,9.3,2.0,,,,,2.5,,,,,
2016-04-07,18.4,24.4,14.1,28.5,,,,,4.7,,,,,
2016-04-08,15.6,19.3,12.9,0.0,,,,,1.6,,,,,
2016-04-09,17.1,23.6,12.3,0.0,,,,,1.9,,,,,
2016-04-10,16.4,21.5,12.7,0.0,,,,,2.6,,,,,
2016-04-11,13.7,17.8,9.0,0.0,,,,,4.7,,,,,
2016-04-12,15.2,22.2,6.0,0.0,,,,,2.3,,,,,
