calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.9,11.9,-0.1,0.0,5.6,,,,1.0,,,,,
2016-01-02,9.8,14.2,5.9,0.0,0.8,,,,0.9,,,,,
2016-01-03,11.0,15.4,6.9,0.0,0.4,,,,1.0,,,,,
2016-01-04,9.5,16.5,4.9,0.0,5.6,,,,0.9,,,,,
2016-01-05,8.8,11.3,7.0,7.5,0.0,,,,1.0,,,,,
2016-01-06,8.0,11.0,4.4,0.0,0.0,,,,1.3,,,,,
2016-01-07,8.2,10.7,4.8,0.0,4.2,,,,2.9,,,,,
2016-01-08,6.8,7.8,5.2,0.0,0.1,,,,3.0,,,,,
2016-01-09,4.9,9.0,-0.1,0.0,1.9,,,,1.9,,,,,
2016-01-10,5.8,11.1,1.4,0.0,8.3,,,,1.6,,,,,
2016-01-11,7.0,11.4,2.6,0.0,0.9,,,,1.8,,,,,
2016-01-12,6.5,10.2,2.5,0.0,2.0,,,,1.9,,,,,
2016-01-13,5.1,7.3,1.4,0.0,0.4,,,,2.6,,,,,
2016-01-14,5.4,9.4,0.7,0.0,5.9,,,,2.5,,,,,
2016-01-15,3.4,9.7,-0.8,0.0,5.3,,,,1.2,,,,,
2016-01-16,4.1,12.4,-2.7,0.0,9.4,,,,1.3,,,,,
2016-01-17,5.3,8.6,1.1,15.0,0.0,,,,1.6,,,,,
2016-01-18,6.5,10.4,1.4,2.5,1.9,,,,4.9,,,,,
2016-01-19,2.4,5.1,0.4,0.0,5.6,,,,5.8,,,,,
2016-01-20,2.2,5.9,-2.1,0.0,6.4,,,,2.9,,,,,
2016-01-21,1.4,4.2,-2.7,0.0,0.1,,,,1.1,,,,,
2016-01-22,4.1,8.9,-1.6,0.0,5.1,,,,1.7,,,,,
2016-01-23,3.3,6.2,-0.4,0.5,1.0,,,,3.1,,,,,
