calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.2,12.8,2.3,0.0,8.5,,,,2.9,,,,,
2016-01-02,11.4,14.6,8.2,0.0,1.2,,,,2.7,,,,,
2016-01-03,11.9,16.5,8.6,0.0,1.8,,,,1.3,,,,,
2016-01-04,11.1,16.2,8.2,0.0,5.8,,,,2.2,,,,,
2016-01-05,9.1,12.3,7.6,0.0,0.0,,,,1.1,,,,,
2016-01-06,8.5,11.8,6.3,0.0,0.0,,,,1.1,,,,,
2016-01-07,8.2,9.6,7.0,0.0,0.8,,,,2.7,,,,,
2016-01-08,6.5,8.3,5.3,0.0,0.0,,,,2.7,,,,,
2016-01-09,6.9,8.0,5.2,0.0,0.2,,,,2.2,,,,,
2016-01-10,7.1,10.2,3.7,0.0,6.0,,,,2.0,,,,,
2016-01-11,7.5,11.4,3.6,0.0,2.0,,,,1.7,,,,,
2016-01-12,7.6,10.7,4.1,0.0,1.8,,,,2.0,,,,,
2016-01-13,5.6,6.7,3.9,0.0,0.3,,,,3.2,,,,,
2016-01-14,6.3,8.7,4.0,0.0,2.4,,,,3.0,,,,,
2016-01-15,5.6,10.2,2.1,0.0,8.4,,,,1.7,,,,,
2016-01-16,6.2,12.4,0.2,0.0,7.3,,,,1.4,,,,,
2016-01-17,6.9,9.5,4.4,21.5,0.0,,,,1.9,,,,,
2016-01-18,6.8,9.7,1.5,5.0,0.9,,,,4.2,,,,,
2016-01-19,2.1,3.3,0.9,0.5,0.4,,,,5.9,,,,,
2016-01-20,2.3,4.7,0.2,0.0,1.0,,,,3.0,,,,,
2016-01-21,3.4,7.5,-0.2,0.0,0.4,,,,2.7,,,,,
2016-01-22,5.4,8.7,2.9,1.0,0.2,,,,1.4,,,,,
2016-01-23,3.1,5.1,-0.4,8.0,0.0,,,,2.7,,,,,
2016-01-24,-2.7,0.0,-4.6,0.0,0.0,,,,5.2,,,,,
2016-01-25,0.4,2.1,-2.5,1.5,0.3,,,,3.0,,,,,
2016-01-26,3.6,6.4,1.6,0.0,0.0,,,,3.4,,,,,
2016-01-27,7.4,10.4,4.2,0.0,0.7,,,,2.8,,,,,
2016-01-28,7.3,8.2,5.9,9.0,0.0,,,,1.0,,,,,
2016-01-29,10.2,11.0,8.1,35.5,0.0,,,,0.6,,,,,
2016-01-30,10.6,14.0,8.1,0.0,7.1,,,,1.6,,,,,
2016-01-31,8.6,11.8,5.4,1.5,3.8,,,,2.0,,,,,
2016-02-01,6.5,7.9,4.3,2.5,0.1,,,,1.3,,,,,
2016-02-02,4.9,6.7,3.1,6.0,0.4,,,,1.7,,,,,
2016-02-03,4.8,6.9,2.4,15.5,0.1,,,,1.3,,,,,
2016-02-04,5.6,10.5,1.1,0.0,6.5,,,,2.6,,,,,
2016-02-05,5.9,10.4,2.4,0.0,4.1,,,,2.0,,,,,
2016-02-06,5.1,6.9,3.0,0.0,1.2,,,,2.5,,,,,
2016-02-07,4.3,8.4,0.8,3.5,3.5,,,,2.3,,,,,
2016-02-08,5.5,9.0,1.2,0.5,3.8,,,,3.7,,,,,
2016-02-09,8.3,10.4,4.0,0.0,9.5,,,,4.1,,,,,
2016-02-10,6.3,12.2,1.2,0.0,9.8,,,,1.6,,,,,
2016-02-11,7.7,15.7,0.9,0.0,8.4,,,,0.9,,,,,
2016-02-12,12.1,17.3,5.9,1.5,0.7,,,,1.9,,,,,
2016-02-13,15.9,21.3,11.8,50.0,1.7,,,,1.7,,,,,
2016-02-14,10.2,17.9,5.8,1.5,0.1,,,,5.8,,,,,
2016-02-15,3.6,6.0,1.8,0.0,2.5,,,,4.2,,,,,
2016-02-16,4.5,7.1,1.6,0.0,0.7,,,,3.8,,,,,
2016-02-17,5.1,7.5,1.3,0.0,2.6,,,,2.8,,,,,
2016-02-18,6.4,12.2,0.0,0.0,5.0,,,,3.0,,,,,
2016-02-19,10.5,13.9,6.9,0.5,2.8,,,,2.3,,,,,
2016-02-20,8.4,10.1,6.4,29.5,0.0,,,,1.7,,,,,
2016-02-21,5.8,7.6,2.6,0.5,8.8,,,,2.9,,,,,
2016-02-22,5.4,9.2,1.2,1.0,0.0,,,,1.3,,,,,
2016-02-23,7.1,11.5,5.1,1.5,2.9,,,,1.1,,,,,
2016-02-24,5.9,8.0,2.9,10.0,0.9,,,,2.0,,,,,
2016-02-25,3.6,6.7,0.7,7.0,3.0,,,,2.0,,,,,
2016-02-26,5.2,10.3,-0.6,0.0,7.7,,,,2.8,,,,,
2016-02-27,9.1,12.5,7.1,2.5,1.6,,,,3.9,,,,,
2016-02-28,12.6,17.9,6.3,0.0,9.6,,,,3.1,,,,,
2016-02-29,5.9,13.9,1.1,2.0,2.3,,,,4.5,,,,,
2016-03-01,3.5,6.0,1.7,0.0,4.3,,,,2.9,,,,,
2016-03-02,7.2,12.7,1.9,0.0,9.6,,,,2.8,,,,,
2016-03-03,11.1,17.3,5.3,0.0,9.0,,,,2.4,,,,,
2016-03-04,12.5,17.4,9.4,2.0,1.3,,,,0.8,,,,,
2016-03-05,15.8,23.1,7.9,0.0,9.5,,,,1.4,,,,,
2016-03-06,15.5,19.7,13.0,4.0,0.8,,,,1.0,,,,,
2016-03-07,14.2,17.2,12.2,0.0,0.0,,,,1.2,,,,,
2016-03-08,13.0,16.4,11.3,0.0,1.0,,,,1.7,,,,,
2016-03-09,9.8,12.1,8.4,31.5,0.1,,,,2.0,,,,,
2016-03-10,8.9,10.5,5.9,2.0,0.0,,,,1.6,,,,,
2016-03-11,6.5,8.3,4.2,5.0,1.2,,,,2.1,,,,,
2016-03-12,5.5,10.1,1.5,1.5,3.6,,,,1.7,,,,,
2016-03-13,6.8,10.9,3.0,10.0,0.0,,,,0.9,,,,,
2016-03-14,8.9,12.8,5.8,2.0,4.7,,,,2.4,,,,,
2016-03-15,9.1,12.7,6.6,0.0,8.2,,,,2.0,,,,,
2016-03-16,10.6,17.4,5.3,0.0,7.0,,,,1.8,,,,,
2016-03-17,13.0,19.7,5.6,0.0,10.0,,,,1.3,,,,,
2016-03-18,13.8,15.6,12.1,7.0,0.0,,,,1.2,,,,,
2016-03-19,13.8,16.1,9.3,1.5,3.1,,,,2.0,,,,,
2016-03-20,10.0,14.7,6.0,0.0,10.5,,,,1.8,,,,,
2016-03-21,8.9,13.4,4.2,0.0,10.4,,,,1.7,,,,,
2016-03-22,10.7,19.1,3.0,0.0,11.1,,,,2.2,,,,,
2016-03-23,12.3,16.9,8.4,0.0,6.0,,,,2.3,,,,,
2016-03-24,10.1,12.9,8.0,0.0,5.9,,,,2.8,,,,,
2016-03-25,8.5,12.7,4.1,0.0,9.4,,,,1.8,,,,,
2016-03-26,9.0,15.2,2.1,0.5,10.1,,,,1.7,,,,,
2016-03-27,9.0,13.2,6.4,0.5,6.3,,,,2.9,,,,,
2016-03-28,10.8,16.7,4.7,0.0,10.8,,,,2.9,,,,,
2016-03-29,13.6,18.5,7.9,0.0,2.7,,,,3.4,,,,,
2016-03-30,16.3,20.3,13.6,0.0,1.2,,,,4.2,,,,,
