calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.0,12.2,-1.5,0.0,5.4,,,,0.8,,,,,
2016-01-02,6.8,14.5,-0.1,0.0,5.9,,,,0.8,,,,,
2016-01-03,8.3,14.9,2.8,0.0,4.2,,,,0.5,,,,,
2016-01-04,8.6,15.3,2.7,0.0,4.8,,,,1.2,,,,,
2016-01-05,5.2,10.5,1.0,0.0,0.6,,,,0.9,,,,,
2016-01-06,6.8,10.8,3.1,0.0,2.1,,,,1.1,,,,,
2016-01-07,6.0,10.6,2.5,0.0,3.9,,,,1.8,,,,,
2016-01-08,4.2,9.1,1.3,0.0,0.2,,,,1.6,,,,,
2016-01-09,4.3,10.2,-0.3,0.0,5.8,,,,1.0,,,,,
2016-01-10,4.3,11.4,-1.2,0.0,5.7,,,,1.4,,,,,
2016-01-11,5.4,11.2,-0.1,0.0,4.4,,,,1.3,,,,,
2016-01-12,5.7,9.0,1.6,0.0,1.7,,,,1.0,,,,,
2016-01-13,4.0,8.9,-0.3,0.0,5.6,,,,1.8,,,,,
2016-01-14,2.1,7.7,-2.7,0.0,6.0,,,,1.9,,,,,
2016-01-15,2.3,6.8,-1.3,0.0,3.3,,,,1.2,,,,,
2016-01-16,2.3,10.5,-3.0,0.0,8.5,,,,0.7,,,,,
2016-01-17,2.8,7.0,-1.5,7.0,0.0,,,,0.6,,,,,
2016-01-18,5.8,10.7,1.2,10.5,4.0,,,,3.4,,,,,
2016-01-19,-0.3,1.8,-1.9,3.0,1.9,,,,2.9,,,,,
2016-01-20,1.8,6.0,-1.9,0.0,7.7,,,,3.2,,,,,
2016-01-21,3.5,7.2,0.0,0.5,2.1,,,,1.2,,,,,
2016-01-22,4.5,9.5,1.1,0.0,6.1,,,,1.1,,,,,
2016-01-23,2.3,6.8,-1.4,0.0,1.5,,,,2.9,,,,,
2016-01-24,-3.9,-0.9,-6.0,2.0,2.7,,,,3.4,,,,,
2016-01-25,-1.6,4.2,-7.9,3.0,6.5,,,,1.2,,,,,
2016-01-26,2.5,6.6,-1.4,0.0,0.0,,,,1.0,,,,,
2016-01-27,4.3,10.5,-0.8,0.0,3.9,,,,1.2,,,,,
2016-01-28,4.5,9.3,-0.8,6.0,0.1,,,,0.4,,,,,
2016-01-29,6.7,7.7,5.7,28.0,0.0,,,,0.3,,,,,
2016-01-30,7.1,9.8,3.2,1.5,0.0,,,,0.9,,,,,
2016-01-31,4.6,10.0,-0.3,0.0,2.6,,,,0.8,,,,,
2016-02-01,6.3,10.0,4.0,0.0,0.6,,,,2.4,,,,,
2016-02-02,5.1,9.2,1.8,0.0,3.2,,,,1.9,,,,,
2016-02-03,3.3,9.1,-2.0,0.0,5.4,,,,0.7,,,,,
2016-02-04,4.5,10.8,-1.6,0.0,6.9,,,,1.3,,,,,
2016-02-05,4.4,10.3,-1.1,0.0,4.5,,,,1.2,,,,,
2016-02-06,3.2,8.3,-1.3,0.0,4.7,,,,2.0,,,,,
2016-02-07,2.6,7.8,-1.5,0.0,4.3,,,,1.1,,,,,
2016-02-08,2.9,9.2,-2.9,0.0,4.9,,,,1.0,,,,,
2016-02-09,5.7,9.6,0.5,0.0,5.3,,,,2.9,,,,,
2016-02-10,3.9,12.1,-1.2,0.0,8.9,,,,0.9,,,,,
2016-02-11,4.6,13.3,-2.3,0.0,9.6,,,,0.5,,,,,
2016-02-12,7.4,14.1,-0.6,0.0,1.0,,,,0.5,,,,,
2016-02-13,11.0,13.6,8.4,19.0,0.0,,,,0.3,,,,,
2016-02-14,13.0,17.8,8.5,5.5,2.7,,,,2.7,,,,,
2016-02-15,3.6,8.6,0.3,0.0,6.9,,,,4.1,,,,,
2016-02-16,2.6,6.8,-2.1,0.0,5.3,,,,2.0,,,,,
2016-02-17,3.7,7.2,-1.1,0.0,5.4,,,,2.7,,,,,
2016-02-18,3.1,11.3,-3.7,0.0,9.5,,,,1.0,,,,,
2016-02-19,6.8,14.2,-1.2,0.0,5.3,,,,1.0,,,,,
2016-02-20,7.4,9.1,6.0,22.0,0.0,,,,1.4,,,,,
2016-02-21,5.1,9.1,0.9,0.0,7.2,,,,3.5,,,,,
2016-02-22,4.4,10.1,-1.4,0.0,4.8,,,,0.8,,,,,
2016-02-23,5.9,10.6,2.0,0.0,1.4,,,,1.3,,,,,
2016-02-24,3.8,7.4,0.8,0.0,0.5,,,,1.3,,,,,
2016-02-25,2.6,6.5,-1.6,0.0,6.0,,,,1.8,,,,,
2016-02-26,3.4,10.2,-3.6,0.0,6.3,,,,1.3,,,,,
2016-02-27,4.9,13.0,-0.5,0.5,3.4,,,,1.1,,,,,
2016-02-28,7.5,16.2,1.6,0.0,6.0,,,,0.7,,,,,
2016-02-29,4.2,8.8,-0.1,3.0,3.2,,,,3.9,,,,,
2016-03-01,1.6,5.9,-1.1,0.0,3.8,,,,1.8,,,,,
