calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.7,12.1,-1.0,,8.0,,,,1.5,6.7,1030.0,80,1030.4,
2016-01-02,7.7,14.8,1.0,,5.2,,,,1.6,8.4,1024.9,80,1025.3,
2016-01-03,9.4,15.6,4.0,,8.4,,,,1.2,10.1,1019.1,87,1019.5,
2016-01-04,9.6,16.4,3.7,,5.7,,,,1.8,9.4,1018.9,79,1019.3,
2016-01-05,6.4,11.5,2.3,0.5,0.3,,,,1.0,8.2,1022.4,86,1022.8,
2016-01-06,7.4,11.2,3.8,,1.2,,,,1.0,8.3,1020.0,81,1020.4,
2016-01-07,7.7,12.4,3.6,,4.6,,,,1.8,6.6,1018.6,64,1019.0,
2016-01-08,5.8,11.7,1.8,0.0,0.5,,,,2.1,6.4,1018.1,70,1018.5,
2016-01-09,5.5,10.9,0.3,,6.8,,,,1.8,5.7,1022.3,65,1022.7,
2016-01-10,5.4,12.8,-0.2,,6.2,,,,1.7,5.7,1022.9,66,1023.3,
2016-01-11,6.2,11.8,0.7,,3.9,,,,1.3,6.3,1020.9,69,1021.3,
2016-01-12,6.5,11.1,2.1,0.0,2.7,,,,1.2,6.5,1016.7,68,1017.1,
2016-01-13,4.7,10.5,-0.4,0.0,5.9,,,,2.1,5.8,1016.5,69,1016.9,
2016-01-14,3.5,10.4,-1.9,0.0,6.1,,,,2.2,5.4,1018.6,71,1019.0,
2016-01-15,2.8,7.9,-0.9,0.0,1.9,,,,1.2,5.6,1020.9,76,1021.3,
2016-01-16,2.7,9.6,-3.0,,9.5,,,,1.2,5.2,1022.2,73,1022.6,
2016-01-17,4.1,8.1,-0.2,6.0,0.0,,,,1.9,6.6,1017.0,80,1017.4,
2016-01-18,6.8,12.5,1.0,8.5,2.4,,,,3.7,7.4,1003.1,76,1003.5,
2016-01-19,1.3,5.1,-0.8,0.0,3.7,,,,4.0,4.3,1012.1,65,1012.5,
2016-01-20,2.7,8.2,-1.1,0.0,7.7,,,,2.7,5.2,1021.6,70,1022.0,
2016-01-21,3.9,7.9,-0.4,0.0,2.1,,,,1.3,6.2,1022.2,78,1022.6,
2016-01-22,5.5,10.0,1.6,0.0,4.6,,,,1.7,6.2,1022.8,70,1023.2,
2016-01-23,3.4,7.9,0.1,0.0,2.5,,,,2.3,5.4,1020.5,69,1020.9,
2016-01-24,-2.4,0.6,-4.7,0.5,3.8,,,,3.2,3.1,1016.9,61,1017.3,
2016-01-25,-0.8,5.9,-8.1,1.5,7.1,,,,1.8,4.2,1024.3,75,1024.7,
2016-01-26,4.2,8.4,-0.9,0.0,0.3,,,,2.7,5.6,1025.5,68,1025.9,
2016-01-27,6.1,11.6,0.6,,6.0,,,,2.4,6.1,1028.6,66,1029.0,
2016-01-28,5.9,10.8,0.3,5.5,0.8,,,,1.2,8.3,1028.0,88,1028.4,
2016-01-29,7.8,8.8,6.8,26.0,0.0,,,,1.0,10.2,1018.6,96,1019.0,
