calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.5,10.0,-3.7,0.0,6.8,,,,,,,,,
2016-01-02,4.3,12.4,-2.1,0.0,2.1,,,,0.6,,,,,
2016-01-03,6.1,16.0,0.3,0.0,5.4,,,,0.7,,,,,
2016-01-04,4.8,14.6,-1.8,0.0,8.3,,,,1.4,,,,,
2016-01-05,3.5,9.4,-0.4,0.0,0.0,,,,0.6,,,,,
2016-01-06,3.5,9.3,-0.8,0.0,0.6,,,,0.4,,,,,
2016-01-07,3.0,8.6,-1.4,0.0,4.7,,,,1.6,,,,,
2016-01-08,2.4,5.5,0.0,0.0,0.2,,,,1.6,,,,,
2016-01-09,1.0,6.3,-3.6,0.0,4.1,,,,1.2,,,,,
2016-01-10,1.5,9.4,-3.7,0.0,7.9,,,,1.4,,,,,
2016-01-11,3.0,10.7,-2.7,0.0,7.0,,,,1.1,,,,,
2016-01-12,3.3,9.1,-0.2,0.0,3.1,,,,0.9,,,,,
2016-01-13,-0.2,4.9,-3.4,0.0,1.7,,,,1.6,,,,,
2016-01-14,0.2,4.5,-4.2,0.0,2.0,,,,1.2,,,,,
2016-01-15,1.1,6.7,-3.3,0.0,5.7,,,,1.3,,,,,
2016-01-16,0.3,8.8,-5.3,0.0,7.5,,,,0.5,,,,,
2016-01-17,1.0,5.6,-2.7,21.5,0.0,,,,0.7,,,,,
2016-01-18,3.2,7.6,-1.9,12.0,3.5,,,,3.8,,,,,
2016-01-19,-2.8,-1.5,-4.2,7.5,0.7,,,,5.1,,,,,
2016-01-20,-1.0,2.1,-7.6,0.0,5.1,,,,2.4,,,,,
2016-01-21,-0.5,4.6,-5.9,0.0,2.9,,,,0.6,,,,,
2016-01-22,1.0,6.1,-3.2,0.0,4.6,,,,1.0,,,,,
2016-01-23,0.0,5.0,-3.1,0.0,2.9,,,,2.0,,,,,
2016-01-24,-6.4,-2.8,-8.3,7.0,0.2,,,,3.4,,,,,
2016-01-25,-3.4,0.7,-7.6,2.0,3.9,,,,1.4,,,,,
2016-01-26,-1.0,3.1,-5.2,0.0,0.2,,,,0.8,,,,,
2016-01-27,1.5,6.9,-2.1,0.0,4.9,,,,1.3,,,,,
2016-01-28,1.2,4.0,-2.7,7.5,0.0,,,,0.3,,,,,
2016-01-29,3.3,5.7,1.7,33.0,0.0,,,,0.3,,,,,
2016-01-30,4.2,8.6,-0.3,0.5,0.0,,,,0.7,,,,,
2016-01-31,2.8,9.1,-1.7,0.0,2.7,,,,1.0,,,,,
2016-02-01,2.5,7.1,-0.8,0.0,0.8,,,,1.2,,,,,
2016-02-02,1.9,6.8,-1.8,0.0,3.0,,,,0.8,,,,,
2016-02-03,1.6,7.4,-2.3,0.0,2.3,,,,0.7,,,,,
2016-02-04,1.1,8.3,-4.7,0.0,8.3,,,,1.5,,,,,
2016-02-05,1.2,9.5,-3.6,0.0,6.1,,,,1.0,,,,,
2016-02-06,0.1,5.2,-3.9,0.0,6.5,,,,1.6,,,,,
2016-02-07,0.6,6.1,-3.6,0.0,5.0,,,,1.3,,,,,
2016-02-08,1.8,7.1,-3.4,0.0,4.3,,,,2.0,,,,,
2016-02-09,3.0,7.2,-3.0,2.0,8.5,,,,3.7,,,,,
2016-02-10,1.6,10.7,-4.9,0.0,9.9,,,,0.7,,,,,
2016-02-11,2.8,13.0,-4.4,0.0,9.8,,,,0.7,,,,,
2016-02-12,6.3,12.6,-1.3,1.0,0.0,,,,0.6,,,,,
2016-02-13,10.6,12.8,8.1,54.0,0.0,,,,0.6,,,,,
2016-02-14,10.3,15.2,5.0,1.5,0.1,,,,3.5,,,,,
2016-02-15,1.0,5.0,-2.0,0.0,5.2,,,,3.9,,,,,
2016-02-16,0.3,3.0,-3.7,1.5,2.4,,,,1.8,,,,,
2016-02-17,1.1,4.6,-3.7,0.0,2.9,,,,2.2,,,,,
2016-02-18,0.2,8.7,-6.7,0.0,9.4,,,,0.9,,,,,
2016-02-19,4.4,11.7,-3.6,0.0,4.5,,,,1.1,,,,,
2016-02-20,5.2,7.0,3.8,36.5,0.0,,,,0.8,,,,,
2016-02-21,2.3,5.9,-2.3,2.5,9.6,,,,2.2,,,,,
2016-02-22,2.2,7.5,-3.4,0.0,0.7,,,,0.8,,,,,
2016-02-23,3.1,8.7,-1.2,0.5,1.5,,,,0.9,,,,,
2016-02-24,1.4,4.6,-1.0,1.5,0.9,,,,1.3,,,,,
2016-02-25,0.3,4.3,-3.7,0.0,3.5,,,,,,,,,
2016-02-26,0.8,9.0,-5.5,0.0,6.6,,,,1.3,,,,,
2016-02-27,2.6,8.7,-2.2,4.0,0.3,,,,1.0,,,,,
2016-02-28,5.2,13.7,-0.7,0.0,3.3,,,,0.6,,,,,
2016-02-29,2.0,7.6,-3.2,4.5,2.9,,,,3.0,,,,,
2016-03-01,-1.3,1.9,-4.0,2.5,1.3,,,,,,,,,
2016-03-02,1.4,9.9,-3.7,0.0,8.7,,,,1.0,,,,,
2016-03-03,4.2,14.5,-4.0,0.0,10.2,,,,0.9,,,,,
2016-03-04,7.8,15.7,0.3,1.5,1.4,,,,0.4,,,,,
2016-03-05,12.7,18.0,7.3,0.0,1.5,,,,1.1,,,,,
2016-03-06,14.1,16.9,12.6,29.0,0.0,,,,1.1,,,,,
2016-03-07,14.0,21.3,8.2,0.0,4.1,,,,0.8,,,,,
2016-03-08,9.8,15.4,5.0,0.0,1.6,,,,0.9,,,,,
2016-03-09,6.6,8.8,2.2,36.0,0.0,,,,1.2,,,,,
2016-03-10,4.9,9.9,1.0,0.0,0.5,,,,0.8,,,,,
2016-03-11,3.2,9.3,-1.5,0.0,4.8,,,,1.6,,,,,
2016-03-12,2.4,9.9,-2.6,0.0,5.5,,,,0.7,,,,,
2016-03-13,4.3,9.9,-1.0,5.5,1.1,,,,0.9,,,,,
2016-03-14,5.0,9.8,0.8,3.0,3.3,,,,1.6,,,,,
2016-03-15,4.7,13.4,-2.0,0.0,10.7,,,,1.1,,,,,
2016-03-16,6.6,15.7,0.9,0.0,5.8,,,,1.1,,,,,
2016-03-17,8.5,18.3,-1.1,0.0,10.4,,,,1.0,,,,,
2016-03-18,10.0,12.3,6.1,28.0,0.0,,,,0.6,,,,,
2016-03-19,11.9,18.2,4.3,1.0,3.4,,,,1.4,,,,,
2016-03-20,7.3,16.1,0.7,0.0,10.7,,,,1.8,,,,,
2016-03-21,5.7,15.4,-1.6,0.0,10.9,,,,1.2,,,,,
2016-03-22,7.2,18.6,-2.7,0.0,11.1,,,,1.1,,,,,
2016-03-23,8.4,16.8,-0.1,0.0,7.2,,,,1.3,,,,,
2016-03-24,6.2,11.8,1.5,0.0,5.1,,,,2.5,,,,,
2016-03-25,3.4,11.3,-3.2,0.0,7.7,,,,1.7,,,,,
2016-03-26,4.2,12.6,-4.4,0.0,10.5,,,,0.9,,,,,
2016-03-27,5.3,11.1,0.8,0.0,5.1,,,,1.6,,,,,
2016-03-28,6.2,14.6,-1.1,1.0,7.5,,,,1.7,,,,,
2016-03-29,7.5,17.1,-2.2,0.0,5.9,,,,1.4,,,,,
2016-03-30,10.3,18.7,3.2,1.0,2.6,,,,1.1,,,,,
2016-03-31,10.9,18.2,3.4,3.5,3.2,,,,0.8,,,,,
2016-04-01,12.8,17.3,10.3,23.0,0.1,,,,0.9,,,,,
2016-04-02,13.6,19.3,7.4,0.0,1.1,,,,0.8,,,,,
2016-04-03,14.4,18.6,11.6,11.0,0.0,,,,0.8,,,,,
2016-04-04,14.5,19.6,10.2,11.0,1.5,,,,1.0,,,,,
2016-04-05,11.2,17.0,4.9,0.0,6.6,,,,1.0,,,,,
2016-04-06,11.6,20.8,1.5,8.0,7.3,,,,0.8,,,,,
2016-04-07,13.0,19.9,9.7,76.0,0.0,,,,1.3,,,,,
2016-04-08,12.2,19.6,6.8,0.0,3.1,,,,0.7,,,,,
2016-04-09,13.5,22.8,5.9,0.0,10.0,,,,1.1,,,,,
2016-04-10,13.4,21.6,7.7,0.0,0.9,,,,0.6,,,,,
2016-04-11,11.2,17.4,3.5,0.0,9.1,,,,2.3,,,,,
2016-04-12,9.1,16.9,-0.6,0.0,8.2,,,,1.4,,,,,
2016-04-13,12.4,18.0,6.6,32.0,1.6,,,,0.8,,,,,
2016-04-14,16.1,24.1,8.1,0.0,10.5,,,,1.8,,,,,
2016-04-15,12.8,21.8,5.7,0.0,11.7,,,,1.3,,,,,
2016-04-16,13.6,22.4,3.3,2.5,8.9,,,,1.4,,,,,
2016-04-17,16.0,23.2,6.9,51.5,11.0,,,,3.6,,,,,
2016-04-18,10.1,16.2,3.5,0.0,0.2,,,,1.3,,,,,
2016-04-19,10.4,19.0,1.3,0.0,11.5,,,,2.1,,,,,
2016-04-20,13.0,22.4,1.1,0.0,10.3,,,,1.4,,,,,
2016-04-21,13.5,16.1,11.5,67.0,0.0,,,,1.0,,,,,
2016-04-22,16.4,23.6,10.2,0.0,9.4,,,,1.5,,,,,
2016-04-23,13.7,22.2,7.7,1.5,2.1,,,,0.8,,,,,
2016-04-24,14.3,21.9,8.6,0.0,4.8,,,,0.9,,,,,
2016-04-25,13.4,22.8,5.8,0.0,5.4,,,,0.7,,,,,
2016-04-26,16.3,26.4,6.0,0.0,9.9,,,,0.8,,,,,
2016-04-27,15.5,16.3,14.5,39.0,0.0,,,,0.8,,,,,
2016-04-28,14.7,20.0,7.8,12.5,1.7,,,,1.8,,,,,
2016-04-29,10.9,19.6,3.9,0.0,12.3,,,,1.4,,,,,
2016-04-30,13.4,24.5,2.3,0.0,12.3,,,,1.5,,,,,
2016-05-01,15.9,25.4,6.1,0.0,11.8,,,,1.0,,,,,
2016-05-02,17.2,26.7,8.3,0.0,12.1,,,,1.3,,,,,
2016-05-03,15.4,18.4,12.2,56.0,0.0,,,,2.0,,,,,
2016-05-04,17.0,23.5,8.6,0.0,11.3,,,,4.6,,,,,
2016-05-05,18.2,24.9,10.5,0.0,9.9,,,,2.3,,,,,
2016-05-06,13.6,15.8,12.0,22.5,0.0,,,,1.0,,,,,
2016-05-07,16.9,25.5,9.3,0.5,7.3,,,,1.1,,,,,
2016-05-08,15.7,23.7,6.6,0.0,8.2,,,,1.1,,,,,
2016-05-09,14.4,16.1,12.5,33.0,0.0,,,,0.6,,,,,
2016-05-10,16.8,19.9,14.8,52.0,0.0,,,,0.7,,,,,
2016-05-11,14.1,20.0,7.1,1.0,1.4,,,,2.0,,,,,
2016-05-12,14.7,24.6,4.5,0.0,13.0,,,,1.1,,,,,
2016-05-13,17.7,24.0,11.8,0.0,6.2,,,,1.1,,,,,
2016-05-14,18.3,27.0,10.2,0.0,12.4,,,,0.9,,,,,
2016-05-15,18.6,24.4,14.2,6.0,0.7,,,,0.8,,,,,
2016-05-16,15.4,21.6,7.4,60.0,0.0,,,,1.8,,,,,
2016-05-17,14.3,24.4,4.7,0.0,12.2,,,,0.9,,,,,
2016-05-18,16.9,27.6,6.9,0.0,12.9,,,,1.0,,,,,
2016-05-19,17.8,26.7,8.9,0.0,10.3,,,,0.8,,,,,
2016-05-20,19.1,28.1,10.8,0.0,12.2,,,,1.0,,,,,
2016-05-21,19.2,28.6,10.0,0.0,12.5,,,,0.8,,,,,
2016-05-22,19.0,28.4,11.4,0.0,12.3,,,,0.9,,,,,
2016-05-23,19.1,28.8,10.9,0.0,12.4,,,,1.2,,,,,
2016-05-24,18.8,26.4,9.9,7.0,5.5,,,,1.7,,,,,
2016-05-25,19.1,20.3,18.2,33.0,0.0,,,,0.8,,,,,
2016-05-26,20.7,24.5,18.9,3.0,0.7,,,,0.8,,,,,
2016-05-27,21.0,28.8,16.0,0.0,5.7,,,,1.1,,,,,
2016-05-28,18.7,23.1,15.3,1.5,1.2,,,,0.7,,,,,
2016-05-29,17.4,18.5,15.7,14.0,0.0,,,,0.5,,,,,
2016-05-30,20.9,27.8,15.5,0.0,10.5,,,,1.0,,,,,
2016-05-31,20.1,28.6,11.5,0.0,11.0,,,,1.1,,,,,
2016-06-01,18.7,26.8,12.0,0.0,7.2,,,,1.4,,,,,
2016-06-02,17.3,26.1,8.6,0.0,13.0,,,,1.5,,,,,
2016-06-03,17.6,26.5,8.3,0.0,11.5,,,,1.0,,,,,
2016-06-04,16.9,21.6,14.2,25.5,0.0,,,,1.5,,,,,
2016-06-05,17.2,19.4,15.3,22.5,0.0,,,,1.5,,,,,
2016-06-06,20.2,25.1,16.6,0.0,0.6,,,,0.8,,,,,
2016-06-07,19.5,24.0,17.4,23.0,2.5,,,,0.8,,,,,
