calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.2,8.7,-1.5,0.0,,,,,1.4,,,,,
2016-01-02,7.2,12.5,1.6,0.0,,,,,2.2,,,,,
2016-01-03,9.8,14.5,5.7,0.0,,,,,1.3,,,,,
2016-01-04,8.8,14.0,4.7,0.0,,,,,2.7,,,,,
2016-01-05,6.3,9.4,2.9,0.5,,,,,1.5,,,,,
2016-01-06,6.0,9.2,2.7,0.0,,,,,1.5,,,,,
2016-01-07,5.3,10.3,2.1,0.0,,,,,3.0,,,,,
2016-01-08,3.7,8.3,0.5,0.0,,,,,2.9,,,,,
2016-01-09,3.3,8.5,-0.6,0.0,,,,,2.1,,,,,
2016-01-10,4.2,9.4,0.2,0.0,,,,,3.2,,,,,
2016-01-11,5.1,10.5,0.5,0.0,,,,,2.6,,,,,
2016-01-12,4.6,8.0,1.9,0.0,,,,,3.5,,,,,
2016-01-13,2.3,7.0,-1.7,0.0,,,,,2.9,,,,,
2016-01-14,1.7,6.5,-1.8,0.0,,,,,3.2,,,,,
2016-01-15,1.9,5.6,-2.0,0.0,,,,,1.9,,,,,
2016-01-16,3.1,8.2,-2.8,0.0,,,,,1.9,,,,,
2016-01-17,3.0,5.3,0.7,6.5,,,,,3.7,,,,,
2016-01-18,3.8,9.3,-2.0,7.5,,,,,6.2,,,,,
2016-01-19,-2.4,0.1,-4.5,0.5,,,,,6.4,,,,,
2016-01-20,-0.8,5.4,-7.2,0.0,,,,,4.1,,,,,
2016-01-21,1.7,5.5,-1.6,0.0,,,,,1.8,,,,,
2016-01-22,3.0,7.7,-0.1,0.0,,,,,2.7,,,,,
2016-01-23,1.1,6.3,-2.8,0.0,,,,,4.4,,,,,
2016-01-24,-5.5,-2.2,-8.3,0.5,,,,,6.2,,,,,
2016-01-25,-2.9,2.5,-8.6,1.0,,,,,2.8,,,,,
2016-01-26,1.5,4.5,-1.4,0.0,,,,,2.7,,,,,
2016-01-27,4.1,8.2,-0.4,0.0,,,,,2.5,,,,,
2016-01-28,5.2,8.6,0.9,6.5,,,,,1.6,,,,,
2016-01-29,6.0,7.5,4.9,25.0,,,,,1.9,,,,,
2016-01-30,5.7,7.5,3.5,2.0,,,,,3.3,,,,,
2016-01-31,4.6,8.5,0.3,0.0,,,,,2.1,,,,,
2016-02-01,4.2,7.4,2.4,0.0,,,,,3.7,,,,,
2016-02-02,3.3,7.8,0.4,0.0,,,,,3.5,,,,,
2016-02-03,2.7,7.2,-0.7,0.0,,,,,2.3,,,,,
2016-02-04,3.2,8.2,-2.1,0.0,,,,,2.4,,,,,
2016-02-05,4.1,8.9,-0.2,0.0,,,,,2.0,,,,,
2016-02-06,2.4,7.5,-1.1,0.0,,,,,3.4,,,,,
2016-02-07,1.3,5.5,-2.1,0.0,,,,,2.4,,,,,
2016-02-08,2.3,6.9,-1.7,0.0,,,,,2.5,,,,,
2016-02-09,4.4,9.5,-0.1,0.0,,,,,5.7,,,,,
2016-02-10,4.3,10.5,-1.8,0.0,,,,,1.5,,,,,
2016-02-11,4.8,11.4,-0.2,0.0,,,,,2.5,,,,,
2016-02-12,8.1,12.3,2.3,0.0,,,,,2.3,,,,,
2016-02-13,11.1,12.9,9.3,34.0,,,,,2.0,,,,,
2016-02-14,10.9,15.0,5.4,5.0,,,,,4.6,,,,,
2016-02-15,1.8,6.1,-3.1,0.0,,,,,6.0,,,,,
2016-02-16,0.6,5.6,-3.5,0.0,,,,,3.8,,,,,
2016-02-17,2.1,6.1,-1.4,0.0,,,,,3.9,,,,,
2016-02-18,2.8,8.3,-3.7,0.0,,,,,2.0,,,,,
2016-02-19,6.7,11.7,1.1,0.0,,,,,1.9,,,,,
2016-02-20,5.7,7.3,4.6,24.0,,,,,3.2,,,,,
2016-02-21,3.3,7.3,-0.1,0.0,,,,,5.4,,,,,
2016-02-22,3.2,7.2,-1.6,0.0,,,,,2.0,,,,,
2016-02-23,4.4,9.5,1.8,0.0,,,,,2.4,,,,,
2016-02-24,1.8,4.9,-1.0,0.5,,,,,2.7,,,,,
2016-02-25,0.4,5.1,-2.0,0.5,,,,,2.5,,,,,
2016-02-26,2.1,8.2,-4.3,0.0,,,,,2.6,,,,,
2016-02-27,4.7,10.0,0.5,2.5,,,,,2.3,,,,,
2016-02-28,7.6,14.1,1.7,0.0,,,,,1.7,,,,,
2016-02-29,3.7,11.2,-3.3,2.5,,,,,6.6,,,,,
2016-03-01,-0.9,1.7,-3.6,0.0,,,,,1.9,,,,,
2016-03-02,3.3,8.9,-2.7,0.0,,,,,2.4,,,,,
2016-03-03,7.2,13.5,0.0,0.0,,,,,2.1,,,,,
2016-03-04,8.7,12.8,4.7,1.0,,,,,1.2,,,,,
2016-03-05,12.7,18.4,7.0,0.0,,,,,1.8,,,,,
2016-03-06,13.6,17.2,10.2,0.5,,,,,1.5,,,,,
2016-03-07,14.8,20.9,10.2,0.0,,,,,1.5,,,,,
2016-03-08,12.0,17.0,9.2,0.0,,,,,3.0,,,,,
2016-03-09,6.2,10.0,4.2,41.0,,,,,4.0,,,,,
2016-03-10,5.3,8.1,3.1,0.0,,,,,2.3,,,,,
2016-03-11,4.2,9.2,1.0,1.5,,,,,2.8,,,,,
2016-03-12,4.0,8.7,-0.7,0.0,,,,,2.2,,,,,
2016-03-13,4.8,9.1,1.8,7.0,,,,,2.0,,,,,
2016-03-14,4.8,8.9,2.6,5.0,,,,,3.7,,,,,
2016-03-15,5.9,12.0,1.7,0.0,,,,,2.5,,,,,
2016-03-16,8.3,15.1,3.1,0.0,,,,,2.0,,,,,
2016-03-17,11.3,17.7,4.6,0.0,,,,,1.7,,,,,
2016-03-18,10.4,11.8,8.7,9.0,,,,,1.7,,,,,
2016-03-19,12.3,18.5,7.4,0.5,,,,,2.9,,,,,
