calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,8.6,12.1,3.6,0.0,9.3,,,,2.6,,,,,
2016-01-02,11.9,14.5,9.2,0.0,3.0,,,,3.6,,,,,
2016-01-03,12.8,15.6,10.5,0.0,4.1,,,,1.6,,,,,
2016-01-04,12.6,16.3,9.4,0.0,6.0,,,,3.0,,,,,
2016-01-05,9.6,13.2,7.5,0.5,0.1,,,,1.0,,,,,
2016-01-06,9.2,11.2,7.3,0.0,0.3,,,,1.1,,,,,
2016-01-07,9.0,12.1,6.1,0.0,7.3,,,,2.8,,,,,
2016-01-08,8.1,10.3,6.1,0.0,2.7,,,,5.8,,,,,
2016-01-09,7.1,10.7,3.4,0.0,6.0,,,,2.9,,,,,
2016-01-10,8.7,12.2,5.4,0.0,7.1,,,,3.0,,,,,
2016-01-11,8.5,12.2,5.5,0.0,3.9,,,,1.5,,,,,
2016-01-12,7.6,11.7,5.2,0.0,5.0,,,,1.5,,,,,
2016-01-13,6.5,8.9,4.7,0.0,5.5,,,,4.4,,,,,
2016-01-14,6.6,9.9,3.9,0.0,5.0,,,,4.2,,,,,
2016-01-15,6.1,10.3,3.0,0.0,8.1,,,,1.4,,,,,
2016-01-16,6.5,10.3,2.2,0.0,9.3,,,,1.5,,,,,
2016-01-17,6.4,8.0,4.9,14.5,0.0,,,,3.0,,,,,
2016-01-18,7.2,12.2,2.2,8.5,5.6,,,,6.2,,,,,
2016-01-19,2.4,4.5,0.2,0.0,5.3,,,,9.0,,,,,
2016-01-20,3.8,8.7,0.8,0.0,6.5,,,,3.6,,,,,
2016-01-21,5.4,8.8,1.6,0.0,3.3,,,,2.4,,,,,
2016-01-22,6.7,10.3,3.8,0.0,4.1,,,,2.2,,,,,
2016-01-23,4.8,9.7,0.5,0.0,4.2,,,,1.8,,,,,
2016-01-24,-1.2,1.2,-2.8,0.0,4.3,,,,5.7,,,,,
2016-01-25,2.4,6.0,-1.7,0.0,7.2,,,,5.0,,,,,
2016-01-26,5.8,7.6,3.7,0.0,0.0,,,,5.0,,,,,
2016-01-27,8.5,11.0,6.7,0.0,3.4,,,,4.9,,,,,
2016-01-28,8.3,10.6,6.1,3.5,0.3,,,,1.6,,,,,
2016-01-29,8.3,9.2,7.7,33.0,0.0,,,,2.9,,,,,
2016-01-30,8.4,9.8,6.0,3.5,0.0,,,,2.6,,,,,
2016-01-31,7.5,10.6,3.8,0.0,4.8,,,,1.6,,,,,
2016-02-01,7.3,10.2,5.2,0.0,0.1,,,,2.1,,,,,
2016-02-02,6.7,11.1,2.2,0.0,6.5,,,,2.1,,,,,
2016-02-03,6.4,10.0,3.8,0.0,6.9,,,,2.0,,,,,
2016-02-04,7.2,10.7,3.3,0.0,6.4,,,,3.2,,,,,
2016-02-05,7.0,10.8,3.4,0.0,5.5,,,,2.0,,,,,
2016-02-06,5.9,10.2,2.3,0.0,5.5,,,,2.4,,,,,
2016-02-07,4.7,8.2,1.2,0.0,9.0,,,,1.7,,,,,
2016-02-08,6.1,10.0,2.7,0.5,5.2,,,,3.5,,,,,
2016-02-09,8.2,11.5,3.5,0.0,8.3,,,,5.2,,,,,
2016-02-10,7.2,11.7,3.2,0.0,10.2,,,,1.5,,,,,
2016-02-11,7.9,12.3,4.4,0.0,9.9,,,,1.9,,,,,
2016-02-12,9.9,13.6,6.3,0.0,1.4,,,,2.7,,,,,
2016-02-13,12.4,14.4,11.1,39.5,0.0,,,,2.2,,,,,
2016-02-14,12.4,15.9,8.3,3.0,4.4,,,,7.2,,,,,
2016-02-15,5.2,8.5,2.2,0.0,5.8,,,,5.4,,,,,
2016-02-16,4.7,8.3,1.6,0.0,7.0,,,,6.0,,,,,
2016-02-17,5.9,8.9,2.0,0.0,5.7,,,,3.8,,,,,
2016-02-18,6.4,10.8,0.5,0.0,10.1,,,,2.3,,,,,
2016-02-19,10.4,13.9,7.0,0.0,4.7,,,,2.4,,,,,
2016-02-20,8.0,10.8,6.8,26.5,0.0,,,,2.1,,,,,
2016-02-21,6.8,10.2,3.3,0.0,9.8,,,,2.6,,,,,
2016-02-22,6.2,9.5,2.9,0.0,1.9,,,,1.5,,,,,
2016-02-23,6.8,10.2,4.8,0.0,2.0,,,,1.0,,,,,
2016-02-24,5.5,8.6,2.1,0.5,1.0,,,,2.4,,,,,
2016-02-25,4.4,9.4,0.8,0.0,7.0,,,,2.6,,,,,
2016-02-26,5.8,9.6,0.3,0.0,9.0,,,,2.7,,,,,
2016-02-27,9.1,14.2,5.5,0.0,3.7,,,,2.7,,,,,
2016-02-28,9.9,14.3,6.6,0.0,7.5,,,,1.5,,,,,
2016-02-29,7.1,14.0,0.7,1.5,2.1,,,,5.2,,,,,
2016-03-01,3.1,6.7,-0.4,0.0,6.0,,,,2.2,,,,,
2016-03-02,7.3,11.6,2.6,0.0,10.6,,,,2.8,,,,,
2016-03-03,10.1,14.6,6.1,0.0,10.8,,,,2.7,,,,,
2016-03-04,11.1,14.1,8.2,0.0,3.0,,,,1.5,,,,,
2016-03-05,14.1,19.7,9.7,0.0,7.5,,,,1.6,,,,,
2016-03-06,15.3,18.4,12.3,0.0,0.3,,,,1.0,,,,,
2016-03-07,15.7,20.8,12.2,0.0,8.8,,,,1.7,,,,,
2016-03-08,13.2,15.9,11.4,0.0,1.5,,,,1.9,,,,,
2016-03-09,8.6,12.6,7.1,55.5,0.0,,,,3.4,,,,,
2016-03-10,8.0,10.6,5.8,0.0,1.4,,,,1.9,,,,,
2016-03-11,7.3,11.4,5.2,0.0,6.2,,,,2.2,,,,,
2016-03-12,6.9,11.1,3.0,0.0,11.2,,,,1.6,,,,,
2016-03-13,7.2,10.4,5.2,4.5,0.6,,,,1.7,,,,,
2016-03-14,7.2,11.0,5.2,8.5,1.4,,,,2.3,,,,,
2016-03-15,7.9,12.5,3.0,0.0,11.2,,,,1.4,,,,,
2016-03-16,9.8,14.0,6.9,0.0,8.0,,,,1.5,,,,,
2016-03-17,12.7,18.3,7.5,0.0,10.8,,,,1.1,,,,,
2016-03-18,11.6,13.5,10.5,11.5,0.0,,,,1.6,,,,,
2016-03-19,12.6,15.2,10.2,2.0,0.8,,,,1.4,,,,,
2016-03-20,10.2,14.7,5.7,0.0,11.1,,,,2.2,,,,,
2016-03-21,9.1,13.5,4.8,0.0,11.6,,,,1.8,,,,,
2016-03-22,10.6,15.3,5.5,0.0,11.6,,,,2.2,,,,,
2016-03-23,12.5,16.5,9.0,0.0,8.0,,,,1.9,,,,,
2016-03-24,9.4,14.1,4.9,0.0,7.6,,,,3.3,,,,,
2016-03-25,7.6,12.2,2.2,0.0,10.8,,,,1.9,,,,,
2016-03-26,8.3,12.9,3.5,0.0,11.6,,,,1.9,,,,,
2016-03-27,9.8,14.6,6.8,0.0,10.0,,,,2.6,,,,,
2016-03-28,10.4,14.7,5.7,0.0,10.0,,,,1.8,,,,,
2016-03-29,11.9,16.6,7.2,0.0,6.0,,,,2.4,,,,,
2016-03-30,14.3,17.1,11.5,0.0,4.2,,,,3.1,,,,,
2016-03-31,14.0,18.1,11.2,2.0,4.9,,,,1.0,,,,,
2016-04-01,14.0,15.7,12.3,6.5,0.1,,,,2.1,,,,,
2016-04-02,15.7,20.0,11.6,0.0,8.2,,,,1.3,,,,,
2016-04-03,15.5,19.4,13.3,6.5,0.8,,,,1.5,,,,,
2016-04-04,15.5,20.2,13.1,20.5,1.1,,,,1.3,,,,,
2016-04-05,13.2,16.5,10.8,0.0,6.2,,,,1.7,,,,,
2016-04-06,14.9,19.9,9.8,1.5,7.6,,,,1.0,,,,,
2016-04-07,14.5,18.9,10.8,69.0,0.0,,,,3.1,,,,,
2016-04-08,13.7,17.1,11.5,0.0,4.1,,,,1.2,,,,,
2016-04-09,14.7,19.3,11.7,0.0,9.5,,,,1.3,,,,,
2016-04-10,15.2,19.0,12.4,0.0,1.5,,,,1.4,,,,,
2016-04-11,12.9,16.7,7.8,0.0,9.7,,,,2.6,,,,,
2016-04-12,11.0,16.2,6.6,0.0,9.2,,,,2.5,,,,,
2016-04-13,14.2,19.6,10.4,20.0,5.6,,,,1.7,,,,,
2016-04-14,16.5,21.2,14.1,0.0,10.2,,,,1.5,,,,,
2016-04-15,16.2,20.5,11.6,0.0,11.9,,,,1.8,,,,,
2016-04-16,16.2,21.4,11.5,0.0,9.6,,,,2.0,,,,,
2016-04-17,17.0,20.5,13.7,18.0,10.3,,,,4.7,,,,,
2016-04-18,13.6,16.3,10.0,0.0,0.1,,,,2.1,,,,,
2016-04-19,14.3,18.2,9.2,0.0,11.6,,,,2.7,,,,,
2016-04-20,14.9,19.8,10.0,0.0,10.9,,,,1.5,,,,,
2016-04-21,14.2,16.2,12.4,49.5,0.0,,,,1.9,,,,,
2016-04-22,17.2,21.1,14.6,0.0,11.5,,,,2.1,,,,,
2016-04-23,15.8,20.1,14.2,3.0,2.1,,,,1.8,,,,,
2016-04-24,15.2,20.6,12.6,0.0,2.8,,,,0.9,,,,,
2016-04-25,16.2,20.1,12.3,0.0,3.4,,,,1.6,,,,,
2016-04-26,18.1,24.0,12.0,0.0,11.2,,,,1.2,,,,,
2016-04-27,17.1,18.5,15.8,7.5,0.0,,,,1.9,,,,,
2016-04-28,15.2,18.4,9.6,10.5,0.1,,,,1.6,,,,,
2016-04-29,13.2,17.9,8.4,0.0,11.8,,,,1.4,,,,,
2016-04-30,15.5,20.1,9.8,0.0,12.2,,,,2.6,,,,,
2016-05-01,18.1,22.5,14.1,0.0,12.3,,,,2.7,,,,,
2016-05-02,18.7,23.9,13.8,0.0,12.2,,,,1.6,,,,,
2016-05-03,17.2,20.6,15.0,19.5,0.0,,,,2.9,,,,,
