calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.6,11.0,-1.4,0.0,7.7,,,,0.8,,,,,
2016-01-02,5.4,12.6,-0.4,0.0,4.9,,,,0.5,,,,,
2016-01-03,8.1,14.8,2.4,0.0,6.5,,,,0.8,,,,,
2016-01-04,8.9,15.9,4.2,0.0,5.7,,,,0.8,,,,,
2016-01-05,5.6,9.9,2.9,0.0,0.0,,,,0.3,,,,,
2016-01-06,5.5,10.3,2.2,0.0,0.9,,,,0.5,,,,,
2016-01-07,5.6,11.0,1.7,0.0,5.6,,,,1.0,,,,,
2016-01-08,4.7,8.9,1.9,0.0,0.7,,,,0.7,,,,,
2016-01-09,3.7,8.6,0.1,0.0,3.4,,,,0.7,,,,,
2016-01-10,4.2,11.0,0.2,0.0,4.9,,,,0.7,,,,,
2016-01-11,5.0,11.8,0.0,0.0,5.0,,,,0.7,,,,,
2016-01-12,5.7,9.4,2.2,0.0,2.5,,,,0.9,,,,,
2016-01-13,2.5,7.4,-2.0,0.0,2.2,,,,0.8,,,,,
2016-01-14,1.5,6.4,-2.3,0.0,1.2,,,,0.5,,,,,
2016-01-15,2.2,8.9,-1.6,0.0,6.1,,,,0.7,,,,,
2016-01-16,3.0,10.7,-2.8,0.0,7.3,,,,0.9,,,,,
2016-01-17,3.2,6.8,-0.4,23.0,0.0,,,,1.1,,,,,
2016-01-18,4.4,9.6,0.5,11.0,2.3,,,,1.7,,,,,
2016-01-19,-1.0,0.9,-2.7,7.5,1.2,,,,2.1,,,,,
2016-01-20,0.4,5.6,-4.3,0.5,4.6,,,,0.7,,,,,
2016-01-21,2.0,6.1,-1.8,0.5,2.8,,,,0.5,,,,,
2016-01-22,3.3,8.3,-0.4,0.0,5.4,,,,1.0,,,,,
2016-01-23,2.2,6.5,-0.7,0.0,1.2,,,,1.1,,,,,
2016-01-24,-4.4,-0.8,-6.6,11.5,0.2,,,,1.5,,,,,
2016-01-25,-1.7,2.8,-6.8,2.0,3.6,,,,,,,,,
2016-01-26,0.9,4.6,-1.3,0.0,0.5,,,,0.5,,,,,
2016-01-27,2.8,9.8,-0.8,0.0,3.6,,,,0.5,,,,,
2016-01-28,3.3,7.1,-1.3,5.5,0.0,,,,0.5,,,,,
2016-01-29,6.2,7.8,4.4,25.5,0.0,,,,1.3,,,,,
2016-01-30,6.7,9.9,2.5,1.5,0.0,,,,1.2,,,,,
2016-01-31,4.7,10.1,0.0,0.0,2.9,,,,0.7,,,,,
2016-02-01,4.7,8.5,2.7,0.0,0.1,,,,0.9,,,,,
2016-02-02,3.9,9.8,-0.8,0.0,3.1,,,,0.8,,,,,
2016-02-03,4.3,9.3,0.2,0.0,3.5,,,,0.9,,,,,
2016-02-04,3.3,9.8,-2.4,0.0,7.1,,,,1.0,,,,,
2016-02-05,3.1,9.9,-1.4,0.0,5.7,,,,0.7,,,,,
2016-02-06,2.1,8.3,-1.9,0.0,3.8,,,,0.9,,,,,
2016-02-07,2.9,8.1,-1.6,0.0,6.4,,,,1.2,,,,,
2016-02-08,3.5,9.9,-2.2,0.0,4.6,,,,1.4,,,,,
2016-02-09,5.1,9.1,-1.3,0.0,3.2,,,,1.9,,,,,
2016-02-10,3.7,13.1,-3.4,0.0,9.2,,,,0.8,,,,,
2016-02-11,4.9,14.0,-2.1,0.0,9.3,,,,0.8,,,,,
2016-02-12,7.3,13.9,0.9,0.5,0.2,,,,0.5,,,,,
2016-02-13,10.9,13.2,8.5,53.0,0.0,,,,0.3,,,,,
