calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.4,9.0,-2.7,0.0,4.6,,0,0,0.7,,,,,
2016-01-02,3.5,12.4,-1.5,0.0,1.6,,0,0,0.7,,,,,
2016-01-03,4.6,14.6,-0.9,0.0,4.5,,0,0,1.0,,,,,
2016-01-04,4.8,12.9,-0.3,0.0,2.6,,0,0,1.6,,,,,
2016-01-05,2.7,7.7,-1.5,0.5,0.2,,0,0,1.0,,,,,
2016-01-06,3.5,9.3,-0.1,0.0,1.0,,0,0,1.4,,,,,
2016-01-07,3.9,6.4,1.7,0.5,1.5,,0,0,1.1,,,,,
2016-01-08,1.6,3.6,-0.4,1.5,0.3,,0,0,0.7,,,,,
2016-01-09,1.5,4.9,-1.4,0.5,1.2,,0,0,0.8,,,,,
2016-01-10,2.3,7.2,0.0,0.0,3.6,,0,0,1.1,,,,,
2016-01-11,2.9,8.3,-1.6,0.0,4.6,,0,0,1.3,,,,,
2016-01-12,2.6,5.4,0.1,0.0,1.0,,0,0,1.1,,,,,
2016-01-13,0.4,3.5,-2.0,0.5,0.9,,0,0,1.0,,,,,
2016-01-14,0.1,2.4,-2.2,8.5,0.6,,6,11,0.8,,,,,
2016-01-15,0.1,3.5,-1.8,2.0,0.6,,6,6,,,,,,
2016-01-16,-0.2,6.9,-5.4,0.0,6.9,,1,1,0.6,,,,,
2016-01-17,0.2,3.7,-2.7,17.0,0.0,,4,4,0.5,,,,,
2016-01-18,1.9,5.6,-2.8,23.5,0.1,,4,7,2.8,,,,,
2016-01-19,-3.3,-1.4,-4.4,7.5,1.3,,17,19,4.4,,,,,
2016-01-20,-0.5,2.2,-4.7,6.5,0.8,,23,10,2.5,,,,,
2016-01-21,-0.1,3.3,-3.1,1.5,2.2,,15,3,0.4,,,,,
2016-01-22,0.7,4.2,-1.8,1.0,2.5,,11,3,,,,,,
2016-01-23,-1.4,1.7,-4.7,7.5,0.0,,33,29,2.1,,,,,
2016-01-24,-7.3,-4.3,-9.1,52.5,0.0,,80,52,2.3,,,,,
2016-01-25,-3.4,0.0,-6.8,7.0,1.0,,78,5,1.4,,,,,
2016-01-26,-1.4,1.0,-4.4,0.0,0.0,,57,0,0.6,,,,,
2016-01-27,0.4,5.0,-2.3,0.0,2.1,,48,0,0.7,,,,,
2016-01-28,0.1,3.1,-4.2,9.0,0.0,,37,1,0.4,,,,,
2016-01-29,1.4,2.9,0.5,26.0,0.0,,28,6,0.4,,,,,
2016-01-30,3.2,7.1,-0.9,0.5,0.1,,24,1,1.0,,,,,
2016-01-31,1.7,6.2,-2.4,0.0,0.8,,20,1,0.9,,,,,
2016-02-01,2.0,5.7,-0.1,4.5,1.6,,18,0,1.4,,,,,
2016-02-02,1.0,6.4,-3.1,0.0,3.0,,16,2,1.1,,,,,
2016-02-03,0.2,5.9,-4.5,0.0,2.8,,15,3,0.9,,,,,
2016-02-04,0.6,6.3,-4.7,0.0,5.3,,13,0,1.2,,,,,
2016-02-05,0.3,7.1,-3.8,0.0,5.7,,11,1,1.2,,,,,
2016-02-06,-0.2,2.6,-3.7,1.5,1.6,,13,9,1.5,,,,,
2016-02-07,-0.9,3.1,-5.9,0.0,4.4,,13,0,1.4,,,,,
2016-02-08,0.3,6.2,-6.5,0.0,4.4,,10,2,1.1,,,,,
2016-02-09,2.1,5.9,-3.8,0.5,5.4,,9,4,3.6,,,,,
2016-02-10,0.6,7.7,-4.1,0.0,9.4,,6,2,1.3,,,,,
2016-02-11,1.3,12.8,-6.3,0.0,9.4,,3,2,0.7,,,,,
2016-02-12,4.2,12.0,-3.0,2.0,1.4,,0,0,1.2,,,,,
2016-02-13,6.4,11.5,3.9,38.5,0.0,,0,0,0.5,,,,,
2016-02-14,7.8,13.0,3.0,4.0,0.0,,0,0,1.9,,,,,
2016-02-15,-1.0,3.1,-4.5,21.0,0.7,,23,25,1.6,,,,,
2016-02-16,-0.9,1.4,-3.2,8.0,2.0,,34,17,0.8,,,,,
2016-02-17,-0.8,2.5,-7.2,4.0,2.6,,23,9,1.7,,,,,
2016-02-18,-2.3,7.1,-11.4,0.0,9.8,,10,3,0.8,,,,,
2016-02-19,1.6,10.3,-5.4,0.0,3.5,,7,1,0.8,,,,,
2016-02-20,3.0,5.8,0.9,37.0,0.0,,4,2,1.2,,,,,
2016-02-21,1.1,3.6,-2.9,4.0,4.3,,1,1,2.2,,,,,
2016-02-22,0.9,6.3,-4.4,0.0,1.1,,0,0,0.8,,,,,
2016-02-23,2.6,6.8,0.3,0.0,0.6,,0,0,,,,,,
2016-02-24,0.7,4.2,-1.1,1.5,0.0,,0,0,1.5,,,,,
2016-02-25,-1.2,2.5,-4.9,0.5,1.5,,0,0,1.2,,,,,
2016-02-26,0.1,6.8,-6.6,0.0,6.3,,0,0,1.2,,,,,
2016-02-27,2.4,7.5,-1.9,2.0,1.5,,0,0,0.9,,,,,
2016-02-28,5.7,12.8,-0.3,0.0,3.7,,0,0,1.3,,,,,
2016-02-29,1.3,10.1,-2.8,9.0,0.1,,2,3,3.0,,,,,
2016-03-01,-1.6,0.8,-3.5,4.5,0.3,,12,15,0.8,,,,,
2016-03-02,1.3,8.4,-3.3,0.5,8.0,,4,3,1.0,,,,,
2016-03-03,3.8,13.9,-3.8,0.0,9.8,,0,0,1.4,,,,,
2016-03-04,5.3,11.2,-1.0,0.5,0.0,,0,0,0.6,,,,,
2016-03-05,10.7,18.3,1.9,0.0,5.6,,0,0,1.9,,,,,
2016-03-06,13.2,16.6,9.7,9.5,0.0,,0,0,1.8,,,,,
