calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.0,12.0,1.5,0.0,5.6,,,,1.6,,,,,
2016-01-02,8.8,14.6,3.1,0.0,2.6,,,,1.5,,,,,
2016-01-03,10.6,15.5,6.9,0.0,3.2,,,,1.1,,,,,
2016-01-04,10.2,17.4,4.2,0.0,8.5,,,,2.7,,,,,
2016-01-05,8.2,11.5,6.1,0.5,0.0,,,,1.0,,,,,
2016-01-06,7.9,10.8,5.5,0.0,0.4,,,,1.0,,,,,
2016-01-07,7.6,12.2,4.6,0.0,6.2,,,,2.3,,,,,
2016-01-08,6.7,9.4,5.0,0.0,1.2,,,,2.1,,,,,
2016-01-09,5.4,9.3,2.1,0.0,3.5,,,,2.6,,,,,
2016-01-10,6.4,12.5,1.1,0.0,6.9,,,,2.4,,,,,
2016-01-11,7.1,11.3,2.7,0.0,4.8,,,,1.5,,,,,
2016-01-12,7.4,11.3,3.4,0.0,4.2,,,,2.7,,,,,
2016-01-13,4.8,8.7,1.3,0.0,3.1,,,,2.6,,,,,
2016-01-14,4.5,8.7,0.2,0.0,4.6,,,,2.5,,,,,
2016-01-15,5.7,11.2,2.3,0.0,7.3,,,,2.3,,,,,
2016-01-16,4.8,10.4,-0.4,0.0,8.4,,,,1.0,,,,,
2016-01-17,5.1,8.4,2.0,22.0,0.0,,,,3.0,,,,,
2016-01-18,6.4,11.3,0.2,12.5,6.4,,,,4.0,,,,,
2016-01-19,0.8,3.6,-1.3,1.5,5.3,,,,3.8,,,,,
2016-01-20,2.5,7.8,-2.1,0.5,8.6,,,,3.1,,,,,
2016-01-21,4.4,8.0,0.5,0.0,2.6,,,,2.4,,,,,
2016-01-22,6.0,10.7,2.3,0.0,5.0,,,,3.1,,,,,
2016-01-23,4.3,9.6,0.1,0.0,2.3,,,,2.3,,,,,
2016-01-24,-2.6,0.4,-4.4,0.0,5.6,,,,2.4,,,,,
2016-01-25,0.8,5.3,-3.9,1.0,7.9,,,,2.4,,,,,
2016-01-26,3.6,6.5,0.9,0.0,0.5,,,,2.0,,,,,
2016-01-27,5.9,10.7,1.6,0.0,2.5,,,,1.8,,,,,
2016-01-28,6.5,8.8,3.4,5.5,0.0,,,,1.3,,,,,
2016-01-29,8.4,9.3,7.4,30.5,0.0,,,,1.7,,,,,
2016-01-30,9.1,11.7,5.4,1.5,0.1,,,,3.8,,,,,
2016-01-31,7.1,12.0,3.4,0.0,3.1,,,,2.5,,,,,
2016-02-01,6.8,10.9,5.0,0.0,0.9,,,,2.3,,,,,
2016-02-02,6.4,10.6,2.9,0.0,3.9,,,,3.2,,,,,
2016-02-03,6.0,9.3,3.6,0.0,3.0,,,,2.6,,,,,
2016-02-04,6.0,12.0,0.4,0.0,8.0,,,,3.4,,,,,
2016-02-05,5.5,10.4,1.6,0.0,5.9,,,,1.7,,,,,
2016-02-06,4.3,9.8,1.0,0.0,6.6,,,,2.4,,,,,
2016-02-07,4.3,8.6,0.9,0.0,6.3,,,,2.7,,,,,
2016-02-08,5.7,10.2,1.4,0.0,4.7,,,,2.7,,,,,
2016-02-09,6.7,11.3,1.9,0.5,9.0,,,,2.8,,,,,
2016-02-10,5.5,11.5,-0.2,0.0,9.5,,,,1.3,,,,,
2016-02-11,6.3,12.9,0.4,0.0,9.5,,,,1.0,,,,,
2016-02-12,8.8,13.4,3.5,0.0,0.2,,,,0.7,,,,,
2016-02-13,11.8,13.3,10.0,59.5,0.0,,,,0.8,,,,,
2016-02-14,11.9,16.6,7.9,5.0,0.7,,,,3.4,,,,,
2016-02-15,4.4,8.0,0.2,0.0,6.0,,,,2.5,,,,,
2016-02-16,3.7,7.7,-0.4,0.0,6.2,,,,2.4,,,,,
2016-02-17,4.8,9.3,1.0,0.0,4.8,,,,2.7,,,,,
2016-02-18,4.3,9.8,-1.3,0.0,9.3,,,,1.6,,,,,
2016-02-19,8.1,14.4,1.2,0.0,4.6,,,,1.6,,,,,
2016-02-20,7.7,9.4,5.6,32.0,0.0,,,,2.0,,,,,
2016-02-21,6.3,10.8,2.8,0.0,9.3,,,,3.1,,,,,
2016-02-22,5.6,9.2,0.7,0.0,0.9,,,,1.7,,,,,
2016-02-23,6.1,10.2,3.5,0.5,0.2,,,,1.7,,,,,
2016-02-24,5.0,7.0,2.8,1.5,0.0,,,,3.5,,,,,
2016-02-25,3.9,8.2,0.7,0.0,4.5,,,,2.9,,,,,
2016-02-26,4.8,10.0,-0.2,0.0,7.6,,,,2.5,,,,,
2016-02-27,6.4,13.1,2.4,3.0,2.5,,,,1.4,,,,,
2016-02-28,8.4,14.2,4.3,0.0,4.7,,,,0.9,,,,,
2016-02-29,6.0,13.2,0.0,1.5,4.4,,,,2.9,,,,,
2016-03-01,2.3,5.8,-0.1,0.5,3.1,,,,2.4,,,,,
2016-03-02,5.8,11.7,0.0,0.0,10.0,,,,2.4,,,,,
2016-03-03,7.8,14.1,1.0,0.0,10.2,,,,1.4,,,,,
2016-03-04,10.6,14.7,6.6,0.0,1.4,,,,0.9,,,,,
2016-03-05,13.7,19.3,7.8,0.0,4.9,,,,1.1,,,,,
2016-03-06,15.2,19.1,12.2,1.0,0.4,,,,1.2,,,,,
2016-03-07,16.2,21.8,12.8,0.0,7.6,,,,1.1,,,,,
2016-03-08,13.5,17.4,10.3,0.0,0.7,,,,1.5,,,,,
2016-03-09,9.6,12.8,7.4,39.5,0.0,,,,3.6,,,,,
2016-03-10,8.5,11.4,6.1,0.0,1.9,,,,2.1,,,,,
2016-03-11,7.3,11.4,4.1,0.0,5.6,,,,2.4,,,,,
2016-03-12,6.5,11.2,1.8,0.0,9.2,,,,1.7,,,,,
2016-03-13,7.6,11.3,4.4,4.0,1.2,,,,1.3,,,,,
2016-03-14,8.6,14.1,4.9,4.5,4.5,,,,4.3,,,,,
2016-03-15,8.1,13.6,1.9,0.0,10.7,,,,1.7,,,,,
2016-03-16,9.9,14.9,5.7,0.0,6.8,,,,1.3,,,,,
2016-03-17,11.8,18.9,4.6,0.0,10.7,,,,1.1,,,,,
2016-03-18,11.8,13.7,10.6,28.0,0.0,,,,0.8,,,,,
2016-03-19,13.3,19.4,7.7,2.0,2.4,,,,1.2,,,,,
2016-03-20,10.2,16.5,4.7,0.0,10.6,,,,2.4,,,,,
2016-03-21,9.3,15.3,3.1,0.0,11.0,,,,2.0,,,,,
2016-03-22,10.5,19.1,3.9,0.0,10.9,,,,1.8,,,,,
2016-03-23,12.0,17.3,6.1,0.0,8.3,,,,1.9,,,,,
2016-03-24,10.0,14.4,5.8,0.0,6.5,,,,5.0,,,,,
2016-03-25,7.7,13.1,1.9,0.0,8.6,,,,2.3,,,,,
2016-03-26,8.1,13.7,2.1,0.0,11.0,,,,1.7,,,,,
2016-03-27,9.8,14.9,6.5,0.0,5.8,,,,1.9,,,,,
2016-03-28,10.6,16.9,4.7,0.0,6.7,,,,2.5,,,,,
2016-03-29,11.2,18.6,4.4,0.0,5.6,,,,1.9,,,,,
