calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.0,8.4,-0.6,0.0,2.6,,,,0.6,,,,,
2016-01-02,4.2,12.0,-1.1,0.0,4.2,,,,0.7,,,,,
2016-01-03,5.2,14.4,0.7,0.0,4.6,,,,0.6,,,,,
2016-01-04,5.8,13.6,1.1,0.0,3.8,,,,1.0,,,,,
2016-01-05,2.7,6.1,-0.6,0.5,0.0,,,,0.6,,,,,
2016-01-06,3.6,7.8,0.3,0.0,0.0,,,,0.7,,,,,
2016-01-07,2.3,6.1,-0.7,1.0,1.7,,,,0.9,,,,,
2016-01-08,1.8,4.2,0.4,1.0,0.1,,,,1.0,,,,,
2016-01-09,2.3,6.9,0.0,0.0,2.6,,,,0.9,,,,,
2016-01-10,2.6,9.4,-0.9,0.0,4.0,,,,1.1,,,,,
2016-01-11,3.4,9.3,-0.5,0.0,3.5,,,,1.1,,,,,
2016-01-12,2.8,7.9,-1.0,0.0,1.0,,,,1.0,,,,,
2016-01-13,1.3,6.2,-2.0,0.0,2.6,,,,1.4,,,,,
2016-01-14,0.0,2.5,-1.5,2.0,0.0,,,,0.7,,,,,
2016-01-15,0.5,5.8,-1.6,0.5,3.0,,,,0.7,,,,,
2016-01-16,1.6,8.5,-2.2,0.0,7.5,,,,0.9,,,,,
2016-01-17,1.5,6.5,-2.4,6.5,0.0,,,,1.1,,,,,
2016-01-18,2.6,7.8,-2.1,26.5,0.4,,,,2.4,,,,,
2016-01-19,-3.2,-1.4,-4.3,42.0,0.0,,,,3.5,,,,,
2016-01-20,-0.9,2.0,-4.2,9.0,0.4,,,,1.0,,,,,
2016-01-21,0.7,2.8,-0.4,1.0,0.0,,,,,,,,,
2016-01-22,1.0,5.7,-1.4,0.0,3.7,,,,0.9,,,,,
2016-01-23,-0.7,2.5,-3.7,0.0,0.0,,,,1.7,,,,,
2016-01-24,-6.8,-3.7,-8.9,16.0,0.0,,,,2.2,,,,,
2016-01-25,-4.2,0.0,-8.6,6.0,1.1,,,,,,,,,
2016-01-26,-1.1,1.4,-3.6,0.0,0.0,,,,0.3,,,,,
2016-01-27,0.7,5.8,-1.6,0.0,1.6,,,,0.5,,,,,
2016-01-28,0.6,4.2,-2.8,8.0,0.0,,,,0.3,,,,,
2016-01-29,2.0,3.5,0.9,30.5,0.0,,,,0.6,,,,,
2016-01-30,3.3,7.9,-1.0,1.5,0.3,,,,1.1,,,,,
2016-01-31,1.2,6.5,-1.7,0.5,1.3,,,,0.6,,,,,
2016-02-01,2.1,6.6,0.2,0.0,1.1,,,,1.2,,,,,
2016-02-02,1.7,7.9,-2.9,0.0,3.6,,,,1.1,,,,,
2016-02-03,0.7,7.3,-3.7,0.0,2.9,,,,0.7,,,,,
2016-02-04,1.5,8.1,-2.4,0.0,4.6,,,,1.2,,,,,
2016-02-05,1.5,8.0,-2.6,0.0,4.7,,,,1.0,,,,,
2016-02-06,0.2,7.5,-4.4,0.0,6.1,,,,1.5,,,,,
2016-02-07,0.4,6.5,-3.7,0.0,5.5,,,,1.1,,,,,
2016-02-08,1.5,8.6,-4.4,0.0,3.1,,,,1.5,,,,,
2016-02-09,1.8,7.9,-2.7,0.5,2.4,,,,2.7,,,,,
2016-02-10,1.7,10.9,-4.3,0.0,9.0,,,,0.9,,,,,
2016-02-11,3.0,14.2,-4.3,0.0,9.5,,,,0.7,,,,,
2016-02-12,6.3,16.8,-2.2,0.0,2.7,,,,1.0,,,,,
2016-02-13,9.6,12.4,6.9,34.0,0.0,,,,0.7,,,,,
2016-02-14,10.0,14.8,4.1,5.0,0.3,,,,2.4,,,,,
2016-02-15,0.3,4.6,-2.5,4.0,0.3,,,,2.6,,,,,
2016-02-16,-0.4,3.3,-3.2,1.0,2.5,,,,1.5,,,,,
2016-02-17,0.8,5.4,-2.6,2.0,5.0,,,,1.8,,,,,
2016-02-18,1.3,10.3,-5.7,0.0,9.6,,,,1.0,,,,,
2016-02-19,4.8,12.2,-2.2,0.0,4.8,,,,0.9,,,,,
2016-02-20,4.8,6.0,3.7,27.5,0.0,,,,0.9,,,,,
2016-02-21,2.1,7.7,-2.2,0.5,4.9,,,,2.3,,,,,
2016-02-22,2.5,9.3,-3.7,0.0,4.1,,,,0.8,,,,,
2016-02-23,3.3,8.7,-0.6,0.0,0.8,,,,1.0,,,,,
2016-02-24,1.9,5.7,-0.6,0.0,2.7,,,,2.2,,,,,
2016-02-25,-0.1,5.4,-3.9,0.0,3.4,,,,1.5,,,,,
2016-02-26,0.9,8.5,-5.6,0.0,6.1,,,,1.5,,,,,
2016-02-27,3.0,8.1,-0.9,0.0,0.5,,,,0.8,,,,,
2016-02-28,5.7,14.8,-1.0,0.0,4.5,,,,1.1,,,,,
2016-02-29,1.8,7.0,-3.4,6.0,1.8,,,,3.0,,,,,
2016-03-01,-1.0,1.9,-3.7,0.5,0.4,,,,1.0,,,,,
2016-03-02,2.1,10.5,-2.3,0.0,7.4,,,,0.8,,,,,
2016-03-03,4.8,16.4,-3.8,0.0,9.4,,,,0.9,,,,,
2016-03-04,5.8,11.2,0.0,0.5,0.0,,,,0.5,,,,,
2016-03-05,12.5,21.4,5.3,0.0,7.6,,,,1.6,,,,,
2016-03-06,11.8,17.5,7.1,5.0,0.0,,,,0.8,,,,,
2016-03-07,13.8,22.5,8.9,0.0,7.2,,,,1.1,,,,,
2016-03-08,9.5,12.8,6.9,0.0,0.1,,,,1.1,,,,,
2016-03-09,5.8,9.1,4.0,35.0,0.2,,,,1.2,,,,,
2016-03-10,5.4,9.6,1.9,0.0,1.5,,,,1.5,,,,,
2016-03-11,3.6,9.2,-1.9,0.0,3.3,,,,1.3,,,,,
2016-03-12,2.7,11.3,-4.2,0.0,9.6,,,,1.1,,,,,
2016-03-13,4.5,11.5,-1.5,4.0,3.0,,,,0.9,,,,,
2016-03-14,5.0,11.0,1.6,3.0,3.0,,,,1.8,,,,,
2016-03-15,5.6,13.9,-0.6,0.0,10.6,,,,1.6,,,,,
2016-03-16,6.1,17.5,-1.2,0.0,5.1,,,,1.0,,,,,
2016-03-17,9.0,20.9,-1.6,0.0,10.4,,,,1.1,,,,,
2016-03-18,9.2,12.6,5.3,15.5,0.0,,,,0.6,,,,,
2016-03-19,12.0,19.6,6.8,12.0,4.3,,,,1.9,,,,,
2016-03-20,8.1,15.3,3.5,0.0,11.0,,,,3.0,,,,,
2016-03-21,5.5,15.4,-1.7,0.0,11.1,,,,1.5,,,,,
2016-03-22,7.2,19.9,-3.0,0.0,10.2,,,,1.1,,,,,
2016-03-23,8.1,18.4,0.8,0.0,6.0,,,,1.4,,,,,
2016-03-24,4.4,11.8,0.1,0.0,3.2,,,,1.9,,,,,
2016-03-25,3.0,11.6,-3.2,0.0,10.1,,,,2.0,,,,,
2016-03-26,4.4,14.6,-4.5,0.0,11.3,,,,1.3,,,,,
2016-03-27,5.0,14.3,-0.2,0.0,5.3,,,,1.3,,,,,
2016-03-28,6.2,15.5,0.0,0.0,7.0,,,,1.5,,,,,
2016-03-29,8.1,18.2,-1.7,0.0,6.1,,,,1.2,,,,,
2016-03-30,10.2,19.2,2.7,0.0,3.8,,,,1.1,,,,,
2016-03-31,11.7,19.4,5.2,0.5,2.4,,,,0.8,,,,,
2016-04-01,12.9,15.6,10.6,10.0,0.0,,,,1.6,,,,,
2016-04-02,13.6,19.1,7.6,0.0,0.7,,,,1.0,,,,,
2016-04-03,14.5,19.5,9.6,5.5,0.3,,,,0.8,,,,,
2016-04-04,12.3,16.6,6.6,4.0,0.2,,,,1.3,,,,,
2016-04-05,11.0,18.8,4.8,0.0,7.2,,,,1.2,,,,,
2016-04-06,12.4,23.3,1.8,0.0,7.8,,,,1.0,,,,,
2016-04-07,12.3,17.2,9.3,32.5,0.0,,,,1.3,,,,,
2016-04-08,12.8,21.3,7.4,0.0,6.1,,,,1.0,,,,,
2016-04-09,13.7,24.2,5.5,0.0,8.7,,,,1.1,,,,,
2016-04-10,12.6,22.5,6.2,0.0,0.9,,,,0.9,,,,,
2016-04-11,8.5,15.1,1.4,0.0,7.7,,,,2.5,,,,,
2016-04-12,8.2,18.3,-1.5,0.0,9.4,,,,1.1,,,,,
2016-04-13,12.2,22.4,3.5,14.0,4.6,,,,1.2,,,,,
2016-04-14,15.6,24.3,9.3,0.0,6.3,,,,1.7,,,,,
2016-04-15,13.3,22.3,5.9,0.0,11.9,,,,1.2,,,,,
2016-04-16,14.5,26.5,3.1,0.0,9.6,,,,1.6,,,,,
2016-04-17,17.1,25.6,9.6,11.5,9.7,,,,2.6,,,,,
2016-04-18,10.8,17.1,4.4,0.0,0.2,,,,1.7,,,,,
2016-04-19,9.5,19.3,1.2,0.0,9.9,,,,1.9,,,,,
2016-04-20,12.7,23.9,0.7,0.0,11.2,,,,1.4,,,,,
2016-04-21,12.6,13.5,11.1,33.0,0.0,,,,0.7,,,,,
2016-04-22,17.6,25.8,12.7,0.0,9.9,,,,1.6,,,,,
2016-04-23,14.7,20.0,10.3,0.5,1.2,,,,1.0,,,,,
2016-04-24,15.5,21.9,9.0,0.0,5.8,,,,1.0,,,,,
2016-04-25,13.9,24.3,4.9,0.0,5.8,,,,0.8,,,,,
2016-04-26,17.0,27.5,6.7,0.0,11.5,,,,1.1,,,,,
2016-04-27,15.7,19.3,13.6,22.0,0.0,,,,1.3,,,,,
2016-04-28,13.0,16.8,7.5,13.5,0.0,,,,2.3,,,,,
2016-04-29,10.1,17.9,4.2,0.0,9.3,,,,1.9,,,,,
2016-04-30,12.8,23.9,2.2,0.0,12.4,,,,1.2,,,,,
2016-05-01,16.1,28.2,6.4,0.0,10.7,,,,1.2,,,,,
2016-05-02,18.0,29.1,7.3,0.0,11.8,,,,1.3,,,,,
