calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.4,6.3,-1.1,0.0,2.2,,0,0,0.7,,,,,
2016-01-02,4.2,10.1,0.4,0.0,1.2,,0,0,1.1,,,,,
2016-01-03,4.7,13.0,-0.2,0.0,4.3,,0,0,0.8,,,,,
2016-01-04,5.1,11.5,-0.2,0.0,1.2,,0,0,1.3,,,,,
2016-01-05,2.0,6.2,-1.8,0.5,0.3,,0,0,0.7,,,,,
2016-01-06,3.0,8.0,-0.8,0.0,2.1,,0,0,1.0,,,,,
2016-01-07,1.3,3.3,-0.9,2.0,0.2,,0,0,0.8,,,,,
2016-01-08,0.1,0.9,-1.1,4.0,0.0,,0,0,0.6,,,,,
2016-01-09,-0.1,3.2,-2.6,0.0,0.7,,0,0,0.6,,,,,
2016-01-10,1.4,5.0,-0.7,0.5,1.4,,0,0,1.0,,,,,
2016-01-11,2.0,6.2,-0.6,0.0,1.0,,0,0,0.9,,,,,
2016-01-12,0.9,3.5,-1.2,1.0,0.1,,0,0,1.2,,,,,
2016-01-13,-1.1,0.5,-3.5,2.5,0.5,,0,0,,,,,,
2016-01-14,-1.0,0.0,-2.7,16.5,0.0,,19,23,1.1,,,,,
2016-01-15,-1.9,2.1,-6.6,0.5,1.7,,17,3,0.4,,,,,
2016-01-16,-3.0,5.0,-10.4,0.0,7.6,,9,6,0.3,,,,,
2016-01-17,-0.6,3.7,-4.4,13.0,0.0,,9,6,0.5,,,,,
2016-01-18,0.5,4.2,-4.5,34.0,0.2,,23,21,2.1,,,,,
2016-01-19,-5.5,-3.9,-6.1,36.0,0.0,,78,57,3.2,,,,,
2016-01-20,-2.1,-0.2,-5.6,24.5,0.2,,83,16,1.5,,,,,
2016-01-21,-1.0,1.1,-3.0,2.0,0.4,,77,0,0.5,,,,,
2016-01-22,-0.4,1.8,-3.3,3.0,4.4,,68,3,1.3,,,,,
2016-01-23,-3.0,0.0,-6.6,9.0,0.0,,76,21,1.3,,,,,
2016-01-24,-9.2,-6.5,-11.2,48.5,0.0,,122,51,1.8,,,,,
