calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.5,1.7,-0.9,0.0,8.1,,,,12.8,,,,,
2016-01-02,3.9,6.2,1.2,2.5,0.0,,,,12.1,,,,,
2016-01-03,2.3,3.7,1.2,0.5,3.3,,,,11.7,,,,,
2016-01-04,0.5,1.7,-1.0,0.0,2.9,,,,12.0,,,,,
2016-01-05,-1.4,-0.2,-2.6,0.0,4.2,,,,15.3,,,,,
2016-01-06,-0.4,2.5,-2.7,1.5,2.9,,,,15.0,,,,,
2016-01-07,-1.0,0.0,-1.9,0.0,2.4,,,,14.0,,,,,
2016-01-08,-0.7,0.6,-2.3,0.5,3.8,,,,11.7,,,,,
2016-01-09,-1.2,0.1,-2.7,0.0,4.3,,,,11.8,,,,,
2016-01-10,-1.1,0.8,-4.3,0.5,2.5,,,,11.8,,,,,
2016-01-11,-4.8,-3.2,-6.8,0.0,3.6,,,,14.2,,,,,
2016-01-12,-3.9,-2.8,-5.3,0.0,2.8,,,,12.7,,,,,
2016-01-13,-2.3,-0.6,-4.1,0.0,7.2,,,,7.1,,,,,
2016-01-14,-1.6,2.2,-4.8,0.0,6.1,,,,9.6,,,,,
2016-01-15,-4.0,-2.3,-5.2,2.0,3.2,,,,5.6,,,,,
2016-01-16,-2.5,-1.0,-4.2,0.0,4.9,,,,8.3,,,,,
2016-01-17,-2.9,-1.0,-5.6,0.0,9.0,,,,4.2,,,,,
2016-01-18,-2.4,-1.2,-3.4,0.0,0.0,,,,19.0,,,,,
2016-01-19,-0.2,1.9,-2.5,,0.0,,,,17.2,,,,,
2016-01-20,1.3,3.1,-1.1,0.0,3.0,,,,6.2,,,,,
2016-01-21,-1.2,0.2,-3.0,0.0,9.2,,,,9.7,,,,,
2016-01-22,-1.0,0.2,-2.7,0.0,9.0,,,,11.8,,,,,
2016-01-23,-1.4,-0.4,-2.1,0.0,8.0,,,,10.6,,,,,
2016-01-24,-3.3,-1.9,-5.4,0.0,0.0,,,,8.0,,,,,
2016-01-25,-3.9,-2.0,-6.2,0.0,7.3,,,,9.2,,,,,
2016-01-26,-0.1,1.5,-2.4,0.0,1.5,,,,10.0,,,,,
2016-01-27,0.3,1.5,-1.3,1.5,7.0,,,,11.9,,,,,
2016-01-28,-1.6,0.5,-4.4,0.0,7.9,,,,14.7,,,,,
2016-01-29,-4.0,-2.6,-5.7,0.0,6.1,,,,12.6,,,,,
2016-01-30,-4.4,-2.9,-6.1,0.0,5.7,,,,4.3,,,,,
2016-01-31,-3.7,-2.8,-5.5,0.0,7.2,,,,11.8,,,,,
2016-02-01,-4.4,-2.8,-6.2,0.0,7.3,,,,11.1,,,,,
2016-02-02,-3.7,-1.5,-5.9,0.0,7.6,,,,8.7,,,,,
2016-02-03,-3.0,-1.0,-6.6,0.0,9.4,,,,8.5,,,,,
2016-02-04,-0.4,1.3,-2.0,0.0,4.8,,,,5.3,,,,,
2016-02-05,-0.5,1.0,-2.6,0.0,8.1,,,,12.4,,,,,
2016-02-06,-2.7,-1.2,-4.3,0.0,2.7,,,,9.5,,,,,
2016-02-07,-3.1,-0.6,-5.1,0.0,8.6,,,,13.1,,,,,
2016-02-08,-1.7,-0.1,-2.9,0.0,8.9,,,,6.9,,,,,
2016-02-09,-0.9,1.0,-2.1,0.5,1.3,,,,6.2,,,,,
2016-02-10,-0.2,1.3,-3.0,0.0,9.0,,,,13.6,,,,,
2016-02-11,-1.3,1.8,-3.6,0.0,9.9,,,,7.0,,,,,
2016-02-12,0.0,3.0,-3.5,0.0,6.7,,,,5.1,,,,,
2016-02-13,3.9,5.7,1.8,0.5,0.0,,,,4.1,,,,,
2016-02-14,2.0,7.0,0.2,6.5,0.0,,,,10.7,,,,,
2016-02-15,-3.3,0.7,-6.3,0.0,4.2,,,,15.1,,,,,
2016-02-16,-4.4,-2.3,-6.7,3.5,3.1,,,,8.6,,,,,
2016-02-17,-2.2,-0.1,-3.7,1.0,1.6,,,,12.7,,,,,
2016-02-18,-0.2,2.4,-3.4,4.0,5.7,,,,9.8,,,,,
2016-02-19,2.8,4.4,1.7,1.0,4.6,,,,8.4,,,,,
2016-02-20,1.5,3.4,-0.4,1.0,0.8,,,,9.7,,,,,
2016-02-21,0.5,1.9,-1.3,5.0,3.2,,,,13.0,,,,,
2016-02-22,-1.4,-0.1,-2.2,0.0,7.7,,,,13.7,,,,,
2016-02-23,0.0,2.2,-2.1,0.0,1.2,,,,4.4,,,,,
2016-02-24,-4.3,0.3,-6.9,0.0,9.2,,,,6.0,,,,,
2016-02-25,-5.0,-2.3,-8.2,0.0,6.8,,,,8.4,,,,,
2016-02-26,-3.0,-1.0,-4.9,0.0,9.2,,,,8.7,,,,,
2016-02-27,-2.9,-1.4,-5.8,0.5,9.2,,,,7.9,,,,,
2016-02-28,-2.5,-0.1,-4.9,0.0,9.7,,,,4.0,,,,,
2016-02-29,-0.7,0.8,-3.7,8.0,0.0,,,,9.6,,,,,
2016-03-01,-1.3,0.8,-3.2,11.0,8.0,,,,17.0,,,,,
2016-03-02,-2.2,-0.7,-3.7,0.0,7.8,,,,9.5,,,,,
2016-03-03,-3.2,-2.1,-4.0,0.0,2.0,,,,9.1,,,,,
2016-03-04,-2.1,-0.1,-4.4,0.0,10.5,,,,6.4,,,,,
2016-03-05,-1.6,0.6,-5.2,0.0,10.8,,,,3.4,,,,,
2016-03-06,1.9,4.9,-2.4,13.5,0.0,,,,6.1,,,,,
2016-03-07,3.0,5.9,1.4,3.5,7.8,,,,9.1,,,,,
2016-03-08,1.2,3.4,0.1,0.0,0.2,,,,10.5,,,,,
2016-03-09,0.0,1.1,-1.4,0.0,5.4,,,,10.2,,,,,
2016-03-10,-1.0,0.9,-3.7,0.0,10.0,,,,4.5,,,,,
2016-03-11,-1.0,0.8,-2.3,0.0,10.9,,,,7.9,,,,,
2016-03-12,-0.8,1.0,-2.6,0.0,11.2,,,,7.2,,,,,
2016-03-13,-0.1,3.1,-2.9,0.5,7.9,,,,3.2,,,,,
2016-03-14,1.0,3.5,-2.4,0.0,10.6,,,,3.4,,,,,
2016-03-15,0.6,3.3,-2.2,0.0,7.3,,,,7.5,,,,,
2016-03-16,2.3,5.1,-0.6,0.0,9.1,,,,9.3,,,,,
2016-03-17,3.7,6.1,2.0,0.0,10.7,,,,7.6,,,,,
2016-03-18,6.5,10.4,2.5,0.0,7.6,,,,2.8,,,,,
2016-03-19,4.8,8.5,1.3,3.5,0.0,,,,3.8,,,,,
2016-03-20,1.4,3.4,-0.5,0.0,3.9,,,,3.2,,,,,
2016-03-21,0.1,1.7,-1.9,0.0,11.8,,,,8.8,,,,,
2016-03-22,1.2,3.4,-1.0,0.0,11.0,,,,6.1,,,,,
2016-03-23,1.5,3.8,-0.1,0.0,9.0,,,,5.9,,,,,
2016-03-24,0.5,3.0,-1.1,0.0,11.8,,,,4.3,,,,,
2016-03-25,0.5,3.7,-1.7,0.0,6.8,,,,5.0,,,,,
2016-03-26,1.4,4.6,-0.9,0.0,11.8,,,,4.4,,,,,
2016-03-27,3.5,6.1,0.2,0.0,11.2,,,,6.2,,,,,
2016-03-28,4.0,6.5,2.4,0.0,6.7,,,,6.6,,,,,
2016-03-29,2.9,5.0,1.1,0.0,10.9,,,,4.5,,,,,
2016-03-30,4.2,8.5,1.6,2.0,4.9,,,,5.8,,,,,
2016-03-31,4.0,6.4,2.4,0.0,10.6,,,,5.7,,,,,
2016-04-01,2.5,4.6,1.4,0.0,5.6,,,,9.8,,,,,
2016-04-02,1.9,3.8,0.9,0.0,0.2,,,,7.1,,,,,
2016-04-03,4.8,6.3,2.9,20.0,0.0,,,,7.5,,,,,
2016-04-04,3.4,6.0,2.2,0.0,2.6,,,,4.6,,,,,
2016-04-05,4.0,7.3,-1.1,0.0,11.4,,,,6.3,,,,,
2016-04-06,4.1,6.9,2.3,0.0,12.4,,,,8.5,,,,,
2016-04-07,5.4,9.1,2.1,11.5,1.4,,,,4.9,,,,,
2016-04-08,4.4,6.7,2.8,4.0,0.1,,,,7.3,,,,,
2016-04-09,4.1,9.9,1.6,0.0,6.7,,,,7.8,,,,,
2016-04-10,3.2,5.0,1.8,0.0,9.9,,,,7.1,,,,,
2016-04-11,1.9,5.6,0.2,0.0,5.6,,,,6.4,,,,,
2016-04-12,2.7,5.3,0.4,0.0,11.9,,,,8.6,,,,,
2016-04-13,6.0,8.7,2.5,7.5,1.1,,,,4.3,,,,,
2016-04-14,5.8,11.7,2.7,2.0,7.8,,,,4.8,,,,,
2016-04-15,3.5,4.9,2.3,0.0,11.4,,,,12.2,,,,,
2016-04-16,4.3,8.3,1.6,0.0,10.7,,,,7.0,,,,,
2016-04-17,4.6,8.3,2.9,12.5,0.0,,,,12.0,,,,,
2016-04-18,4.5,8.2,2.7,0.0,1.9,,,,13.0,,,,,
2016-04-19,2.8,4.0,1.7,0.0,0.2,,,,3.9,,,,,
2016-04-20,5.0,7.7,1.6,0.0,12.8,,,,4.4,,,,,
2016-04-21,8.4,11.8,5.2,0.0,10.5,,,,3.2,,,,,
2016-04-22,7.0,13.6,3.8,0.0,9.6,,,,10.4,,,,,
2016-04-23,2.8,5.0,1.4,0.5,0.0,,,,8.7,,,,,
2016-04-24,4.9,7.6,2.9,0.0,5.1,,,,5.9,,,,,
2016-04-25,6.1,9.1,2.7,0.0,11.7,,,,3.6,,,,,
2016-04-26,4.1,8.7,1.8,0.0,6.9,,,,6.3,,,,,
2016-04-27,4.2,6.5,2.8,0.0,6.0,,,,3.6,,,,,
2016-04-28,4.0,6.4,0.8,6.0,4.8,,,,10.9,,,,,
2016-04-29,2.9,6.6,0.4,5.5,0.0,,,,12.7,,,,,
2016-04-30,3.5,5.7,0.5,0.0,12.0,,,,13.2,,,,,
2016-05-01,4.1,7.2,1.9,0.0,11.4,,,,5.7,,,,,
2016-05-02,5.6,8.9,2.6,0.0,11.8,,,,3.2,,,,,
2016-05-03,10.2,12.8,6.4,0.0,0.8,,,,3.8,,,,,
2016-05-04,8.8,11.7,5.9,11.5,1.0,,,,7.6,,,,,
2016-05-05,7.2,9.5,5.5,0.0,5.7,,,,10.4,,,,,
2016-05-06,6.2,11.8,3.5,0.0,7.3,,,,6.3,,,,,
2016-05-07,6.3,9.8,3.7,8.5,0.9,,,,9.1,,,,,
2016-05-08,7.0,9.7,4.9,0.0,12.0,,,,12.4,,,,,
2016-05-09,8.8,13.3,4.5,0.0,10.8,,,,3.9,,,,,
2016-05-10,7.0,11.0,4.4,2.0,4.1,,,,16.0,,,,,
2016-05-11,5.3,6.3,4.4,37.5,0.0,,,,19.8,,,,,
2016-05-12,6.0,8.9,3.9,1.5,5.7,,,,10.2,,,,,
2016-05-13,9.0,14.3,4.9,0.0,12.7,,,,6.6,,,,,
2016-05-14,9.4,14.0,6.1,0.0,11.0,,,,5.3,,,,,
2016-05-15,7.7,10.4,6.0,0.0,12.4,,,,6.1,,,,,
2016-05-16,8.1,10.8,6.3,0.0,0.1,,,,9.0,,,,,
2016-05-17,8.0,10.9,6.3,3.0,2.5,,,,7.1,,,,,
2016-05-18,9.4,14.6,6.0,0.0,13.0,,,,5.9,,,,,
2016-05-19,9.5,12.4,7.0,0.0,11.6,,,,5.6,,,,,
2016-05-20,8.8,11.9,6.8,0.0,12.9,,,,7.6,,,,,
2016-05-21,10.0,13.0,6.6,0.0,12.5,,,,5.9,,,,,
2016-05-22,9.6,13.7,7.5,0.0,5.7,,,,6.8,,,,,
2016-05-23,11.3,14.1,8.7,0.0,12.6,,,,5.5,,,,,
2016-05-24,10.5,13.6,8.8,0.0,7.0,,,,11.3,,,,,
2016-05-25,10.1,13.9,7.8,1.5,0.0,,,,7.3,,,,,
2016-05-26,10.9,15.0,7.8,1.5,0.0,,,,4.9,,,,,
2016-05-27,10.4,13.0,7.9,4.0,6.5,,,,6.9,,,,,
2016-05-28,10.7,13.5,7.2,0.5,13.7,,,,7.9,,,,,
2016-05-29,10.0,12.9,6.8,0.0,13.5,,,,6.9,,,,,
2016-05-30,7.0,8.8,5.8,0.0,4.5,,,,10.1,,,,,
2016-05-31,8.5,13.1,7.2,18.5,0.0,,,,7.1,,,,,
2016-06-01,9.0,11.1,7.4,2.0,3.5,,,,6.3,,,,,
2016-06-02,9.0,10.9,7.1,0.0,1.9,,,,3.4,,,,,
2016-06-03,9.0,11.3,6.6,0.0,5.7,,,,5.5,,,,,
2016-06-04,7.5,9.7,6.0,5.5,0.5,,,,6.4,,,,,
2016-06-05,7.8,9.8,5.9,0.0,0.0,,,,5.6,,,,,
2016-06-06,10.2,12.6,8.4,0.0,14.1,,,,6.1,,,,,
2016-06-07,12.9,16.3,9.7,0.0,11.3,,,,4.4,,,,,
2016-06-08,15.2,17.2,13.1,2.0,3.6,,,,2.4,,,,,
2016-06-09,13.9,15.2,11.0,26.5,0.0,,,,2.2,,,,,
2016-06-10,11.9,14.1,9.6,0.0,10.7,,,,7.4,,,,,
2016-06-11,12.1,17.2,9.3,0.0,14.2,,,,4.2,,,,,
2016-06-12,10.3,12.4,9.1,0.0,3.2,,,,10.1,,,,,
2016-06-13,10.6,12.4,9.0,1.0,0.0,,,,9.4,,,,,
2016-06-14,11.1,12.0,10.4,0.5,0.0,,,,9.6,,,,,
2016-06-15,10.1,11.3,9.1,0.0,0.3,,,,7.9,,,,,
2016-06-16,11.1,14.1,9.8,78.5,0.0,,,,10.5,,,,,
2016-06-17,10.9,14.6,10.0,85.5,0.0,,,,9.3,,,,,
2016-06-18,10.9,13.0,9.8,1.0,0.0,,,,4.3,,,,,
2016-06-19,10.5,12.2,9.2,0.0,4.8,,,,6.7,,,,,
2016-06-20,12.3,15.6,10.8,35.5,0.0,,,,7.0,,,,,
2016-06-21,12.2,14.4,11.5,2.0,3.1,,,,11.7,,,,,
2016-06-22,12.3,16.3,10.6,0.0,4.9,,,,10.7,,,,,
2016-06-23,10.7,11.7,9.3,0.5,0.3,,,,15.2,,,,,
2016-06-24,9.8,11.3,8.7,0.0,4.7,,,,8.1,,,,,
2016-06-25,11.0,11.6,10.4,7.5,0.5,,,,12.5,,,,,
2016-06-26,11.4,14.7,10.2,0.0,0.3,,,,8.5,,,,,
2016-06-27,12.8,15.3,10.9,0.0,11.7,,,,6.5,,,,,
2016-06-28,14.7,18.6,11.3,0.0,10.9,,,,3.8,,,,,
2016-06-29,12.8,14.4,10.4,0.0,2.8,,,,5.8,,,,,
2016-06-30,16.4,19.4,11.2,0.0,3.4,,,,3.5,,,,,
2016-07-01,15.1,18.8,12.7,0.0,0.0,,,,5.4,,,,,
2016-07-02,15.9,18.8,13.2,17.0,0.5,,,,5.7,,,,,
2016-07-03,14.1,16.2,12.0,0.5,5.8,,,,10.2,,,,,
2016-07-04,13.3,15.4,11.2,0.0,4.2,,,,7.5,,,,,
2016-07-05,11.8,13.6,10.4,0.0,1.4,,,,5.8,,,,,
2016-07-06,12.2,12.9,10.7,4.5,0.0,,,,7.0,,,,,
2016-07-07,13.6,15.8,12.1,0.0,13.1,,,,6.4,,,,,
2016-07-08,14.0,15.9,12.1,0.0,5.2,,,,9.3,,,,,
2016-07-09,15.1,18.5,12.9,0.0,6.8,,,,5.9,,,,,
2016-07-10,15.6,17.5,14.2,1.0,4.4,,,,5.7,,,,,
2016-07-11,16.3,18.1,15.2,0.0,0.8,,,,2.4,,,,,
2016-07-12,16.8,19.2,15.4,0.0,9.8,,,,4.0,,,,,
2016-07-13,16.2,17.5,15.2,0.0,4.3,,,,6.8,,,,,
2016-07-14,15.0,15.9,14.5,0.0,1.0,,,,12.6,,,,,
2016-07-15,16.4,18.0,14.4,0.0,12.9,,,,10.1,,,,,
2016-07-16,15.7,17.1,14.8,0.0,0.8,,,,3.4,,,,,
2016-07-17,15.6,16.5,15.2,4.0,0.0,,,,3.9,,,,,
2016-07-18,15.4,16.0,15.0,9.5,0.0,,,,9.7,,,,,
2016-07-19,15.2,16.0,14.5,0.5,0.0,,,,7.7,,,,,
2016-07-20,15.2,18.2,14.1,0.0,0.8,,,,6.2,,,,,
2016-07-21,16.0,17.8,15.0,0.0,6.6,,,,4.2,,,,,
2016-07-22,14.9,15.9,14.4,0.0,1.9,,,,8.0,,,,,
2016-07-23,15.5,17.1,14.3,0.0,5.0,,,,8.5,,,,,
2016-07-24,15.9,17.7,14.6,0.0,6.2,,,,8.0,,,,,
2016-07-25,16.0,18.4,14.9,0.0,2.8,,,,3.4,,,,,
2016-07-26,16.2,17.2,15.0,0.0,0.0,,,,3.2,,,,,
2016-07-27,17.2,18.3,16.0,36.0,0.0,,,,6.0,,,,,
2016-07-28,18.6,19.3,17.0,25.0,0.0,,,,6.5,,,,,
2016-07-29,19.7,20.7,18.4,0.0,0.0,,,,2.6,,,,,
2016-07-30,19.8,21.0,18.9,0.5,0.0,,,,2.6,,,,,
2016-07-31,20.5,23.1,19.5,59.0,1.0,,,,2.7,,,,,
2016-08-01,19.7,22.3,15.4,1.0,1.0,,,,5.5,,,,,
2016-08-02,18.9,21.0,15.0,0.0,0.0,,,,6.2,,,,,
2016-08-03,19.6,21.2,17.5,0.5,0.1,,,,4.8,,,,,
2016-08-04,20.4,22.8,18.2,0.0,9.3,,,,8.1,,,,,
2016-08-05,20.5,22.7,18.0,0.0,8.5,,,,7.3,,,,,
2016-08-06,20.1,22.4,17.8,0.0,13.5,,,,4.6,,,,,
2016-08-07,20.9,23.1,17.9,0.0,13.1,,,,2.8,,,,,
2016-08-08,22.1,24.1,19.2,6.5,2.8,,,,2.8,,,,,
2016-08-09,20.7,23.8,19.1,16.5,0.7,,,,8.1,,,,,
2016-08-10,19.5,22.3,17.3,0.0,8.6,,,,3.3,,,,,
2016-08-11,19.2,21.8,17.0,0.0,12.0,,,,3.6,,,,,
2016-08-12,19.6,21.9,17.6,0.0,10.5,,,,2.9,,,,,
2016-08-13,19.7,21.9,18.0,0.0,10.2,,,,3.8,,,,,
2016-08-14,20.0,21.7,18.7,0.0,4.3,,,,10.7,,,,,
2016-08-15,21.1,23.0,19.5,0.0,2.9,,,,7.0,,,,,
2016-08-16,21.5,22.9,19.6,55.0,0.0,,,,4.1,,,,,
2016-08-17,21.0,22.9,19.1,62.0,0.0,,,,9.2,,,,,
2016-08-18,20.5,22.0,18.7,1.0,2.2,,,,3.7,,,,,
2016-08-19,20.8,23.0,19.1,1.0,2.5,,,,3.1,,,,,
2016-08-20,21.2,22.2,19.4,2.0,0.0,,,,4.0,,,,,
2016-08-21,19.3,21.6,17.5,69.0,0.5,,,,10.4,,,,,
2016-08-22,20.5,22.0,17.5,8.0,0.0,,,,3.9,,,,,
2016-08-23,19.9,21.8,18.1,2.0,5.3,,,,8.0,,,,,
2016-08-24,19.8,22.6,17.4,0.0,12.4,,,,3.0,,,,,
2016-08-25,19.6,21.4,17.6,0.0,0.0,,,,4.2,,,,,
2016-08-26,19.4,21.5,17.1,50.0,0.1,,,,5.3,,,,,
2016-08-27,18.0,19.7,16.1,5.5,6.2,,,,9.8,,,,,
2016-08-28,18.7,20.6,16.7,0.0,4.9,,,,11.7,,,,,
2016-08-29,19.5,20.4,18.9,10.0,0.0,,,,13.6,,,,,
2016-08-30,20.3,21.1,19.9,37.0,0.0,,,,16.5,,,,,
2016-08-31,20.9,22.2,19.8,3.5,8.3,,,,4.9,,,,,
2016-09-01,20.1,21.1,19.4,0.0,0.0,,,,5.4,,,,,
2016-09-02,19.2,20.3,18.2,0.0,3.7,,,,8.8,,,,,
2016-09-03,18.7,19.9,17.9,0.0,8.0,,,,8.8,,,,,
2016-09-04,19.0,20.0,18.3,0.0,2.0,,,,8.4,,,,,
2016-09-05,19.1,20.3,18.3,1.0,1.7,,,,10.4,,,,,
2016-09-06,20.3,21.4,19.2,0.0,0.0,,,,7.7,,,,,
2016-09-07,20.2,22.0,19.1,0.0,7.0,,,,8.2,,,,,
2016-09-08,16.7,19.5,14.9,4.5,4.9,,,,16.2,,,,,
2016-09-09,17.6,21.0,14.7,30.5,0.6,,,,14.7,,,,,
2016-09-10,19.6,21.3,17.9,0.0,9.7,,,,9.3,,,,,
2016-09-11,17.8,19.2,16.3,0.0,7.9,,,,3.2,,,,,
2016-09-12,17.0,18.2,15.5,0.0,7.0,,,,7.1,,,,,
2016-09-13,17.7,19.2,17.0,0.0,0.9,,,,5.8,,,,,
2016-09-14,17.4,18.6,16.0,0.5,0.2,,,,7.5,,,,,
2016-09-15,18.8,21.1,15.8,0.0,11.6,,,,4.5,,,,,
2016-09-16,19.4,21.8,17.5,0.0,7.9,,,,4.6,,,,,
2016-09-17,18.4,21.2,13.3,2.5,6.1,,,,9.2,,,,,
2016-09-18,14.3,15.4,12.7,1.5,2.7,,,,11.9,,,,,
