calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.9,1.8,-2.6,,6.6,,,,5.3,3.2,1015.7,55,1020.6,
2016-01-02,3.1,6.5,-0.9,2.5,0.4,,1,1,6.8,5.6,1008.2,72,1013.0,
2016-01-03,1.1,3.1,-1.2,,0.7,,,,4.9,3.6,1008.2,54,1013.0,
2016-01-04,-1.0,2.0,-2.9,0.0,1.9,,,,4.1,3.1,1007.1,54,1011.9,
2016-01-05,-2.6,-0.1,-4.5,0.0,2.1,,,,6.2,2.7,1008.3,53,1013.2,
2016-01-06,-1.3,2.3,-4.8,1.5,1.7,,3,3,6.5,3.6,1008.2,63,1013.0,
2016-01-07,-2.0,-0.5,-3.0,0.0,0.6,,2,,5.1,2.8,1003.7,53,1008.6,
2016-01-08,-1.2,0.2,-2.5,0.5,0.7,,3,2,5.2,3.4,1004.6,60,1009.5,
2016-01-09,-2.3,-0.8,-3.6,0.0,2.5,,3,,4.8,2.7,1009.1,53,1014.0,
2016-01-10,-2.2,1.4,-5.7,2.0,2.5,,3,2,5.9,3.4,1006.5,65,1011.4,
2016-01-11,-5.9,-3.1,-8.1,0.0,5.3,,2,,5.3,1.8,1009.6,45,1014.6,
2016-01-12,-5.5,-2.9,-7.3,0.0,2.1,,3,2,4.5,2.4,1007.0,58,1011.9,
2016-01-13,-3.6,-0.1,-7.2,0.0,5.6,,3,1,3.6,2.8,1005.9,59,1010.9,
2016-01-14,-2.1,3.0,-5.0,2.0,4.8,,7,7,5.6,3.7,1003.7,71,1008.5,
2016-01-15,-2.8,1.3,-5.1,3.0,4.7,,10,6,2.7,4.1,1009.8,83,1014.7,
2016-01-16,-4.2,-0.9,-6.9,0.5,1.8,,10,,3.4,2.9,1011.4,65,1016.3,
2016-01-17,-4.3,0.1,-9.1,,8.5,,7,,3.7,2.4,1016.7,54,1021.7,
2016-01-18,-2.9,-1.0,-5.8,2.5,0.0,,6,3,7.3,3.4,1008.7,69,1013.6,
2016-01-19,0.0,2.5,-2.8,6.5,0.0,,12,7,3.8,4.2,990.4,70,995.2,
2016-01-20,0.0,4.3,-2.6,,5.0,,10,,4.4,3.3,996.9,55,1001.7,
2016-01-21,-2.1,0.7,-4.2,0.5,9.0,,8,,6.6,3.4,1006.5,65,1011.3,
2016-01-22,-2.2,1.0,-5.9,,8.3,,7,,5.6,3.6,1008.7,68,1013.6,
2016-01-23,-2.5,0.3,-4.9,0.0,5.0,,7,1,4.4,3.2,1009.7,64,1014.6,
2016-01-24,-2.9,0.5,-5.6,0.0,0.5,,10,4,2.5,3.5,997.6,71,1002.5,
2016-01-25,-4.2,-1.2,-8.5,0.0,7.2,,11,1,3.8,2.8,1005.3,64,1010.2,
2016-01-26,-0.6,1.8,-3.4,1.0,0.0,,9,1,3.3,4.7,1012.6,78,1017.5,
2016-01-27,-0.1,1.9,-2.3,3.0,6.8,,11,2,6.2,4.1,1012.6,67,1017.5,
2016-01-28,-2.6,1.1,-6.5,0.0,6.3,,7,,6.8,3.0,1016.9,58,1021.9,
