calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.4,3.5,-1.5,0.0,0.0,,17,0,2.0,,,,,
2016-01-02,3.8,5.3,0.6,5.0,0.0,,15,0,2.4,,,,,
2016-01-03,1.1,3.3,-0.7,0.0,2.8,,5,0,2.4,,,,,
2016-01-04,-1.0,0.4,-4.2,1.0,0.0,,8,3,1.8,,,,,
2016-01-05,-2.9,-1.2,-4.3,4.0,1.7,,14,8,2.6,,,,,
2016-01-06,-0.9,1.1,-2.9,2.5,0.8,,15,4,2.9,,,,,
2016-01-07,-2.4,-1.1,-3.7,0.5,0.0,,15,1,2.6,,,,,
2016-01-08,-1.8,-0.1,-3.3,6.0,0.1,,22,11,2.1,,,,,
2016-01-09,-2.2,-0.2,-4.1,0.5,1.1,,21,1,2.4,,,,,
2016-01-10,-3.4,-0.4,-7.2,7.5,0.7,,26,12,2.3,,,,,
2016-01-11,-6.6,-5.3,-8.1,1.0,0.1,,27,4,2.8,,,,,
2016-01-12,-5.3,-3.6,-7.2,4.5,0.0,,31,7,2.4,,,,,
2016-01-13,-4.2,-0.6,-6.5,5.0,1.2,,32,5,1.2,,,,,
2016-01-14,-3.5,-1.8,-6.0,3.0,1.4,,36,5,1.7,,,,,
2016-01-15,-3.8,-2.6,-4.7,10.5,0.0,,46,16,1.9,,,,,
2016-01-16,-5.0,-3.3,-8.7,0.5,0.0,,41,3,1.7,,,,,
2016-01-17,-7.0,-1.5,-12.7,3.0,1.4,,43,9,0.7,,,,,
2016-01-18,-3.0,1.1,-12.9,6.5,0.0,,49,12,3.7,,,,,
2016-01-19,-1.5,0.3,-5.6,1.5,0.0,,50,3,1.5,,,,,
2016-01-20,-2.4,1.9,-12.0,0.0,2.4,,48,3,1.2,,,,,
2016-01-21,-6.5,1.6,-14.6,0.0,6.0,,45,5,0.9,,,,,
2016-01-22,-4.7,0.6,-12.3,7.0,5.6,,53,12,1.4,,,,,
2016-01-23,-4.5,-1.9,-6.8,9.0,0.9,,64,16,1.2,,,,,
2016-01-24,-4.3,0.5,-10.0,4.0,1.5,,63,8,0.8,,,,,
2016-01-25,-6.2,-0.7,-14.4,1.0,5.0,,58,4,1.3,,,,,
2016-01-26,1.1,2.9,-1.9,1.5,0.2,,56,0,2.2,,,,,
2016-01-27,0.2,2.5,-1.8,1.0,2.7,,53,1,2.9,,,,,
2016-01-28,-2.2,1.1,-4.5,7.5,2.1,,61,11,2.9,,,,,
2016-01-29,-4.3,-2.9,-6.6,0.0,0.5,,57,0,1.9,,,,,
2016-01-30,-5.3,-1.2,-11.7,0.5,5.4,,55,3,1.0,,,,,
2016-01-31,-5.1,-2.8,-7.0,0.5,0.5,,56,2,2.2,,,,,
2016-02-01,-6.2,-3.7,-8.2,5.0,0.3,,61,13,1.5,,,,,
2016-02-02,-6.1,-2.3,-13.0,1.0,1.6,,62,3,1.6,,,,,
2016-02-03,-3.9,-0.5,-11.4,0.0,1.5,,60,3,1.3,,,,,
2016-02-04,-0.3,2.6,-3.2,15.0,0.8,,71,20,1.4,,,,,
2016-02-05,-2.0,-0.6,-4.8,0.5,0.0,,70,3,2.2,,,,,
2016-02-06,-5.1,-2.6,-7.3,2.0,1.1,,69,5,1.6,,,,,
2016-02-07,-4.6,-0.4,-14.4,2.5,2.3,,69,4,2.1,,,,,
2016-02-08,-2.3,2.0,-7.1,0.0,6.4,,65,2,1.2,,,,,
