calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.7,0.1,-2.3,0.0,1.1,,,,3.2,,,,,
2016-01-02,1.5,5.4,-3.2,1.5,0.1,,,,2.9,,,,,
2016-01-03,0.4,2.4,-2.5,0.0,3.7,,,,4.6,,,,,
2016-01-04,-1.8,0.5,-4.7,0.0,0.2,,,,3.8,,,,,
2016-01-05,-3.3,-1.3,-5.0,0.0,1.8,,,,5.8,,,,,
2016-01-06,-1.5,1.5,-3.6,0.0,0.4,,,,4.5,,,,,
2016-01-07,-2.4,-1.0,-3.3,0.0,0.6,,,,5.5,,,,,
2016-01-08,-1.6,0.4,-3.5,0.0,1.0,,,,4.5,,,,,
2016-01-09,-2.4,-0.7,-3.9,0.0,1.7,,,,4.5,,,,,
2016-01-10,-3.8,0.2,-7.2,0.0,2.5,,,,5.0,,,,,
2016-01-11,-7.1,-5.2,-8.8,0.0,1.2,,,,5.0,,,,,
2016-01-12,-5.4,-2.8,-7.2,0.0,2.0,,,,4.9,,,,,
2016-01-13,-3.5,-0.9,-6.2,0.0,2.3,,,,2.5,,,,,
2016-01-14,-2.9,-1.5,-4.7,2.0,3.0,,,,4.8,,,,,
2016-01-15,-4.4,-1.5,-8.9,3.5,2.8,,,,3.3,,,,,
2016-01-16,-4.4,-2.0,-7.2,0.0,3.0,,,,3.5,,,,,
2016-01-17,-6.3,-1.5,-11.2,1.0,5.6,,,,2.2,,,,,
2016-01-18,-2.9,1.0,-8.5,0.0,0.0,,,,3.7,,,,,
2016-01-19,-1.4,0.5,-3.9,2.5,0.0,,,,2.1,,,,,
2016-01-20,-0.4,1.5,-4.0,0.0,4.3,,,,5.4,,,,,
2016-01-21,-3.2,0.9,-9.5,0.0,7.0,,,,3.4,,,,,
2016-01-22,-3.2,1.7,-9.1,0.0,7.5,,,,3.1,,,,,
2016-01-23,-3.5,-1.4,-7.4,0.0,4.9,,,,3.0,,,,,
2016-01-24,-3.5,0.0,-8.1,0.0,3.8,,,,2.3,,,,,
2016-01-25,-5.0,-2.1,-10.8,0.0,5.9,,,,3.3,,,,,
2016-01-26,1.0,3.5,-3.2,0.0,1.2,,,,3.7,,,,,
2016-01-27,-0.4,2.2,-2.0,0.5,5.6,,,,4.7,,,,,
2016-01-28,-2.8,-0.3,-5.6,0.0,2.2,,,,5.8,,,,,
2016-01-29,-4.9,-3.0,-8.5,0.0,3.1,,,,4.7,,,,,
2016-01-30,-5.6,-1.9,-11.6,0.0,7.7,,,,2.5,,,,,
2016-01-31,-5.5,-3.7,-6.9,0.0,2.6,,,,4.6,,,,,
2016-02-01,-6.0,-3.8,-8.8,0.0,4.6,,,,4.1,,,,,
2016-02-02,-4.8,-2.1,-7.8,0.0,4.5,,,,4.1,,,,,
2016-02-03,-3.8,-0.7,-8.3,0.0,2.7,,,,3.1,,,,,
2016-02-04,-0.1,2.3,-3.9,0.0,3.5,,,,2.3,,,,,
2016-02-05,-1.7,1.2,-4.5,0.0,5.0,,,,5.2,,,,,
2016-02-06,-4.7,-1.2,-8.0,0.0,2.3,,,,3.8,,,,,
2016-02-07,-4.3,-1.4,-9.5,0.5,4.5,,,,4.6,,,,,
2016-02-08,-2.6,1.8,-11.0,0.0,9.2,,,,2.3,,,,,
2016-02-09,1.8,4.2,-0.9,0.0,4.2,,,,4.1,,,,,
2016-02-10,-2.2,-0.3,-5.3,0.0,5.5,,,,4.9,,,,,
2016-02-11,-3.2,1.0,-7.2,0.0,7.0,,,,2.6,,,,,
